# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               NH3              N2              
  1                1.00000000E-05   2.56462886E+02   8.38075522E-01   1.60463460E-01   4.42522029E-40   7.81881582E-04   5.31344082E-04   1.29976618E-27   1.19328888E-04   1.19741388E-06  
  2                3.75497191E-05   2.84833690E+02   8.38080684E-01   1.60462208E-01   5.98439799E-36   7.81875484E-04   5.31339938E-04   1.32007147E-24   1.11528961E-04   5.09690284E-06  
  3                7.19758515E-05   2.99374781E+02   8.38084679E-01   1.60461240E-01   3.77547195E-34   7.81870765E-04   5.31336731E-04   2.45180836E-23   1.05492940E-04   8.11454591E-06  
  4                1.14158873E-04   3.03972407E+02   8.38081991E-01   1.60461891E-01   1.12748607E-33   7.81873940E-04   5.31338889E-04   3.41535636E-23   1.09554736E-04   6.08389505E-06  
  5                1.65782637E-04   3.13828279E+02   8.38084988E-01   1.60461165E-01   1.40544005E-32   7.81870400E-04   5.31336483E-04   2.11269175E-22   1.05026324E-04   8.34782569E-06  
  6                2.29104817E-04   3.16852783E+02   8.38082616E-01   1.60461739E-01   2.65492591E-32   7.81873196E-04   5.31338383E-04   2.35896892E-22   1.08605678E-04   6.55836622E-06  
  7                3.06736847E-04   3.25417217E+02   8.38085289E-01   1.60461092E-01   2.02790913E-31   7.81866339E-04   5.31336241E-04   1.04349137E-21   1.04571387E-04   8.57526639E-06  
  8                4.02060578E-04   3.28137164E+02   8.38083251E-01   1.60461586E-01   3.45579767E-31   7.81868747E-04   5.31337877E-04   1.14697607E-21   1.07652073E-04   7.03511082E-06  
  9                5.19140028E-04   3.36370378E+02   8.38085891E-01   1.60460942E-01   2.15374573E-30   7.81865610E-04   5.31335746E-04   4.43700289E-21   1.03649791E-04   9.03600740E-06  
  10               6.63087249E-04   3.39201741E+02   8.38084137E-01   1.60461370E-01   3.65526687E-30   7.81857235E-04   5.31337164E-04   5.06004683E-21   1.06313930E-04   7.70410075E-06  
  11               8.40149174E-04   3.47424977E+02   8.38086843E-01   1.60460714E-01   2.02794595E-29   7.81854038E-04   5.31334991E-04   1.80998975E-20   1.02224742E-04   9.74844566E-06  
  12               1.05804682E-03   3.50456454E+02   8.38085239E-01   1.60461103E-01   3.47439631E-29   7.81855933E-04   5.31336279E-04   2.13091267E-20   1.04648731E-04   8.53659873E-06  
  13               1.32623664E-03   3.58711626E+02   8.38087885E-01   1.60460443E-01   1.74065643E-28   7.81852716E-04   5.31334093E-04   7.05362465E-20   1.00585609E-04   1.05679093E-05  
  14               1.65624175E-03   3.61845770E+02   8.38086323E-01   1.60460837E-01   2.93683466E-28   7.81803176E-04   5.31335398E-04   8.29872806E-20   1.03016860E-04   9.35243333E-06  
  15               2.06225461E-03   3.70176477E+02   8.38088942E-01   1.60460202E-01   1.34830204E-27   7.81800084E-04   5.31333297E-04   2.56100717E-19   9.90606112E-05   1.13303169E-05  
  16               2.56159764E-03   3.73444979E+02   8.38087317E-01   1.60460596E-01   2.25151621E-27   7.81802002E-04   5.31334600E-04   3.01188451E-19   1.01514986E-04   1.01032789E-05  
  17               3.17571307E-03   3.82012043E+02   8.38089932E-01   1.60459962E-01   9.79754904E-27   7.81798916E-04   5.31332502E-04   8.91635234E-19   9.75650549E-05   1.20780041E-05  
  18               3.93093277E-03   3.85558337E+02   8.38088373E-01   1.60460340E-01   1.65807409E-26   7.81800757E-04   5.31333753E-04   1.06914170E-18   9.99197230E-05   1.09008133E-05  
  19               4.85971193E-03   3.94451163E+02   8.38090844E-01   1.60459671E-01   6.93531138E-26   7.81797516E-04   5.31331536E-04   3.06978715E-18   9.59411055E-05   1.28898682E-05  
  20               6.00144241E-03   3.98236051E+02   8.38089467E-01   1.60460063E-01   1.17584934E-25   7.81605815E-04   5.31332836E-04   3.70444893E-18   9.82909001E-05   1.17151197E-05  
  21               7.40504698E-03   4.07533934E+02   8.38092136E-01   1.60459416E-01   4.77492982E-25   7.81602919E-04   5.31330693E-04   1.04015782E-17   9.42575378E-05   1.37315555E-05  
  22               9.12969556E-03   4.11581678E+02   8.38090580E-01   1.60459793E-01   8.11223623E-25   7.81604755E-04   5.31331942E-04   1.26286733E-17   9.66081480E-05   1.25563933E-05  
  23               1.12478134E-02   4.21211090E+02   8.38093184E-01   1.60459161E-01   3.15062094E-24   7.81604555E-04   5.31329849E-04   3.41543561E-17   9.26692069E-05   1.45256242E-05  
  24               1.38476110E-02   4.25499933E+02   8.38091596E-01   1.60459543E-01   5.32939722E-24   7.81606415E-04   5.31331114E-04   4.14401563E-17   9.50580652E-05   1.33313400E-05  
  25               1.70381104E-02   4.35558117E+02   8.38093476E-01   1.60458790E-01   2.00409042E-23   7.81633737E-04   5.31328618E-04   1.09197393E-16   9.11594589E-05   1.52803572E-05  
  26               2.09527433E-02   4.40205326E+02   8.38092597E-01   1.60459211E-01   3.42036673E-23   7.80836597E-04   5.31330015E-04   1.33922574E-16   9.34809884E-05   1.41197525E-05  
  27               2.57561779E-02   4.50941164E+02   8.38094921E-01   1.60458559E-01   1.28120411E-22   7.81200423E-04   5.31327855E-04   3.53370586E-16   8.94144391E-05   1.61527797E-05  
  28               3.16558505E-02   4.56579557E+02   8.38093503E-01   1.60458763E-01   2.37694033E-22   7.81201416E-04   5.31328530E-04   4.71620635E-16   9.10705551E-05   1.53247991E-05  
  29               3.89047616E-02   4.68221585E+02   8.38094866E-01   1.60458060E-01   8.99889444E-22   7.82735110E-04   5.31326202E-04   1.26418077E-15   8.66882283E-05   1.75156958E-05  
  30               4.78176143E-02   4.74954722E+02   8.38094191E-01   1.60458224E-01   1.80229473E-21   7.82735909E-04   5.31326744E-04   1.82125127E-15   8.77087171E-05   1.70055135E-05  
  31               5.87739882E-02   4.87243926E+02   8.38094852E-01   1.60457112E-01   6.58869682E-21   7.82730487E-04   5.31323064E-04   4.72601289E-15   8.33969309E-05   1.91609850E-05  
  32               7.22580104E-02   4.95159585E+02   8.38096982E-01   1.60457389E-01   1.41110119E-20   7.80116203E-04   5.31323979E-04   7.25861792E-15   8.38113566E-05   1.89538770E-05  
  33               8.88761582E-02   5.09007928E+02   8.38100270E-01   1.60456591E-01   5.41781881E-20   7.80112332E-04   5.31321339E-04   1.98212990E-14   7.88429956E-05   2.14377551E-05  
  34               1.09368528E-01   5.18629381E+02   8.38100598E-01   1.60456512E-01   1.27728280E-19   7.80111949E-04   5.31321076E-04   3.36030583E-14   7.83471627E-05   2.16856414E-05  
  35               1.34674347E-01   5.34233903E+02   8.38104238E-01   1.60455630E-01   5.08735085E-19   7.80107670E-04   5.31318154E-04   9.54088989E-14   7.28478426E-05   2.44349668E-05  
  36               1.65953046E-01   5.45734258E+02   8.38105087E-01   1.60455424E-01   1.29820158E-18   7.80106682E-04   5.31317473E-04   1.75057927E-13   7.15653436E-05   2.50761382E-05  
  37               2.04659248E-01   5.63537393E+02   8.38109042E-01   1.60454465E-01   5.39162674E-18   7.80102053E-04   5.31314298E-04   5.19504811E-13   6.55900562E-05   2.80634183E-05  
  38               2.52594704E-01   5.77570007E+02   8.38110509E-01   1.60454109E-01   1.51598038E-17   7.80100362E-04   5.31313119E-04   1.05053646E-12   6.33725639E-05   2.91720295E-05  
  39               3.11990763E-01   5.98215061E+02   8.38114699E-01   1.60453093E-01   6.61832494E-17   7.80095523E-04   5.31309753E-04   3.28719962E-12   5.70415336E-05   3.23371593E-05  
  40               3.85562814E-01   6.15304936E+02   8.38116657E-01   1.60452619E-01   2.03248699E-16   7.80093343E-04   5.31308176E-04   7.27428938E-12   5.40825484E-05   3.38164719E-05  
  41               4.76524064E-01   6.38847583E+02   8.38120645E-01   1.60451652E-01   8.91873236E-16   7.80088946E-04   5.31304958E-04   2.30072741E-11   4.80563197E-05   3.68292195E-05  
  42               5.88827181E-01   6.59063906E+02   8.38122728E-01   1.60451146E-01   2.86070521E-15   7.80086894E-04   5.31303252E-04   5.34558982E-11   4.49062084E-05   3.84040833E-05  
  43               7.27024703E-01   6.85684664E+02   8.38126247E-01   1.60450291E-01   1.22603698E-14   7.80083621E-04   5.31300307E-04   1.66519493E-10   3.95833820E-05   4.10651724E-05  
  44               8.96386858E-01   7.09364368E+02   8.38128254E-01   1.60449799E-01   4.01417545E-14   7.80082400E-04   5.31298442E-04   3.98436430E-10   3.65309950E-05   4.25911791E-05  
