# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   4.76304892E+02   8.38152940E-01   1.60443905E-01   1.45858576E-19   4.83364795E-08   7.79652410E-04   5.31220833E-04   6.08376975E-05   0.00000000E+00  
  2                3.23276471E-05   5.46956785E+02   8.38160272E-01   1.60442176E-01   1.03638868E-16   5.03963318E-06   7.74100674E-04   5.25946447E-04   6.08431939E-05   0.00000000E+00  
  3                5.62991041E-05   5.79854470E+02   8.38186290E-01   1.60435924E-01   3.01338200E-15   2.41308359E-05   7.54271822E-04   5.06477958E-04   6.08395575E-05   0.00000000E+00  
  4                8.35559639E-05   5.95035316E+02   8.38203702E-01   1.60431736E-01   6.48247752E-15   3.68943300E-05   7.41025867E-04   4.93467126E-04   6.08388018E-05   0.00000000E+00  
  5                1.14911858E-04   6.13742511E+02   8.38227761E-01   1.60425920E-01   1.48043497E-14   5.47418826E-05   7.22713735E-04   4.75378814E-04   6.08361703E-05   0.00000000E+00  
  6                1.51222521E-04   6.22907241E+02   8.38246915E-01   1.60421265E-01   2.64519497E-14   6.91013835E-05   7.08137803E-04   4.60903762E-04   6.08335022E-05   0.00000000E+00  
  7                1.93500727E-04   6.37933831E+02   8.38272281E-01   1.60415118E-01   5.08171307E-14   8.81175161E-05   6.88885929E-04   4.41759804E-04   6.08304914E-05   0.00000000E+00  
  8                2.42813603E-04   6.45208985E+02   8.38289978E-01   1.60410813E-01   8.22468528E-14   1.01492612E-04   6.75464241E-04   4.28353411E-04   6.08278498E-05   0.00000000E+00  
  9                3.00487900E-04   6.58851439E+02   8.38315553E-01   1.60404604E-01   1.44344018E-13   1.20775812E-04   6.56077881E-04   4.09006997E-04   6.08247416E-05   0.00000000E+00  
  10               3.68004809E-04   6.65390242E+02   8.38332574E-01   1.60400469E-01   2.21668110E-13   1.33680188E-04   6.43203531E-04   3.96108359E-04   6.08220944E-05   0.00000000E+00  
  11               4.47203212E-04   6.78472193E+02   8.38358495E-01   1.60394180E-01   3.70058622E-13   1.53268733E-04   6.23592958E-04   3.76494814E-04   6.08188969E-05   0.00000000E+00  
  12               5.40182648E-04   6.84816237E+02   8.38375423E-01   1.60390062E-01   5.52692693E-13   1.66138731E-04   6.10794665E-04   3.63649345E-04   6.08161820E-05   0.00000000E+00  
  13               6.49540683E-04   6.97770098E+02   8.38401764E-01   1.60383663E-01   8.97710157E-13   1.86095490E-04   5.90872388E-04   3.43692513E-04   6.08128810E-05   0.00000000E+00  
  14               7.78292574E-04   7.04243194E+02   8.38419092E-01   1.60379441E-01   1.32394475E-12   1.99293778E-04   5.77772206E-04   3.30528837E-04   6.08100499E-05   0.00000000E+00  
  15               9.30153409E-04   7.17380074E+02   8.38445891E-01   1.60372921E-01   2.12129695E-12   2.19638466E-04   5.57505376E-04   3.10201057E-04   6.08066392E-05   0.00000000E+00  
  16               1.10949981E-03   7.24231539E+02   8.38463977E-01   1.60368508E-01   3.12227002E-12   2.33433849E-04   5.43828409E-04   2.96445793E-04   6.08036588E-05   0.00000000E+00  
  17               1.32173012E-03   7.37777234E+02   8.38491270E-01   1.60361855E-01   4.98872588E-12   2.54195290E-04   5.23181352E-04   2.75712773E-04   6.08001380E-05   0.00000000E+00  
  18               1.57326317E-03   7.45254879E+02   8.38510295E-01   1.60357200E-01   7.38613697E-12   2.68734422E-04   5.08780061E-04   2.61216634E-04   6.07969950E-05   0.00000000E+00  
  19               1.87197185E-03   7.59470640E+02   8.38537792E-01   1.60350474E-01   1.18376935E-11   2.89710093E-04   4.87952666E-04   2.40276952E-04   6.07933879E-05   0.00000000E+00  
  20               2.22740082E-03   7.67777545E+02   8.38557452E-01   1.60345632E-01   1.76845011E-11   3.04796038E-04   4.73025681E-04   2.25235097E-04   6.07901008E-05   0.00000000E+00  
  21               2.65129833E-03   7.82800231E+02   8.38584365E-01   1.60338998E-01   2.84654187E-11   3.25443020E-04   4.52559594E-04   2.04628306E-04   6.07864576E-05   0.00000000E+00  
  22               3.15770771E-03   7.92035450E+02   8.38603800E-01   1.60334158E-01   4.28853905E-11   3.40466984E-04   4.37717133E-04   1.89647866E-04   6.07830774E-05   0.00000000E+00  
  23               3.76348270E-03   8.07950801E+02   8.38628924E-01   1.60327852E-01   6.92016329E-11   3.59968222E-04   4.18426697E-04   1.70187765E-04   6.07794597E-05   0.00000000E+00  
  24               4.48863579E-03   8.18166259E+02   8.38646965E-01   1.60323208E-01   1.04982669E-10   3.74240822E-04   4.04356621E-04   1.55956149E-04   6.07760350E-05   0.00000000E+00  
  25               5.35688825E-03   8.35006792E+02   8.38669636E-01   1.60317448E-01   1.69879546E-10   3.92008106E-04   3.86825066E-04   1.38228104E-04   6.07725099E-05   0.00000000E+00  
