# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   4.10623538E+02   8.38154339E-01   1.60443980E-01   2.11167503E-23   7.78006098E-04   9.06959557E-12   5.31279561E-04   6.07342005E-05   0.00000000E+00  
  2                2.76107185E-05   4.87768638E+02   8.38152807E-01   1.60443934E-01   3.22212027E-19   7.79702114E-04   2.25723362E-08   5.31253112E-04   6.08200056E-05   0.00000000E+00  
  3                4.64769005E-05   5.11677391E+02   8.38152940E-01   1.60443903E-01   3.10466059E-18   7.79618169E-04   9.43702957E-08   5.31175070E-04   6.08217903E-05   0.00000000E+00  
  4                6.77839948E-05   5.31800839E+02   8.38153267E-01   1.60443826E-01   1.80894878E-17   7.79387116E-04   3.01039016E-07   5.30955881E-04   6.08239436E-05   0.00000000E+00  
  5                9.21584678E-05   5.42148123E+02   8.38153419E-01   1.60443790E-01   4.00049458E-17   7.79267993E-04   4.13359396E-07   5.30839950E-04   6.08210805E-05   0.00000000E+00  
  6                1.20208617E-04   5.56038812E+02   8.38153981E-01   1.60443656E-01   1.18247072E-16   7.78848110E-04   8.04473698E-07   5.30433944E-04   6.08215221E-05   0.00000000E+00  
  7                1.52572032E-04   5.63372727E+02   8.38154125E-01   1.60443621E-01   1.94786983E-16   7.78732336E-04   9.18718758E-07   5.30318694E-04   6.08182247E-05   0.00000000E+00  
  8                1.89983704E-04   5.75336047E+02   8.38154999E-01   1.60443409E-01   4.62818629E-16   7.78068199E-04   1.54890134E-06   5.29670790E-04   6.08183892E-05   0.00000000E+00  
  9                2.33268010E-04   5.81549088E+02   8.38155146E-01   1.60443373E-01   6.82257169E-16   7.77950684E-04   1.66830338E-06   5.29552035E-04   6.08149523E-05   0.00000000E+00  
  10               2.83396653E-04   5.92643283E+02   8.38156453E-01   1.60443060E-01   1.44938911E-15   7.76964076E-04   2.61534176E-06   5.28584160E-04   6.08149719E-05   0.00000000E+00  
  11               3.41473742E-04   5.98246699E+02   8.38156532E-01   1.60443020E-01   2.00523935E-15   7.76860935E-04   2.72401949E-06   5.28477884E-04   6.08113181E-05   0.00000000E+00  
  12               4.08805766E-04   6.08869437E+02   8.38158364E-01   1.60442580E-01   3.96282219E-15   7.75475427E-04   4.06485314E-06   5.27113274E-04   6.08111677E-05   0.00000000E+00  
  13               4.86872507E-04   6.14226129E+02   8.38158486E-01   1.60442549E-01   5.30379274E-15   7.75376473E-04   4.17227181E-06   5.27009633E-04   6.08073166E-05   0.00000000E+00  
  14               5.77431132E-04   6.24720735E+02   8.38161032E-01   1.60441937E-01   1.00410151E-14   7.73449739E-04   6.04813189E-06   5.25106371E-04   6.08070495E-05   0.00000000E+00  
  15               6.82495897E-04   6.30102977E+02   8.38161032E-01   1.60441858E-01   1.32619931E-14   7.73307575E-04   6.20010702E-06   5.24958651E-04   6.08030307E-05   0.00000000E+00  
  16               8.04481109E-04   6.40752204E+02   8.38164624E-01   1.60440994E-01   2.45520907E-14   7.70589061E-04   8.85919011E-06   5.22267131E-04   6.08027032E-05   0.00000000E+00  
  17               9.46113163E-04   6.46407016E+02   8.38165014E-01   1.60440897E-01   3.24970762E-14   7.70287377E-04   9.17030747E-06   5.21959803E-04   6.07986229E-05   0.00000000E+00  
  18               1.11068703E-03   6.57404009E+02   8.38170175E-01   1.60439653E-01   5.95139355E-14   7.66380878E-04   1.30060102E-05   5.18084870E-04   6.07982393E-05   0.00000000E+00  
  19               1.30190601E-03   6.63497202E+02   8.38170821E-01   1.60439407E-01   7.95807729E-14   7.65732952E-04   1.36608434E-05   5.17432005E-04   6.07941178E-05   0.00000000E+00  
  20               1.52432666E-03   6.75012722E+02   8.38178387E-01   1.60437581E-01   1.45340568E-13   7.60005181E-04   1.93030739E-05   5.11741498E-04   6.07936516E-05   0.00000000E+00  
  21               1.78304156E-03   6.81747390E+02   8.38180206E-01   1.60437138E-01   1.98046034E-13   7.58622714E-04   2.06872370E-05   5.10355799E-04   6.07895894E-05   0.00000000E+00  
  22               2.08449239E-03   6.93968765E+02   8.38191553E-01   1.60434396E-01   3.63254851E-13   7.50033602E-04   2.91722910E-05   5.01810585E-04   6.07889725E-05   0.00000000E+00  
  23               2.43585061E-03   7.01527722E+02   8.38195227E-01   1.60433503E-01   5.07188937E-13   7.47247785E-04   3.19514508E-05   4.99024073E-04   6.07849703E-05   0.00000000E+00  
  24               2.84656469E-03   7.14655685E+02   8.38212463E-01   1.60429333E-01   9.39586147E-13   7.34200821E-04   4.48742756E-05   4.86026839E-04   6.07840498E-05   0.00000000E+00  
  25               3.32718581E-03   7.23292238E+02   8.38219608E-01   1.60427598E-01   1.35382164E-12   7.28786788E-04   5.02704877E-05   4.80614699E-04   6.07800764E-05   0.00000000E+00  
  26               3.89234196E-03   7.37579629E+02   8.38245719E-01   1.60421273E-01   2.54773463E-12   7.09021232E-04   6.98977192E-05   4.60899011E-04   6.07785988E-05   0.00000000E+00  
  27               4.55850208E-03   7.47501174E+02   8.38258429E-01   1.60418181E-01   3.79591398E-12   6.99390248E-04   7.95045964E-05   4.51267781E-04   6.07744629E-05   0.00000000E+00  
  28               5.34944924E-03   7.63123837E+02   8.38295936E-01   1.60409078E-01   7.25163217E-12   6.70987750E-04   1.07781073E-04   4.22897835E-04   6.07720668E-05   0.00000000E+00  
  29               6.29296394E-03   7.74519747E+02   8.38315840E-01   1.60404218E-01   1.11586354E-11   6.55885479E-04   1.22871996E-04   4.07779993E-04   6.07674883E-05   0.00000000E+00  
  30               7.42983916E-03   7.91692936E+02   8.38364749E-01   1.60392305E-01   2.16174208E-11   6.18797276E-04   1.59893983E-04   3.70677020E-04   6.07639629E-05   0.00000000E+00  
  31               8.80751372E-03   8.04729618E+02   8.38391288E-01   1.60385810E-01   3.42091086E-11   5.98659485E-04   1.80064950E-04   3.50487223E-04   6.07587368E-05   0.00000000E+00  
  32               1.04928589E-02   8.23576703E+02   8.38446790E-01   1.60372197E-01   6.67767238E-11   5.56453904E-04   2.22313982E-04   3.08186563E-04   6.07542010E-05   0.00000000E+00  
  33               1.25643940E-02   8.38405065E+02   8.38476273E-01   1.60364783E-01   1.08065390E-10   5.33724479E-04   2.45145414E-04   2.85350879E-04   6.07483256E-05   0.00000000E+00  
  34               1.51270473E-02   8.59089314E+02   8.38530749E-01   1.60351079E-01   2.11556747E-10   4.91681672E-04   2.87357871E-04   2.43117743E-04   6.07431833E-05   0.00000000E+00  
  35               1.83051788E-02   8.75886392E+02   8.38559446E-01   1.60343742E-01   3.48536880E-10   4.69265101E-04   3.09949979E-04   2.20533905E-04   6.07368660E-05   0.00000000E+00  
  36               2.22563810E-02   8.98663407E+02   8.38609537E-01   1.60331510E-01   6.83487858E-10   4.31455046E-04   3.48041539E-04   1.82442981E-04   6.07316816E-05   0.00000000E+00  
  37               2.71715542E-02   9.17838810E+02   8.38636911E-01   1.60324805E-01   1.14979521E-09   4.10807096E-04   3.68928589E-04   1.61570213E-04   6.07252324E-05   0.00000000E+00  
