# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  1                1.00000000E-05   3.01234199E+02   8.38134026E-01   1.60449275E-01   1.73921218E-33   7.81799963E-04   5.31297111E-04   2.11783822E-21   4.53899526E-05   2.29785270E-05  
  2                2.13929875E-05   3.29512511E+02   8.38144567E-01   1.60446633E-01   2.09185063E-30   7.81772982E-04   5.31288364E-04   5.56349920E-19   5.35000402E-05   2.29781486E-05  
  3                3.62615913E-05   3.40652450E+02   8.38145066E-01   1.60446588E-01   2.17328764E-29   7.81523249E-04   5.31288214E-04   2.31506484E-18   5.37036292E-05   2.29781421E-05  
  4                5.45311301E-05   3.51307063E+02   8.38145873E-01   1.60446392E-01   1.83488505E-28   7.81522296E-04   5.31287566E-04   9.53342333E-18   5.43132498E-05   2.29781141E-05  
  5                7.69595637E-05   3.58592479E+02   8.38145736E-01   1.60446425E-01   7.05249051E-28   7.81522457E-04   5.31287676E-04   2.04507073E-17   5.42099833E-05   2.29781189E-05  
  6                1.04460795E-04   3.66884716E+02   8.38146165E-01   1.60446321E-01   3.16936152E-27   7.81521950E-04   5.31287331E-04   5.41784078E-17   5.45344688E-05   2.29781040E-05  
  7                1.38193445E-04   3.73003927E+02   8.38145968E-01   1.60446369E-01   8.92017474E-27   7.81522185E-04   5.31287489E-04   9.54855248E-17   5.43855627E-05   2.29781108E-05  
  8                1.79567881E-04   3.80581243E+02   8.38146314E-01   1.60446285E-01   3.18140380E-26   7.81521785E-04   5.31287212E-04   2.17379526E-16   5.46467888E-05   2.29780988E-05  
  9                2.30340886E-04   3.86440165E+02   8.38146154E-01   1.60446324E-01   8.00272936E-26   7.81522000E-04   5.31287340E-04   3.61378959E-16   5.45262084E-05   2.29781043E-05  
  10               2.92642367E-04   3.93830832E+02   8.38145908E-01   1.60446141E-01   2.54463701E-25   7.81521242E-04   5.31286735E-04   7.64677058E-16   5.47619131E-05   2.29780782E-05  
  11               3.69112089E-04   3.99644808E+02   8.38146374E-01   1.60446230E-01   5.98396156E-25   7.80855587E-04   5.31287029E-04   1.22400042E-15   5.46516150E-05   2.29780909E-05  
  12               4.62935248E-04   4.06968697E+02   8.38146632E-01   1.60446166E-01   1.74606463E-24   7.80856825E-04   5.31286819E-04   2.43789093E-15   5.48487725E-05   2.29780818E-05  
  13               5.77985415E-04   4.12743202E+02   8.38146448E-01   1.60446206E-01   3.85947544E-24   7.80860618E-04   5.31286950E-04   3.74400053E-15   5.47193806E-05   2.29780875E-05  
  14               7.18988333E-04   4.20056850E+02   8.38146607E-01   1.60446156E-01   1.04965479E-23   7.80907100E-04   5.31286785E-04   7.07197510E-15   5.48749118E-05   2.29780804E-05  
  15               8.91752210E-04   4.25817641E+02   8.38146315E-01   1.60446191E-01   2.19935464E-23   7.80907270E-04   5.31286901E-04   1.04368412E-14   5.47169956E-05   2.29780853E-05  
  16               1.10339832E-03   4.33388505E+02   8.38143827E-01   1.60445701E-01   5.81970244E-23   7.81298819E-04   5.31285279E-04   1.94062059E-14   5.48714126E-05   2.29780152E-05  
  17               1.36286458E-03   4.39254310E+02   8.38145803E-01   1.60445918E-01   1.17829872E-22   7.78556574E-04   5.31285996E-04   2.78287431E-14   5.46956774E-05   2.29780462E-05  
  18               1.68081520E-03   4.47233241E+02   8.38144532E-01   1.60445864E-01   3.09084538E-22   7.80048116E-04   5.31285819E-04   5.17536229E-14   5.48627640E-05   2.29780386E-05  
  19               2.06987978E-03   4.53189798E+02   8.38144264E-01   1.60445929E-01   6.03849619E-22   7.80048432E-04   5.31286034E-04   7.23870614E-14   5.46605853E-05   2.29780478E-05  
  20               2.54579548E-03   4.60929729E+02   8.38144356E-01   1.60445907E-01   1.44469282E-21   7.80048325E-04   5.31285959E-04   1.23636944E-13   5.47301765E-05   2.29780447E-05  
  21               3.12765397E-03   4.66911383E+02   8.38144034E-01   1.60445985E-01   2.71037027E-21   7.80048706E-04   5.31286218E-04   1.67098055E-13   5.44865518E-05   2.29780558E-05  
  22               3.83868734E-03   4.74823022E+02   8.38144090E-01   1.60445972E-01   6.26410134E-21   7.80048642E-04   5.31286174E-04   2.77369044E-13   5.45286080E-05   2.29780539E-05  
  23               4.70711476E-03   4.80854945E+02   8.38143712E-01   1.60446063E-01   1.13476676E-20   7.80049089E-04   5.31286476E-04   3.63853331E-13   5.42434136E-05   2.29780670E-05  
  24               5.76704363E-03   4.88843936E+02   8.38143709E-01   1.60446064E-01   2.51087640E-20   7.80049095E-04   5.31286478E-04   5.81446253E-13   5.42413536E-05   2.29780671E-05  
  25               7.05998022E-03   4.94943442E+02   8.38143274E-01   1.60446169E-01   4.41076202E-20   7.80049611E-04   5.31286827E-04   7.43022639E-13   5.39127952E-05   2.29780822E-05  
  26               8.63624904E-03   5.03144013E+02   8.38143239E-01   1.60446178E-01   9.50233719E-20   7.80049659E-04   5.31286856E-04   1.16149008E-12   5.38858214E-05   2.29780835E-05  
  27               1.05569013E-02   5.09409298E+02   8.38142760E-01   1.60446294E-01   1.63753287E-19   7.80050227E-04   5.31287239E-04   1.46176845E-12   5.35243978E-05   2.29781001E-05  
  28               1.28961576E-02   5.17940845E+02   8.38142711E-01   1.60446306E-01   3.47653890E-19   7.80050294E-04   5.31287278E-04   2.26098500E-12   5.34873701E-05   2.29781018E-05  
  29               1.57452921E-02   5.24717866E+02   8.38142254E-01   1.60446417E-01   6.07463756E-19   7.80050842E-04   5.31287644E-04   2.89338993E-12   5.31420639E-05   2.29781176E-05  
  30               1.92151147E-02   5.33926690E+02   8.38142252E-01   1.60446417E-01   1.30911437E-18   7.80050859E-04   5.31287644E-04   4.55635833E-12   5.31407164E-05   2.29781177E-05  
  31               2.34405425E-02   5.41402277E+02   8.38141847E-01   1.60446515E-01   2.34564760E-18   7.80051353E-04   5.31287968E-04   5.99251912E-12   5.28344818E-05   2.29781318E-05  
  32               2.85858608E-02   5.51625920E+02   8.38141944E-01   1.60446492E-01   5.24424420E-18   7.80051267E-04   5.31287886E-04   9.81337974E-12   5.29077308E-05   2.29781284E-05  
  33               3.48521231E-02   5.60239561E+02   8.38141665E-01   1.60446559E-01   9.91536701E-18   7.80051625E-04   5.31288105E-04   1.36414857E-11   5.26973863E-05   2.29781381E-05  
