# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   5.52798254E+02   8.38252254E-01   1.60420597E-01   3.10366726E-16   6.90050923E-05   7.03368764E-04   6.08426878E-05   0.00000000E+00   0.00000000E+00  
  2                1.76764639E-05   6.18093644E+02   8.38708831E-01   1.60310069E-01   3.64562711E-14   4.12626803E-04   3.57765414E-04   6.08020884E-05   0.00000000E+00   0.00000000E+00  
  3                3.16843702E-05   6.46783906E+02   8.38765925E-01   1.60295895E-01   1.81934119E-13   4.57976014E-04   3.14895150E-04   6.07964798E-05   0.00000000E+00   0.00000000E+00  
  4                4.94291855E-05   6.63414993E+02   8.38774081E-01   1.60293777E-01   4.06550095E-13   4.65028838E-04   3.08852532E-04   6.07952683E-05   0.00000000E+00   0.00000000E+00  
  5                7.06253540E-05   6.79258421E+02   8.38786333E-01   1.60290683E-01   8.63306080E-13   4.75012059E-04   2.99690278E-04   6.07937703E-05   0.00000000E+00   0.00000000E+00  
  6                9.56509022E-05   6.90062608E+02   8.38786306E-01   1.60290620E-01   1.36651239E-12   4.75386992E-04   2.99763951E-04   6.07933088E-05   0.00000000E+00   0.00000000E+00  
  7                1.25000672E-04   7.02412935E+02   8.38793398E-01   1.60288813E-01   2.34899123E-12   4.81191875E-04   2.94452995E-04   6.07922871E-05   0.00000000E+00   0.00000000E+00  
  8                1.59347420E-04   7.10994071E+02   8.38791742E-01   1.60289162E-01   3.28142829E-12   4.80195991E-04   2.95727480E-04   6.07919423E-05   0.00000000E+00   0.00000000E+00  
  9                1.99459445E-04   7.21881078E+02   8.38797149E-01   1.60287772E-01   5.14849674E-12   4.84632968E-04   2.91656758E-04   6.07910569E-05   0.00000000E+00   0.00000000E+00  
  10               2.46297831E-04   7.29519337E+02   8.38795265E-01   1.60288177E-01   6.80793191E-12   4.83416369E-04   2.93080516E-04   6.07906857E-05   0.00000000E+00   0.00000000E+00  
