# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   5.59815897E+02   8.38305567E-01   1.60408017E-01   5.64899591E-16   1.07300950E-04   6.62949379E-04   6.08382927E-05   0.00000000E+00   4.19562986E-04  
  2                1.24957627E-05   5.91608008E+02   8.38571341E-01   1.60343759E-01   6.38570239E-15   3.06271785E-04   4.61434411E-04   6.08146976E-05   0.00000000E+00   2.19246450E-04  
  3                1.67913870E-05   6.16112684E+02   8.38705705E-01   1.60310853E-01   3.25958888E-14   4.10084397E-04   3.60105158E-04   6.08024159E-05   0.00000000E+00   1.16612215E-04  
  4                2.29632860E-05   6.28561881E+02   8.38725184E-01   1.60305976E-01   6.52482951E-14   4.25860516E-04   3.45519474E-04   6.08003791E-05   0.00000000E+00   1.01408473E-04  
  5                3.09891606E-05   6.44430919E+02   8.38758792E-01   1.60297652E-01   1.58424180E-13   4.52419593E-04   3.20265997E-04   6.07971219E-05   0.00000000E+00   7.54575800E-05  
  6                4.11071505E-05   6.53181427E+02   8.38757321E-01   1.60297935E-01   2.38512974E-13   4.51789082E-04   3.21447045E-04   6.07969253E-05   0.00000000E+00   7.63502824E-05  
  7                5.36198063E-05   6.66621061E+02   8.38775783E-01   1.60293342E-01   4.72979890E-13   4.66463759E-04   3.07591178E-04   6.07950217E-05   0.00000000E+00   6.20403899E-05  
  8                6.89914946E-05   6.73869530E+02   8.38770750E-01   1.60294516E-01   6.39383641E-13   4.62949857E-04   3.11436362E-04   6.07950911E-05   0.00000000E+00   6.57105764E-05  
  9                8.77594844E-05   6.86365591E+02   8.38784480E-01   1.60291091E-01   1.15999453E-12   4.73862872E-04   3.01131060E-04   6.07935960E-05   0.00000000E+00   5.50529795E-05  
  10               1.10647348E-04   6.93059349E+02   8.38779136E-01   1.60292349E-01   1.50011203E-12   4.70037514E-04   3.05195138E-04   6.07936300E-05   0.00000000E+00   5.89889541E-05  
  11               1.38476966E-04   7.05228967E+02   8.38790607E-01   1.60289480E-01   2.59487926E-12   4.79149965E-04   2.96576606E-04   6.07923114E-05   0.00000000E+00   5.00696248E-05  
  12               1.72293432E-04   7.11641327E+02   8.38785257E-01   1.60290742E-01   3.26463590E-12   4.75280787E-04   3.00629775E-04   6.07922654E-05   0.00000000E+00   5.40223651E-05  
  13               2.13277168E-04   7.23624909E+02   8.38794959E-01   1.60288301E-01   5.44002293E-12   4.83004513E-04   2.93323285E-04   6.07910625E-05   0.00000000E+00   4.64488939E-05  
  14               2.62910039E-04   7.29841921E+02   8.38789515E-01   1.60289581E-01   6.69611486E-12   4.79046049E-04   2.97427283E-04   6.07909214E-05   0.00000000E+00   5.04725072E-05  
  15               3.22885497E-04   7.41749403E+02   8.38797869E-01   1.60287458E-01   1.08327741E-11   4.85734689E-04   2.91102058E-04   6.07897792E-05   0.00000000E+00   4.39035397E-05  
  16               3.95314122E-04   7.47868648E+02   8.38792362E-01   1.60288743E-01   1.31212123E-11   4.81731354E-04   2.95223822E-04   6.07895155E-05   0.00000000E+00   4.79593219E-05  
  17               4.82631627E-04   7.59818646E+02   8.38799723E-01   1.60286839E-01   2.07568697E-11   4.87689940E-04   2.89590255E-04   6.07883845E-05   0.00000000E+00   4.20980743E-05  
  18               5.87881714E-04   7.65921243E+02   8.38794161E-01   1.60288115E-01   2.48476337E-11   4.83671443E-04   2.93707398E-04   6.07879676E-05   0.00000000E+00   4.61599097E-05  
  19               7.14609524E-04   7.77990465E+02   8.38800684E-01   1.60286376E-01   3.86007500E-11   4.89065185E-04   2.88609246E-04   6.07868092E-05   0.00000000E+00   4.08464800E-05  
  20               8.67180803E-04   7.84139955E+02   8.38795028E-01   1.60287636E-01   4.58046743E-11   4.85034120E-04   2.92723878E-04   6.07862041E-05   0.00000000E+00   4.49140877E-05  
  21               1.05068522E-03   7.96409372E+02   8.38800816E-01   1.60286010E-01   7.01505398E-11   4.90007026E-04   2.88023378E-04   6.07849791E-05   0.00000000E+00   4.00082564E-05  
  22               1.27134913E-03   8.02654230E+02   8.38794821E-01   1.60287209E-01   8.26866844E-11   4.85961924E-04   2.92139937E-04   6.07841303E-05   0.00000000E+00   4.40845162E-05  
  23               1.53643977E-03   8.15191390E+02   8.38799486E-01   1.60285616E-01   1.25202081E-10   4.90620672E-04   2.87733873E-04   6.07827861E-05   0.00000000E+00   3.94821526E-05  
  24               1.85489939E-03   8.21653212E+02   8.38794192E-01   1.60286890E-01   1.47285483E-10   4.86674984E-04   2.91744346E-04   6.07817094E-05   0.00000000E+00   4.34555824E-05  
  25               2.23726818E-03   8.34589202E+02   8.38799883E-01   1.60285454E-01   2.21539238E-10   4.91168140E-04   2.87490976E-04   6.07802739E-05   0.00000000E+00   3.90108575E-05  
  26               2.69638901E-03   8.41367277E+02   8.38794823E-01   1.60286672E-01   2.60909337E-10   4.87395560E-04   2.91324112E-04   6.07788773E-05   0.00000000E+00   4.28082305E-05  
  27               3.24743041E-03   8.54872041E+02   8.38800503E-01   1.60285240E-01   3.91918586E-10   4.91870567E-04   2.87078257E-04   6.07772782E-05   0.00000000E+00   3.83749857E-05  
  28               3.90908375E-03   8.62189878E+02   8.38795969E-01   1.60286329E-01   4.65317332E-10   4.88496946E-04   2.90513396E-04   6.07755090E-05   0.00000000E+00   4.17712595E-05  
  29               4.70318079E-03   8.76387735E+02   8.38801666E-01   1.60284894E-01   6.99776646E-10   4.92975700E-04   2.86254144E-04   6.07737232E-05   0.00000000E+00   3.73285980E-05  
  30               5.65643212E-03   8.84290954E+02   8.38797644E-01   1.60285857E-01   8.37318092E-10   4.89989939E-04   2.89302046E-04   6.07715314E-05   0.00000000E+00   4.03349426E-05  
  31               6.80023495E-03   8.99353856E+02   8.38803428E-01   1.60284402E-01   1.26513460E-09   4.94526961E-04   2.84975900E-04   6.07695422E-05   0.00000000E+00   3.58291941E-05  
  32               8.17349436E-03   9.08143474E+02   8.38800242E-01   1.60285161E-01   1.53745639E-09   4.92176835E-04   2.87393262E-04   6.07668946E-05   0.00000000E+00   3.81982564E-05  
  33               9.82132203E-03   9.24276634E+02   8.38806114E-01   1.60283685E-01   2.34177423E-09   4.96773938E-04   2.82998273E-04   6.07647004E-05   0.00000000E+00   3.36282459E-05  
  34               1.18003953E-02   9.34150654E+02   8.38803847E-01   1.60284218E-01   2.89857489E-09   4.95122981E-04   2.84721850E-04   6.07615778E-05   0.00000000E+00   3.52965111E-05  
  35               1.41780610E-02   9.51751581E+02   8.38809905E-01   1.60282698E-01   4.48521004E-09   4.99855098E-04   2.80184291E-04   6.07592122E-05   0.00000000E+00   3.05879713E-05  
  36               1.70382674E-02   9.63117901E+02   8.38808737E-01   1.60282962E-01   5.69710139E-09   4.99040825E-04   2.81078179E-04   6.07556390E-05   1.10269858E-15   3.14180496E-05  
  37               2.04771496E-02   9.82378039E+02   8.38814682E-01   1.60281471E-01   8.95071827E-09   5.03679356E-04   2.76621808E-04   6.07531272E-05   2.43895868E-15   2.67998536E-05  
  38               2.46136256E-02   9.95428317E+02   8.38814430E-01   1.60281510E-01   1.16618959E-08   5.03562066E-04   2.76821793E-04   6.07491327E-05   6.55226978E-15   2.69313029E-05  
  39               2.95839001E-02   1.01686993E+03   8.38820218E-01   1.60280059E-01   1.87391904E-08   5.08075356E-04   2.72477201E-04   6.07465840E-05   1.45833246E-14   2.24355797E-05  
  40               3.55552149E-02   1.03221479E+03   8.38820909E-01   1.60279867E-01   2.52714038E-08   5.08675688E-04   2.71962132E-04   6.07423279E-05   4.44467963E-14   2.18478767E-05  
  41               4.27114391E-02   1.05624211E+03   8.38826220E-01   1.60278531E-01   4.15821182E-08   5.12824335E-04   2.67964276E-04   6.07398711E-05   9.91896645E-14   1.77143194E-05  
  42               5.12732171E-02   1.07443869E+03   8.38827594E-01   1.60278168E-01   5.82988262E-08   5.13950108E-04   2.66922431E-04   6.07355830E-05   3.47674459E-13   1.65996725E-05  
  43               6.14760140E-02   1.10196343E+03   8.38832279E-01   1.60276979E-01   9.92430513E-08   5.17633107E-04   2.63371587E-04   6.07335194E-05   7.92651407E-13   1.29297201E-05  
  44               7.35898546E-02   1.12371595E+03   8.38833955E-01   1.60276533E-01   1.45253614E-07   5.19008815E-04   2.62074183E-04   6.07295377E-05   3.23262201E-12   1.15637209E-05  
  45               8.78988887E-02   1.15508345E+03   8.38837554E-01   1.60275587E-01   2.54116502E-07   5.21911683E-04   2.59280445E-04   6.07280262E-05   1.25186281E-11   8.67201034E-06  
  46               1.04747632E-01   1.18108555E+03   8.38839055E-01   1.60275154E-01   3.88249542E-07   5.23220365E-04   2.58040837E-04   6.07246600E-05   3.49790769E-11   7.37172269E-06  
  47               1.24484700E-01   1.21725899E+03   8.38841385E-01   1.60274452E-01   7.00027247E-07   5.25304998E-04   2.56045441E-04   6.07239125E-05   1.43959992E-10   5.29661420E-06  
  48               1.47483656E-01   1.24817673E+03   8.38842213E-01   1.60274083E-01   1.11135165E-06   5.26322755E-04   2.55091412E-04   6.07213455E-05   4.36835179E-10   4.28595030E-06  
