# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  1                1.00000000E-05   6.12303305E+02   8.38767783E-01   1.60295631E-01   3.23385621E-14   4.57436016E-04   3.13309531E-04   6.07972134E-05   6.91387762E-05   0.00000000E+00  
  2                3.04493249E-05   6.52474090E+02   8.38764183E-01   1.60296217E-01   1.88353273E-13   4.56671924E-04   3.16315444E-04   6.07966699E-05   7.09829680E-05   0.00000000E+00  
  3                5.40409531E-05   6.57258600E+02   8.38764504E-01   1.60295937E-01   4.48548357E-13   4.58258893E-04   3.16268663E-04   6.07959074E-05   7.01278330E-05   0.00000000E+00  
  4                8.20442207E-05   6.79516433E+02   8.38742000E-01   1.60301344E-01   6.10259386E-13   4.41599189E-04   3.33335428E-04   6.07971344E-05   8.69961013E-05   0.00000000E+00  
  5                1.15738892E-04   6.81122711E+02   8.38750150E-01   1.60299271E-01   1.13832901E-12   4.48347225E-04   3.27257439E-04   6.07958011E-05   8.05459428E-05   0.00000000E+00  
  6                1.56929433E-04   7.00111064E+02   8.38733790E-01   1.60303206E-01   1.44454053E-12   4.36193622E-04   3.39652761E-04   6.07964160E-05   9.28233565E-05   0.00000000E+00  
  7                2.07366467E-04   7.01449758E+02   8.38743446E-01   1.60300787E-01   2.48102761E-12   4.43919055E-04   3.32407570E-04   6.07949205E-05   8.52981065E-05   0.00000000E+00  
  8                2.69561982E-04   7.19190989E+02   8.38730154E-01   1.60303980E-01   3.09347257E-12   4.34044655E-04   3.42469696E-04   6.07951246E-05   9.52669553E-05   0.00000000E+00  
  9                3.46191445E-04   7.20751488E+02   8.38739809E-01   1.60301567E-01   5.07684907E-12   4.41695236E-04   3.35205226E-04   6.07935382E-05   8.77663836E-05   0.00000000E+00  
  10               4.40940403E-04   7.37875027E+02   8.38728120E-01   1.60304369E-01   6.28160949E-12   4.33017287E-04   3.44039808E-04   6.07934019E-05   9.65214979E-05   0.00000000E+00  
  11               5.57878002E-04   7.39730639E+02   8.38737128E-01   1.60302111E-01   9.98711442E-12   4.40143537E-04   3.37239995E-04   6.07917270E-05   8.95126784E-05   0.00000000E+00  
  12               7.02463236E-04   7.56568071E+02   8.38726263E-01   1.60304705E-01   1.22971828E-11   4.32089859E-04   3.45428313E-04   6.07912546E-05   9.76313275E-05   0.00000000E+00  
  13               8.80905277E-04   7.58730192E+02   8.38734531E-01   1.60302615E-01   1.91107163E-11   4.38651646E-04   3.39152124E-04   6.07894439E-05   9.11639612E-05   0.00000000E+00  
  14               1.10146137E-03   7.75543595E+02   8.38724153E-01   1.60305075E-01   2.34743324E-11   4.30987628E-04   3.46934774E-04   6.07885911E-05   9.88838773E-05   0.00000000E+00  
  15               1.37369927E-03   7.78036959E+02   8.38731748E-01   1.60303125E-01   3.58704274E-11   4.37069582E-04   3.41109316E-04   6.07865748E-05   9.28792691E-05   0.00000000E+00  
  16               1.71002481E-03   7.94988036E+02   8.38721602E-01   1.60305499E-01   4.39930818E-11   4.29629917E-04   3.48655093E-04   6.07852707E-05   1.00367693E-04   0.00000000E+00  
  17               2.12489276E-03   7.97800634E+02   8.38728448E-01   1.60303690E-01   6.62294185E-11   4.35216504E-04   3.43302156E-04   6.07829718E-05   9.48450868E-05   0.00000000E+00  
  18               2.63678954E-03   8.14938415E+02   8.38718100E-01   1.60306018E-01   8.10055114E-11   4.27795068E-04   3.50818340E-04   6.07811155E-05   1.02309280E-04   0.00000000E+00  
  19               3.26726198E-03   8.18025616E+02   8.38723675E-01   1.60304325E-01   1.20147936E-10   4.32811892E-04   3.46014860E-04   6.07784234E-05   9.73454874E-05   0.00000000E+00  
  20               4.04367055E-03   8.35361556E+02   8.38712884E-01   1.60306681E-01   1.46383523E-10   4.25248883E-04   3.53661822E-04   6.07758994E-05   1.04946338E-04   0.00000000E+00  
  21               4.99788115E-03   8.38703517E+02   8.38718003E-01   1.60305240E-01   2.13791750E-10   4.29638001E-04   3.49468787E-04   6.07727377E-05   1.00601701E-04   0.00000000E+00  
  22               6.17016166E-03   8.56196982E+02   8.38707536E-01   1.60307768E-01   2.59150090E-10   4.21793707E-04   3.57388425E-04   6.07694201E-05   1.08480129E-04   0.00000000E+00  
  23               7.60731259E-03   8.59771687E+02   8.38712274E-01   1.60306578E-01   3.72742938E-10   4.25524969E-04   3.53837687E-04   6.07656286E-05   1.04786401E-04   0.00000000E+00  
  24               9.36802712E-03   8.77433170E+02   8.38701272E-01   1.60309236E-01   4.48953278E-10   4.17270538E-04   3.62158344E-04   6.07612738E-05   1.13071782E-04   0.00000000E+00  
  25               1.15203436E-02   8.81153033E+02   8.38705112E-01   1.60308266E-01   6.35771833E-10   4.20310710E-04   3.59283095E-04   6.07566383E-05   1.10063414E-04   0.00000000E+00  
  26               1.41496099E-02   8.98979310E+02   8.38693537E-01   1.60311066E-01   7.61328536E-10   4.11617881E-04   3.68034205E-04   6.07509797E-05   1.18784697E-04   0.00000000E+00  
  27               1.73554777E-02   9.02938771E+02   8.38696729E-01   1.60310255E-01   1.06539503E-09   4.14159049E-04   3.65645131E-04   6.07452632E-05   1.16270724E-04   0.00000000E+00  
  28               2.12631082E-02   9.21067212E+02   8.38684838E-01   1.60313132E-01   1.27246198E-09   4.05225214E-04   3.74632233E-04   6.07379834E-05   1.25231058E-04   0.00000000E+00  
  29               2.60206745E-02   9.25347368E+02   8.38687857E-01   1.60312364E-01   1.77080849E-09   4.07629813E-04   3.72370958E-04   6.07309264E-05   1.22849837E-04   0.00000000E+00  
