# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                9.99999998E-06   2.97914830E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.33653043E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  2                7.01880269E-05   2.85301172E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.22510228E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  3                1.44675513E-04   3.18020308E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.49010527E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  4                2.36857274E-04   3.08571630E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.16113132E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  5                3.50916774E-04   3.39174528E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.33820338E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  6                4.92006185E-04   3.33615841E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.60991396E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  7                6.66474393E-04   3.52088711E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.92784333E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  8                8.82113400E-04   3.60681146E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.78033162E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  9                1.14854274E-03   3.75983298E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.59549247E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  10               1.47747678E-03   3.84797991E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.39431246E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  11               1.88337705E-03   3.98434305E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.19948446E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  12               2.38389275E-03   4.08578011E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.03673499E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  13               3.00026037E-03   4.20825434E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.56734574E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  14               3.75860924E-03   4.32293602E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.01744922E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  15               4.69055905E-03   4.43730290E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.34923262E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  16               5.83355020E-03   4.56609758E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.47487844E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  17               7.23292913E-03   4.66956294E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.05706400E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  18               8.94361463E-03   4.81632418E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.29070707E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  19               1.10294317E-02   4.91911093E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.43672213E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  20               1.35644032E-02   5.09205251E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.18898318E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  21               1.66376314E-02   5.20525496E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.52115625E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  22               2.03554988E-02   5.40825966E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.42346617E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  23               2.48447201E-02   5.51897890E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.45369537E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  24               3.02520871E-02   5.72827359E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.45683339E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  25               3.67552438E-02   5.83769906E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.60395044E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  26               4.45771704E-02   6.05602934E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.74428497E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  27               5.39946978E-02   6.17008969E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.87083523E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  28               6.53212462E-02   6.40361289E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.00414942E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  29               7.89584707E-02   6.52780442E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.15398157E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  30               9.54397189E-02   6.78396242E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.34782496E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  31               1.15452569E-01   6.92644204E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.59644763E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  32               1.39814168E-01   7.21543611E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.16896188E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  33               1.69646731E-01   7.38861173E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.84297188E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  34               2.06489618E-01   7.73035325E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.67618078E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  35               2.52490267E-01   7.96112396E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.09969526E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  36               3.10347657E-01   8.39689160E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.70537007E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  37               3.83084245E-01   8.73686787E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.78530551E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  38               4.74025586E-01   9.34385291E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.91085727E-19   8.54684714E-10   2.30012800E-05   1.92879205E-18   4.22443195E-06  
  39               5.87499420E-01   9.95155469E+01   8.38832061E-01   1.60608799E-01   5.31825345E-04   2.17227640E-18   3.18583369E-09   2.30012795E-05   6.81405628E-17   4.22443185E-06  
  40               7.28314942E-01   1.06727795E+02   8.38831916E-01   1.60608771E-01   5.31825253E-04   7.25250338E-17   2.56988781E-08   2.30012755E-05   1.92695363E-15   4.22443112E-06  
  41               9.01694262E-01   1.14270195E+02   8.38831142E-01   1.60608623E-01   5.31824763E-04   2.03457535E-15   1.99448917E-07   2.30012543E-05   3.06763784E-14   4.22442722E-06  
  42               1.11027349E+00   1.22425921E+02   8.38828393E-01   1.60608097E-01   5.31823020E-04   3.29978021E-14   1.12430925E-06   2.30011789E-05   2.53415223E-13   4.22441338E-06  
  43               1.34417427E+00   1.30164755E+02   8.38816745E-01   1.60605866E-01   5.31815635E-04   2.87491703E-13   4.41292610E-06   2.30008595E-05   9.98761838E-13   4.22435472E-06  
  44               1.55952636E+00   1.36764518E+02   8.38805728E-01   1.60603757E-01   5.31808650E-04   1.28926793E-12   1.82973962E-05   2.30005574E-05   2.80375551E-12   4.22429924E-06  
  45               1.73548365E+00   1.41462369E+02   8.38774435E-01   1.60597765E-01   5.31788810E-04   4.10350510E-12   3.14520061E-05   2.29996993E-05   1.11134442E-11   4.22414164E-06  
  46               1.87587914E+00   1.45236996E+02   8.38752165E-01   1.60593502E-01   5.31774691E-04   1.52266370E-11   6.87469682E-05   2.29990887E-05   1.03662388E-11   4.22402949E-06  
  47               1.98859601E+00   1.47870766E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   2.56339640E-11   9.52948375E-05   2.29984781E-05   4.43686319E-11   4.22391734E-06  
  48               2.09792904E+00   1.50618778E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   7.00359651E-11   1.21819128E-04   2.29984781E-05   3.58361381E-11   4.22391734E-06  
  49               2.21703243E+00   1.53193319E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   1.06129028E-10   1.21819128E-04   2.29984781E-05   2.75919333E-10   4.22391734E-06  
  50               2.36440158E+00   1.56586702E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   3.82271916E-10   1.21819128E-04   2.29984781E-05   2.40083194E-10   4.22391734E-06  
  51               2.54672931E+00   1.60249396E+02   8.38729895E-01   1.60589237E-01   5.31760571E-04   6.23039630E-10   1.21819128E-04   2.29984780E-05   7.35129459E-10   4.22391734E-06  
  52               2.77229909E+00   1.64872541E+02   8.38729893E-01   1.60589237E-01   5.31760570E-04   1.36018837E-09   1.21819128E-04   2.29984780E-05   2.16858963E-09   4.22391733E-06  
  53               3.05136932E+00   1.69898933E+02   8.38729887E-01   1.60589236E-01   5.31760566E-04   3.53571405E-09   1.21819127E-04   2.29984778E-05   7.44904993E-09   4.22391730E-06  
  54               3.39665601E+00   1.76007968E+02   8.38729865E-01   1.60589232E-01   5.31760552E-04   1.10091539E-08   1.21819124E-04   2.29984772E-05   2.61957990E-08   4.22391718E-06  
  55               3.82394849E+00   1.82649107E+02   8.38729791E-01   1.60589217E-01   5.31760505E-04   3.72874960E-08   1.21819113E-04   2.29984752E-05   8.86763025E-08   4.22391681E-06  
  56               4.35287098E+00   1.90466606E+02   8.38729534E-01   1.60589168E-01   5.31760342E-04   1.26248568E-07   1.21819075E-04   2.29984681E-05   3.06187677E-07   4.22391552E-06  
  57               4.99827408E+00   1.98828161E+02   8.38728718E-01   1.60589012E-01   5.31759825E-04   4.33337210E-07   1.21818957E-04   2.29984458E-05   9.71254385E-07   4.22391141E-06  
  58               5.77040094E+00   2.08124272E+02   8.38726199E-01   1.60588530E-01   5.31758228E-04   1.40735337E-06   1.21818591E-04   2.29983767E-05   3.00123748E-06   4.22389872E-06  
  59               6.68021760E+00   2.17730062E+02   8.38719021E-01   1.60587156E-01   5.31753677E-04   4.41628266E-06   1.21817549E-04   2.29981799E-05   8.54957680E-06   4.22386258E-06  
