# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(l)           Ar              
  1                1.00000000E-05   2.32463126E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   6.81358648E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  2                3.07005328E-04   1.75693796E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   8.48998853E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  3                6.71481903E-04   2.08319400E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.50293058E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  4                1.11873869E-03   2.10421258E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.17865809E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  5                1.66708914E-03   2.33468610E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   9.46733194E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  6                2.33894285E-03   2.33466546E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   8.74588688E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  7                3.16080734E-03   2.53974109E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.61334331E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  8                4.16512327E-03   2.53702658E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.16303014E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  9                5.39035131E-03   2.73452333E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.63433767E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  10               6.88157829E-03   2.73501042E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.63955907E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  11               8.69414704E-03   2.93387229E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   8.30045116E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  12               1.08918052E-02   2.94587619E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.09078350E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  13               1.35475008E-02   3.14830365E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   6.16062166E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  14               1.67488415E-02   3.17248650E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   6.93078460E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  15               2.06002899E-02   3.38472826E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   7.57846651E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  16               2.52258385E-02   3.42363107E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   6.75606051E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  17               3.07681855E-02   3.64611354E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   7.19933461E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  18               3.74008062E-02   3.70730514E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   7.60392695E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  19               4.53414441E-02   3.95481557E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   7.98860961E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  20               5.48577846E-02   4.05488664E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   8.25639502E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  21               6.62515686E-02   4.35149778E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   8.65620759E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  22               7.99118072E-02   4.51270689E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   9.09532416E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  23               9.63535425E-02   4.84878251E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   9.61166679E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  24               1.16233352E-01   5.03508641E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.13306896E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
