# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   9.79821810E+02   8.38847655E-01   3.77302562E-07   1.60272506E-01   5.30458964E-04   2.50842488E-04   6.46220766E-12   6.07894117E-05   5.48222976E-10  
  2                2.03190272E-05   1.15693147E+03   8.38824677E-01   1.73453289E-05   1.60269943E-01   5.30569417E-04   2.52139572E-04   6.07473911E-08   6.07884452E-05   5.51364716E-07  
  3                3.01312474E-05   1.21049789E+03   8.38772464E-01   3.97739577E-05   1.60263240E-01   5.30562922E-04   2.59005016E-04   4.40826085E-07   6.07859004E-05   2.36527358E-06  
  4                4.01740432E-05   1.26085104E+03   8.38708314E-01   8.36135300E-05   1.60258810E-01   5.30553985E-04   2.80340983E-04   2.92336148E-06   6.07842192E-05   1.53633059E-05  
  5                5.05509489E-05   1.28770418E+03   8.38619399E-01   1.16307601E-04   1.60246642E-01   5.30517202E-04   2.89504462E-04   8.94225364E-06   6.07796015E-05   1.53621314E-05  
  6                6.09656001E-05   1.32480153E+03   8.38476567E-01   1.90186459E-04   1.60233922E-01   5.30469825E-04   3.29819014E-04   3.53575972E-05   6.07747762E-05   5.55581827E-05  
  7                7.05916026E-05   1.34484731E+03   8.38357927E-01   2.39312121E-04   1.60224925E-01   5.30428961E-04   3.77580254E-04   6.67872771E-05   6.07713623E-05   5.55550366E-05  
  8                8.03217026E-05   1.37411964E+03   8.38261906E-01   3.43827341E-04   1.60216493E-01   5.30408377E-04   3.77331746E-04   6.67832323E-05   6.07681635E-05   5.55520800E-05  
  9                9.13296219E-05   1.38879453E+03   8.38213288E-01   3.96739441E-04   1.60212229E-01   5.30397640E-04   3.77222834E-04   6.67810058E-05   6.07665444E-05   5.55505746E-05  
  10               1.03811053E-04   1.41658130E+03   8.38077338E-01   5.44701401E-04   1.60200304E-01   5.30364092E-04   3.76965437E-04   6.67754488E-05   6.07620204E-05   5.55464009E-05  
  11               1.17974741E-04   1.43067722E+03   8.38011395E-01   6.16461427E-04   1.60194527E-01   5.30347752E-04   3.76856873E-04   6.67725259E-05   6.07598269E-05   5.55443653E-05  
  12               1.34057528E-04   1.45828792E+03   8.37818259E-01   8.26642846E-04   1.60177602E-01   5.30296806E-04   3.76578935E-04   6.67648074E-05   6.07534061E-05   5.55384501E-05  
