# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   8.82912028E+02   8.38849492E-01   1.60272773E-01   1.89992313E-08   5.30305371E-04   2.50607247E-04   6.07894918E-05   5.28825485E-15   2.18830291E-12  
  2                3.26643593E-04   1.02380605E+03   8.38849001E-01   1.60272748E-01   2.13120125E-07   5.30499473E-04   2.50826701E-04   6.07890395E-05   3.17226306E-12   1.44387428E-10  
  3                6.43142405E-04   1.09147798E+03   8.38848304E-01   1.60272689E-01   7.68182881E-07   5.30546253E-04   2.50905559E-04   6.07888619E-05   7.37336692E-11   3.03176381E-09  
  4                9.86711477E-04   1.12160667E+03   8.38847814E-01   1.60272645E-01   1.19938582E-06   5.30561273E-04   2.50929453E-04   6.07886503E-05   2.26616088E-10   3.03175622E-09  
  5                1.36808746E-03   1.16156443E+03   8.38846669E-01   1.60272546E-01   2.31878326E-06   5.30578504E-04   2.50987122E-04   6.07885021E-05   8.40316616E-10   1.41114569E-08  
  6                1.79623968E-03   1.17993448E+03   8.38845934E-01   1.60272466E-01   2.89982890E-06   5.30584668E-04   2.51002176E-04   6.07882807E-05   1.99097209E-09   1.41114168E-08  
  7                2.28014047E-03   1.21256909E+03   8.38844002E-01   1.60272308E-01   4.74915120E-06   5.30595098E-04   2.51197720E-04   6.07881156E-05   5.36713303E-09   8.93437485E-08  
  8                2.82869831E-03   1.22695806E+03   8.38842864E-01   1.60272167E-01   5.52931201E-06   5.30598499E-04   2.51208773E-04   6.07878587E-05   9.70407750E-09   8.93434318E-08  
  9                3.45153117E-03   1.25668643E+03   8.38839309E-01   1.60271889E-01   8.40575965E-06   5.30605506E-04   2.51940662E-04   6.07876446E-05   3.64339822E-08   8.93429309E-08  
  10               4.15914274E-03   1.26950085E+03   8.38836976E-01   1.60271549E-01   9.50412049E-06   5.30607150E-04   2.51942289E-04   6.07872932E-05   3.64321263E-08   2.51795919E-07  
  11               4.96107438E-03   1.29802258E+03   8.38830469E-01   1.60271138E-01   1.38648355E-05   5.30611572E-04   2.54340901E-04   6.07870225E-05   1.18393294E-07   2.51794100E-07  
  12               5.87013601E-03   1.31025549E+03   8.38824881E-01   1.60270224E-01   1.54695582E-05   5.30610749E-04   2.54338554E-04   6.07864321E-05   1.18386029E-07   2.51791711E-07  
  13               6.89458548E-03   1.33847857E+03   8.38814449E-01   1.60269656E-01   2.20191750E-05   5.30612959E-04   2.59125005E-04   6.07860955E-05   3.53656007E-07   1.18201366E-06  
  14               8.04582667E-03   1.35073313E+03   8.38799159E-01   1.60266969E-01   2.44674926E-05   5.30605968E-04   2.59113000E-04   6.07848133E-05   3.53627556E-07   1.18198847E-06  
  15               9.31287435E-03   1.37906220E+03   8.38773689E-01   1.60266099E-01   3.42683561E-05   5.30602679E-04   2.77010792E-04   6.07843679E-05   8.52567569E-07   1.18197411E-06  
  16               1.07069676E-02   1.39171335E+03   8.38765384E-01   1.60264885E-01   3.81777945E-05   5.30600523E-04   2.76981459E-04   6.07836401E-05   8.52500486E-07   1.18195884E-06  
  17               1.22645782E-02   1.42050445E+03   8.38744637E-01   1.60263205E-01   5.28421156E-05   5.30598290E-04   2.81704072E-04   6.07828826E-05   3.95385904E-06   5.24048359E-06  
  18               1.39826369E-02   1.43370623E+03   8.38734065E-01   1.60261767E-01   5.89531204E-05   5.30595245E-04   2.81672824E-04   6.07820556E-05   3.95350255E-06   5.24040308E-06  
  19               1.58678710E-02   1.46311319E+03   8.38686371E-01   1.60258117E-01   8.08094155E-05   5.30582663E-04   2.99744545E-04   6.07805598E-05   1.57416877E-05   5.24023414E-06  
  20               1.79286136E-02   1.47771677E+03   8.38652151E-01   1.60252572E-01   9.12418706E-05   5.30566110E-04   2.99698132E-04   6.07781779E-05   1.57396905E-05   5.24001269E-06  
  21               2.00064102E-02   1.50801760E+03   8.38546094E-01   1.60244724E-01   1.24737616E-04   5.30532261E-04   3.48783223E-04   6.07751451E-05   4.78807680E-05   1.85011243E-05  
  22               2.20347073E-02   1.52247737E+03   8.38523297E-01   1.60241910E-01   1.40926914E-04   5.30524825E-04   3.48731611E-04   6.07738623E-05   4.78756786E-05   1.85006549E-05  
  23               2.41912858E-02   1.55264024E+03   8.38403081E-01   1.60229012E-01   1.89942171E-04   5.30479597E-04   3.77266978E-04   6.07689403E-05   6.66895095E-05   1.84989522E-05  
  24               2.62604926E-02   1.56733183E+03   8.38380348E-01   1.60227025E-01   2.14672222E-04   5.30474846E-04   3.77211347E-04   6.07680104E-05   6.66827381E-05   5.55489548E-05  
  25               2.82891643E-02   1.59139413E+03   8.38330805E-01   1.60222693E-01   2.68572022E-04   5.30463461E-04   3.77112188E-04   6.07663146E-05   6.66740519E-05   5.55468706E-05  
  26               3.05737504E-02   1.60448148E+03   8.38304839E-01   1.60220424E-01   2.96818754E-04   5.30457377E-04   3.77062316E-04   6.07652601E-05   6.66669807E-05   5.55456022E-05  
  27               3.31408386E-02   1.63036011E+03   8.38235059E-01   1.60214324E-01   3.72734116E-04   5.30440008E-04   3.76951836E-04   6.07628682E-05   6.66562726E-05   5.55427806E-05  
  28               3.60161818E-02   1.64561730E+03   8.38194242E-01   1.60210757E-01   4.17135816E-04   5.30429683E-04   3.76891395E-04   6.07612988E-05   6.66473475E-05   5.55409384E-05  
  29               3.92267966E-02   1.67382566E+03   8.38092666E-01   1.60201881E-01   5.27637974E-04   5.30403011E-04   3.76765593E-04   6.07578338E-05   6.66339841E-05   5.55369998E-05  
  30               4.27962184E-02   1.69182556E+03   8.38025939E-01   1.60196051E-01   6.00220795E-04   5.30385258E-04   3.76690694E-04   6.07553910E-05   6.66225948E-05   5.55342188E-05  
  31               4.67440377E-02   1.72307112E+03   8.37871511E-01   1.60182559E-01   7.68202552E-04   5.30343219E-04   3.76545758E-04   6.07501660E-05   6.66055953E-05   5.55284902E-05  
  32               5.10699780E-02   1.74490074E+03   8.37754824E-01   1.60172365E-01   8.95091069E-04   5.30311112E-04   3.76451926E-04   6.07460715E-05   6.65906512E-05   5.55240019E-05  
  33               5.56937606E-02   1.78158134E+03   8.37491940E-01   1.60149405E-01   1.18094922E-03   5.30237755E-04   3.76314027E-04   6.07372880E-05   6.65677854E-05   5.55147447E-05  
  34               6.05599143E-02   1.80676948E+03   8.37289812E-01   1.60131755E-01   1.40084435E-03   5.30180955E-04   3.76170782E-04   6.07303946E-05   6.65484401E-05   5.55074939E-05  
  35               6.59485273E-02   1.83748980E+03   8.36990630E-01   1.60105633E-01   1.72632439E-03   5.30096348E-04   3.75978320E-04   6.07203195E-05   6.65239270E-05   5.54971007E-05  
  36               7.19129615E-02   1.86326565E+03   8.36712600E-01   1.60081362E-01   2.02878983E-03   5.30017417E-04   3.75813752E-04   6.07108678E-05   6.65001024E-05   5.54873589E-05  
  37               7.85067798E-02   1.89586325E+03   8.36283346E-01   1.60043892E-01   2.49577110E-03   5.29895067E-04   3.75579334E-04   6.06964517E-05   6.64688000E-05   5.54727818E-05  
  38               8.57783544E-02   1.92501890E+03   8.35849779E-01   1.60006050E-01   2.96743933E-03   5.29771162E-04   3.75359494E-04   6.06818305E-05   6.64369749E-05   5.54580448E-05  
  39               9.37587396E-02   1.96497397E+03   8.35099400E-01   1.59940562E-01   3.78376267E-03   5.29556131E-04   3.75005570E-04   6.06568004E-05   6.63908823E-05   5.54333313E-05  
  40               1.02457211E-01   2.00444887E+03   8.34206526E-01   1.59862649E-01   4.75509769E-03   5.29299757E-04   3.74613518E-04   6.06270195E-05   6.63387630E-05   5.54041883E-05  
  41               1.11951861E-01   2.04362361E+03   8.33152145E-01   1.59770652E-01   5.90212510E-03   5.28996583E-04   3.74176657E-04   6.05918568E-05   6.62798515E-05   5.53700309E-05  
  42               1.22331585E-01   2.08220232E+03   8.31933971E-01   1.59664377E-01   7.22732814E-03   5.28645960E-04   3.73694865E-04   6.05512290E-05   6.62140667E-05   5.53307927E-05  
  43               1.33695897E-01   2.12044369E+03   8.30532159E-01   1.59542092E-01   8.75229655E-03   5.28242187E-04   3.73160367E-04   6.05044752E-05   6.61405892E-05   5.52858601E-05  
  44               1.46153509E-01   2.15815356E+03   8.28947052E-01   1.59403829E-01   1.04766530E-02   5.27785374E-04   3.72572805E-04   6.04515971E-05   6.60594126E-05   5.52352428E-05  
  45               1.59823855E-01   2.19551103E+03   8.27163212E-01   1.59248244E-01   1.24171904E-02   5.27271081E-04   3.71925314E-04   6.03920750E-05   6.59698901E-05   5.51784621E-05  
  46               1.74837854E-01   2.23233050E+03   8.25188417E-01   1.59076016E-01   1.45654474E-02   5.26701561E-04   3.71219024E-04   6.03261525E-05   6.58722822E-05   5.51157519E-05  
  47               1.91338671E-01   2.26881887E+03   8.23007342E-01   1.58885808E-01   1.69380934E-02   5.26072402E-04   3.70446263E-04   6.02533078E-05   6.57659404E-05   5.50466350E-05  
  48               2.09482960E-01   2.30474924E+03   8.20637535E-01   1.58678948E-01   1.95139017E-02   5.25387998E-04   3.69610455E-04   6.01740244E-05   6.56514026E-05   5.49715713E-05  
  49               2.29387733E-01   2.34016967E+03   8.18074606E-01   1.58455889E-01   2.22922750E-02   5.24649131E-04   3.75535811E-04   6.00884738E-05   6.55288546E-05   5.48907148E-05  
  50               2.51236816E-01   2.37502552E+03   8.15349015E-01   1.58218226E-01   2.52572292E-02   5.23862549E-04   3.74575826E-04   5.99971937E-05   6.53989084E-05   5.48046121E-05  
  51               2.75288027E-01   2.40962599E+03   8.12430012E-01   1.57963706E-01   2.84325781E-02   5.23020059E-04   3.73537196E-04   5.98993095E-05   6.52604512E-05   5.47124567E-05  
  52               3.01757172E-01   2.44380919E+03   8.09344662E-01   1.57694690E-01   3.17888763E-02   5.22129470E-04   3.72426937E-04   5.97956744E-05   6.51144420E-05   5.46150642E-05  
