# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   1.08375240E+03   8.38841786E-01   1.60271874E-01   5.17175434E-06   5.30541012E-04   2.50992921E-04   3.14006407E-09   6.07891813E-05   6.58829006E-08  
  2                2.37149423E-04   1.23001682E+03   8.38804058E-01   1.60266654E-01   2.01648864E-05   5.30582200E-04   2.54239266E-04   1.29860188E-07   6.07870926E-05   5.65784289E-07  
  3                4.47519174E-04   1.31454777E+03   8.38743648E-01   1.60263027E-01   5.99128611E-05   5.30581761E-04   2.78518855E-04   1.77023026E-06   6.07856767E-05   4.98080237E-06  
  4                6.60523638E-04   1.33944399E+03   8.38707434E-01   1.60257814E-01   7.21737510E-05   5.30568705E-04   2.81356522E-04   3.65353744E-06   6.07836444E-05   4.98062627E-06  
  5                8.75338097E-04   1.39294954E+03   8.38586474E-01   1.60248402E-01   1.35825613E-04   5.30534905E-04   3.22185472E-04   3.03584280E-05   6.07800542E-05   1.61027445E-05  
  6                1.09421606E-03   1.40519851E+03   8.38530742E-01   1.60238515E-01   1.43818516E-04   5.30504415E-04   3.22130921E-04   3.03555285E-05   6.07762575E-05   1.61017119E-05  
  7                1.30972266E-03   1.45048319E+03   8.38357670E-01   1.60224979E-01   2.39458058E-04   5.30452092E-04   3.77406432E-04   6.67697985E-05   6.07711146E-05   5.55540300E-05  
  8                1.51296705E-03   1.45844845E+03   8.38351061E-01   1.60224403E-01   2.46644996E-04   5.30451590E-04   3.77381245E-04   6.67677115E-05   6.07708592E-05   5.55537139E-05  
  9                1.74275604E-03   1.49369589E+03   8.38250732E-01   1.60215616E-01   3.55819812E-04   5.30428330E-04   3.77174577E-04   6.67612463E-05   6.07675146E-05   5.55504590E-05  
  10               2.00259982E-03   1.50060207E+03   8.38246180E-01   1.60215222E-01   3.60766564E-04   5.30428077E-04   3.77158545E-04   6.67589745E-05   6.07673219E-05   5.55501854E-05  
  11               2.29660659E-03   1.53518110E+03   8.38113128E-01   1.60203577E-01   5.05542600E-04   5.30394514E-04   3.76945665E-04   6.67509273E-05   6.07628894E-05   5.55459013E-05  
  12               2.62890292E-03   1.54217852E+03   8.38107323E-01   1.60203073E-01   5.11851133E-04   5.30393781E-04   3.76931488E-04   6.67482691E-05   6.07626494E-05   5.55455621E-05  
  13               3.00424527E-03   1.57701338E+03   8.37929338E-01   1.60187504E-01   7.05508205E-04   5.30346648E-04   3.76705854E-04   6.67381114E-05   6.07567248E-05   5.55398698E-05  
  14               3.42714548E-03   1.58494755E+03   8.37916158E-01   1.60186356E-01   7.19835694E-04   5.30343779E-04   3.76686854E-04   6.67347637E-05   6.07562346E-05   5.55392709E-05  
  15               3.90229629E-03   1.62098263E+03   8.37671245E-01   1.60164941E-01   9.86293575E-04   5.30276890E-04   3.76442063E-04   6.67216072E-05   6.07480902E-05   5.55314931E-05  
  16               4.43292260E-03   1.63105609E+03   8.37634697E-01   1.60161750E-01   1.02603308E-03   5.30267362E-04   3.76406263E-04   6.67168984E-05   6.07468209E-05   5.55301377E-05  
  17               5.01941038E-03   1.66975316E+03   8.37275131E-01   1.60130323E-01   1.41716931E-03   5.30167070E-04   3.76141016E-04   6.66989310E-05   6.07348788E-05   5.55188153E-05  
  18               5.65552963E-03   1.68355603E+03   8.37175765E-01   1.60121645E-01   1.52524698E-03   5.30139571E-04   3.76066456E-04   6.66913998E-05   6.07315291E-05   5.55154979E-05  
  19               6.34982479E-03   1.71952924E+03   8.36724293E-01   1.60082202E-01   2.01633793E-03   5.30012010E-04   3.75805299E-04   6.66697696E-05   6.07165404E-05   5.55013532E-05  
  20               7.09853111E-03   1.73428877E+03   8.36572769E-01   1.60068972E-01   2.18118025E-03   5.29969364E-04   3.75712188E-04   6.66599336E-05   6.07114626E-05   5.54964108E-05  
  21               7.94315277E-03   1.76042378E+03   8.36186693E-01   1.60035257E-01   2.60120530E-03   5.29859685E-04   3.75485927E-04   6.66406263E-05   6.06986255E-05   5.54842529E-05  
  22               8.89618433E-03   1.77455201E+03   8.36023166E-01   1.60020985E-01   2.77910142E-03   5.29813420E-04   3.75398273E-04   6.66297009E-05   6.06931385E-05   5.54788880E-05  
  23               9.97162710E-03   1.80057534E+03   8.35567658E-01   1.59981216E-01   3.27465545E-03   5.29683495E-04   3.75159941E-04   6.66070869E-05   6.06779923E-05   5.54645513E-05  
  24               1.11841192E-02   1.81528753E+03   8.35365762E-01   1.59963598E-01   3.49428868E-03   5.29626091E-04   3.75062883E-04   6.65939488E-05   6.06712221E-05   5.54579463E-05  
  25               1.25504308E-02   1.84181695E+03   8.34816298E-01   1.59915636E-01   4.09204963E-03   5.29468897E-04   3.74802113E-04   6.65669965E-05   6.06529539E-05   5.54406714E-05  
  26               1.40880656E-02   1.85759698E+03   8.34553291E-01   1.59892689E-01   4.37816305E-03   5.29393811E-04   3.74686414E-04   6.65506818E-05   6.06441459E-05   5.54321205E-05  
  27               1.58171140E-02   1.88498449E+03   8.33880119E-01   1.59833940E-01   5.11049667E-03   5.29200785E-04   3.74392822E-04   6.65181750E-05   6.06217689E-05   5.54109896E-05  
  28               1.77583875E-02   1.90216537E+03   8.33527300E-01   1.59803159E-01   5.49431110E-03   5.29099741E-04   3.74248512E-04   6.64975014E-05   6.06099711E-05   5.53996060E-05  
