# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   3.76311719E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.28654774E-17   1.75834348E-07   2.30034364E-05   2.25331214E-39   0.00000000E+00  
  2                1.33346506E-04   4.79061552E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.10155370E-17   1.75834348E-07   2.30034364E-05   1.26723768E-41   0.00000000E+00  
  3                2.75670627E-04   5.35930849E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.08388465E-17   1.75834348E-07   2.30034364E-05   2.96510698E-42   0.00000000E+00  
  4                4.39908891E-04   5.79715604E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.12308821E-17   1.75834348E-07   2.30034364E-05   1.16438305E-42   0.00000000E+00  
  5                6.29406473E-04   6.13075558E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.11864426E-17   1.75834348E-07   2.30034364E-05   5.68799159E-43   0.00000000E+00  
  6                8.47954968E-04   6.45655140E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.11158062E-17   1.75834348E-07   2.30034364E-05   3.13383248E-43   0.00000000E+00  
  7                1.09996648E-03   6.72949298E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.10386401E-17   1.75834348E-07   2.30034364E-05   1.86235495E-43   0.00000000E+00  
  8                1.39042487E-03   7.04460287E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.09667778E-17   1.75834348E-07   2.30034364E-05   1.16553763E-43   0.00000000E+00  
  9                1.72441153E-03   7.31850460E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.09067907E-17   1.75834348E-07   2.30034364E-05   7.57773683E-44   0.00000000E+00  
  10               2.10512382E-03   7.65094826E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.08612191E-17   1.75834348E-07   2.30034364E-05   5.08470857E-44   0.00000000E+00  
  11               2.53587358E-03   7.96476181E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.48437901E-17   1.75834348E-07   2.30034364E-05   3.50401662E-44   0.00000000E+00  
  12               3.02061289E-03   8.35906213E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.45876033E-17   1.75834348E-07   2.30034364E-05   2.46962613E-44   0.00000000E+00  
  13               3.56391702E-03   8.80435833E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.17163640E-17   1.75834348E-07   2.30034364E-05   1.77405136E-44   0.00000000E+00  
  14               4.17533223E-03   9.25627885E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.15342415E-17   1.75834348E-07   2.30034364E-05   1.29252598E-44   0.00000000E+00  
  15               4.86562471E-03   9.71139944E+01   8.38831765E-01   1.60608946E-01   5.31825832E-04   5.13539733E-17   1.75834348E-07   2.30034364E-05   9.51796580E-45   0.00000000E+00  
  16               5.64723337E-03   1.01798405E+02   8.38831229E-01   1.60608843E-01   5.31825492E-04   5.13211995E-17   1.76567743E-07   2.30034217E-05   4.08816791E-44   5.62742250E-16  
  17               6.52677954E-03   1.06526713E+02   8.38829186E-01   1.60608452E-01   5.31824197E-04   6.20060609E-16   8.17873462E-07   2.30033657E-05   4.94085882E-41   5.24174613E-15  
  18               7.47565422E-03   1.11200994E+02   8.38823342E-01   1.60607333E-01   5.31820492E-04   5.89813391E-15   3.25825781E-06   2.30032054E-05   3.01723664E-38   3.21287872E-14  
  19               8.39820886E-03   1.15413331E+02   8.38799626E-01   1.60602792E-01   5.31805456E-04   3.83468966E-14   1.02471662E-05   2.30025550E-05   6.22723849E-36   2.96885344E-13  
  20               9.10025249E-03   1.18429691E+02   8.38799626E-01   1.60602792E-01   5.31805456E-04   3.35232241E-13   3.84899644E-05   2.30025550E-05   6.78124486E-34   0.00000000E+00  
  21               9.65848314E-03   1.20724635E+02   8.38729726E-01   1.60589409E-01   5.31761139E-04   3.36468203E-13   3.85643860E-05   2.30006382E-05   3.01094648E-33   1.35549396E-12  
