# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  1                1.00000000E-05   3.33436402E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   7.96596169E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   4.85059977E-41  
  2                1.55686899E-04   4.28434270E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.14847141E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   2.00120374E-43  
  3                3.27647541E-04   4.71203339E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   9.03697688E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   4.51836818E-44  
  4                5.30630990E-04   5.06062266E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.49871907E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   1.72270225E-44  
  5                7.70145515E-04   5.28721204E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.40390573E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   8.17805185E-45  
  6                1.05267026E-03   5.59871395E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.27716951E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   4.37734455E-45  
  7                1.38575450E-03   5.76741840E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.14311175E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   2.52593892E-45  
  8                1.77823805E-03   6.04805666E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.01914988E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   1.53396568E-45  
  9                2.24054655E-03   6.20952015E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   5.91707671E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   9.66245532E-46  
  10               2.78459407E-03   6.48076661E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   9.10921589E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   6.25563864E-46  
  11               3.42428954E-03   6.66112251E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   7.08217623E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   4.13670435E-46  
  12               4.17605565E-03   6.93990743E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.86142757E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   2.78139639E-46  
  13               5.05844292E-03   7.14504686E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.61484830E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   1.89566562E-46  
  14               6.08879617E-03   7.41254998E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.35965800E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   1.30837600E-46  
  15               7.28562791E-03   7.65073577E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   7.24096720E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   9.13821699E-47  
  16               8.67073814E-03   7.94582267E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   8.95060347E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   6.45183572E-47  
  17               1.02689848E-02   8.23205797E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   6.58186473E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   4.59981559E-47  
  18               1.21102143E-02   8.58444713E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   7.19007732E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   3.30743858E-47  
  19               1.42338057E-02   8.94496761E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   7.65482869E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   2.39416114E-47  
  20               1.66874614E-02   9.40509629E+01   8.38831889E-01   1.60608972E-01   5.31825919E-04   8.03793421E-18   2.57982862E-08   2.30040454E-05   0.00000000E+00   1.74186660E-47  
  21               1.95281607E-02   9.88200736E+01   8.38831835E-01   1.60608962E-01   5.31825885E-04   5.10342233E-18   2.58723375E-08   2.30040439E-05   3.43125506E-17   1.27927058E-47  
  22               2.28245611E-02   1.03803711E+02   8.38831534E-01   1.60608904E-01   5.31825694E-04   3.99882217E-17   9.06747341E-08   2.30040357E-05   4.97869329E-16   4.32077058E-45  
  23               2.66379366E-02   1.08975028E+02   8.38830224E-01   1.60608653E-01   5.31824864E-04   5.44364133E-16   4.51095781E-07   2.30039998E-05   5.67524746E-15   7.32879182E-42  
