# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  1                1.00000000E-05   1.40007374E+03   8.37493663E-01   1.40147840E-03   1.60152206E-01   5.30229460E-04   2.82437089E-04   1.45628099E-11   5.34012704E-06   9.78660678E-09  
  2                1.57676128E-05   1.24846676E+03   8.33797167E-01   5.32750631E-03   1.59826482E-01   5.29141940E-04   3.12311598E-04   1.35695700E-09   2.56653876E-05   9.88224164E-08  
  3                2.05057769E-05   1.62772264E+03   8.33899157E-01   5.14271259E-03   1.59834355E-01   5.29158454E-04   3.43658779E-04   1.35443727E-09   4.61415045E-05   9.81524003E-08  
  4                2.48820160E-05   1.39660429E+03   8.25583442E-01   1.41374308E-02   1.59109392E-01   5.26773808E-04   3.71474081E-04   7.23670919E-09   6.63239068E-05   3.23154719E-07  
  5                2.93984549E-05   1.71132547E+03   8.29281189E-01   1.01144605E-02   1.59432254E-01   5.27836915E-04   3.72987909E-04   5.90987356E-09   6.64581298E-05   2.38016365E-07  
  6                3.42358170E-05   1.48930676E+03   8.15806027E-01   2.47735317E-02   1.58256797E-01   5.23960773E-04   3.68634308E-04   2.53294240E-08   6.59677384E-05   6.86252782E-07  
  7                3.93985477E-05   1.78556339E+03   8.22488656E-01   1.75036802E-02   1.58839718E-01   5.25886197E-04   3.70670943E-04   1.96002168E-08   6.62103977E-05   4.90368998E-07  
  8                4.48489485E-05   1.56911107E+03   8.04654475E-01   3.69043224E-02   1.57284509E-01   5.20747912E-04   3.65550429E-04   6.00389514E-08   6.55616950E-05   1.17296235E-06  
  9                5.08380231E-05   1.83846227E+03   8.15950935E-01   2.46156729E-02   1.58269529E-01   5.24004900E-04   3.68613584E-04   4.10140447E-08   6.59719902E-05   7.73301599E-07  
  10               5.75767120E-05   1.61940990E+03   7.95297261E-01   4.70832144E-02   1.56468771E-01   5.18050553E-04   3.62978129E-04   1.04843670E-07   6.52208687E-05   1.65487524E-06  
  11               6.52662993E-05   1.87827075E+03   8.10465749E-01   3.05826302E-02   1.57791227E-01   5.22425290E-04   3.66978825E-04   6.52472072E-08   6.57717979E-05   1.04317387E-06  
  12               7.39657944E-05   1.66516976E+03   7.86886766E-01   5.62322265E-02   1.55735592E-01   5.15625714E-04   3.60629080E-04   1.60265297E-07   6.49143475E-05   2.14983234E-06  
  13               8.39129396E-05   1.91638247E+03   8.04577443E-01   3.69880581E-02   1.57277833E-01   5.20728772E-04   3.65275812E-04   9.80354187E-08   6.55568392E-05   1.36216623E-06  
  14               9.51893092E-05   1.70984899E+03   7.78021839E-01   6.58755547E-02   1.54962817E-01   5.13069409E-04   3.58114199E-04   2.35127008E-07   6.45911829E-05   2.72659445E-06  
  15               1.08092879E-04   1.95423211E+03   7.97984000E-01   4.41605064E-02   1.56703002E-01   5.18828421E-04   3.63389377E-04   1.43113951E-07   6.53161096E-05   1.75131443E-06  
  16               1.22728698E-04   1.75499594E+03   7.68331594E-01   7.64166573E-02   1.54118111E-01   5.10274694E-04   3.55308382E-04   3.37888787E-07   6.42378755E-05   3.41675782E-06  
  17               1.39477318E-04   1.99271526E+03   7.90355098E-01   5.24593123E-02   1.56037933E-01   5.16629002E-04   3.61204542E-04   2.06421191E-07   6.50375803E-05   2.23898523E-06  
  18               1.58466950E-04   1.80170280E+03   7.57391068E-01   8.83178173E-02   1.53164425E-01   5.07118967E-04   3.52062672E-04   4.82246550E-07   6.38389627E-05   4.26394347E-06  
