# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               OH              
  1                1.00000000E-05   1.53264992E+03   7.41437965E-03   8.32014309E-01   1.59674083E-01   5.28668525E-04   2.59302493E-04   5.70621528E-10   6.16128962E-07   7.63978111E-08  
  2                1.61568151E-05   1.20411680E+03   4.82859346E-05   8.38701714E-01   1.60250950E-01   5.30518975E-04   2.61582060E-04   7.34915948E-15   6.18353083E-07   1.28593119E-10  
  3                2.12296551E-05   1.76294816E+03   5.00793503E-02   7.92543576E-01   1.56228333E-01   5.17254538E-04   3.62179692E-04   7.00219692E-08   6.51231689E-05   1.43589795E-06  
  4                2.49887632E-05   1.39757547E+03   8.56704657E-04   8.37790770E-01   1.60175044E-01   5.30276627E-04   3.76465590E-04   7.18700674E-12   6.67681426E-05   7.89434021E-09  
  5                2.91301601E-05   1.84652646E+03   8.42184614E-02   7.61159764E-01   1.53492768E-01   5.08201614E-04   3.54161145E-04   2.47960315E-07   6.39821331E-05   2.97771395E-06  
  6                3.28087610E-05   1.57092734E+03   6.29724166E-03   8.32790514E-01   1.59737709E-01   5.28857092E-04   3.73108985E-04   6.56412942E-10   6.65851954E-05   1.05168750E-07  
  7                3.69725230E-05   1.89575195E+03   1.08037682E-01   7.39263086E-01   1.51584164E-01   5.01884373E-04   3.48186829E-04   4.65694378E-07   6.31859411E-05   4.29293626E-06  
  8                4.16411578E-05   1.62786559E+03   1.01953823E-02   8.29207326E-01   1.59425005E-01   5.27828049E-04   3.71843392E-04   2.00188973E-09   6.64542715E-05   2.01540610E-07  
  9                4.69661702E-05   1.93651500E+03   1.28094487E-01   7.20825155E-01   1.49977024E-01   4.96564708E-04   3.42900438E-04   7.28347317E-07   6.25153537E-05   5.58232522E-06  
  10               5.29847985E-05   1.67731036E+03   1.47321793E-02   8.25036907E-01   1.59061251E-01   5.26628312E-04   3.70608216E-04   4.73773047E-09   6.63019413E-05   3.34241967E-07  
  11               5.98699645E-05   1.97427774E+03   1.46740433E-01   7.03684221E-01   1.48482916E-01   4.91619042E-04   3.37747027E-04   1.05254244E-06   6.18918010E-05   6.94187289E-06  
  12               6.76788196E-05   1.72397676E+03   2.01392672E-02   8.20066378E-01   1.58627829E-01   5.25197056E-04   3.69250758E-04   9.91999013E-09   6.61204308E-05   5.16908604E-07  
  13               7.66239145E-05   2.01096958E+03   1.64913055E-01   6.86978427E-01   1.47026712E-01   4.86798733E-04   3.32481004E-04   1.45678363E-06   6.12839507E-05   8.42285526E-06  
  14               8.67844583E-05   1.76999524E+03   2.66916581E-02   8.14042947E-01   1.58102678E-01   5.23461559E-04   3.67658758E-04   1.94228848E-08   6.59005268E-05   7.69250144E-07  
  15               9.84290696E-05   2.04766666E+03   1.83283842E-01   6.70090487E-01   1.45554602E-01   4.81925666E-04   3.26897514E-04   1.96843097E-06   6.06693592E-05   1.00771590E-05  
  16               1.11662063E-04   1.81664968E+03   3.47524803E-02   8.06632812E-01   1.57456686E-01   5.21325590E-04   3.65712240E-04   3.66477986E-08   6.56300761E-05   1.12041848E-06  
  17               1.26827069E-04   2.08513653E+03   2.02482122E-01   6.52441878E-01   1.44016151E-01   4.76832876E-04   3.20772970E-04   2.62966618E-06   6.00269921E-05   1.19686423E-05  
  18               1.44056713E-04   1.86490941E+03   4.48239026E-02   7.97374343E-01   1.56649608E-01   5.18655979E-04   3.63255994E-04   6.79523591E-08   6.52922825E-05   1.61459715E-06  
  19               1.63792920E-04   2.12408471E+03   2.23242800E-01   6.33357024E-01   1.42352457E-01   4.71325364E-04   3.13812406E-04   3.50926153E-06   5.93322911E-05   1.41863482E-05  
  20               1.86198540E-04   1.91570988E+03   5.76425984E-02   7.85590334E-01   1.55622406E-01   5.15257308E-04   3.60063562E-04   1.25770768E-07   6.48625201E-05   2.32172239E-06  
  21               2.11845724E-04   2.16534223E+03   2.46585935E-01   6.11898223E-01   1.40481762E-01   4.65132442E-04   3.05567939E-04   4.72792078E-06   5.85511778E-05   1.68671608E-05  
  22               2.40938085E-04   1.97031622E+03   7.44287159E-02   7.70159128E-01   1.54277303E-01   5.10805868E-04   3.55755090E-04   2.36559042E-07   6.43000208E-05   3.36319306E-06  
  23               2.74222174E-04   2.21024058E+03   2.74278438E-01   5.86441225E-01   1.38262440E-01   4.57785209E-04   2.95221058E-04   6.52861384E-06   5.76246362E-05   2.02570512E-05  
  24               3.11925615E-04   2.03106478E+03   9.76022962E-02   7.48856028E-01   1.52420367E-01   5.04659588E-04   3.49563626E-04   4.65918724E-07   6.35239546E-05   4.98585485E-06  
  25               3.55023820E-04   2.26154399E+03   3.10172541E-01   5.53444840E-01   1.35385705E-01   4.48261327E-04   2.80910356E-04   9.51599255E-06   5.64240212E-05   2.48942144E-05  
  26               4.03680453E-04   2.10429112E+03   1.33908726E-01   7.15478290E-01   1.49510697E-01   4.95027596E-04   3.39307051E-04   1.04013375E-06   6.23089335E-05   7.88404043E-06  
  27               4.58844210E-04   2.33073936E+03   3.70777424E-01   4.97724025E-01   1.30527471E-01   4.32176227E-04   2.59327550E-04   1.68543892E-05   5.43977415E-05   3.36097142E-05  
  28               5.18778860E-04   2.34391443E+03   3.72091766E-01   4.96515857E-01   1.30422054E-01   4.31827568E-04   2.58073841E-04   1.72325595E-05   5.43527759E-05   3.42419284E-05  
  29               5.88019542E-04   2.36657074E+03   3.85902821E-01   4.83820045E-01   1.29314960E-01   4.28162520E-04   2.50951553E-04   1.94734153E-05   5.38904147E-05   3.65048462E-05  
  30               6.67952036E-04   2.38103089E+03   3.87792113E-01   4.82083363E-01   1.29163445E-01   4.27661248E-04   2.49319617E-04   1.99956254E-05   5.38260735E-05   3.72629863E-05  
  31               7.60200921E-04   2.40508172E+03   4.02249592E-01   4.68793373E-01   1.28004483E-01   4.23824512E-04   2.41520051E-04   2.26247995E-05   5.33419678E-05   3.96934531E-05  
  32               8.66577187E-04   2.42056773E+03   4.04427607E-01   4.66791296E-01   1.27829808E-01   4.23246574E-04   2.39626606E-04   2.32686993E-05   5.32677933E-05   4.05378837E-05  
  33               9.89208059E-04   2.44583628E+03   4.19313646E-01   4.53107407E-01   1.26636434E-01   4.19295947E-04   2.31220091E-04   2.63048821E-05   5.27692093E-05   4.30888910E-05  
  34               1.13044213E-03   2.46222787E+03   4.21679330E-01   4.50932829E-01   1.26446698E-01   4.18668155E-04   2.29107443E-04   2.70683161E-05   5.26885585E-05   4.39991149E-05  
  35               1.29271878E-03   2.48856747E+03   4.36844620E-01   4.36992296E-01   1.25230877E-01   4.14643249E-04   2.20156192E-04   3.05284475E-05   5.21804767E-05   4.66206987E-05  
  36               1.47884890E-03   2.50570336E+03   4.39321207E-01   4.34715783E-01   1.25032233E-01   4.13985970E-04   2.17868535E-04   3.14059897E-05   5.20959031E-05   4.75730877E-05  
  37               1.69237889E-03   2.53297637E+03   4.54625167E-01   4.20647835E-01   1.23805231E-01   4.09924089E-04   2.08455140E-04   3.52937338E-05   5.15830146E-05   5.02067986E-05  
  38               1.93717307E-03   2.55079875E+03   4.57149442E-01   4.18327496E-01   1.23602748E-01   4.09254099E-04   2.06033784E-04   3.62778963E-05   5.14966086E-05   5.11803491E-05  
  39               2.21780926E-03   2.57894760E+03   4.72459211E-01   4.04254260E-01   1.22375216E-01   4.05190507E-04   1.96257546E-04   4.05823054E-05   5.09833387E-05   5.37646095E-05  
  40               2.53921219E-03   2.59742799E+03   4.74993145E-01   4.01925049E-01   1.22171942E-01   4.04517899E-04   1.93737727E-04   4.16653540E-05   5.08963470E-05   5.47401214E-05  
  41               2.90719153E-03   2.62643259E+03   4.90241035E-01   3.87908739E-01   1.20949311E-01   4.00470569E-04   1.83684340E-04   4.63739926E-05   5.03849466E-05   5.72165765E-05  
  42               3.32790819E-03   2.64559442E+03   4.92828653E-01   3.85530183E-01   1.20741718E-01   3.99783659E-04   1.81059897E-04   4.75665121E-05   5.02958789E-05   5.81827112E-05  
  43               3.80857505E-03   2.67542656E+03   5.07957812E-01   3.71623047E-01   1.19528550E-01   3.95767690E-04   1.70827079E-04   5.26557804E-05   4.97882417E-05   6.04907665E-05  
  44               4.35670724E-03   2.69524275E+03   5.10599886E-01   3.69194431E-01   1.19316578E-01   3.95066275E-04   1.68121753E-04   5.39547562E-05   4.96970556E-05   6.14285382E-05  
  45               4.98100170E-03   2.72578458E+03   5.25475884E-01   3.55520026E-01   1.18123659E-01   3.91117366E-04   1.57871811E-04   5.93591401E-05   4.91976684E-05   6.35004120E-05  
