# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               O-3P             Fe              
  1                1.00000000E-05   1.40399948E+03   8.37432533E-01   1.47901432E-03   1.60147163E-01   5.30214531E-04   2.78537647E-04   2.82068220E-06   1.62106772E-11   1.14046576E-05  
  2                1.22517175E-05   1.23131064E+03   8.38644030E-01   9.07669368E-05   1.60247147E-01   5.30506777E-04   2.80194473E-04   2.82245214E-06   3.14575404E-14   1.14117836E-05  
  3                1.42493563E-05   1.58235614E+03   8.28656302E-01   1.07953299E-02   1.59376717E-01   5.27663245E-04   3.71414686E-04   6.64362984E-05   1.99904068E-09   5.52609982E-05  
  4                1.59315238E-05   1.35593445E+03   8.38032826E-01   5.93326123E-04   1.60196270E-01   5.30337134E-04   3.76851701E-04   6.67777170E-05   2.98004844E-12   5.55452185E-05  
  5                1.78712249E-05   1.64305969E+03   8.21964963E-01   1.80744393E-02   1.58793165E-01   5.25737453E-04   3.69567145E-04   6.61926990E-05   6.60508132E-09   5.50586228E-05  
  6                2.00773671E-05   1.42343236E+03   8.37331175E-01   1.35694363E-03   1.60134698E-01   5.30148480E-04   3.75842232E-04   6.67516088E-05   1.96438556E-11   5.55238352E-05  
  7                2.25752345E-05   1.70964075E+03   8.10652279E-01   3.03803234E-02   1.57806890E-01   5.22477547E-04   3.66790991E-04   6.57811157E-05   2.22313274E-08   5.47166015E-05  
  8                2.49753370E-05   1.56189203E+03   8.32574929E-01   6.53185592E-03   1.59718825E-01   5.28793474E-04   3.72970439E-04   6.65778997E-05   6.89434037E-10   5.53795713E-05  
  9                2.77648745E-05   1.75111455E+03   8.02088401E-01   3.96961615E-02   1.57060366E-01   5.20008794E-04   3.64639215E-04   6.54694668E-05   4.21823905E-08   5.44577152E-05  
  10               3.09970541E-05   1.60377779E+03   8.30115187E-01   9.20780173E-03   1.59504163E-01   5.28087608E-04   3.72099693E-04   6.64879833E-05   1.53465934E-09   5.53050992E-05  
