# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.16379574E+03   8.38810438E-01   1.60268661E-01   2.83493620E-05   5.30566627E-04   2.54522831E-04   1.68484698E-07   2.47238934E-06   6.07879664E-05  
  2                5.87020027E-05   1.23248269E+03   8.38766106E-01   1.60262657E-01   4.23405923E-05   5.30566652E-04   2.61271778E-04   5.65282173E-07   2.47229211E-06   6.07856668E-05  
  3                1.06381696E-04   1.33555349E+03   8.38610384E-01   1.60250653E-01   1.69598502E-04   5.30540309E-04   2.92955856E-04   1.12825161E-05   1.34311663E-05   6.07811080E-05  
  4                1.55774638E-04   1.32277225E+03   8.38601598E-01   1.60243844E-01   1.15331596E-04   5.30514964E-04   2.93050733E-04   1.12818697E-05   1.34305841E-05   6.07785066E-05  
  5                2.03759399E-04   1.40142375E+03   8.38287014E-01   1.60218732E-01   3.16442888E-04   5.30421879E-04   3.77354902E-04   6.67809091E-05   5.55526737E-05   6.07689826E-05  
  6                2.48479843E-04   1.38214029E+03   8.38376458E-01   1.60226588E-01   2.19079131E-04   5.30443594E-04   3.77563829E-04   6.67835874E-05   5.55553723E-05   6.07719465E-05  
  7                3.00639378E-04   1.44404445E+03   8.38155160E-01   1.60207181E-01   4.59926429E-04   5.30392095E-04   3.77083749E-04   6.67737679E-05   5.55485209E-05   6.07645864E-05  
  8                3.61464198E-04   1.42389446E+03   8.38281917E-01   1.60218303E-01   3.21959900E-04   5.30425052E-04   3.77317814E-04   6.67777005E-05   5.55523473E-05   6.07687857E-05  
  9                4.32568088E-04   1.48428311E+03   8.37992731E-01   1.60192963E-01   6.36669961E-04   5.30351942E-04   3.76824205E-04   6.67651408E-05   5.55434118E-05   6.07591749E-05  
  10               5.15582979E-04   1.46426003E+03   8.38159938E-01   1.60207622E-01   4.54691150E-04   5.30397121E-04   3.77075593E-04   6.67703923E-05   5.55484568E-05   6.07647119E-05  
  11               6.12620996E-04   1.52420176E+03   8.37785667E-01   1.60174848E-01   8.61969786E-04   5.30297981E-04   3.76559994E-04   6.67544017E-05   5.55369104E-05   6.07522811E-05  
  12               7.25799937E-04   1.50506572E+03   8.37996930E-01   1.60193356E-01   6.32059548E-04   5.30356444E-04   3.76822740E-04   6.67610493E-05   5.55432783E-05   6.07592737E-05  
  13               8.57791107E-04   1.56554745E+03   8.37508052E-01   1.60150573E-01   1.16401938E-03   5.30223086E-04   3.76273857E-04   6.67404793E-05   5.55282190E-05   6.07430456E-05  
  14               1.01110894E-03   1.54843652E+03   8.37763705E-01   1.60172955E-01   8.85813792E-04   5.30294982E-04   3.76538282E-04   6.67484646E-05   5.55359125E-05   6.07515032E-05  
  15               1.18851124E-03   1.61143278E+03   8.37090742E-01   1.60114095E-01   1.61802871E-03   5.30107639E-04   3.75930990E-04   6.67206899E-05   5.55152235E-05   6.07291770E-05  
  16               1.39151726E-03   1.59970285E+03   8.37362644E-01   1.60137884E-01   1.32212229E-03   5.30185085E-04   3.76162397E-04   6.67288679E-05   5.55233732E-05   6.07381655E-05  
  17               1.61739474E-03   1.67306388E+03   8.36209621E-01   1.60037098E-01   2.57647540E-03   5.29858828E-04   3.75414938E-04   6.66829528E-05   5.54880605E-05   6.06999398E-05  
  18               1.85298896E-03   1.67969947E+03   8.36218879E-01   1.60037922E-01   2.56638338E-03   5.29862147E-04   3.75429870E-04   6.66809827E-05   5.54881767E-05   6.07002265E-05  
  19               2.12728881E-03   1.71210029E+03   8.35589855E-01   1.59982979E-01   3.25073592E-03   5.29683013E-04   3.75072675E-04   6.66548637E-05   5.54688451E-05   6.06793687E-05  
  20               2.44703937E-03   1.71686212E+03   8.35666480E-01   1.59989690E-01   3.16734744E-03   5.29705610E-04   3.75126026E-04   6.66549076E-05   5.54709689E-05   6.06818808E-05  
  21               2.82012030E-03   1.74835562E+03   8.34973258E-01   1.59929157E-01   3.92152727E-03   5.29507636E-04   3.74771591E-04   6.66258678E-05   5.54496434E-05   6.06588957E-05  
  22               3.25514000E-03   1.75323642E+03   8.35074191E-01   1.59937991E-01   3.81169280E-03   5.29537234E-04   3.74834653E-04   6.66262148E-05   5.54524546E-05   6.06622040E-05  
  23               3.76243805E-03   1.78456626E+03   8.34301638E-01   1.59870547E-01   4.65216390E-03   5.29316144E-04   3.74472407E-04   6.65935735E-05   5.54286631E-05   6.06365888E-05  
  24               4.35337074E-03   1.78994889E+03   8.34415785E-01   1.59880534E-01   4.52795413E-03   5.29349561E-04   3.74538513E-04   6.65937042E-05   5.54318135E-05   6.06403234E-05  
  25               5.04157900E-03   1.82132503E+03   8.33555749E-01   1.59805468E-01   5.46358508E-03   5.29103038E-04   3.74163640E-04   6.65570353E-05   5.54052951E-05   6.06118057E-05  
  26               5.84197554E-03   1.82741872E+03   8.33673823E-01   1.59815797E-01   5.33510296E-03   5.29137597E-04   3.74228279E-04   6.65564847E-05   5.54084900E-05   6.06156561E-05  
  27               6.77242512E-03   1.85900154E+03   8.32715305E-01   1.59732150E-01   6.37786013E-03   5.28862492E-04   3.73835380E-04   6.65152440E-05   5.53788954E-05   6.05838691E-05  
  28               7.85233202E-03   1.86600640E+03   8.32825263E-01   1.59741770E-01   6.25820736E-03   5.28894718E-04   3.73893649E-04   6.65134291E-05   5.53817545E-05   6.05874332E-05  
  29               9.10490818E-03   1.89791567E+03   8.31754407E-01   1.59648333E-01   7.42316248E-03   5.28587049E-04   3.73476687E-04   6.64669531E-05   5.53486458E-05   6.05519144E-05  
  30               1.05551690E-02   1.90601707E+03   8.31841448E-01   1.59655952E-01   7.32844223E-03   5.28612668E-04   3.73523236E-04   6.64631710E-05   5.53507021E-05   6.05546982E-05  
  31               1.22330154E-02   1.93836223E+03   8.30640218E-01   1.59551154E-01   8.63521627E-03   5.28267240E-04   3.73074920E-04   6.64106271E-05   5.53135121E-05   6.05148459E-05  
  32               1.41703597E-02   1.94778629E+03   8.30683240E-01   1.59554932E-01   8.58838355E-03   5.28280158E-04   3.73102534E-04   6.64039222E-05   5.53141047E-05   6.05161462E-05  
  33               1.64052798E-02   1.98075156E+03   8.29323071E-01   1.59436281E-01   1.00680494E-02   5.27888738E-04   3.72611990E-04   6.63440730E-05   5.52719439E-05   6.04710086E-05  
  34               1.89780236E-02   1.99174716E+03   8.29293630E-01   1.59433737E-01   1.01000471E-02   5.27880741E-04   3.72611281E-04   6.63331985E-05   5.52701857E-05   6.04698782E-05  
  35               2.19365843E-02   2.02552431E+03   8.27735954E-01   1.59297871E-01   1.17945610E-02   5.27432205E-04   3.72064389E-04   6.62644249E-05   5.52218583E-05   6.04181707E-05  
  36               2.53311365E-02   2.03842413E+03   8.27591156E-01   1.59285265E-01   1.19520504E-02   5.27390907E-04   3.72021270E-04   6.62475796E-05   5.52164195E-05   6.04131827E-05  
  37               2.92218869E-02   2.07340601E+03   8.25768418E-01   1.59126293E-01   1.39349002E-02   5.26865763E-04   3.71393967E-04   6.61671769E-05   5.51598468E-05   6.03526581E-05  
  38               3.36709868E-02   2.08874109E+03   8.25435193E-01   1.59097253E-01   1.42973691E-02   5.26770071E-04   3.71284267E-04   6.61414199E-05   5.51484768E-05   6.03413849E-05  
  39               3.87522882E-02   2.12536638E+03   8.23248742E-01   1.58906575E-01   1.66758681E-02   5.26139848E-04   3.70541911E-04   6.60455337E-05   5.50806337E-05   6.02687610E-05  
  40               4.45401959E-02   2.14381926E+03   8.22611175E-01   1.58850994E-01   1.73694109E-02   5.25956297E-04   3.70327054E-04   6.60063352E-05   5.50597775E-05   6.02473517E-05  
  41               5.11219666E-02   2.18296788E+03   8.19873394E-01   1.58612253E-01   2.03476531E-02   5.25166847E-04   3.69404031E-04   6.58878486E-05   5.49749384E-05   6.01563896E-05  
  42               5.85801345E-02   2.20623329E+03   8.18649709E-01   1.58505563E-01   2.16787916E-02   5.24814109E-04   3.68988924E-04   6.58245746E-05   5.49360032E-05   6.01154907E-05  
  43               6.69922024E-02   2.25334182E+03   8.14483823E-01   1.58142310E-01   2.62105517E-02   5.23612413E-04   3.67585970E-04   6.56510309E-05   5.48075251E-05   5.99770965E-05  
  44               7.63596659E-02   2.29799003E+03   8.10071303E-01   1.57757369E-01   3.10084625E-02   5.22338726E-04   3.66092425E-04   6.54676555E-05   5.46714128E-05   5.98303209E-05  
  45               8.67816894E-02   2.34055478E+03   8.05444782E-01   1.57354402E-01   3.60316614E-02   5.21004435E-04   3.71323498E-04   6.52759202E-05   5.45289290E-05   5.96765151E-05  
  46               9.84034763E-02   2.38138690E+03   8.00651951E-01   1.56936532E-01   4.12453925E-02   5.19621455E-04   3.69645025E-04   6.50770014E-05   5.43811418E-05   5.95168204E-05  
  47               1.11422791E-01   2.42119339E+03   7.95636746E-01   1.56499284E-01   4.67010182E-02   5.18174205E-04   3.67855412E-04   6.48688251E-05   5.42264705E-05   5.93494666E-05  
  48               1.26010364E-01   2.45992889E+03   7.90461193E-01   1.56048063E-01   5.23310645E-02   5.16680588E-04   3.65970939E-04   6.46535791E-05   5.40667822E-05   5.91764301E-05  
  49               1.42337070E-01   2.49793844E+03   7.85101191E-01   1.55580766E-01   5.81617493E-02   5.15133652E-04   3.63978241E-04   6.44303233E-05   5.39013352E-05   5.89968029E-05  
  50               1.60593915E-01   2.53509276E+03   7.79628746E-01   1.55103669E-01   6.41147438E-02   5.13554177E-04   3.61898995E-04   6.42016312E-05   5.37323011E-05   5.88128498E-05  
  51               1.81010070E-01   2.57180232E+03   7.73989020E-01   1.54611990E-01   7.02497015E-02   5.11926334E-04   3.59709056E-04   6.39654130E-05   5.35580034E-05   5.86225658E-05  
  52               2.03833886E-01   2.60783858E+03   7.68277022E-01   1.54114011E-01   7.64632708E-02   5.10277543E-04   3.57440379E-04   6.37250560E-05   5.33813079E-05   5.84289092E-05  
  53               2.29333886E-01   2.64360137E+03   7.62420617E-01   1.53603441E-01   8.28339201E-02   5.08586978E-04   3.55062379E-04   6.34778633E-05   5.32000163E-05   5.82291774E-05  
  54               2.57799569E-01   2.67881589E+03   7.56526749E-01   1.53089604E-01   8.92453135E-02   5.06885502E-04   3.52613872E-04   6.32276623E-05   5.30173562E-05   5.80266177E-05  
  55               2.89541616E-01   2.71391732E+03   7.50494399E-01   1.52563691E-01   9.58073403E-02   5.05143951E-04   3.50052527E-04   6.29707323E-05   5.28302575E-05   5.78173569E-05  
  56               3.24894282E-01   2.74854421E+03   7.44457443E-01   1.52037373E-01   1.02374368E-01   5.03400958E-04   3.47430336E-04   6.27118816E-05   5.26427633E-05   5.76053833E-05  
  57               3.64217469E-01   2.78314164E+03   7.38296088E-01   1.51500205E-01   1.09076709E-01   5.01621938E-04   3.44696540E-04   6.24467313E-05   5.24512375E-05   5.73858720E-05  
  58               4.07899790E-01   2.81730157E+03   7.32164240E-01   1.50965606E-01   1.15746937E-01   4.99851306E-04   3.41914460E-04   6.21808067E-05   5.22603290E-05   5.71632592E-05  
  59               4.56361648E-01   2.85151131E+03   7.25914498E-01   1.50420722E-01   1.22545398E-01   4.98046504E-04   3.39020439E-04   6.19087492E-05   5.20655676E-05   5.69312752E-05  
  60               5.10058643E-01   2.88533021E+03   7.19717708E-01   1.49880450E-01   1.29286240E-01   4.96256834E-04   3.36088266E-04   6.16366792E-05   5.18721129E-05   5.66946058E-05  
  61               5.69485277E-01   2.91926386E+03   7.13407734E-01   1.49330303E-01   1.36150186E-01   4.94434325E-04   3.33044227E-04   6.13585806E-05   5.16749296E-05   5.64455557E-05  
  62               6.35181116E-01   2.95282087E+03   7.07180812E-01   1.48787391E-01   1.42923763E-01   4.92635609E-04   3.29977022E-04   6.10814609E-05   5.14799425E-05   5.61892712E-05  
  63               7.07736499E-01   2.98654257E+03   7.00847675E-01   1.48235211E-01   1.49812856E-01   4.90806030E-04   3.26800300E-04   6.07984860E-05   5.12814174E-05   5.59160720E-05  
  64               7.87798950E-01   3.01990925E+03   6.94622727E-01   1.47692457E-01   1.56584230E-01   4.89007463E-04   3.23615074E-04   6.05172772E-05   5.10858240E-05   5.56312092E-05  
  65               8.76057396E-01   3.05350339E+03   6.88290054E-01   1.47140301E-01   1.63472752E-01   4.87177551E-04   3.20319787E-04   6.02300768E-05   5.08866254E-05   5.53222685E-05  
  66               9.73257635E-01   3.08677416E+03   6.82080725E-01   1.46598892E-01   1.70227060E-01   4.85382976E-04   3.17027430E-04   5.99450796E-05   5.06907923E-05   5.49944381E-05  
  67               1.08022369E+00   3.12034528E+03   6.75754145E-01   1.46047251E-01   1.77108864E-01   4.83554248E-04   3.13621038E-04   5.96536704E-05   5.04910440E-05   5.46317136E-05  
  68               1.19786622E+00   3.15363437E+03   6.69561248E-01   1.45507256E-01   1.83845193E-01   4.81763779E-04   3.10227358E-04   5.93646949E-05   5.02949441E-05   5.42392208E-05  
  69               1.32719224E+00   3.18730106E+03   6.63240318E-01   1.44956087E-01   1.90720729E-01   4.79935963E-04   3.06714921E-04   5.90688089E-05   5.00945752E-05   5.37962077E-05  
  70               1.46931335E+00   3.22074452E+03   6.57055717E-01   1.44416794E-01   1.97447895E-01   4.78147085E-04   3.03221341E-04   5.87752759E-05   4.98978988E-05   5.33073372E-05  
  71               1.62545640E+00   3.25466134E+03   6.50724193E-01   1.43864678E-01   2.04334792E-01   4.76315301E-04   2.99599598E-04   5.84740246E-05   4.96963498E-05   5.27452100E-05  
  72               1.79697791E+00   3.28840114E+03   6.44535929E-01   1.43325040E-01   2.11065752E-01   4.74524342E-04   2.96005005E-04   5.81751666E-05   4.94986608E-05   5.21147964E-05  
  73               1.98538327E+00   3.32268004E+03   6.38195009E-01   1.42772076E-01   2.17962651E-01   4.72688683E-04   2.92279309E-04   5.78682219E-05   4.92958869E-05   5.13804212E-05  
  74               2.19233886E+00   3.35681318E+03   6.32010918E-01   1.42232772E-01   2.24688822E-01   4.70897617E-04   2.88592803E-04   5.75639025E-05   4.90973326E-05   5.05478718E-05  
  75               2.41969215E+00   3.39154451E+03   6.25672295E-01   1.41679973E-01   2.31582929E-01   4.69061125E-04   2.84774210E-04   5.72512332E-05   4.88935908E-05   4.95707444E-05  
  76               2.66948762E+00   3.42616721E+03   6.19501353E-01   1.41141778E-01   2.38294465E-01   4.67272164E-04   2.81005501E-04   5.69412869E-05   4.86943379E-05   4.84569774E-05  
  77               2.94398804E+00   3.46146890E+03   6.13164911E-01   1.40589126E-01   2.45185819E-01   4.65434368E-04   2.77098178E-04   5.66223892E-05   4.84895144E-05   4.71465636E-05  
