# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  1                1.00000000E-05   1.34918644E+03   8.37955055E-01   6.77993781E-04   1.60189388E-01   5.30312681E-04   3.76681731E-04   6.67753617E-05   5.55428572E-05   5.14236857E-09  
  2                8.65519785E-05   1.67665897E+03   8.28030698E-01   1.14752323E-02   1.59322497E-01   5.27493276E-04   3.71569972E-04   6.64091799E-05   5.52418856E-05   2.59628887E-07  
  3                1.44203045E-04   1.73285562E+03   8.24790739E-01   1.49997392E-02   1.59039974E-01   5.26562447E-04   3.70644123E-04   6.62890483E-05   5.51437340E-05   3.92879336E-07  
  4                2.06860555E-04   1.77191161E+03   8.22338464E-01   1.76673571E-02   1.58826168E-01   5.25857347E-04   3.69964479E-04   6.61977875E-05   5.50694239E-05   5.09516657E-07  
  5                2.76515764E-04   1.80234497E+03   8.20399526E-01   1.97765441E-02   1.58657134E-01   5.25299677E-04   3.69431903E-04   6.61252673E-05   5.50106422E-05   6.12968777E-07  
  6                3.54733014E-04   1.82940381E+03   8.18536983E-01   2.18026274E-02   1.58494762E-01   5.24763721E-04   3.68918192E-04   6.60555250E-05   5.49541677E-05   7.19042552E-07  
  7                4.43067370E-04   1.85289664E+03   8.16944690E-01   2.35347248E-02   1.58355957E-01   5.24305490E-04   3.68477437E-04   6.59955743E-05   5.49058605E-05   8.17894388E-07  
  8                5.43178728E-04   1.87547176E+03   8.15283564E-01   2.53417017E-02   1.58211151E-01   5.23827264E-04   3.68013752E-04   6.59330507E-05   5.48554633E-05   9.25014531E-07  
  9                6.56898577E-04   1.89598121E+03   8.13815070E-01   2.69391267E-02   1.58083142E-01   5.23404487E-04   3.67600560E-04   6.58774458E-05   5.48108818E-05   1.02708304E-06  
  10               7.86267472E-04   1.91648557E+03   8.12208446E-01   2.86868147E-02   1.57943090E-01   5.22941783E-04   3.67144596E-04   6.58167064E-05   5.47621113E-05   1.14134381E-06  
  11               9.33581601E-04   1.93558197E+03   8.10758257E-01   3.02643275E-02   1.57816679E-01   5.22524132E-04   3.66728701E-04   6.57615338E-05   5.47180585E-05   1.25178518E-06  
  12               1.10142152E-03   1.95513019E+03   8.09122138E-01   3.20440983E-02   1.57674057E-01   5.22052788E-04   3.66255838E-04   6.56994548E-05   5.46683683E-05   1.37811461E-06  
  13               1.29269732E-03   1.97366857E+03   8.07611544E-01   3.36873205E-02   1.57542380E-01   5.21617603E-04   3.65813984E-04   6.56417869E-05   5.46224580E-05   1.50222528E-06  
  14               1.51068231E-03   1.99292033E+03   8.05876283E-01   3.55749402E-02   1.57391116E-01   5.21117558E-04   3.65302969E-04   6.55757726E-05   5.45697357E-05   1.64611093E-06  
  15               1.75906180E-03   2.01143317E+03   8.04237766E-01   3.73573189E-02   1.57248288E-01   5.20645383E-04   3.64814189E-04   6.55130923E-05   5.45199196E-05   1.78982715E-06  
  16               2.04196908E-03   2.03085068E+03   8.02332642E-01   3.94297161E-02   1.57082216E-01   5.20096251E-04   3.64242450E-04   6.54405094E-05   5.44620200E-05   1.95814629E-06  
  17               2.36408336E-03   2.04974624E+03   8.00491443E-01   4.14325742E-02   1.56921719E-01   5.19565526E-04   3.63682504E-04   6.53700355E-05   5.44060307E-05   2.12926348E-06  
  18               2.73067721E-03   2.06972792E+03   7.98329686E-01   4.37841408E-02   1.56733276E-01   5.18942277E-04   3.63021351E-04   6.52876645E-05   5.43403226E-05   2.33161478E-06  
  19               3.14764221E-03   2.08944618E+03   7.96174378E-01   4.61286902E-02   1.56545395E-01   5.18320855E-04   3.62353465E-04   6.52052790E-05   5.42747829E-05   2.54248139E-06  
  20               3.62151286E-03   2.11049906E+03   7.93608976E-01   4.89193445E-02   1.56321764E-01   5.17581070E-04   3.61554036E-04   6.51077082E-05   5.41968130E-05   2.79545132E-06  
  21               4.15949485E-03   2.13168379E+03   7.90933605E-01   5.18296241E-02   1.56088547E-01   5.16809518E-04   3.60709966E-04   6.50058570E-05   5.41154870E-05   3.06915165E-06  
  22               4.76935164E-03   2.15490898E+03   7.87594156E-01   5.54622956E-02   1.55797437E-01   5.15846306E-04   3.59650998E-04   6.48795565E-05   5.40140467E-05   3.41275476E-06  
  23               5.45658084E-03   2.18655756E+03   7.81518559E-01   6.20713800E-02   1.55267799E-01   5.14093485E-04   3.57729747E-04   6.46534691E-05   5.38298362E-05   4.02163261E-06  
  24               6.22759279E-03   2.21689076E+03   7.75436209E-01   6.86878052E-02   1.54737576E-01   5.12338639E-04   3.55765323E-04   6.44268958E-05   5.36453936E-05   4.66946106E-06  
  25               7.09351058E-03   2.24656738E+03   7.69210089E-01   7.54606223E-02   1.54194822E-01   5.10542238E-04   3.53711405E-04   6.41948294E-05   5.34565720E-05   5.37018785E-06  
  26               8.06663037E-03   2.27532412E+03   7.62996930E-01   8.22193387E-02   1.53653198E-01   5.08749517E-04   3.51614643E-04   6.39629437E-05   5.32681070E-05   6.10935945E-06  
  27               9.16050990E-03   2.30379408E+03   7.56613052E-01   8.91617030E-02   1.53096494E-01   5.06906821E-04   3.49412239E-04   6.37244601E-05   5.30743734E-05   6.90703309E-06  
  28               1.03839130E-02   2.33141475E+03   7.50298419E-01   9.60214557E-02   1.52546404E-01   5.05085181E-04   3.53740592E-04   6.34884336E-05   5.28828958E-05   7.88320367E-06  
  29               1.17521439E-02   2.35877837E+03   7.43871497E-01   1.03012747E-01   1.51986137E-01   5.03230615E-04   3.51377538E-04   6.32478468E-05   5.26878482E-05   8.78490259E-06  
  30               1.32895860E-02   2.38573879E+03   7.37447210E-01   1.10001173E-01   1.51426096E-01   5.01376763E-04   3.48957738E-04   6.30069793E-05   5.24928320E-05   9.72951361E-06  
  31               1.50163863E-02   2.41272286E+03   7.30860645E-01   1.17166131E-01   1.50851904E-01   4.99476029E-04   3.46419689E-04   6.27598255E-05   5.22928586E-05   1.07388834E-05  
  32               1.69542295E-02   2.43932293E+03   7.24324280E-01   1.24276483E-01   1.50282083E-01   4.97589738E-04   3.43837585E-04   6.25140816E-05   5.20943489E-05   1.17865554E-05  
  33               1.91268671E-02   2.46594615E+03   7.17664505E-01   1.31521086E-01   1.49701498E-01   4.95667783E-04   3.41145378E-04   6.22634317E-05   5.18920515E-05   1.28963377E-05  
  34               2.15563797E-02   2.49216193E+03   7.11105724E-01   1.38655828E-01   1.49129711E-01   4.93774933E-04   3.38426186E-04   6.20160154E-05   5.16927494E-05   1.40370547E-05  
  35               2.42693567E-02   2.51841978E+03   7.04435910E-01   1.45911358E-01   1.48548238E-01   4.91849990E-04   3.35597624E-04   6.17641316E-05   5.14900307E-05   1.52389375E-05  
  36               2.72976677E-02   2.54432162E+03   6.97886127E-01   1.53036318E-01   1.47977222E-01   4.89959648E-04   3.32748860E-04   6.15161357E-05   5.12908769E-05   1.64678178E-05  
  37               3.06760043E-02   2.57038185E+03   6.91198672E-01   1.60311044E-01   1.47394197E-01   4.88029524E-04   3.29775935E-04   6.12626678E-05   5.10874950E-05   1.77629168E-05  
  38               3.44420475E-02   2.59613814E+03   6.84642810E-01   1.67442624E-01   1.46822636E-01   4.86137336E-04   3.26787175E-04   6.10134649E-05   5.08880210E-05   1.90818742E-05  
  39               3.86365754E-02   2.62213174E+03   6.77928413E-01   1.74746664E-01   1.46237246E-01   4.84199343E-04   3.23661236E-04   6.07580025E-05   5.06836826E-05   2.04712680E-05  
  40               4.33036379E-02   2.64784433E+03   6.71361686E-01   1.81890068E-01   1.45664721E-01   4.82303927E-04   3.20526590E-04   6.05073511E-05   5.04837320E-05   2.18800116E-05  
  41               4.84907446E-02   2.67382908E+03   6.64631328E-01   1.89211476E-01   1.45077922E-01   4.80361229E-04   3.17248458E-04   6.02502308E-05   5.02787579E-05   2.33604597E-05  
  42               5.42490990E-02   2.69952032E+03   6.58078238E-01   1.96340049E-01   1.44506569E-01   4.78469652E-04   3.13976213E-04   5.99989606E-05   5.00790605E-05   2.48524384E-05  
  43               6.06337563E-02   2.72551598E+03   6.51352855E-01   2.03656048E-01   1.43920186E-01   4.76528289E-04   3.10553345E-04   5.97408888E-05   4.98740733E-05   2.64173138E-05  
