# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              Mg               Fe              
  1                1.00000000E-05   1.19146293E+03   4.84305073E-05   8.38702335E-01   1.60250931E-01   5.30515017E-04   6.94608246E-15   2.60733565E-04   5.76107020E-07   3.76775585E-06  
  2                1.41443607E-05   1.83692659E+03   1.10136961E-01   7.37333300E-01   1.51415958E-01   5.01324013E-04   4.36253366E-07   3.48201329E-04   6.31177808E-05   5.25006885E-05  
  3                1.62386224E-05   1.68761585E+03   2.91377728E-02   8.11794576E-01   1.57906432E-01   5.22805306E-04   1.94166974E-08   3.67078115E-04   6.58232104E-05   5.47511612E-05  
  4                1.85651950E-05   1.91307692E+03   1.67148926E-01   6.84923027E-01   1.46847657E-01   4.86201139E-04   1.28262753E-06   3.33487329E-04   6.12130454E-05   5.09166692E-05  
  5                2.11632416E-05   1.76103219E+03   4.93447351E-02   7.93218676E-01   1.56287175E-01   5.17449229E-04   6.76452248E-08   3.62446811E-04   6.51477049E-05   5.41896607E-05  
  6                2.41095229E-05   1.96435080E+03   2.06986794E-01   6.48300740E-01   1.43655398E-01   4.75633102E-04   2.31543509E-06   3.22199837E-04   5.98819084E-05   4.98097688E-05  
  7                2.74485230E-05   1.81602659E+03   6.83850651E-02   7.75715176E-01   1.54761482E-01   5.12400874E-04   1.50006561E-07   3.57960445E-04   6.45111465E-05   5.36606003E-05  
  8                3.12636214E-05   2.00687305E+03   2.38448260E-01   6.19378819E-01   1.41134264E-01   4.67286813E-04   3.49879176E-06   3.12505624E-04   5.88304885E-05   4.89355651E-05  
  9                3.56128732E-05   1.86352432E+03   8.69843381E-02   7.58617119E-01   1.53271146E-01   5.07468740E-04   2.74344541E-07   3.53411127E-04   6.38892579E-05   5.31437937E-05  
  10               4.06006265E-05   2.04545969E+03   2.65053679E-01   5.94921042E-01   1.39002185E-01   4.60228554E-04   4.83461777E-06   3.03630993E-04   5.79411878E-05   4.81962535E-05  
  11               4.63026619E-05   1.90762692E+03   1.05726114E-01   7.41388064E-01   1.51769387E-01   5.02498336E-04   4.53491642E-07   3.48637201E-04   6.32625244E-05   5.26230188E-05  
