# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  1                1.00000000E-05   1.62442675E+03   1.99751373E-02   8.20217605E-01   1.58640712E-01   5.25230754E-04   3.69173138E-04   7.73123241E-09   6.61300086E-05   5.50058189E-05  
  2                1.08608740E-05   1.55627037E+03   9.28986219E-03   8.30039990E-01   1.59497385E-01   5.28059616E-04   3.71910964E-04   1.37797413E-09   6.64869640E-05   5.53028654E-05  
  3                1.17798976E-05   1.76941248E+03   7.02857593E-02   7.73967970E-01   1.54609148E-01   5.11893314E-04   3.57731065E-04   1.44788045E-07   6.44491629E-05   5.36079010E-05  
  4                1.28053780E-05   1.64619597E+03   2.19860801E-02   8.18368969E-01   1.58479567E-01   5.24699332E-04   3.68717356E-04   9.91173792E-09   6.60625001E-05   5.49499195E-05  
  5                1.39856936E-05   1.82607666E+03   1.01945754E-01   7.44863364E-01   1.52072302E-01   5.03496722E-04   3.50194046E-04   3.60722848E-07   6.33913986E-05   5.27282669E-05  
  6                1.53476488E-05   1.70057333E+03   3.37892965E-02   8.07518542E-01   1.57533662E-01   5.21572051E-04   3.66020360E-04   2.70990695E-08   6.56679041E-05   5.46219122E-05  
  7                1.69348433E-05   1.86857667E+03   1.27926059E-01   7.20980026E-01   1.49990548E-01   4.96605869E-04   3.43691572E-04   6.44893699E-07   6.25233040E-05   5.20064266E-05  
  8                1.87835889E-05   1.74459823E+03   4.53960263E-02   7.96848670E-01   1.56603584E-01   5.18495754E-04   3.63366079E-04   5.49309510E-08   6.52798314E-05   5.42993896E-05  
  9                2.09485563E-05   1.90576768E+03   1.50631851E-01   7.00106919E-01   1.48171153E-01   4.90583292E-04   3.37715337E-04   9.96661462E-07   6.17645158E-05   5.13755498E-05  
  10               2.34804730E-05   1.78422329E+03   5.69986673E-02   7.86182530E-01   1.55673865E-01   5.15419983E-04   3.60661927E-04   9.59181340E-08   6.48918252E-05   5.39769854E-05  
  11               2.64527695E-05   1.94050025E+03   1.70832828E-01   6.81536474E-01   1.46552440E-01   4.85224987E-04   3.32111673E-04   1.41311579E-06   6.10893070E-05   5.08142491E-05  
  12               2.99356176E-05   1.82182642E+03   6.86693171E-02   7.75453859E-01   1.54738709E-01   5.12325830E-04   3.57870161E-04   1.53047682E-07   6.45014543E-05   5.36526879E-05  
  13               3.40298547E-05   1.97406033E+03   1.88911478E-01   6.64917075E-01   1.45103761E-01   4.80429568E-04   3.26811477E-04   1.88985212E-06   6.04848850E-05   5.03118963E-05  
  14               3.88316837E-05   1.85861833E+03   8.04663444E-02   7.64609007E-01   1.53793429E-01   5.09197911E-04   3.54961530E-04   2.30004990E-07   6.41067472E-05   5.33248700E-05  
  15               4.44806380E-05   2.00717053E+03   2.05194111E-01   6.49948748E-01   1.43798971E-01   4.76110511E-04   3.21753216E-04   2.42373019E-06   5.99403326E-05   4.98594238E-05  
  16               5.11076758E-05   1.89536073E+03   9.24995141E-02   7.53547073E-01   1.52829226E-01   5.06007158E-04   3.51894360E-04   3.31819499E-07   6.37040147E-05   5.29904778E-05  
  17               5.89061116E-05   2.04035382E+03   2.20089331E-01   6.36255869E-01   1.42605331E-01   4.72159434E-04   3.16843418E-04   3.01755521E-06   5.94419822E-05   4.94454773E-05  
  18               6.80532343E-05   1.93263039E+03   1.04960568E-01   7.42091795E-01   1.51830730E-01   5.02702732E-04   3.48603306E-04   4.65951415E-07   6.32868276E-05   5.26441799E-05  
  19               7.88163698E-05   2.07406813E+03   2.34109633E-01   6.23367311E-01   1.41481772E-01   4.68440379E-04   3.11944151E-04   3.68437720E-06   5.89726936E-05   4.90558151E-05  
  20               9.14343751E-05   1.97093446E+03   1.18137785E-01   7.29978167E-01   1.50774838E-01   4.99208165E-04   3.44991175E-04   6.43987689E-07   6.28455304E-05   5.22779628E-05  
  21               1.06277320E-04   2.10878054E+03   2.47877115E-01   6.10711191E-01   1.40378443E-01   4.64788291E-04   3.06863001E-04   4.45255663E-06   5.85116638E-05   4.86731494E-05  
  22               1.23670726E-04   2.01078168E+03   1.32431706E-01   7.16837983E-01   1.49629451E-01   4.95417193E-04   3.40918528E-04   8.84438842E-07   6.23667155E-05   5.18806929E-05  
  23               1.44125298E-04   2.14503928E+03   2.62148319E-01   5.97592041E-01   1.39234714E-01   4.61002431E-04   3.01333701E-04   5.37391023E-06   5.80335968E-05   4.82764549E-05  
  24               1.68079444E-04   2.05282181E+03   1.48459153E-01   7.02104211E-01   1.48345136E-01   4.91166160E-04   3.36165198E-04   1.21923708E-06   6.18297500E-05   5.14352267E-05  
  25               1.96233555E-04   2.18354018E+03   2.77885458E-01   5.83125328E-01   1.37973468E-01   4.56827470E-04   2.94974707E-04   6.53962006E-06   5.75063266E-05   4.78389897E-05  
  26               2.29172572E-04   2.09793056E+03   1.67171596E-01   6.84902193E-01   1.46845639E-01   4.86202603E-04   3.30376100E-04   1.70675005E-06   6.12028253E-05   5.09151211E-05  
  27               2.67855181E-04   2.22529583E+03   2.96480039E-01   5.66031892E-01   1.36483174E-01   4.51894138E-04   2.87175227E-04   8.12049174E-06   5.68833527E-05   4.73220799E-05  
  28               3.13048194E-04   2.14757412E+03   1.90289313E-01   6.63650524E-01   1.44993092E-01   4.80070048E-04   3.22887207E-04   2.46873047E-06   6.04284643E-05   5.02725694E-05  
  29               3.66063899E-04   2.27229735E+03   3.20654454E-01   5.43809148E-01   1.34545616E-01   4.45479957E-04   2.76662490E-04   1.05117565E-05   5.60737379E-05   4.66500637E-05  
  30               4.27852219E-04   2.20591735E+03   2.22795653E-01   6.33766393E-01   1.42387775E-01   4.71445058E-04   3.11783775E-04   3.87361766E-06   5.93401052E-05   4.93689772E-05  
  31               4.99627718E-04   2.34596118E+03   3.80170976E-01   4.89088993E-01   1.29774493E-01   4.29683484E-04   2.54554009E-04   1.83292849E-05   5.40833118E-05   4.49955768E-05  
  32               5.81827777E-04   2.36161047E+03   3.80542201E-01   4.88747806E-01   1.29744650E-01   4.29585121E-04   2.53534177E-04   1.86435096E-05   5.40695233E-05   4.49850892E-05  
  33               6.78616061E-04   2.39035946E+03   3.98358131E-01   4.72370546E-01   1.28316490E-01   4.24857181E-04   2.44122901E-04   2.17399084E-05   5.34730918E-05   4.44897767E-05  
  34               7.92467309E-04   2.40705945E+03   3.98965670E-01   4.71812136E-01   1.28267691E-01   4.24696065E-04   2.42884999E-04   2.21442797E-05   5.34511695E-05   4.44726900E-05  
  35               9.26358649E-04   2.43716297E+03   4.17216377E-01   4.55035282E-01   1.26804602E-01   4.19852527E-04   2.32729629E-04   2.57566465E-05   5.28400139E-05   4.39652453E-05  
  36               1.08362188E-03   2.45477230E+03   4.17931616E-01   4.54377878E-01   1.26747157E-01   4.19662783E-04   2.31332848E-04   2.62401519E-05   5.28142236E-05   4.39451296E-05  
  37               1.26803091E-03   2.48610441E+03   4.36456018E-01   4.37349506E-01   1.25262044E-01   4.14746382E-04   2.20500232E-04   3.03968010E-05   5.21937114E-05   4.34300256E-05  
  38               1.48355299E-03   2.50448507E+03   4.37246133E-01   4.36623280E-01   1.25198583E-01   4.14536717E-04   2.18970656E-04   3.09575261E-05   5.21651276E-05   4.34077898E-05  
