# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               OH               Fe              
  1                1.00000000E-05   1.65404775E+03   8.13916209E-01   2.68299103E-02   1.58091333E-01   5.23414526E-04   3.67600318E-04   6.59009965E-05   5.74676706E-07   5.48153250E-05  
  2                5.83566519E-05   1.79798815E+03   8.00883125E-01   4.10071598E-02   1.56955378E-01   5.19664410E-04   3.64272194E-04   6.54236573E-05   1.27097956E-06   5.44211518E-05  
  3                1.06738859E-04   1.85917940E+03   7.92943345E-01   4.96440237E-02   1.56263318E-01   5.17376532E-04   3.62135316E-04   6.51327452E-05   1.77076123E-06   5.41809861E-05  
  4                1.59787250E-04   1.89070436E+03   7.91021524E-01   5.17345354E-02   1.56095831E-01   5.16823667E-04   3.61553429E-04   6.50608193E-05   1.97418341E-06   5.41227347E-05  
  5                2.19116195E-04   1.92620099E+03   7.85790966E-01   5.74243275E-02   1.55639910E-01   5.15315790E-04   3.60076735E-04   6.48687432E-05   2.36171276E-06   5.39644718E-05  
  6                2.86025490E-04   1.94637692E+03   7.85100055E-01   5.81758669E-02   1.55579707E-01   5.15117413E-04   3.59818591E-04   6.48416670E-05   2.49039807E-06   5.39434255E-05  
  7                3.61881828E-04   1.97477652E+03   7.80589473E-01   6.30824754E-02   1.55186538E-01   5.13816814E-04   3.58504417E-04   6.46757507E-05   2.85827985E-06   5.38069156E-05  
  8                4.48117070E-04   1.99096189E+03   7.80285440E-01   6.34131751E-02   1.55160053E-01   5.13729823E-04   3.58348723E-04   6.46626539E-05   2.96194810E-06   5.37975501E-05  
  9                5.46365094E-04   2.01627780E+03   7.76043626E-01   6.80274222E-02   1.54790308E-01   5.12506551E-04   3.57079587E-04   6.45063737E-05   3.33535127E-06   5.36691456E-05  
  10               6.58409785E-04   2.03079819E+03   7.75831338E-01   6.82583247E-02   1.54771818E-01   5.12445908E-04   3.56944639E-04   6.44964360E-05   3.43505567E-06   5.36625326E-05  
  11               7.86328843E-04   2.05464511E+03   7.71646069E-01   7.28110656E-02   1.54406998E-01   5.11238811E-04   3.55661492E-04   6.43420034E-05   3.82878228E-06   5.35358121E-05  
  12               9.32425447E-04   2.06859916E+03   7.71359199E-01   7.31231022E-02   1.54382004E-01   5.11156569E-04   3.55497978E-04   6.43291114E-05   3.93896498E-06   5.35269176E-05  
  13               1.09936007E-03   2.09183754E+03   7.67088517E-01   7.77687593E-02   1.54009735E-01   5.09924723E-04   3.54157533E-04   6.41713052E-05   4.36582404E-06   5.33975840E-05  
  14               1.29007219E-03   2.10590132E+03   7.66590860E-01   7.83100933E-02   1.53966365E-01   5.09781598E-04   3.53922066E-04   6.41504484E-05   4.50054458E-06   5.33822845E-05  
  15               1.50794279E-03   2.12914457E+03   7.62083218E-01   8.32135182E-02   1.53573437E-01   5.08481289E-04   3.52474403E-04   6.39837056E-05   4.97688781E-06   5.32457506E-05  
  16               1.75668995E-03   2.14389879E+03   7.61201386E-01   8.41727622E-02   1.53496576E-01   5.08227256E-04   3.52109178E-04   6.39485263E-05   5.15570818E-06   5.32187983E-05  
  17               2.04055740E-03   2.16775816E+03   7.56231476E-01   8.95790483E-02   1.53063348E-01   5.06793472E-04   3.50476737E-04   6.37646081E-05   5.70812671E-06   5.30682468E-05  
  18               2.36414325E-03   2.18399961E+03   7.54634529E-01   9.13162020E-02   1.52924146E-01   5.06333026E-04   3.49869625E-04   6.37030290E-05   5.96911564E-06   5.30196310E-05  
  19               2.73202262E-03   2.21244598E+03   7.47285827E-01   9.93101588E-02   1.52283551E-01   5.04212674E-04   3.47426724E-04   6.34322751E-05   6.79615879E-06   5.27971229E-05  
  20               3.14763472E-03   2.23995877E+03   7.40044134E-01   1.07187713E-01   1.51652279E-01   5.02123135E-04   3.44956340E-04   6.31652272E-05   7.65869156E-06   5.25778260E-05  
  21               3.61745742E-03   2.26704717E+03   7.32731297E-01   1.15142661E-01   1.51014802E-01   5.00013004E-04   3.42399243E-04   6.28953971E-05   8.57479924E-06   5.23563526E-05  
  22               4.14872050E-03   2.29348411E+03   7.25524242E-01   1.22982543E-01   1.50386540E-01   4.97933345E-04   3.39812032E-04   6.26291942E-05   9.52605312E-06   5.21380488E-05  
  23               4.74946799E-03   2.31977807E+03   7.18197066E-01   1.30951083E-01   1.49747608E-01   4.95818327E-04   3.37116397E-04   6.23583194E-05   1.05375383E-05   5.19160169E-05  
  24               5.42480974E-03   2.34544643E+03   7.11016748E-01   1.38752753E-01   1.49122028E-01   4.93746697E-04   3.40734131E-04   6.20927911E-05   1.17965016E-05   5.16985873E-05  
  25               6.18404855E-03   2.37101052E+03   7.03742135E-01   1.46666188E-01   1.48487854E-01   4.91647385E-04   3.37866522E-04   6.18234536E-05   1.29157449E-05   5.14781485E-05  
  26               7.04208924E-03   2.39619825E+03   6.96603477E-01   1.54431734E-01   1.47865524E-01   4.89587265E-04   3.34975024E-04   6.15587735E-05   1.40659620E-05   5.12617822E-05  
  27               8.01106706E-03   2.42151924E+03   6.89314201E-01   1.62361132E-01   1.47230056E-01   4.87483625E-04   3.31951060E-04   6.12883370E-05   1.52846902E-05   5.10408242E-05  
  28               9.10435211E-03   2.44653091E+03   6.82169745E-01   1.70132997E-01   1.46607204E-01   4.85421739E-04   3.28905073E-04   6.10228519E-05   1.65322754E-05   5.08242024E-05  
  29               1.03366332E-02   2.47175300E+03   6.74855327E-01   1.78089757E-01   1.45969526E-01   4.83310749E-04   3.25713043E-04   6.07508858E-05   1.78525627E-05   5.06024004E-05  
  30               1.17208084E-02   2.49662176E+03   6.67731991E-01   1.85838660E-01   1.45348498E-01   4.81254865E-04   3.22517473E-04   6.04855390E-05   1.91927623E-05   5.03863305E-05  
  31               1.32744032E-02   2.52186473E+03   6.60333840E-01   1.93886520E-01   1.44703501E-01   4.79119612E-04   3.19127383E-04   6.02099031E-05   2.06220054E-05   5.01619090E-05  
  32               1.50172628E-02   2.54663522E+03   6.53250243E-01   2.01592207E-01   1.44085917E-01   4.77075105E-04   3.15785298E-04   5.99453315E-05   2.20500543E-05   4.99469470E-05  
  33               1.69713245E-02   2.57171460E+03   6.45966224E-01   2.09515924E-01   1.43450849E-01   4.74972700E-04   3.12274216E-04   5.96731398E-05   2.35562609E-05   4.97258771E-05  
  34               1.91607112E-02   2.59626467E+03   6.39079589E-01   2.17007364E-01   1.42850416E-01   4.72984954E-04   3.08853045E-04   5.94149752E-05   2.50428576E-05   4.95167649E-05  
  35               2.16117249E-02   2.62124229E+03   6.31933237E-01   2.24781336E-01   1.42227329E-01   4.70922191E-04   3.05234009E-04   5.91470143E-05   2.66163672E-05   4.92997481E-05  
  36               2.43528573E-02   2.64579752E+03   6.25138014E-01   2.32173346E-01   1.41634845E-01   4.68960738E-04   3.01691599E-04   5.88913689E-05   2.81724006E-05   4.90932859E-05  
  37               2.74149088E-02   2.67091240E+03   6.17998780E-01   2.39939586E-01   1.41012357E-01   4.66899933E-04   2.97907652E-04   5.86228565E-05   2.98294397E-05   4.88763677E-05  
  38               3.08310969E-02   2.69563359E+03   6.11205861E-01   2.47329097E-01   1.40420052E-01   4.64939048E-04   2.94204056E-04   5.83664569E-05   3.14647020E-05   4.86698543E-05  
  39               3.46372118E-02   2.72097498E+03   6.04027485E-01   2.55137925E-01   1.39794127E-01   4.62866841E-04   2.90232460E-04   5.80956818E-05   3.32079796E-05   4.84516293E-05  
  40               3.88717279E-02   2.74590138E+03   5.97220163E-01   2.62543111E-01   1.39200544E-01   4.60901697E-04   2.86359756E-04   5.78378910E-05   3.49193867E-05   4.82445527E-05  
  41               4.35761513E-02   2.77142407E+03   5.90045410E-01   2.70348003E-01   1.38574911E-01   4.58830427E-04   2.82221899E-04   5.75663741E-05   3.67340346E-05   4.80263069E-05  
  42               4.87951959E-02   2.79644602E+03   5.83312199E-01   2.77672571E-01   1.37987766E-01   4.56886570E-04   2.78227851E-04   5.73103654E-05   3.84968698E-05   4.78213356E-05  
  43               5.45771772E-02   2.82203114E+03   5.76238414E-01   2.85367625E-01   1.37370912E-01   4.54844336E-04   2.73979440E-04   5.70415984E-05   4.03547884E-05   4.76060042E-05  
  44               6.09741310E-02   2.84705667E+03   5.69656698E-01   2.92527389E-01   1.36796953E-01   4.52944101E-04   2.69914243E-04   5.67901355E-05   4.21435997E-05   4.74054698E-05  
  45               6.80422477E-02   2.87264924E+03   5.62735758E-01   3.00056167E-01   1.36193403E-01   4.50945873E-04   2.65594998E-04   5.65259592E-05   4.40231217E-05   4.71946137E-05  
  46               7.58419202E-02   2.89767696E+03   5.56316464E-01   3.07039230E-01   1.35633584E-01   4.49092411E-04   2.61478998E-04   5.62793992E-05   4.58241473E-05   4.69988391E-05  
  47               8.44381475E-02   2.92334286E+03   5.49510466E-01   3.14442955E-01   1.35040033E-01   4.47127240E-04   2.57083116E-04   5.60184122E-05   4.77207829E-05   4.67913062E-05  
  48               9.39006244E-02   2.94847793E+03   5.43185002E-01   3.21323925E-01   1.34488373E-01   4.45300739E-04   2.52893087E-04   5.57742479E-05   4.95362696E-05   4.65982123E-05  
  49               1.04304541E-01   2.97430609E+03   5.36439001E-01   3.28662353E-01   1.33900030E-01   4.43352751E-04   2.48403514E-04   5.55144423E-05   5.14492785E-05   4.63923364E-05  
  50               1.15731007E-01   2.99958965E+03   5.30188076E-01   3.35462203E-01   1.33354848E-01   4.41547629E-04   2.44141905E-04   5.52719495E-05   5.32719182E-05   4.62013336E-05  
  51               1.28267625E-01   3.02557385E+03   5.23520867E-01   3.42714876E-01   1.32773351E-01   4.39622234E-04   2.39583277E-04   5.50139739E-05   5.51857239E-05   4.59976756E-05  
  52               1.42006075E-01   3.05098139E+03   5.17374597E-01   3.49400826E-01   1.32237273E-01   4.37847167E-04   2.35282418E-04   5.47742050E-05   5.69981658E-05   4.58096664E-05  
  53               1.57046313E-01   3.07707751E+03   5.10829249E-01   3.56520872E-01   1.31666380E-01   4.35956780E-04   2.30696656E-04   5.45195807E-05   5.88921306E-05   4.56095203E-05  
  54               1.73497715E-01   3.10255341E+03   5.04839994E-01   3.63035946E-01   1.31143972E-01   4.34226864E-04   2.26405089E-04   5.42843785E-05   6.06729610E-05   4.54260778E-05  
  55               1.91480501E-01   3.12873203E+03   4.98456607E-01   3.69979721E-01   1.30587179E-01   4.32383037E-04   2.21834847E-04   5.40344952E-05   6.25282355E-05   4.52306450E-05  
  56               2.11125817E-01   3.15430794E+03   4.92623950E-01   3.76324345E-01   1.30078406E-01   4.30698121E-04   2.17570394E-04   5.38037787E-05   6.42682227E-05   4.50517449E-05  
  57               2.32577188E-01   3.18065872E+03   4.86365253E-01   3.83132365E-01   1.29532463E-01   4.28890053E-04   2.13010962E-04   5.35572295E-05   6.60827774E-05   4.48598873E-05  
  58               2.55990611E-01   3.20646146E+03   4.80627348E-01   3.89373787E-01   1.29031929E-01   4.27232234E-04   2.08751857E-04   5.33287061E-05   6.77856856E-05   4.46836486E-05  
  59               2.81536513E-01   3.23312473E+03   4.74425787E-01   3.96119502E-01   1.28490944E-01   4.25440364E-04   2.04177253E-04   5.30829991E-05   6.95635636E-05   4.44933133E-05  
  60               3.09399905E-01   3.25930503E+03   4.68709514E-01   4.02337225E-01   1.27992271E-01   4.23788465E-04   1.99891975E-04   5.28539791E-05   7.12348211E-05   4.43175144E-05  
  61               3.39783064E-01   3.28642599E+03   4.62499559E-01   4.09091875E-01   1.27450525E-01   4.21993793E-04   1.95275254E-04   5.26067045E-05   7.29786287E-05   4.41267094E-05  
  62               3.72906402E-01   3.31309667E+03   4.56763767E-01   4.15330615E-01   1.26950121E-01   4.20335841E-04   1.90950965E-04   5.23756482E-05   7.46164273E-05   4.39500936E-05  
  63               4.09012671E-01   3.34072910E+03   4.50548565E-01   4.22090723E-01   1.26407885E-01   4.18539172E-04   1.86308416E-04   5.21268465E-05   7.63152237E-05   4.37588983E-05  
