# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              C                Mg              
  1                1.00000000E-05   1.51300181E+03   5.89979946E-03   8.33156099E-01   1.59769377E-01   5.28954337E-04   4.90191830E-10   3.73043299E-04   5.13368227E-20   6.66003898E-05  
  2                1.19691625E-05   1.88447448E+03   1.67655627E-01   6.84457225E-01   1.46807086E-01   4.86065233E-04   1.22895032E-06   3.33804491E-04   4.05501400E-16   6.11968145E-05  
  3                1.39012485E-05   1.75699130E+03   5.84506800E-02   7.84847771E-01   1.55557486E-01   5.15032691E-04   9.55934659E-08   3.60421027E-04   3.05734359E-17   6.48442480E-05  
  4                1.60390136E-05   1.97100033E+03   2.56447723E-01   6.02832210E-01   1.39692017E-01   4.62509370E-04   3.97806407E-06   3.08395541E-04   1.88832890E-15   5.82305328E-05  
  5                1.84340685E-05   1.83536583E+03   9.60974077E-02   7.50239651E-01   1.52540919E-01   5.05049049E-04   3.22845001E-07   3.51480680E-04   1.61859999E-16   6.35862838E-05  
  6                2.11565402E-05   2.02480667E+03   3.09297300E-01   5.54248813E-01   1.35456784E-01   4.48487749E-04   7.03631707E-06   2.90779656E-04   4.60255418E-15   5.64647119E-05  
  7                2.42536288E-05   1.89177787E+03   1.27823082E-01   7.21074678E-01   1.49998790E-01   4.96634458E-04   6.71082999E-07   3.43465824E-04   4.89832054E-16   6.25260666E-05  
  8                2.78056842E-05   2.06837601E+03   3.47029742E-01   5.19562456E-01   1.32432785E-01   4.38476411E-04   1.02436210E-05   2.76521948E-04   9.21144154E-15   5.52037582E-05  
  9                3.18694955E-05   1.93980107E+03   1.56357707E-01   6.94843222E-01   1.47712319E-01   4.89065694E-04   1.15016074E-06   3.35801603E-04   1.19169508E-15   6.15723704E-05  
  10               3.65502783E-05   2.10745894E+03   3.76492976E-01   4.92477909E-01   1.30071339E-01   4.30658781E-04   1.35686521E-05   2.64090842E-04   1.68575882E-14   5.42189371E-05  
  11               4.19208149E-05   1.98407115E+03   1.83212448E-01   6.70156100E-01   1.45560411E-01   4.81942148E-04   1.78592967E-06   3.28128145E-04   2.59980645E-15   6.06747000E-05  
  12               4.81239729E-05   2.14454488E+03   4.01092086E-01   4.69864921E-01   1.28099604E-01   4.24131517E-04   1.70492603E-05   2.52639430E-04   2.94706637E-14   5.33965045E-05  
  13               5.52549091E-05   2.02682761E+03   2.09427557E-01   6.46057030E-01   1.43459704E-01   4.74987952E-04   2.62229639E-06   3.20147975E-04   5.34234515E-15   5.97982930E-05  
  14               6.35069538E-05   2.18104757E+03   4.22914816E-01   4.49804270E-01   1.26350284E-01   4.18340712E-04   2.07778817E-05   2.41557269E-04   5.03634979E-14   5.26667131E-05  
  15               7.30045277E-05   2.06941743E+03   2.35851908E-01   6.21765667E-01   1.41342168E-01   4.67977925E-04   3.72827682E-06   3.11561376E-04   1.06219586E-14   5.89147802E-05  
  16               8.40112130E-05   2.21792990E+03   4.43427954E-01   4.30947580E-01   1.24705826E-01   4.12897163E-04   2.48985765E-05   2.30323989E-04   8.53529341E-14   5.19805533E-05  
  17               9.66899277E-05   2.11279870E+03   2.63259818E-01   5.96570211E-01   1.39145738E-01   4.60706620E-04   5.21010538E-06   3.02028697E-04   2.07806051E-14   5.79982822E-05  
  18               1.11403389E-04   2.25594960E+03   4.63754029E-01   4.12262955E-01   1.23076255E-01   4.07502981E-04   2.96085527E-05   2.18453241E-04   1.44940411E-13   5.13005130E-05  
  19               1.28364787E-04   2.15774999E+03   2.92393737E-01   5.69788169E-01   1.36810893E-01   4.52976999E-04   7.22987146E-06   2.91142664E-04   4.04749109E-14   5.70239835E-05  
  20               1.48079716E-04   2.29580429E+03   4.84842330E-01   3.92877767E-01   1.21385465E-01   4.01906212E-04   3.51739970E-05   2.05446521E-04   2.48804892E-13   5.05948646E-05  
  21               1.70826960E-04   2.20499287E+03   3.23999112E-01   5.40734308E-01   1.34277857E-01   4.44591186E-04   1.00360728E-05   2.78392138E-04   7.92202035E-14   5.59669673E-05  
  22               1.97323578E-04   2.33818808E+03   5.07503504E-01   3.72046849E-01   1.19568450E-01   3.95891665E-04   4.19365751E-05   1.90799975E-04   4.35374078E-13   4.98365117E-05  
  23               2.27935296E-04   2.25533435E+03   3.58926181E-01   5.08627083E-01   1.31478434E-01   4.35323437E-04   1.40219242E-05   2.63084275E-04   1.57277996E-13   5.47988151E-05  
  24               2.63704350E-04   2.38398771E+03   5.32641225E-01   3.48939532E-01   1.17552733E-01   3.89219430E-04   5.03856557E-05   1.73900428E-04   7.84945328E-13   4.89952505E-05  
  25               3.05118235E-04   2.30996229E+03   3.98448592E-01   4.72294174E-01   1.28310152E-01   4.24834564E-04   1.98637058E-05   2.44134715E-04   3.20991042E-13   5.34768375E-05  
