# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             OH               Mg              
  1                1.00000000E-05   1.78466956E+03   7.59369203E-01   8.61663203E-02   1.53336668E-01   5.07680759E-04   3.54081552E-04   2.30879451E-07   2.65431975E-06   6.39189353E-05  
  2                5.04451521E-05   1.92186400E+03   7.35484557E-01   1.12147955E-01   1.51254809E-01   5.00795134E-04   3.46956662E-04   5.29038645E-07   4.70719705E-06   6.30477672E-05  
  3                9.19382429E-05   1.97534949E+03   7.27095004E-01   1.21274098E-01   1.50523525E-01   4.98376189E-04   3.44160720E-04   6.87360103E-07   5.66936367E-06   6.27407528E-05  
  4                1.37850545E-04   2.00776264E+03   7.24960339E-01   1.23596174E-01   1.50337447E-01   4.97761454E-04   3.43210405E-04   7.54640322E-07   6.13881021E-06   6.26612578E-05  
  5                1.89496042E-04   2.03775571E+03   7.20564579E-01   1.28377882E-01   1.49954275E-01   4.96493898E-04   3.41626022E-04   8.59665101E-07   6.74060005E-06   6.24997035E-05  
  6                2.48023939E-04   2.05963348E+03   7.19715095E-01   1.29301943E-01   1.49880220E-01   4.96249542E-04   3.41112402E-04   9.02344496E-07   7.05274542E-06   6.24670094E-05  
  7                3.14653518E-04   2.08343896E+03   7.16089852E-01   1.33245489E-01   1.49564207E-01   4.95204029E-04   3.39764807E-04   9.98806660E-07   7.57909036E-06   6.23334478E-05  
  8                3.90699676E-04   2.10166512E+03   7.15466914E-01   1.33923114E-01   1.49509899E-01   4.95024860E-04   3.39339589E-04   1.03657023E-06   7.85142728E-06   6.23089084E-05  
  9                4.77648987E-04   2.12292339E+03   7.12050273E-01   1.37639747E-01   1.49212066E-01   4.94039394E-04   3.38043665E-04   1.13505546E-06   8.36481625E-06   6.21828060E-05  
  10               5.77158271E-04   2.13965881E+03   7.11337776E-01   1.38414799E-01   1.49149950E-01   4.93834274E-04   3.37593647E-04   1.17581163E-06   8.63963175E-06   6.21548494E-05  
  11               6.91121254E-04   2.15983346E+03   7.07874233E-01   1.42182456E-01   1.48848024E-01   4.92835176E-04   3.36259839E-04   1.28292104E-06   9.17194512E-06   6.20268528E-05  
  12               8.21660136E-04   2.17611768E+03   7.06880352E-01   1.43263600E-01   1.48761378E-01   4.92548782E-04   3.35712417E-04   1.33295816E-06   9.47713108E-06   6.19884486E-05  
  13               9.71198687E-04   2.19603658E+03   7.03164802E-01   1.47305396E-01   1.48437481E-01   4.91476883E-04   3.34264786E-04   1.45588530E-06   1.00558872E-05   6.18510518E-05  
  14               1.14244826E-03   2.21256185E+03   7.01688486E-01   1.48911339E-01   1.48308778E-01   4.91051205E-04   3.33542036E-04   1.52320311E-06   1.04208344E-05   6.17948448E-05  
  15               1.33848873E-03   2.23289026E+03   6.97456174E-01   1.53515276E-01   1.47939829E-01   4.89830105E-04   3.31879339E-04   1.67324863E-06   1.10824945E-05   6.16383835E-05  
