# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.62516998E+03   8.20078521E-01   2.01264356E-02   1.58628585E-01   5.25190676E-04   3.69137786E-04   6.61249536E-05   5.50016140E-05   6.01658808E-05  
  2                1.01166371E-05   1.61505001E+03   8.21991259E-01   1.80457065E-02   1.58795364E-01   5.25741871E-04   3.69628840E-04   6.61944594E-05   5.50594431E-05   6.02291426E-05  
  3                1.02641690E-05   1.64719286E+03   8.15814722E-01   2.47646757E-02   1.58256848E-01   5.23961941E-04   3.68070109E-04   6.59699600E-05   5.48727139E-05   6.00248738E-05  
  4                1.04533605E-05   1.62038599E+03   8.21340319E-01   1.87538109E-02   1.58738610E-01   5.25554504E-04   3.69463122E-04   6.61707603E-05   5.50397611E-05   6.02076148E-05  
  5                1.06961324E-05   1.65181925E+03   8.15235115E-01   2.53951741E-02   1.58206323E-01   5.23795080E-04   3.67927388E-04   6.59488442E-05   5.48551908E-05   6.00057079E-05  
  6                1.10077739E-05   1.62444544E+03   8.21065901E-01   1.90523205E-02   1.58714690E-01   5.25475720E-04   3.69395993E-04   6.61607217E-05   5.50314623E-05   6.01985412E-05  
  7                1.14074824E-05   1.65696190E+03   8.14799331E-01   2.58692164E-02   1.58168339E-01   5.23669792E-04   3.67820694E-04   6.59329237E-05   5.48420141E-05   5.99912990E-05  
  8                1.19198821E-05   1.63004058E+03   8.20760518E-01   1.93845096E-02   1.58688075E-01   5.25388160E-04   3.69322666E-04   6.61495190E-05   5.50222261E-05   6.01884448E-05  
  9                1.25761596E-05   1.66369706E+03   8.14385652E-01   2.63192067E-02   1.58132287E-01   5.23551040E-04   3.67719784E-04   6.59177578E-05   5.48295035E-05   5.99776221E-05  
  10               1.34158121E-05   1.63784052E+03   8.20402884E-01   1.97735308E-02   1.58656910E-01   5.25285745E-04   3.69238150E-04   6.61363583E-05   5.50114080E-05   6.01766221E-05  
  11               1.44891043E-05   1.67267314E+03   8.13984241E-01   2.67558434E-02   1.58097310E-01   5.23436040E-04   3.67622078E-04   6.59029650E-05   5.48173602E-05   5.99643522E-05  
  12               1.58589551E-05   1.64835492E+03   8.20004049E-01   2.02073628E-02   1.58622160E-01   5.25171704E-04   3.69145592E-04   6.61216136E-05   5.49993404E-05   6.01634388E-05  
  13               1.76058480E-05   1.68439297E+03   8.13607181E-01   2.71659828E-02   1.58064462E-01   5.23328313E-04   3.67530311E-04   6.58889524E-05   5.48059476E-05   5.99518891E-05  
  14               1.98295697E-05   1.66195810E+03   8.19577794E-01   2.06710114E-02   1.58585028E-01   5.25050035E-04   3.69048476E-04   6.61057505E-05   5.49864378E-05   6.01493511E-05  
  15               2.26581601E-05   1.69919802E+03   8.13254551E-01   2.75495354E-02   1.58033753E-01   5.23227893E-04   3.67444113E-04   6.58756836E-05   5.47952651E-05   5.99402353E-05  
  16               2.62489149E-05   1.67889726E+03   8.19112709E-01   2.11768884E-02   1.58544519E-01   5.24917435E-04   3.68943283E-04   6.60883113E-05   5.49723520E-05   6.01339814E-05  
  17               3.08042288E-05   1.71732102E+03   8.12876872E-01   2.79603271E-02   1.58000867E-01   5.23120486E-04   3.67350437E-04   6.58613132E-05   5.47838132E-05   5.99277541E-05  
  18               3.65706748E-05   1.69934679E+03   8.18552714E-01   2.17860003E-02   1.58495744E-01   5.24757690E-04   3.68814243E-04   6.60672074E-05   5.49553831E-05   6.01154742E-05  
  19               4.38662811E-05   1.73890938E+03   8.12376751E-01   2.85043044E-02   1.57957314E-01   5.22977952E-04   3.67223446E-04   6.58422467E-05   5.47686428E-05   5.99112240E-05  
  20               5.30760370E-05   1.72333126E+03   8.17825596E-01   2.25769040E-02   1.58432404E-01   5.24549905E-04   3.68640537E-04   6.60397543E-05   5.49333421E-05   6.00914401E-05  
  21               6.46978118E-05   1.76386816E+03   8.11676875E-01   2.92655711E-02   1.57896352E-01   5.22777922E-04   3.67041362E-04   6.58156088E-05   5.47474104E-05   5.98880866E-05  
  22               7.93317329E-05   1.75057906E+03   8.16896404E-01   2.35876212E-02   1.58351452E-01   5.24283923E-04   3.68410423E-04   6.60046098E-05   5.49051654E-05   6.00607215E-05  
  23               9.77555217E-05   1.79180845E+03   8.10764106E-01   3.02584194E-02   1.57816834E-01   5.22516538E-04   3.66798121E-04   6.57808420E-05   5.47197110E-05   5.98579059E-05  
  24               1.20904342E-04   1.78055017E+03   8.15785914E-01   2.47955528E-02   1.58254696E-01   5.23965661E-04   3.68126650E-04   6.59624398E-05   5.48714723E-05   6.00240040E-05  
  25               1.49991608E-04   1.82210585E+03   8.09696569E-01   3.14196238E-02   1.57723826E-01   5.22210505E-04   3.66506152E-04   6.57399587E-05   5.46872916E-05   5.98226019E-05  
  26               1.86474658E-04   1.81252095E+03   8.14569969E-01   2.61181984E-02   1.58148749E-01   5.23616942E-04   3.67806951E-04   6.59158895E-05   5.48345448E-05   5.99837939E-05  
