# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              N2              
  1                1.00000000E-05   4.04127290E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.00774076E-17   1.51942890E-07   1.89952434E-104  2.30032353E-05   1.68257583E-39  
  2                9.74918755E-05   5.07719951E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.11352416E-17   1.51942890E-07   2.06880640E-106  2.30032353E-05   1.77026301E-41  
  3                2.00139653E-04   5.67528175E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.06941088E-17   1.51942890E-07   4.83941879E-107  2.30032353E-05   4.20057132E-42  
  4                3.20578366E-04   6.06717363E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.04176051E-17   1.51942890E-07   1.86922275E-107  2.30032353E-05   1.63721692E-42  
  5                4.61857987E-04   6.46122040E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.14619076E-17   1.51942890E-07   9.31477987E-108  2.30032353E-05   7.88783341E-43  
  6                6.27556091E-04   6.75407072E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.13732334E-17   1.51942890E-07   5.03105010E-108  2.30032353E-05   4.27237679E-43  
  7                8.21812785E-04   7.13023343E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.12331558E-17   1.51942890E-07   2.92061655E-108  2.30032353E-05   2.49131624E-43  
  8                1.04859131E-03   7.38522492E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.10678010E-17   1.51942890E-07   1.78444213E-108  2.30032353E-05   1.53024911E-43  
  9                1.31068910E-03   7.77444519E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.08990020E-17   1.51942890E-07   1.13592468E-108  2.30032353E-05   9.79434206E-44  
  10               1.61167077E-03   8.03725466E+01   8.38831792E-01   1.60608943E-01   5.31825822E-04   3.07431507E-17   1.51942890E-07   7.47481035E-109  2.30032353E-05   6.47771727E-44  
