# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              CO               N2              
  1                1.00000000E-05   3.86031604E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.54209229E-17   7.29486767E-08   2.30035088E-05   9.73900838E-105  3.87836436E-40  
  2                1.55347597E-04   5.08146052E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.70665646E-17   7.29486767E-08   2.30035088E-05   4.46623328E-107  1.60708752E-42  
  3                3.26907782E-04   5.54161779E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.61921768E-17   7.29486767E-08   2.30035088E-05   9.56883564E-108  3.62909294E-43  
  4                5.29418805E-04   6.02534431E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.80064376E-17   7.29486767E-08   2.30035088E-05   4.05726568E-108  1.38372530E-43  
  5                7.68376999E-04   6.35400945E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.77524008E-17   7.29486767E-08   2.30035088E-05   1.89894662E-108  6.56900958E-44  
  6                1.05024631E-03   6.71396189E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.74123331E-17   7.29486767E-08   2.30035088E-05   9.96962938E-109  3.51614099E-44  
  7                1.38256049E-03   6.97800462E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.70525248E-17   7.29486767E-08   2.30035088E-05   5.63410301E-109  2.02899196E-44  
  8                1.77355437E-03   7.33598608E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.67202463E-17   7.29486767E-08   2.30035088E-05   3.35705171E-109  1.23299011E-44  
  9                2.22961170E-03   7.58167519E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.64486148E-17   7.29486767E-08   2.30035088E-05   2.08965809E-109  7.80171603E-45  
  10               2.75753613E-03   7.97601339E+01   8.38831862E-01   1.60608951E-01   5.31825850E-04   1.62520291E-17   7.29486767E-08   2.30035088E-05   1.34980037E-109  5.10042287E-45  
