# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              CO               NH3              H                H2S             
  1                1.00000000E-05   4.72960499E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.48163955E-16   9.35722948E-104  6.15474265E-07   3.16582756E-109  2.30033123E-05  
  2                9.55416838E-05   6.06137529E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.48977092E-16   1.03071460E-105  6.15474265E-07   1.02421424E-109  2.30033123E-05  
  3                1.95901851E-04   6.75732450E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.48582578E-16   2.44509382E-106  6.15474265E-07   7.15266665E-110  2.30033123E-05  
  4                3.13614664E-04   7.40144070E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.48370359E-16   9.52706528E-107  6.15474265E-07   5.65313132E-110  2.30033123E-05  
  5                4.48842517E-04   7.86767323E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.49314179E-16   4.68077526E-107  6.15474265E-07   4.72541832E-110  2.30033123E-05  
  6                6.02000038E-04   8.44713560E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.49232046E-16   2.60060128E-107  6.15474265E-07   4.08027088E-110  2.30033123E-05  
  7                7.75743818E-04   8.82217609E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.49103716E-16   1.56479172E-107  6.15474265E-07   3.59441397E-110  2.30033123E-05  
  8                9.73947208E-04   9.46597588E+01   8.38831437E-01   1.60608834E-01   5.31825462E-04   1.48956305E-16   9.91728455E-108  6.15474265E-07   3.20789058E-110  2.30033123E-05  
  9                1.19975579E-03   1.01015594E+02   8.38828067E-01   1.60608189E-01   5.31823325E-04   1.52491374E-16   7.17584956E-107  6.20053389E-07   3.96490175E-109  2.30032199E-05  
  10               1.44692890E-03   1.07225301E+02   8.38801176E-01   1.60603040E-01   5.31806276E-04   4.04923344E-15   9.96882618E-100  4.66786162E-06   1.10581087E-102  2.30024824E-05  
  11               1.64085863E-03   1.11482508E+02   8.38801176E-01   1.60603040E-01   5.31806276E-04   3.08332165E-14   2.68997091E-95   3.66908084E-05   1.11279889E-98   2.30024824E-05  
  12               1.77649063E-03   1.14465993E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   2.74697324E-13   5.18528446E-92   3.67669639E-05   4.73294629E-96   2.30005242E-05  
  13               1.88151677E-03   1.16467847E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   2.75387348E-13   1.62619954E-90   1.21819227E-04   2.30276692E-94   2.30005242E-05  
  14               1.95775074E-03   1.18096043E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   1.01566001E-12   9.16561480E-89   1.21819227E-04   4.93814825E-93   2.30005242E-05  
  15               2.04708503E-03   1.19669534E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   1.01934447E-12   1.17948423E-87   1.21819227E-04   8.79476123E-92   2.30005242E-05  
  16               2.15173920E-03   1.21752710E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   4.97211550E-12   1.54839966E-85   1.21819227E-04   3.56446472E-90   2.30005242E-05  
  17               2.27430129E-03   1.23807656E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   4.99768533E-12   3.54409926E-84   1.21819227E-04   1.21166076E-88   2.30005242E-05  
  18               2.41778499E-03   1.26440129E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   3.24295617E-11   1.10506368E-81   1.21819227E-04   9.42200396E-87   2.30005242E-05  
  19               2.58569992E-03   1.29069329E+02   8.38729768E-01   1.60589368E-01   5.31761003E-04   3.24894539E-11   4.45742966E-80   1.21819227E-04   6.07987864E-85   2.30005242E-05  
  20               2.78214869E-03   1.32345326E+02   8.38729767E-01   1.60589368E-01   5.31761002E-04   9.69071945E-11   1.10039530E-77   1.21819227E-04   8.70820983E-83   2.30005242E-05  
  21               3.01192656E-03   1.35639954E+02   8.38729767E-01   1.60589368E-01   5.31761002E-04   2.73422089E-10   2.09382704E-75   1.21819227E-04   1.00328116E-80   2.30005242E-05  
  22               3.28062310E-03   1.39647592E+02   8.38729763E-01   1.60589367E-01   5.31761000E-04   9.10257517E-10   9.09920278E-73   1.21819226E-04   2.39637334E-78   2.30005241E-05  
  23               3.59489552E-03   1.42534256E+02   8.38729763E-01   1.60589367E-01   5.31761000E-04   5.15474698E-09   1.36477569E-70   1.21819226E-04   1.00624586E-76   2.30005241E-05  
  24               3.96252826E-03   1.46096236E+02   8.38729747E-01   1.60589364E-01   5.31760990E-04   5.17294998E-09   6.69355421E-69   1.21819224E-04   8.31155003E-75   2.30005236E-05  
  25               4.39253331E-03   1.48944042E+02   8.38729747E-01   1.60589364E-01   5.31760990E-04   2.47022534E-08   5.93354388E-67   1.21819224E-04   2.40062922E-73   2.30005236E-05  
  26               4.89538427E-03   1.52593035E+02   8.38729673E-01   1.60589350E-01   5.31760943E-04   2.47838585E-08   2.22928036E-65   1.21819213E-04   1.50082355E-71   2.30005216E-05  
  27               5.48322436E-03   1.55625232E+02   8.38729673E-01   1.60589350E-01   5.31760943E-04   1.12346422E-07   1.71166689E-63   1.21819213E-04   3.97140044E-70   2.30005216E-05  
  28               6.17019494E-03   1.59551331E+02   8.38729364E-01   1.60589290E-01   5.31760746E-04   1.12690253E-07   5.99004549E-62   1.21819168E-04   2.32109959E-68   2.30005131E-05  
  29               6.97285830E-03   1.62814066E+02   8.38729364E-01   1.60589290E-01   5.31760746E-04   4.81831063E-07   4.07664882E-60   1.21819168E-04   5.79539128E-67   2.30005131E-05  
  30               7.91047566E-03   1.66975833E+02   8.38728072E-01   1.60589043E-01   5.31759927E-04   4.83260800E-07   1.25278913E-58   1.21818980E-04   2.96109155E-65   2.30004777E-05  
  31               9.00534649E-03   1.70557253E+02   8.38728072E-01   1.60589043E-01   5.31759927E-04   2.02188649E-06   8.30155574E-57   1.21818980E-04   7.40279111E-64   2.30004777E-05  
  32               1.02832289E-02   1.75074434E+02   8.38723166E-01   1.60588104E-01   5.31756817E-04   2.02726646E-06   2.42840581E-55   1.21818268E-04   3.60008959E-62   2.30003432E-05  
  33               1.17737374E-02   1.78989126E+02   8.38723166E-01   1.60588104E-01   5.31756817E-04   7.87049054E-06   1.45628875E-53   1.21818268E-04   8.78967762E-61   2.30003432E-05  
  34               1.35109010E-02   1.83637695E+02   8.38699399E-01   1.60583553E-01   5.31741749E-04   7.89543661E-06   3.35486467E-52   1.21814816E-04   3.30019579E-59   2.29996914E-05  
  35               1.55324442E-02   1.87700747E+02   8.38699399E-01   1.60583553E-01   5.31741749E-04   3.62078815E-05   2.00186362E-50   1.21814816E-04   6.69492097E-58   2.29996914E-05  
  36               1.78772684E-02   1.94123559E+02   8.38624622E-01   1.60569236E-01   5.31694340E-04   3.62743865E-05   1.07154878E-48   1.21803955E-04   6.24566643E-56   2.29976408E-05  
  37               2.05849052E-02   2.02984057E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   1.25280765E-04   6.46097362E-46   1.21724008E-04   2.07571275E-53   2.29825460E-05  
  38               2.35565250E-02   2.11801191E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   4.46836395E-43   1.21724008E-04   4.13696378E-51   2.29825460E-05  
  39               2.66711200E-02   2.20194760E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   2.77344851E-41   1.21724008E-04   4.30324991E-49   2.29825460E-05  
  40               3.02810387E-02   2.29096722E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   1.58647480E-39   1.21724008E-04   4.08321117E-47   2.29825460E-05  
  41               3.44622374E-02   2.38467098E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   8.08124581E-38   1.21724008E-04   3.40432886E-45   2.29825460E-05  
  42               3.93029594E-02   2.48357603E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   3.70616288E-36   1.21724008E-04   2.52237437E-43   2.29825460E-05  
  43               4.49048754E-02   2.58732815E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   1.49321277E-34   1.21724008E-04   1.61739471E-41   2.29825460E-05  
  44               5.13845693E-02   2.69649136E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   5.35793318E-33   1.21724007E-04   9.10505935E-40   2.29825460E-05  
  45               5.88754954E-02   2.81069767E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   1.67965429E-31   1.21724005E-04   4.40846501E-38   2.29825460E-05  
  46               6.75310396E-02   2.93055464E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642046E-04   4.66992994E-30   1.21723997E-04   1.86529146E-36   2.29825460E-05  
  47               7.75295273E-02   3.05575070E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81642045E-04   1.13638096E-28   1.21723968E-04   6.80175192E-35   2.29825460E-05  
  48               8.90764466E-02   3.18698963E+02   8.38074181E-01   1.60463844E-01   5.31345356E-04   7.81641789E-04   2.46002253E-27   1.21723874E-04   2.17504044E-33   2.29825460E-05  
  49               1.02408035E-01   3.32393696E+02   8.38074180E-01   1.60463844E-01   5.31345355E-04   7.81641788E-04   4.68502373E-26   1.21723578E-04   6.02944396E-32   2.29825460E-05  
  50               1.17794084E-01   3.46731922E+02   8.38074182E-01   1.60463844E-01   5.31345355E-04   7.81640169E-04   7.96916284E-25   1.21722690E-04   1.47255423E-30   2.29825460E-05  
  51               1.35547507E-01   3.61681930E+02   8.38074177E-01   1.60463842E-01   5.31345349E-04   7.81640161E-04   1.20043843E-23   1.21720162E-04   3.14132147E-29   2.29825457E-05  
  52               1.56031810E-01   3.77331541E+02   8.38074189E-01   1.60463842E-01   5.31345347E-04   7.81631443E-04   1.62722024E-22   1.21713272E-04   5.95463276E-28   2.29825457E-05  
  53               1.79661046E-01   3.93646181E+02   8.38073860E-01   1.60463774E-01   5.31345122E-04   7.81631111E-04   1.96957355E-21   1.21695365E-04   9.95291750E-27   2.29825359E-05  
  54               2.06907520E-01   4.10710149E+02   8.38074263E-01   1.60463799E-01   5.31345206E-04   7.81224529E-04   2.15611144E-20   1.21650946E-04   1.48793668E-25   2.29825396E-05  
  55               2.38306333E-01   4.28475595E+02   8.38074331E-01   1.60463782E-01   5.31345149E-04   7.81224763E-04   2.11987777E-19   1.21545837E-04   1.97382887E-24   2.29825371E-05  
  56               2.74488806E-01   4.47045019E+02   8.38074440E-01   1.60463736E-01   5.31344997E-04   7.81233112E-04   1.89798441E-18   1.21306959E-04   2.35935017E-23   2.29825305E-05  
  57               3.16206412E-01   4.66393179E+02   8.38074224E-01   1.60463583E-01   5.31344492E-04   7.81425933E-04   1.54123251E-17   1.20791448E-04   2.53168826E-22   2.29825087E-05  
  58               3.64361051E-01   4.86652272E+02   8.38070460E-01   1.60462890E-01   5.31342196E-04   7.83158417E-04   1.15394389E-16   1.19728269E-04   2.47775056E-21   2.29824094E-05  
  59               4.20142988E-01   5.07845596E+02   8.38074815E-01   1.60462822E-01   5.31341970E-04   7.79899404E-04   7.89540826E-16   1.17673976E-04   2.21314621E-20   2.29823996E-05  
  60               4.85164702E-01   5.30222561E+02   8.38077273E-01   1.60462226E-01   5.31339997E-04   7.79896515E-04   5.09047570E-15   1.13959924E-04   1.84448479E-19   2.29823142E-05  
  61               5.61678593E-01   5.53950320E+02   8.38081303E-01   1.60461249E-01   5.31336761E-04   7.79891783E-04   3.09865099E-14   1.07870068E-04   1.44621392E-18   2.29821743E-05  
  62               6.52910325E-01   5.79483798E+02   8.38087239E-01   1.60459810E-01   5.31331997E-04   7.79884834E-04   1.82542306E-13   9.89022789E-05   1.09671823E-17   2.29819682E-05  
  63               7.63213940E-01   6.07141081E+02   8.38094875E-01   1.60457959E-01   5.31325865E-04   7.79875946E-04   1.04600079E-12   8.73631016E-05   8.10443588E-17   2.29817030E-05  
  64               8.97982220E-01   6.37381092E+02   8.38103517E-01   1.60455863E-01   5.31318922E-04   7.79866035E-04   5.89140363E-12   7.43048089E-05   5.90617590E-16   2.29814029E-05  
  65               1.06341676E+00   6.70328659E+02   8.38112128E-01   1.60453775E-01   5.31311978E-04   7.79856530E-04   3.21415416E-11   6.12904760E-05   4.18255281E-15   2.29811038E-05  
  66               1.26558409E+00   7.06037074E+02   8.38119902E-01   1.60451884E-01   5.31305580E-04   7.79848783E-04   1.67510718E-10   4.95231048E-05   2.83255691E-14   2.29808330E-05  
  67               1.50926137E+00   7.43978333E+02   8.38126306E-01   1.60450304E-01   5.31299703E-04   7.79843943E-04   8.04570266E-10   3.97491608E-05   1.76308693E-13   2.29806066E-05  
  68               1.79747743E+00   7.83620836E+02   8.38131212E-01   1.60449025E-01   5.31292772E-04   7.79842172E-04   3.48641607E-09   3.20283983E-05   9.83354533E-13   2.29804232E-05  
  69               2.13336886E+00   8.24348256E+02   8.38134946E-01   1.60448041E-01   5.31279551E-04   7.79840784E-04   1.34104875E-08   2.61261088E-05   4.82602140E-12   2.29802815E-05  
  70               2.51975645E+00   8.65891569E+02   8.38137908E-01   1.60447303E-01   5.31244449E-04   7.79828320E-04   4.59791770E-08   2.16348242E-05   2.09068411E-11   2.29845623E-05  
  71               2.95870293E+00   9.07741712E+02   8.38140115E-01   1.60446705E-01   5.31148066E-04   7.79768665E-04   1.40185590E-07   1.82407303E-05   7.97335929E-11   2.30109735E-05  
  72               3.45190839E+00   9.49733468E+02   8.38141646E-01   1.60446137E-01   5.30901714E-04   7.79576331E-04   3.84252025E-07   1.56465456E-05   2.70710723E-10   2.31106837E-05  
  73               4.00318960E+00   9.91665048E+02   8.38142341E-01   1.60445440E-01   5.30329282E-04   7.79075857E-04   9.53599321E-07   1.36521908E-05   8.25533652E-10   2.34415608E-05  
  74               4.61823464E+00   1.03374904E+03   8.38143366E-01   1.60444654E-01   5.29101682E-04   7.77940597E-04   2.17717810E-06   1.20855642E-05   2.30341187E-09   2.42833156E-05  
  75               5.30331928E+00   1.07590106E+03   8.38147235E-01   1.60443665E-01   5.26677314E-04   7.75674764E-04   4.59583793E-06   1.08477831E-05   5.92743725E-09   2.42830573E-05  
  76               6.06590247E+00   1.11835496E+03   8.38153620E-01   1.60442054E-01   5.22203567E-04   7.71390418E-04   9.06027480E-06   9.85020075E-06   1.42641268E-08   2.42826178E-05  
  77               6.91540949E+00   1.16108911E+03   8.38164044E-01   1.60439452E-01   5.14550665E-04   7.63954503E-04   1.66984258E-05   9.04404263E-06   3.22941636E-08   2.42818870E-05  
  78               7.86601362E+00   1.20452082E+03   8.38180452E-01   1.60435384E-01   5.02265795E-04   7.51911004E-04   2.89608044E-05   8.37918376E-06   6.97039250E-08   2.42807076E-05  
  79               8.93758903E+00   1.24886741E+03   8.38204679E-01   1.60429400E-01   4.83961970E-04   7.33866951E-04   4.72322810E-05   7.83008430E-06   1.44418371E-07   2.42788837E-05  
  80               1.01543227E+01   1.29463143E+03   8.38238186E-01   1.60421136E-01   4.58525578E-04   7.08703666E-04   7.26246543E-05   7.36932167E-06   2.90156424E-07   2.42761550E-05  
  81               1.15447051E+01   1.34196888E+03   8.38280817E-01   1.60410614E-01   4.26041569E-04   6.76498089E-04   1.05052647E-04   6.98615598E-06   5.66845365E-07   2.42722041E-05  
  82               1.31400870E+01   1.39123695E+03   8.38330992E-01   1.60398179E-01   3.87629274E-04   6.38366201E-04   1.43397288E-04   6.66588037E-06   1.08230875E-06   2.42664645E-05  
  83               1.49766263E+01   1.44245815E+03   8.38385188E-01   1.60384602E-01   3.45769843E-04   5.96803600E-04   1.85178691E-04   6.40415551E-06   2.01898136E-06   2.42575274E-05  
  84               1.70955313E+01   1.49587907E+03   8.38439439E-01   1.60370611E-01   3.02975510E-04   5.54433567E-04   2.27884588E-04   6.19239116E-06   3.68915928E-06   2.42402209E-05  
  85               1.95281210E+01   1.55110222E+03   8.38488506E-01   1.60356885E-01   2.61976589E-04   5.14365859E-04   2.68784172E-04   6.02964072E-06   6.57118681E-06   2.41945161E-05  
  86               2.22744480E+01   1.60737162E+03   8.38515324E-01   1.60341415E-01   2.24622683E-04   4.79184326E-04   3.06018895E-04   5.91081688E-06   1.13370200E-05   2.40467631E-05  
  87               2.52802879E+01   1.66294357E+03   8.38535885E-01   1.60329219E-01   1.88968128E-04   4.63752834E-04   3.41555275E-04   5.83461371E-06   1.86979143E-05   2.27592001E-05  
  88               2.84796781E+01   1.71668717E+03   8.38556552E-01   1.60319540E-01   1.62862835E-04   4.39333580E-04   3.67536824E-04   5.79313729E-06   2.93628350E-05   2.26828159E-05  
  89               3.17918839E+01   1.76742975E+03   8.38557544E-01   1.60309816E-01   1.41158584E-04   4.23593715E-04   3.89110518E-04   5.78084979E-06   4.37724131E-05   2.25285079E-05  
  90               3.51413350E+01   1.81468522E+03   8.38532361E-01   1.60298878E-01   1.21893720E-04   4.20698416E-04   4.08245104E-04   5.78916297E-06   6.21455468E-05   2.21990698E-05  
  91               3.83887158E+01   1.85712050E+03   8.38470748E-01   1.60285142E-01   1.04199918E-04   4.34587171E-04   4.25820453E-04   5.81275979E-06   8.37520952E-05   2.16732478E-05  
  92               4.12886003E+01   1.89268682E+03   8.38399064E-01   1.60273651E-01   8.85750258E-05   4.65281217E-04   4.41367826E-04   5.84272355E-06   1.06370359E-04   2.10601352E-05  
  93               4.37433262E+01   1.92118967E+03   8.38387153E-01   1.60270006E-01   8.24882194E-05   4.59264744E-04   4.47373116E-04   5.87431640E-06   1.27943833E-04   2.10435009E-05  
  94               4.64446492E+01   1.95115748E+03   8.38370311E-01   1.60266077E-01   7.67262516E-05   4.53577742E-04   4.53044238E-04   5.91299307E-06   1.54396315E-04   2.10251469E-05  
  95               4.94067784E+01   1.98236589E+03   8.38336629E-01   1.60259716E-01   7.13743450E-05   4.48301366E-04   4.58288353E-04   5.96047034E-06   1.86534321E-04   2.10045987E-05  
  96               5.18028123E+01   2.00655968E+03   8.38315236E-01   1.60256270E-01   6.76131751E-05   4.44609897E-04   4.61966821E-04   6.00118038E-06   2.15050479E-04   2.09876843E-05  
  97               5.36260208E+01   2.02431415E+03   8.38297277E-01   1.60253630E-01   6.50666951E-05   4.42109131E-04   4.64449752E-04   6.03410422E-06   2.38140266E-04   2.09745578E-05  
  98               5.56794900E+01   2.04377526E+03   8.38275254E-01   1.60250609E-01   6.24466144E-05   4.39546918E-04   4.66997421E-04   6.07198227E-06   2.65728519E-04   2.09593047E-05  
  99               5.79830387E+01   2.06485358E+03   8.38248504E-01   1.60247177E-01   5.98187994E-05   4.36985483E-04   4.69543210E-04   6.11644196E-06   2.98446793E-04   2.09418048E-05  
  100              6.05581127E+01   2.08767154E+03   8.38215957E-01   1.60243239E-01   5.71778397E-05   4.34421967E-04   4.72091144E-04   6.16707360E-06   3.37461153E-04   2.09214241E-05  
  101              6.34263158E+01   2.11213168E+03   8.38144344E-01   1.60232558E-01   5.45764243E-05   4.31897852E-04   4.74567110E-04   6.22504957E-06   3.83695174E-04   2.08971202E-05  
