# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H                H2S             
  1                1.00000000E-05   4.53531910E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   4.95308834E-17   2.41783628E-07   3.12809920E-104  3.16582812E-109  2.30011734E-05  
  2                1.54145563E-04   6.12056960E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.34850682E-17   2.41783628E-07   1.42159189E-106  8.06346709E-110  2.30011734E-05  
  3                3.24287082E-04   6.58677792E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.13556996E-17   2.41783628E-07   3.08413794E-107  5.55933069E-110  2.30011734E-05  
  4                5.25124486E-04   7.36266026E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.58144622E-17   2.41783628E-07   1.27828192E-107  4.36873999E-110  2.30011734E-05  
  5                7.57872250E-04   7.79557141E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.51985807E-17   2.41783628E-07   6.06932430E-108  3.63654805E-110  2.30011734E-05  
  6                1.02460141E-03   8.27332803E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.43928174E-17   2.41783628E-07   3.27217182E-108  3.12759030E-110  2.30011734E-05  
  7                1.32902197E-03   8.73246794E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.35576943E-17   2.41783628E-07   1.91497009E-108  2.74613101E-110  2.30011734E-05  
  8                1.67818880E-03   9.25739625E+01   8.38831738E-01   1.60608905E-01   5.31825697E-04   5.27863808E-17   2.41783628E-07   1.18370830E-108  2.44380711E-110  2.30011734E-05  
  9                2.07822586E-03   9.98840009E+01   8.38830766E-01   1.60608719E-01   5.31825081E-04   4.79545292E-17   2.43110541E-07   7.01210787E-109  2.19604107E-110  2.30011468E-05  
  10               2.53204880E-03   1.05375904E+02   8.38814685E-01   1.60605640E-01   5.31814885E-04   8.59673298E-16   1.42100992E-06   1.44351551E-102  1.17549809E-104  2.30007058E-05  
  11               2.96673136E-03   1.11748280E+02   8.38814685E-01   1.60605640E-01   5.31814885E-04   1.94053909E-14   2.05705641E-05   8.58063091E-96   1.44292979E-98   2.30007058E-05  
  12               3.29476243E-03   1.14607389E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   6.75599467E-14   2.06627798E-05   4.78577376E-93   4.60243330E-96   2.29983770E-05  
  13               3.52312380E-03   1.18085826E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   3.50381275E-13   1.21819235E-04   9.59552757E-90   3.61148195E-93   2.29983770E-05  
  14               3.65854685E-03   1.18536620E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   3.51364729E-13   1.21819235E-04   1.91500043E-89   8.20448118E-93   2.29983770E-05  
  15               3.81833541E-03   1.21190608E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   1.40634181E-12   1.21819235E-04   5.63170847E-87   9.91235646E-91   2.29983770E-05  
  16               4.00680966E-03   1.22071020E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   1.41213709E-12   1.21819235E-04   2.10843561E-86   4.56517621E-90   2.29983770E-05  
  17               4.22903761E-03   1.25265858E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   7.62888389E-12   1.21819235E-04   1.45966055E-83   1.03098982E-87   2.29983770E-05  
  18               4.49095979E-03   1.26671897E+02   8.38729755E-01   1.60589379E-01   5.31761039E-04   7.67360632E-12   1.21819235E-04   1.06892148E-82   1.00817716E-86   2.29983770E-05  
