# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              H               
  1                1.00000000E-05   4.60081028E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.56948750E-17   1.17638127E-07   1.62274752E-104  2.30026878E-05   3.16582827E-109 
  2                4.68433160E-04   6.48768451E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.73880345E-17   1.17638127E-07   7.88261020E-108  2.30026878E-05   4.62555168E-110 
  3                1.00680742E-03   7.10037383E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.69645155E-17   1.17638127E-07   1.67998055E-108  2.30026878E-05   3.15510742E-110 
  4                1.63080683E-03   7.92696372E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.65303256E-17   1.17638127E-07   6.30002078E-109  2.30026878E-05   2.47905460E-110 
  5                2.33846268E-03   8.25395308E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.62527968E-17   1.17638127E-07   3.03192976E-109  2.30026878E-05   2.07024685E-110 
  6                3.14269455E-03   8.96210532E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.54638125E-17   1.17638127E-07   1.62825915E-109  2.30026878E-05   1.78581418E-110 
  7                4.06406077E-03   9.26554058E+01   8.38831817E-01   1.60608951E-01   5.31825850E-04   2.54056397E-17   1.17638127E-07   9.71435998E-110  2.30026878E-05   1.57038904E-110 
  8                5.12373258E-03   1.00479068E+02   8.38831211E-01   1.60608836E-01   5.31825467E-04   2.59441431E-17   1.18466067E-07   1.92259447E-109  2.30026712E-05   4.84203393E-110 
  9                6.33132410E-03   1.06537946E+02   8.38826023E-01   1.60607842E-01   5.31822177E-04   6.43039130E-16   8.46335875E-07   1.99379520E-102  2.30025289E-05   1.10244487E-103 
  10               7.60880360E-03   1.13804507E+02   8.38796831E-01   1.60602253E-01   5.31803669E-04   2.01479932E-14   7.06194857E-06   6.22711479E-95   2.30017284E-05   6.08931121E-97  
  11               8.53920716E-03   1.17063966E+02   8.38796831E-01   1.60602253E-01   5.31803669E-04   7.90962751E-14   4.18251632E-05   6.39082173E-92   2.30017284E-05   3.37839068E-94  
  12               9.20962069E-03   1.20858597E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   5.74662586E-13   4.18963374E-05   2.30973413E-88   2.29998883E-05   3.53474316E-91  
  13               9.74898498E-03   1.22052648E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   5.76057620E-13   1.21819255E-04   1.41096955E-87   2.29998883E-05   2.83411395E-90  
  14               1.01621044E-02   1.24663830E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   2.07223476E-12   1.21819255E-04   2.74817996E-85   2.29998883E-05   2.43433498E-88  
  15               1.06491899E-02   1.25514606E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   2.07967934E-12   1.21819255E-04   9.13829442E-85   2.29998883E-05   9.81415489E-88  
  16               1.12232338E-02   1.28664928E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   1.00640011E-11   1.21819255E-04   4.10733255E-82   2.29998883E-05   1.54654371E-85  
  17               1.18994808E-02   1.30062618E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   1.01157553E-11   1.21819255E-04   2.67659983E-81   2.29998883E-05   1.32582228E-84  
  18               1.26958129E-02   1.33870821E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   6.56221866E-11   1.21819255E-04   2.77868388E-78   2.29998883E-05   3.85016912E-82  
  19               1.36331619E-02   1.35911881E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   6.60800213E-11   1.21819255E-04   3.50975016E-77   2.29998883E-05   6.92828511E-81  
  20               1.47360165E-02   1.40495348E+02   8.38729729E-01   1.60589405E-01   5.31761126E-04   5.57109027E-10   1.21819255E-04   7.73505257E-74   2.29998883E-05   3.49018252E-78  
  21               1.60329795E-02   1.43274271E+02   8.38729725E-01   1.60589404E-01   5.31761123E-04   5.62008927E-10   1.21819254E-04   1.77640022E-72   2.29998882E-05   1.22631615E-76  
