# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                CO              
  1                1.00000000E-05   4.98137584E+01   8.38831864E-01   1.60608967E-01   5.31825903E-04   1.16724492E-17   5.30210947E-08   2.30013141E-05   3.16582836E-109  7.37167885E-105 
  2                1.46337620E-03   6.77020554E+01   8.38831864E-01   1.60608967E-01   5.31825903E-04   1.09912663E-17   5.30210947E-08   2.30013141E-05   1.20214747E-109  2.45735097E-105 
  3                3.13113892E-03   8.04704048E+01   8.38831864E-01   1.60608967E-01   5.31825903E-04   1.06436631E-17   5.30210947E-08   2.30013141E-05   1.94215177E-110  1.33755033E-109 
  4                4.96827399E-03   8.64465715E+01   8.38831864E-01   1.60608967E-01   5.31825903E-04   1.09025885E-17   5.30210947E-08   2.30013141E-05   1.46756805E-110  3.74363373E-110 
  5                7.03862635E-03   9.40126998E+01   8.38831680E-01   1.60608932E-01   5.31825786E-04   1.07633509E-17   5.32732567E-08   2.30013091E-05   1.21548419E-110  1.62919287E-110 
  6                9.39497201E-03   9.96630475E+01   8.38830436E-01   1.60608694E-01   5.31824997E-04   2.45510370E-16   2.74447007E-07   2.30012750E-05   6.67739550E-103  3.80296095E-102 
  7                1.20325536E-02   1.07959845E+02   8.38820578E-01   1.60606806E-01   5.31818748E-04   5.10691040E-15   1.76856276E-06   2.30010047E-05   6.04474967E-97   1.48004590E-95  
  8                1.46032205E-02   1.14513221E+02   8.38810905E-01   1.60604954E-01   5.31812615E-04   4.67421419E-14   1.35197180E-05   2.30007394E-05   1.02185205E-92   7.21837158E-91  
  9                1.66853422E-02   1.19666802E+02   8.38778102E-01   1.60598674E-01   5.31791817E-04   1.88101697E-13   2.50757985E-05   2.29998399E-05   2.77057761E-90   3.50111088E-88  
  10               1.82538606E-02   1.22849784E+02   8.38753912E-01   1.60594042E-01   5.31776481E-04   8.91693969E-13   6.41704288E-05   2.29991766E-05   2.32202025E-88   8.95888797E-86  
  11               1.93982279E-02   1.25481423E+02   8.38729723E-01   1.60589411E-01   5.31761144E-04   1.56074033E-12   9.30077674E-05   2.29985133E-05   4.54098804E-87   1.28598851E-84  
  12               2.04342396E-02   1.27294118E+02   8.38729723E-01   1.60589411E-01   5.31761144E-04   4.51900971E-12   1.21819259E-04   2.29985133E-05   1.66489596E-85   1.33036918E-82  
  13               2.14953018E-02   1.29604794E+02   8.38729723E-01   1.60589411E-01   5.31761144E-04   6.92419237E-12   1.21819259E-04   2.29985133E-05   3.82151804E-84   2.21552789E-81  
  14               2.27449238E-02   1.31662761E+02   8.38729723E-01   1.60589411E-01   5.31761144E-04   2.40978378E-11   1.21819259E-04   2.29985133E-05   2.56761937E-82   5.21548606E-79  
  15               2.42159090E-02   1.34562487E+02   8.38729722E-01   1.60589411E-01   5.31761144E-04   3.89938326E-11   1.21819259E-04   2.29985133E-05   1.13530517E-80   1.53739771E-77  
  16               2.59465994E-02   1.37264747E+02   8.38729722E-01   1.60589410E-01   5.31761144E-04   1.73488391E-10   1.21819259E-04   2.29985133E-05   1.50948292E-78   8.96747145E-75  
