# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           H               
  1                1.00000000E-05   4.80400313E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   6.62814436E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   3.16582839E-109 
  2                7.00953859E-05   4.93268226E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.36953848E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   1.19575624E-109 
  3                1.44468223E-04   5.17364417E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.19577929E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   8.32916001E-110 
  4                2.36508094E-04   5.32182779E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   6.99494687E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   6.50975083E-110 
  5                3.50392123E-04   5.59525625E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   6.85076931E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   5.34823156E-110 
  6                4.91264505E-04   5.78284919E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.49442203E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   4.51678769E-110 
  7                6.65464720E-04   6.01796638E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.43852836E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   3.88083208E-110 
  8                8.80772785E-04   6.29762051E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.35119294E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   3.37330358E-110 
  9                1.14679404E-03   6.46148498E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.24432282E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   2.95627381E-110 
  10               1.47522590E-03   6.77038095E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.13096369E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   2.60650226E-110 
  11               1.88050749E-03   6.92414044E+01   8.38831882E-01   1.60608974E-01   5.31825924E-04   7.02465443E-18   3.18495589E-08   2.30041662E-05   0.00000000E+00   2.30860609E-110 
