# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  1                1.00000000E-05   5.81749861E+01   8.38830282E-01   1.60608619E-01   3.30376459E-16   5.31824749E-04   2.08648383E-103  1.98659983E-06   3.16582538E-109  2.87631874E-37  
  2                1.23258760E-04   8.48072015E+01   8.38830282E-01   1.60608619E-01   3.12843022E-16   5.31824749E-04   1.30045944E-105  1.98659983E-06   9.01733198E-110  1.89322148E-39  
  3                2.40795115E-04   9.35747651E+01   8.38729763E-01   1.60589373E-01   4.13831179E-16   5.31761019E-04   4.50748084E-106  2.09796078E-06   6.45076318E-110  5.53309026E-40  
  4                3.22272429E-04   1.10827304E+02   8.38729763E-01   1.60589373E-01   1.13868180E-13   5.31761019E-04   7.34258273E-94   1.21819230E-04   6.30517726E-99   1.67889949E-32  
  5                3.46810535E-04   1.13369009E+02   8.38729763E-01   1.60589373E-01   3.60291605E-13   5.31761019E-04   2.41044295E-91   1.21819230E-04   1.18343865E-96   1.08684898E-31  
  6                3.74921701E-04   1.22976372E+02   8.38729763E-01   1.60589373E-01   2.40075572E-11   5.31761019E-04   1.71354472E-82   1.21819230E-04   7.18914885E-89   9.11275325E-29  
  7                4.07187851E-04   1.23470625E+02   8.38729763E-01   1.60589373E-01   2.44167526E-11   5.31761019E-04   3.20013865E-82   1.21819230E-04   1.61170844E-88   1.07073435E-28  
  8                4.44280674E-04   1.31553727E+02   8.38729763E-01   1.60589373E-01   4.63393950E-10   5.31761019E-04   6.99332591E-76   1.21819230E-04   6.65824993E-83   1.33789580E-26  
  9                4.86935052E-04   1.31858798E+02   8.38729759E-01   1.60589372E-01   4.67332902E-10   5.31761016E-04   8.92244779E-76   1.21819230E-04   1.00607591E-82   1.32975511E-26  
  10               5.36026099E-04   1.39229186E+02   8.38729759E-01   1.60589372E-01   4.69299189E-09   5.31761016E-04   1.05191638E-70   1.21819230E-04   3.38185532E-78   6.33213376E-25  
  11               5.92532395E-04   1.39434990E+02   8.38729739E-01   1.60589368E-01   4.71549789E-09   5.31761003E-04   1.11374126E-70   1.21819227E-04   4.24117207E-78   5.76915260E-25  
  12               6.57604257E-04   1.46297830E+02   8.38729739E-01   1.60589368E-01   2.88605081E-08   5.31761003E-04   1.69857752E-66   1.21819227E-04   2.60952447E-74   1.42240252E-23  
  13               7.32550305E-04   1.46214823E+02   8.38729663E-01   1.60589353E-01   2.89451439E-08   5.31760955E-04   1.25128027E-66   1.21819216E-04   2.23436578E-74   1.10190182E-23  
