# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                H2S             
  1                1.00000000E-05   5.37305886E+01   8.38831354E-01   1.60608862E-01   1.46668664E-16   5.31825556E-04   9.26279940E-104  6.71089357E-07   3.16582740E-109  2.30041131E-05  
  2                1.51173948E-04   7.03479983E+01   8.38831354E-01   1.60608862E-01   1.47257875E-16   5.31825556E-04   4.06939216E-106  6.71089357E-07   8.14233106E-110  2.30041131E-05  
  3                3.16497167E-04   7.70746583E+01   8.38831354E-01   1.60608862E-01   1.46878966E-16   5.31825556E-04   9.26029610E-107  6.71089357E-07   5.62732917E-110  2.30041131E-05  
  4                5.01880170E-04   8.70896907E+01   8.38831354E-01   1.60608862E-01   1.47828045E-16   5.31825556E-04   3.70648019E-107  6.71089357E-07   4.46876190E-110  2.30041131E-05  
  5                7.10744200E-04   9.12387337E+01   8.38831354E-01   1.60608862E-01   1.47685937E-16   5.31825556E-04   1.84636440E-107  6.71089357E-07   3.75517837E-110  2.30041131E-05  
  6                9.49377223E-04   1.00632967E+02   8.38826314E-01   1.60607897E-01   1.53505338E-16   5.31822360E-04   4.74525906E-107  6.77916668E-07   1.67213239E-109  2.30039749E-05  
  7                1.20611762E-03   1.07769952E+02   8.38800094E-01   1.60602877E-01   6.46086185E-15   5.31805737E-04   6.97660711E-99   6.71318122E-06   4.13544296E-102  2.30032559E-05  
  8                1.39656088E-03   1.13763890E+02   8.38729731E-01   1.60589405E-01   2.09215700E-13   5.31761126E-04   1.78205781E-92   3.80119710E-05   1.30967038E-96   2.30013262E-05  
  9                1.49149554E-03   1.15351362E+02   8.38729731E-01   1.60589405E-01   2.09920438E-13   5.31761126E-04   2.75304022E-91   1.21819255E-04   2.96522889E-95   2.30013262E-05  
  10               1.56174886E-03   1.17923340E+02   8.38729731E-01   1.60589405E-01   9.65755949E-13   5.31761126E-04   1.02065245E-88   1.21819255E-04   4.00184197E-93   2.30013262E-05  
  11               1.64461670E-03   1.19040261E+02   8.38729731E-01   1.60589405E-01   9.70554668E-13   5.31761126E-04   6.10263679E-88   1.21819255E-04   3.10247119E-92   2.30013262E-05  
  12               1.74233231E-03   1.22164230E+02   8.38729731E-01   1.60589405E-01   6.11720539E-12   5.31761126E-04   5.60276583E-85   1.21819255E-04   8.14805769E-90   2.30013262E-05  
  13               1.85751591E-03   1.23824659E+02   8.38729731E-01   1.60589405E-01   6.16040008E-12   5.31761126E-04   6.72380308E-84   1.21819255E-04   1.38005394E-88   2.30013262E-05  
  14               1.99323914E-03   1.27614170E+02   8.38729731E-01   1.60589405E-01   5.24869153E-11   5.31761126E-04   1.48330548E-80   1.21819255E-04   6.91791603E-86   2.30013262E-05  
  15               2.15310526E-03   1.29913409E+02   8.38729731E-01   1.60589405E-01   5.29842383E-11   5.31761126E-04   3.47087738E-79   1.21819255E-04   2.47578886E-84   2.30013262E-05  
  16               2.34135856E-03   1.34479903E+02   8.38729731E-01   1.60589405E-01   5.86366052E-10   5.31761126E-04   1.63384352E-75   1.21819255E-04   2.16657092E-81   2.30013262E-05  
  17               2.56297917E-03   1.37504153E+02   8.38729727E-01   1.60589404E-01   5.90427486E-10   5.31761123E-04   6.75688317E-74   1.21819254E-04   1.47453224E-79   2.30013261E-05  
  18               2.82380230E-03   1.42948612E+02   8.38729727E-01   1.60589404E-01   4.94636519E-09   5.31761123E-04   3.44844836E-70   1.21819254E-04   1.92991697E-76   2.30013261E-05  
  19               3.13088058E-03   1.45136670E+02   8.38729707E-01   1.60589400E-01   4.96826173E-09   5.31761111E-04   3.49412144E-69   1.21819252E-04   2.87117878E-75   2.30013256E-05  
  20               3.49257217E-03   1.49533711E+02   8.38729707E-01   1.60589400E-01   2.84533853E-08   5.31761111E-04   2.03577284E-66   1.21819252E-04   5.37208975E-73   2.30013256E-05  
  21               3.91843150E-03   1.52284789E+02   8.38729616E-01   1.60589383E-01   2.85544062E-08   5.31761053E-04   2.91864646E-65   1.21819238E-04   1.18665778E-71   2.30013231E-05  
  22               4.41978678E-03   1.56512534E+02   8.38729616E-01   1.60589383E-01   1.36922103E-07   5.31761053E-04   7.68231765E-63   1.21819238E-04   1.14467997E-69   2.30013231E-05  
  23               5.00983606E-03   1.59508437E+02   8.38729214E-01   1.60589306E-01   1.37368675E-07   5.31760798E-04   1.06374299E-61   1.21819180E-04   2.46504369E-68   2.30013120E-05  
  24               5.70407244E-03   1.63958575E+02   8.38729214E-01   1.60589306E-01   6.16767554E-07   5.31760798E-04   2.18151724E-59   1.21819180E-04   1.96245774E-66   2.30013120E-05  
  25               6.52064729E-03   1.67219506E+02   8.38727717E-01   1.60589019E-01   6.18424210E-07   5.31759849E-04   2.90962133E-58   1.21818962E-04   4.09606962E-65   2.30012710E-05  
  26               7.48088971E-03   1.71829652E+02   8.38727717E-01   1.60589019E-01   2.40185129E-06   5.31759849E-04   4.05873522E-56   1.21818962E-04   2.52380999E-63   2.30012710E-05  
  27               8.60969803E-03   1.75044896E+02   8.38722959E-01   1.60588108E-01   2.40706673E-06   5.31756833E-04   4.01890735E-55   1.21818271E-04   3.83664660E-62   2.30011405E-05  
  28               9.93602299E-03   1.79681273E+02   8.38722959E-01   1.60588108E-01   8.07373398E-06   5.31756833E-04   3.52303807E-53   1.21818271E-04   1.67866583E-60   2.30011405E-05  
  29               1.14931973E-02   1.82886764E+02   8.38705412E-01   1.60584749E-01   8.09233288E-06   5.31745707E-04   2.77117318E-52   1.21815723E-04   1.99519923E-59   2.30006593E-05  
  30               1.33188613E-02   1.88116287E+02   8.38705412E-01   1.60584749E-01   2.89954801E-05   5.31745707E-04   2.89676816E-50   1.21815723E-04   9.83273507E-58   2.30006593E-05  
  31               1.54549555E-02   1.91894259E+02   8.38635641E-01   1.60571390E-01   2.90594595E-05   5.31701472E-04   2.70250764E-49   1.21805589E-04   1.40605989E-56   2.29987459E-05  
  32               1.79445528E-02   1.97798464E+02   8.38635641E-01   1.60571390E-01   1.12181094E-04   5.31701472E-04   3.33306957E-47   1.21805589E-04   7.60491033E-55   2.29987459E-05  
  33               2.08260980E-02   2.02319318E+02   8.38073951E-01   1.60463844E-01   1.12106538E-04   5.31345356E-04   3.81536828E-46   1.21724008E-04   1.35167817E-53   2.29833421E-05  
  34               2.40600000E-02   2.10877817E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   2.59311505E-43   1.21724008E-04   2.38407538E-51   2.29833421E-05  
  35               2.74575794E-02   2.20710275E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   3.38890366E-41   1.21724008E-04   5.59730151E-49   2.29833421E-05  
  36               3.14193158E-02   2.29235340E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.57208874E-39   1.21724008E-04   4.29515938E-47   2.29833421E-05  
  37               3.60356419E-02   2.40198500E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.54848700E-37   1.21724008E-04   7.34339477E-45   2.29833421E-05  
  38               4.14123273E-02   2.49689217E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   5.65293627E-36   1.21724008E-04   4.31115897E-43   2.29833421E-05  
  39               4.76761142E-02   2.60251978E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   2.30700655E-34   1.21724008E-04   2.83397238E-41   2.29833421E-05  
  40               5.49742491E-02   2.69261156E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   4.10488201E-33   1.21724007E-04   7.65294980E-40   2.29833421E-05  
  41               6.34749398E-02   2.80334994E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.14809492E-31   1.21724006E-04   3.32530322E-38   2.29833421E-05  
  42               7.33705319E-02   2.90470971E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.86582753E-30   1.21724001E-04   8.07438954E-37   2.29833421E-05  
