# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              CO               H                H2S             
  1                1.00000000E-05   5.70798841E+01   8.38831642E-01   1.60608919E-01   6.44592691E-17   5.31825742E-04   3.26022774E-07   4.07089598E-104  3.16582794E-109  2.30033754E-05  
  2                4.63770855E-04   7.36873482E+01   8.38831642E-01   1.60608919E-01   6.33202312E-17   5.31825742E-04   3.26022774E-07   1.85926039E-107  4.64874347E-110  2.30033754E-05  
  3                9.76240097E-04   8.50069737E+01   8.38831642E-01   1.60608919E-01   6.32291235E-17   5.31825742E-04   3.26022774E-07   4.18994679E-108  3.20412158E-110  2.30033754E-05  
  4                1.53945094E-03   9.45485586E+01   8.38830051E-01   1.60608614E-01   6.47375415E-17   5.31824734E-04   3.28193791E-07   1.72515900E-108  2.55154692E-110  2.30033318E-05  
  5                2.15777814E-03   1.06233433E+02   8.38817830E-01   1.60606274E-01   1.60336908E-15   5.31816986E-04   2.23907613E-06   2.26603662E-101  9.36853904E-104  2.30029967E-05  
  6                2.73443787E-03   1.13296768E+02   8.38729729E-01   1.60589406E-01   4.41605444E-14   5.31761129E-04   1.68878920E-05   4.15903645E-94   3.63982569E-97   2.30005807E-05  
  7                3.01752405E-03   1.18065633E+02   8.38729729E-01   1.60589406E-01   4.40834657E-13   5.31761129E-04   1.21819256E-04   1.59017169E-89   3.75775935E-93   2.30005807E-05  
  8                3.17416401E-03   1.18743900E+02   8.38729729E-01   1.60589406E-01   4.42819897E-13   5.31761129E-04   1.21819256E-04   4.54630221E-89   1.29297672E-92   2.30005807E-05  
  9                3.35884733E-03   1.22118008E+02   8.38729729E-01   1.60589406E-01   2.57198162E-12   5.31761129E-04   1.21819256E-04   5.88925643E-86   5.41311731E-90   2.30005807E-05  
  10               3.57651518E-03   1.23291869E+02   8.38729729E-01   1.60589406E-01   2.58858115E-12   5.31761129E-04   1.21819256E-04   3.32756410E-85   4.00410895E-89   2.30005807E-05  
  11               3.83295839E-03   1.27303325E+02   8.38729729E-01   1.60589406E-01   2.03914970E-11   5.31761129E-04   1.21819256E-04   9.88922187E-82   3.02916670E-86   2.30005807E-05  
  12               4.13495645E-03   1.29103694E+02   8.38729729E-01   1.60589406E-01   2.05728014E-11   5.31761129E-04   1.21819256E-04   1.15917229E-80   5.07343855E-85   2.30005807E-05  
  13               4.49048985E-03   1.33891371E+02   8.38729729E-01   1.60589406E-01   2.15021079E-10   5.31761129E-04   1.21819256E-04   7.47924800E-77   6.67034418E-82   2.30005807E-05  
  14               4.90890979E-03   1.36428740E+02   8.38729727E-01   1.60589405E-01   2.17453231E-10   5.31761128E-04   1.21819255E-04   1.73063069E-75   2.38875412E-80   2.30005806E-05  
  15               5.40116757E-03   1.42098528E+02   8.38729727E-01   1.60589405E-01   2.82593557E-09   5.31761128E-04   1.21819255E-04   1.98363466E-71   4.68344412E-77   2.30005806E-05  
  16               5.98005777E-03   1.45439953E+02   8.38729715E-01   1.60589403E-01   2.83929906E-09   5.31761120E-04   1.21819254E-04   7.71405317E-70   3.02231296E-75   2.30005803E-05  
  17               6.66109939E-03   1.49835379E+02   8.38729715E-01   1.60589403E-01   1.71719388E-08   5.31761120E-04   1.21819254E-04   4.66034527E-67   5.52746489E-73   2.30005803E-05  
  18               7.46224932E-03   1.52816857E+02   8.38729654E-01   1.60589391E-01   1.72399455E-08   5.31761081E-04   1.21819245E-04   8.39671764E-66   1.56161569E-71   2.30005786E-05  
  19               8.40440546E-03   1.57312437E+02   8.38729654E-01   1.60589391E-01   9.01866179E-08   5.31761081E-04   1.21819245E-04   3.04739908E-63   1.93820689E-69   2.30005786E-05  
  20               9.51204811E-03   1.60444750E+02   8.38729388E-01   1.60589341E-01   9.04818471E-08   5.31760913E-04   1.21819206E-04   4.67219351E-62   4.64900430E-68   2.30005713E-05  
  21               1.08138623E-02   1.65085784E+02   8.38729388E-01   1.60589341E-01   4.07309423E-07   5.31760913E-04   1.21819206E-04   1.08909640E-59   4.22756039E-66   2.30005713E-05  
  22               1.23433455E-02   1.68245793E+02   8.38728391E-01   1.60589150E-01   4.08413213E-07   5.31760281E-04   1.21819061E-04   1.28803246E-58   7.71706703E-65   2.30005440E-05  
  23               1.41396359E-02   1.73208137E+02   8.38728391E-01   1.60589150E-01   1.59516126E-06   5.31760281E-04   1.21819061E-04   2.29864553E-56   6.15338485E-63   2.30005440E-05  
  24               1.62485300E-02   1.76181117E+02   8.38725423E-01   1.60588581E-01   1.59843050E-06   5.31758399E-04   1.21818630E-04   1.81888835E-55   7.31035023E-62   2.30004626E-05  
  25               1.87232946E-02   1.81077304E+02   8.38725423E-01   1.60588581E-01   5.13392925E-06   5.31758399E-04   1.21818630E-04   1.77434713E-53   3.75093324E-60   2.30004626E-05  
  26               2.16255497E-02   1.83866622E+02   8.38717676E-01   1.60587098E-01   5.14232872E-06   5.31753487E-04   1.21817505E-04   1.00442055E-52   3.11409558E-59   2.30002502E-05  
  27               2.50265899E-02   1.88713255E+02   8.38717676E-01   1.60587098E-01   1.43710872E-05   5.31753487E-04   1.21817505E-04   6.10321122E-51   1.11308939E-57   2.30002502E-05  
  28               2.90080809E-02   1.91458563E+02   8.38693355E-01   1.60582441E-01   1.43961868E-05   5.31738068E-04   1.21813973E-04   2.85318819E-50   7.52870595E-57   2.29995832E-05  
  29               3.36613524E-02   1.96934768E+02   8.38693355E-01   1.60582441E-01   4.33681061E-05   5.31738068E-04   1.21813973E-04   2.14072345E-48   3.11051423E-55   2.29995832E-05  
  30               3.90871595E-02   2.00217778E+02   8.38588505E-01   1.60562366E-01   4.34541008E-05   5.31671592E-04   1.21798744E-04   1.19434295E-47   2.54365699E-54   2.29967079E-05  
  31               4.53758596E-02   2.06425514E+02   8.38588505E-01   1.60562366E-01   1.68378411E-04   5.31671592E-04   1.21798744E-04   1.30966746E-45   1.19757669E-52   2.29967079E-05  
  32               5.25909701E-02   2.11601422E+02   8.38073943E-01   1.60463844E-01   1.68275624E-04   5.31345356E-04   1.21724008E-04   1.72983135E-44   2.46337044E-51   2.29825970E-05  
  33               6.06560002E-02   2.20713713E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   6.95642723E-42   3.77289412E-49   2.29825970E-05  
  34               6.92471724E-02   2.30877630E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   6.90130755E-40   6.51572461E-47   2.29825970E-05  
  35               7.92500471E-02   2.40197941E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   3.20091264E-38   4.95054489E-45   2.29825970E-05  
  36               9.08940902E-02   2.51501031E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   2.38106317E-36   6.19342466E-43   2.29825970E-05  
  37               1.04446318E-01   2.61632367E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   7.91285029E-35   3.25589498E-41   2.29825970E-05  
  38               1.20225306E-01   2.71706002E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724008E-04   1.95550424E-33   1.24191626E-39   2.29825970E-05  
  39               1.38592645E-01   2.82190719E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724007E-04   4.29914185E-32   4.16123081E-38   2.29825970E-05  
  40               1.59966095E-01   2.93440573E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724006E-04   9.30193901E-31   1.36290809E-36   2.29825970E-05  
  41               1.84830969E-01   3.06082593E+02   8.38073943E-01   1.60463844E-01   7.81879873E-04   5.31345356E-04   1.21724000E-04   2.28868812E-29   5.07882724E-35   2.29825970E-05  
  42               2.13737268E-01   3.20869211E+02   8.38073943E-01   1.60463844E-01   7.81879672E-04   5.31345356E-04   1.21723978E-04   7.25321881E-28   2.45019076E-33   2.29825970E-05  
  43               2.47331685E-01   3.34806586E+02   8.38073943E-01   1.60463844E-01   7.81879672E-04   5.31345356E-04   1.21723914E-04   1.38142184E-26   6.85364472E-32   2.29825970E-05  
  44               2.86355571E-01   3.50954403E+02   8.38073941E-01   1.60463844E-01   7.81879241E-04   5.31345354E-04   1.21723677E-04   3.22043823E-25   2.34878002E-30   2.29825969E-05  
  45               3.31677305E-01   3.66195761E+02   8.38073944E-01   1.60463844E-01   7.81875655E-04   5.31345354E-04   1.21723061E-04   4.72712224E-24   4.91552838E-29   2.29825969E-05  
  46               3.84304925E-01   3.83807350E+02   8.38073590E-01   1.60463775E-01   7.81875321E-04   5.31345128E-04   1.21721000E-04   8.29676417E-23   1.22871538E-27   2.29825871E-05  
  47               4.45394270E-01   4.00466834E+02   8.38073983E-01   1.60463809E-01   7.81450667E-04   5.31345238E-04   1.21716313E-04   9.58590915E-22   1.97164100E-26   2.29825919E-05  
  48               5.16257158E-01   4.19665249E+02   8.38073992E-01   1.60463806E-01   7.81450682E-04   5.31345230E-04   1.21702497E-04   1.29768683E-20   3.69466282E-25   2.29825916E-05  
  49               5.98394330E-01   4.37829605E+02   8.38074005E-01   1.60463801E-01   7.81451397E-04   5.31345211E-04   1.21673216E-04   1.19964772E-19   4.62684738E-24   2.29825908E-05  
  50               6.93576862E-01   4.58720804E+02   8.38073926E-01   1.60463768E-01   7.81476665E-04   5.31345103E-04   1.21595503E-04   1.27722337E-18   6.64698931E-23   2.29825861E-05  
  51               8.03831019E-01   4.78508398E+02   8.38073226E-01   1.60463688E-01   7.81979936E-04   5.31344837E-04   1.21445933E-04   9.62539543E-18   6.63695208E-22   2.29825745E-05  
  52               9.31505374E-01   5.01253575E+02   8.38069336E-01   1.60463109E-01   7.83385584E-04   5.31342920E-04   1.21084388E-04   8.26524815E-17   7.50829322E-21   2.29824916E-05  
  53               1.07949864E+00   5.22834533E+02   8.38072737E-01   1.60463268E-01   7.80139388E-04   5.31343447E-04   1.20454447E-04   5.15487971E-16   6.12073084E-20   2.29825145E-05  
  54               1.25145123E+00   5.47706658E+02   8.38073648E-01   1.60463047E-01   7.80138323E-04   5.31342716E-04   1.19077249E-04   3.65537681E-15   5.62706723E-19   2.29824828E-05  
  55               1.45170766E+00   5.71430223E+02   8.38075065E-01   1.60462703E-01   7.80136674E-04   5.31341578E-04   1.16935753E-04   1.95724194E-14   3.86799879E-18   2.29824336E-05  
  56               1.68610813E+00   5.98920406E+02   8.38077774E-01   1.60462047E-01   7.80133538E-04   5.31339403E-04   1.12842398E-04   1.18533745E-13   2.99897266E-17   2.29823395E-05  
  57               1.96210184E+00   6.25438183E+02   8.38081357E-01   1.60461178E-01   7.80129434E-04   5.31336525E-04   1.07428270E-04   5.61211992E-13   1.80820060E-16   2.29822151E-05  
  58               2.29018060E+00   6.56465475E+02   8.38087012E-01   1.60459807E-01   7.80123070E-04   5.31331983E-04   9.88840217E-05   3.01625153E-12   1.23721563E-15   2.29820187E-05  
  59               2.68307100E+00   6.86887762E+02   8.38093074E-01   1.60458336E-01   7.80116521E-04   5.31327101E-04   8.97202861E-05   1.30851524E-11   6.82899989E-15   2.29818081E-05  
  60               3.15587494E+00   7.22582038E+02   8.38100744E-01   1.60456472E-01   7.80108872E-04   5.31320877E-04   7.81157702E-05   6.38014428E-11   4.23985969E-14   2.29815411E-05  
  61               3.72320300E+00   7.57619076E+02   8.38107390E-01   1.60454840E-01   7.80103515E-04   5.31315280E-04   6.80006210E-05   2.52220388E-10   2.13432643E-13   2.29813073E-05  
  62               4.40059542E+00   7.98091131E+02   8.38114299E-01   1.60453081E-01   7.80100175E-04   5.31308618E-04   5.72675620E-05   1.08116838E-09   1.16247490E-12   2.29810551E-05  
  63               5.20297119E+00   8.37269473E+02   8.38119453E-01   1.60451741E-01   7.80101058E-04   5.31301516E-04   4.91660843E-05   3.72966986E-09   5.08558139E-12   2.29808625E-05  
  64               6.14188364E+00   8.81564488E+02   8.38124605E-01   1.60450476E-01   7.80105423E-04   5.31287555E-04   4.13355326E-05   1.34648818E-08   2.31399556E-11   2.29830547E-05  
  65               7.22421330E+00   9.23319866E+02   8.38128101E-01   1.60449577E-01   7.80104772E-04   5.31259091E-04   3.59035923E-05   3.88845250E-08   8.37666345E-11   2.30031815E-05  
  66               8.45673210E+00   9.69596594E+02   8.38131169E-01   1.60448672E-01   7.80071361E-04   5.31179835E-04   3.07863615E-05   1.14992970E-07   3.07645737E-10   2.30888393E-05  
  67               9.85082633E+00   1.01244134E+03   8.38132329E-01   1.60447877E-01   7.79961730E-04   5.31015033E-04   2.73710717E-05   2.76899255E-07   9.14984383E-10   2.33519159E-05  
  68               1.14164005E+01   1.05977875E+03   8.38133268E-01   1.60447064E-01   7.79623388E-04   5.30605288E-04   2.40766142E-05   6.83397188E-07   2.76670262E-09   2.42836779E-05  
  69               1.31626894E+01   1.10301474E+03   8.38135505E-01   1.60446476E-01   7.79037393E-04   5.29880964E-04   2.19338379E-05   1.40489650E-06   6.93850468E-09   2.42834823E-05  
  70               1.51009796E+01   1.15078238E+03   8.38138810E-01   1.60445613E-01   7.77657675E-04   5.28315927E-04   1.97795667E-05   2.96531954E-06   1.77680265E-08   2.42831360E-05  
  71               1.72546359E+01   1.19420582E+03   8.38142663E-01   1.60444613E-01   7.75462416E-04   5.25931554E-04   1.84118931E-05   5.34378951E-06   3.88173304E-08   2.42826520E-05  
  72               1.96550453E+01   1.23644957E+03   8.38147816E-01   1.60443286E-01   7.72094449E-04   5.22364549E-04   1.73946111E-05   8.90252600E-06   7.84480020E-08   2.42819405E-05  
  73               2.23319173E+01   1.27605728E+03   8.38154083E-01   1.60441682E-01   7.67673896E-04   5.17751356E-04   1.67471172E-05   1.35051868E-05   1.44565457E-07   2.42809877E-05  
  74               2.53129993E+01   1.31650623E+03   8.38162611E-01   1.60439510E-01   7.61462812E-04   5.11338333E-04   1.61867098E-05   1.99033602E-05   2.59620700E-07   2.42796096E-05  
  75               2.86233043E+01   1.35581075E+03   8.38172844E-01   1.60436904E-01   7.53814251E-04   5.03494723E-04   1.58093108E-05   2.77281027E-05   4.41886613E-07   2.42777818E-05  
  76               3.22926972E+01   1.39675334E+03   8.38186253E-01   1.60433485E-01   7.43667480E-04   4.93143701E-04   1.54447556E-05   3.80530028E-05   7.45279785E-07   2.42751540E-05  
  77               3.63785269E+01   1.43726288E+03   8.38201612E-01   1.60429539E-01   7.31855043E-04   4.81129324E-04   1.52036803E-05   5.00346991E-05   1.21054694E-06   2.42715855E-05  
  78               4.09349576E+01   1.47986346E+03   8.38220513E-01   1.60424624E-01   7.17139800E-04   4.66184729E-04   1.49642596E-05   6.49352388E-05   1.96036221E-06   2.42661108E-05  
  79               4.60034358E+01   1.52246832E+03   8.38240866E-01   1.60419183E-01   7.00956691E-04   4.49702582E-04   1.48152100E-05   8.13629420E-05   3.08343963E-06   2.42574581E-05  
  80               5.16092951E+01   1.56752570E+03   8.38264271E-01   1.60412639E-01   6.81788086E-04   4.30147267E-04   1.46470023E-05   1.00845876E-04   4.85244844E-06   2.42405788E-05  
  81               5.77548535E+01   1.61279191E+03   8.38287291E-01   1.60405532E-01   6.61826251E-04   4.09455058E-04   1.45370664E-05   1.21448981E-04   7.45002650E-06   2.42048670E-05  
  82               6.44242642E+01   1.66069145E+03   8.38296975E-01   1.60394483E-01   6.39927811E-04   3.85772575E-04   1.43873754E-05   1.45005774E-04   1.14547969E-05   2.41150138E-05  
  83               7.15857553E+01   1.70889159E+03   8.38307923E-01   1.60385280E-01   6.32930318E-04   3.58785247E-04   1.42695507E-05   1.71851637E-04   1.72288545E-05   2.31618737E-05  
  84               7.92377059E+01   1.75670110E+03   8.38329846E-01   1.60376921E-01   6.10290331E-04   3.35260692E-04   1.41983122E-05   1.95212361E-04   2.52380394E-05   2.31304905E-05  
  85               8.73502019E+01   1.80319450E+03   8.38342703E-01   1.60368335E-01   5.90844797E-04   3.13358108E-04   1.41861404E-05   2.16927358E-04   3.58230782E-05   2.30728969E-05  
  86               9.57394359E+01   1.84808547E+03   8.38343761E-01   1.60359237E-01   5.76660274E-04   2.92552939E-04   1.42064249E-05   2.37522808E-04   4.93634040E-05   2.29533480E-05  
  87               1.04083739E+02   1.88946056E+03   8.38324938E-01   1.60348886E-01   5.71534613E-04   2.73112782E-04   1.42643603E-05   2.56743705E-04   6.53660177E-05   2.27312288E-05  
  88               1.13009856E+02   1.93108762E+03   8.38273482E-01   1.60334540E-01   5.78772003E-04   2.52021685E-04   1.43459648E-05   2.77591374E-04   8.55971034E-05   2.23448514E-05  
  89               1.21457449E+02   1.96790904E+03   8.38204979E-01   1.60320907E-01   6.06735451E-04   2.30076465E-04   1.44467745E-05   2.99330840E-04   1.07525910E-04   2.17758217E-05  
  90               1.29059624E+02   1.99944925E+03   8.38197851E-01   1.60315890E-01   5.96602076E-04   2.19733471E-04   1.45471385E-05   3.09466514E-04   1.29804320E-04   2.17522264E-05  
  91               1.37450474E+02   2.03239572E+03   8.38185726E-01   1.60310615E-01   5.86864717E-04   2.09761841E-04   1.46719871E-05   3.19202982E-04   1.56930010E-04   2.17264394E-05  
  92               1.46700359E+02   2.06696565E+03   8.38157082E-01   1.60302944E-01   5.77421581E-04   2.00058367E-04   1.48170991E-05   3.28631415E-04   1.90171597E-04   2.16973429E-05  
  93               1.54533748E+02   2.09476151E+03   8.38138031E-01   1.60298293E-01   5.70459123E-04   1.92860531E-04   1.49488707E-05   3.35596315E-04   2.20809352E-04   2.16730759E-05  
  94               1.60686812E+02   2.11584750E+03   8.38120843E-01   1.60294647E-01   5.65478587E-04   1.87701564E-04   1.50547211E-05   3.40567842E-04   2.46606138E-04   2.16537610E-05  
  95               1.67659829E+02   2.13885922E+03   8.38099157E-01   1.60290563E-01   5.60393222E-04   1.82402711E-04   1.51796250E-05   3.45651022E-04   2.77427997E-04   2.16320275E-05  
  96               1.75530828E+02   2.16394529E+03   8.38071910E-01   1.60285942E-01   5.55187079E-04   1.76947877E-04   1.53228302E-05   3.50857130E-04   3.14456510E-04   2.16072507E-05  
  97               1.84383144E+02   2.19101074E+03   8.38038024E-01   1.60280745E-01   5.49985385E-04   1.71456424E-04   1.54882620E-05   3.56063431E-04   3.58674501E-04   2.15793711E-05  
  98               1.94297117E+02   2.22012014E+03   8.37964456E-01   1.60268804E-01   5.44794221E-04   1.65932081E-04   1.56750475E-05   3.61241022E-04   4.11566109E-04   2.15470192E-05  
  99               2.01723814E+02   2.24106881E+03   8.37930550E-01   1.60264446E-01   5.41321701E-04   1.62225727E-04   1.58176818E-05   3.64698643E-04   4.53277141E-04   2.15232946E-05  
  100              2.07070069E+02   2.25579112E+03   8.37904837E-01   1.60261214E-01   5.38998202E-04   1.59731462E-04   1.59207404E-05   3.67010907E-04   4.84526969E-04   2.15060566E-05  
  101              2.13227820E+02   2.27227283E+03   8.37872101E-01   1.60257109E-01   5.36541497E-04   1.57077573E-04   1.60416635E-05   3.69452418E-04   5.21437636E-04   2.14863241E-05  
