# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                N2              
  1                1.00000000E-05   5.95753396E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.81621622E-17   9.29475513E-08   2.30038087E-05   3.16582831E-109  6.29636239E-40  
  2                6.99141765E-05   5.52021044E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.54007103E-17   9.29475513E-08   2.30038087E-05   1.19730483E-109  1.28812860E-41  
  3                1.44062755E-04   6.24863151E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.56587557E-17   9.29475513E-08   2.30038087E-05   1.27694911E-109  1.29439868E-40  
  4                2.35825088E-04   5.94757149E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.51453708E-17   9.29475513E-08   2.30038087E-05   7.34252885E-110  3.56510825E-42  
  5                3.49365887E-04   6.68612638E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.51667841E-17   9.29475513E-08   2.30038087E-05   5.72523990E-110  1.01745666E-42  
  6                4.89813749E-04   6.48065767E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.52122371E-17   9.29475513E-08   2.30038087E-05   4.73282220E-110  4.27036086E-43  
  7                6.63489752E-04   7.18842013E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.52801609E-17   9.29475513E-08   2.30038087E-05   4.02176865E-110  2.10277545E-43  
  8                8.77917633E-04   7.06913326E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.53513177E-17   9.29475513E-08   2.30038087E-05   3.47447492E-110  1.13009906E-43  
  9                1.14089781E-03   7.70835588E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.52169942E-17   9.29475513E-08   2.30038087E-05   3.03547012E-110  6.42071678E-44  
  10               1.46049735E-03   7.68086786E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.50786566E-17   9.29475513E-08   2.30038087E-05   2.67406843E-110  3.79462441E-44  
  11               1.84859490E-03   8.23879687E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.49528162E-17   9.29475513E-08   2.30038087E-05   2.37108340E-110  2.31206880E-44  
  12               2.31748599E-03   8.29652964E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.51969825E-17   9.29475513E-08   2.30038087E-05   2.11329261E-110  1.44329203E-44  
  13               2.88501795E-03   8.81857368E+01   8.38831837E-01   1.60608957E-01   5.31825868E-04   3.53914981E-17   9.29475513E-08   2.30038087E-05   1.89097103E-110  9.17761000E-45  
  14               3.57249425E-03   8.95380401E+01   8.38831795E-01   1.60608949E-01   5.31825842E-04   3.52650092E-17   9.30051360E-08   2.30038076E-05   1.69727553E-110  5.92411490E-45  
  15               4.40726995E-03   9.43688478E+01   8.38831753E-01   1.60608941E-01   5.31825815E-04   3.51927159E-17   1.43158769E-07   2.30038064E-05   1.01195878E-109  1.87950811E-44  
  16               5.41895744E-03   9.64391936E+01   8.38831371E-01   1.60608868E-01   5.31825573E-04   6.44698552E-17   1.93776016E-07   2.30037959E-05   2.37288258E-106  2.35087550E-43  
  17               6.64081412E-03   1.01394662E+02   8.38830055E-01   1.60608616E-01   5.31824738E-04   8.84078304E-16   6.50340935E-07   2.30037599E-05   3.20355583E-100  1.63860341E-39  
  18               8.07258094E-03   1.04650355E+02   8.38822576E-01   1.60607184E-01   5.31819997E-04   6.89873552E-15   2.22727544E-06   2.30035548E-05   2.73212705E-96   4.63205517E-37  
  19               9.57270611E-03   1.10980866E+02   8.38815139E-01   1.60605760E-01   5.31815282E-04   4.37651494E-14   1.11430518E-05   2.30033508E-05   9.77347484E-93   2.76860118E-34  
  20               1.09479921E-02   1.15464576E+02   8.38794760E-01   1.60601858E-01   5.31802361E-04   1.45451079E-13   2.00224166E-05   2.30027919E-05   1.03821086E-90   1.71580541E-33  
  21               1.21428799E-02   1.19835802E+02   8.38774720E-01   1.60598021E-01   5.31789655E-04   8.72042297E-13   4.43170610E-05   2.30022424E-05   2.27343770E-88   7.68484963E-32  
  22               1.31356757E-02   1.22479795E+02   8.38755615E-01   1.60594363E-01   5.31777543E-04   1.60193824E-12   6.82057578E-05   2.30017184E-05   8.32948363E-87   3.42040332E-31  
  23               1.40653789E-02   1.25684900E+02   8.38742672E-01   1.60591885E-01   5.31769337E-04   6.71891272E-12   9.09740850E-05   2.30013635E-05   1.28192798E-84   1.99848381E-30  
  24               1.50121056E-02   1.27911173E+02   8.38729729E-01   1.60589406E-01   5.31761131E-04   1.18172167E-11   1.06403513E-04   2.30010086E-05   5.97891208E-83   8.39327507E-30  
  25               1.60445090E-02   1.31187200E+02   8.38729729E-01   1.60589406E-01   5.31761131E-04   2.99459517E-11   1.21819256E-04   2.30010086E-05   1.82148584E-80   5.93522082E-29  
  26               1.72314692E-02   1.33787060E+02   8.38729729E-01   1.60589406E-01   5.31761131E-04   8.14744208E-11   1.21819256E-04   2.30010085E-05   2.35438250E-78   3.43827675E-28  
  27               1.86930807E-02   1.37873653E+02   8.38729728E-01   1.60589406E-01   5.31761130E-04   5.23678440E-10   1.21819256E-04   2.30010085E-05   1.48258991E-75   3.25612525E-27  
  28               2.04914763E-02   1.41541894E+02   8.38729726E-01   1.60589406E-01   5.31761129E-04   9.63773853E-10   1.21819256E-04   2.30010085E-05   5.19993855E-74   1.26674521E-26  
  29               2.27024207E-02   1.46717964E+02   8.38729724E-01   1.60589405E-01   5.31761127E-04   3.85312107E-09   1.21819255E-04   2.30010084E-05   1.30121117E-71   7.85761619E-26  
  30               2.54192574E-02   1.49737754E+02   8.38729709E-01   1.60589403E-01   5.31761118E-04   6.74238729E-09   1.21819253E-04   2.30010080E-05   4.17315340E-70   2.78141886E-25  
  31               2.87556168E-02   1.54717072E+02   8.38729696E-01   1.60589400E-01   5.31761110E-04   2.35570340E-08   1.21819251E-04   2.30010076E-05   7.83063288E-68   1.49761538E-24  
  32               3.28494372E-02   1.58001566E+02   8.38729628E-01   1.60589387E-01   5.31761067E-04   4.00413360E-08   1.21819241E-04   2.30010058E-05   2.32743318E-66   4.99049061E-24  
  33               3.78689718E-02   1.63270794E+02   8.38729561E-01   1.60589374E-01   5.31761025E-04   1.21271655E-07   1.21819232E-04   2.30010040E-05   2.65289818E-64   2.22074788E-23  
  34               4.40187255E-02   1.66858507E+02   8.38729289E-01   1.60589322E-01   5.31760852E-04   2.00281779E-07   1.21819192E-04   2.30009965E-05   6.56225607E-63   6.71549328E-23  
  35               5.15475484E-02   1.72184265E+02   8.38729027E-01   1.60589272E-01   5.31760686E-04   5.25577540E-07   1.21819154E-04   2.30009893E-05   4.14635863E-61   2.40334367E-22  
  36               6.07564660E-02   1.75963973E+02   8.38728008E-01   1.60589077E-01   5.31760040E-04   8.37747949E-07   1.21819006E-04   2.30009614E-05   9.03494997E-60   6.64876613E-22  
  37               7.20121481E-02   1.81158498E+02   8.38727043E-01   1.60588892E-01   5.31759428E-04   2.05307676E-06   1.21818866E-04   2.30009349E-05   4.34132033E-58   2.12146523E-21  
  38               8.57601912E-02   1.85188027E+02   8.38723156E-01   1.60588148E-01   5.31756964E-04   3.20678317E-06   1.21818301E-04   2.30008283E-05   9.77667712E-57   5.72347977E-21  
  39               1.02542349E-01   1.90574127E+02   8.38719476E-01   1.60587443E-01   5.31754631E-04   7.84065514E-06   1.21817767E-04   2.30007274E-05   4.01867152E-55   1.72960160E-20  
  40               1.23000533E-01   1.95100015E+02   8.38702933E-01   1.60584276E-01   5.31744142E-04   1.22403248E-05   1.21815364E-04   2.30002737E-05   1.17428285E-53   4.92827983E-20  
