# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                H2O(s)          
  1                1.00000000E-05   6.39439070E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.89962695E-17   1.31438896E-07   2.30041660E-05   3.16582824E-109  0.00000000E+00  
  2                3.05080543E-04   7.17763332E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.92076788E-17   1.31438896E-07   2.30041660E-05   5.73165568E-110  0.00000000E+00  
  3                6.65408253E-04   7.38667202E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.88815768E-17   1.31438896E-07   2.30041660E-05   3.88099655E-110  0.00000000E+00  
  4                1.09784065E-03   8.09827074E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.95957322E-17   1.31438896E-07   2.30041660E-05   3.02146588E-110  0.00000000E+00  
  5                1.61421152E-03   8.18256734E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.93983097E-17   1.31438896E-07   2.30041660E-05   2.49176527E-110  0.00000000E+00  
  6                2.23345265E-03   8.77249135E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.92632269E-17   1.31438896E-07   2.30041660E-05   2.11835613E-110  0.00000000E+00  
  7                2.97866255E-03   8.83197750E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.91917046E-17   1.31438896E-07   2.30041660E-05   1.83432673E-110  0.00000000E+00  
  8                3.88084788E-03   9.29428876E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.89022583E-17   1.31438896E-07   2.30041660E-05   1.60703020E-110  0.00000000E+00  
  9                4.97157366E-03   9.45654036E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.88877884E-17   1.31438896E-07   2.30041660E-05   1.41984328E-110  0.00000000E+00  
  10               6.29227882E-03   9.91299912E+01   8.38831799E-01   1.60608957E-01   5.31825869E-04   3.96585271E-17   1.31438896E-07   2.30041660E-05   1.26206978E-110  0.00000000E+00  
  11               7.89092033E-03   1.01914153E+02   8.38831457E-01   1.60608892E-01   5.31825653E-04   3.92906481E-17   1.31906187E-07   2.30041566E-05   1.50172150E-108  3.65663657E-16  
  12               9.81825285E-03   1.06505893E+02   8.38830493E-01   1.60608707E-01   5.31825041E-04   4.07641158E-16   5.39864868E-07   2.30041301E-05   8.22483002E-104  2.34245819E-15  
  13               1.20858435E-02   1.10644705E+02   8.38826672E-01   1.60607975E-01   5.31822619E-04   2.77452196E-15   1.69368119E-06   2.30040254E-05   6.98523547E-100  2.14516863E-14  
  14               1.45883628E-02   1.15628230E+02   8.38801301E-01   1.60603118E-01   5.31806533E-04   2.43387659E-14   6.27584133E-06   2.30033296E-05   1.62865319E-95   1.04414874E-13  
  15               1.66543457E-02   1.19740167E+02   8.38801301E-01   1.60603118E-01   5.31806533E-04   1.29097001E-13   3.64893073E-05   2.30033296E-05   3.50629179E-92   3.16461100E-13  
  16               1.82518220E-02   1.22978460E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   4.47384789E-13   3.65656888E-05   2.30013666E-05   1.03404439E-89   1.99978354E-12  
  17               1.95399746E-02   1.26053982E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   2.44716833E-12   1.21819261E-04   2.30013666E-05   1.76221445E-87   0.00000000E+00  
  18               2.05141641E-02   1.27684712E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   2.45764051E-12   1.21819261E-04   2.30013666E-05   2.41407648E-86   1.12307514E-11  
  19               2.17099352E-02   1.30425656E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   1.36883919E-11   1.21819261E-04   2.30013666E-05   1.71507173E-84   0.00000000E+00  
  20               2.31766951E-02   1.32827321E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   1.37439933E-11   1.21819261E-04   2.30013666E-05   6.16778994E-83   5.96289640E-11  
  21               2.49751559E-02   1.35325480E+02   8.38729723E-01   1.60589413E-01   5.31761152E-04   7.33729573E-11   1.21819261E-04   2.30013666E-05   2.22861040E-81   0.00000000E+00  
