# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  1                1.00000000E-05   6.82865493E+01   8.38831626E-01   1.60608910E-01   1.84545807E-17   5.31825714E-04   3.50650276E-07   3.16582791E-109  1.16549070E-104  2.30036273E-05  
  2                1.35495580E-03   9.88896349E+01   8.38792075E-01   1.60601337E-01   1.73208550E-14   5.31800638E-04   7.04969908E-06   9.69569293E-98   1.92794809E-94   2.30025426E-05  
  3                2.14869694E-03   1.13127204E+02   8.38758111E-01   1.60594834E-01   5.84401409E-13   5.31779105E-04   4.75392330E-05   6.59993859E-91   7.70058904E-87   2.30016112E-05  
  4                2.60408401E-03   1.21473274E+02   8.38729734E-01   1.60589401E-01   2.75133971E-12   5.31761114E-04   8.80213588E-05   3.40694829E-88   7.12652443E-84   2.30008330E-05  
  5                2.96150900E-03   1.25152357E+02   8.38729734E-01   1.60589401E-01   1.97981403E-11   5.31761114E-04   1.21819252E-04   3.63870839E-84   2.22597070E-79   2.30008330E-05  
  6                3.31152592E-03   1.31022338E+02   8.38729733E-01   1.60589401E-01   6.96649303E-11   5.31761113E-04   1.21819252E-04   5.94239306E-82   5.73888457E-77   2.30008330E-05  
  7                3.72282330E-03   1.34501213E+02   8.38729733E-01   1.60589401E-01   1.05279708E-09   5.31761113E-04   1.21819252E-04   6.02284380E-78   4.25670842E-72   2.30008330E-05  
  8                4.20608963E-03   1.41269314E+02   8.38729727E-01   1.60589400E-01   2.02686673E-09   5.31761109E-04   1.21819251E-04   5.29954631E-76   2.13761678E-70   2.30008328E-05  
  9                4.77394059E-03   1.44821205E+02   8.38729721E-01   1.60589399E-01   9.22562545E-09   5.31761105E-04   1.21819250E-04   2.72590216E-73   3.84270619E-67   2.30008327E-05  
  10               5.44153056E-03   1.50084111E+02   8.38729704E-01   1.60589395E-01   1.55026539E-08   5.31761095E-04   1.21819248E-04   7.42067387E-72   6.63835510E-66   2.30008322E-05  
  11               6.22635534E-03   1.53019914E+02   8.38729638E-01   1.60589383E-01   3.59236374E-08   5.31761052E-04   1.21819238E-04   1.22953934E-69   1.67323536E-63   2.30008304E-05  
  12               7.14897266E-03   1.57841878E+02   8.38729571E-01   1.60589370E-01   1.15149289E-07   5.31761010E-04   1.21819229E-04   1.77170141E-68   6.07156901E-62   2.30008286E-05  
  13               8.23349215E-03   1.60434708E+02   8.38729334E-01   1.60589325E-01   1.94564709E-07   5.31760860E-04   1.21819194E-04   1.41973118E-66   2.87320756E-60   2.30008220E-05  
  14               9.50814954E-03   1.65013334E+02   8.38729151E-01   1.60589290E-01   4.77767928E-07   5.31760744E-04   1.21819167E-04   1.59537869E-65   7.06678895E-59   2.30008170E-05  
  15               1.10057684E-02   1.67567531E+02   8.38728396E-01   1.60589145E-01   6.96540954E-07   5.31760265E-04   1.21819058E-04   9.29920341E-64   2.51623549E-57   2.30007963E-05  
  16               1.27646036E-02   1.72226353E+02   8.38727823E-01   1.60589035E-01   1.59677451E-06   5.31759902E-04   1.21818975E-04   1.02207134E-62   5.56758853E-56   2.30007806E-05  
  17               1.48293121E-02   1.74989135E+02   8.38725626E-01   1.60588615E-01   2.28084964E-06   5.31758509E-04   1.21818655E-04   4.35818983E-61   1.48963472E-54   2.30007204E-05  
  18               1.72519457E-02   1.79684078E+02   8.38724000E-01   1.60588303E-01   4.90037690E-06   5.31757478E-04   1.21818419E-04   4.29298802E-60   2.71407125E-53   2.30006758E-05  
  19               2.00926349E-02   1.82547758E+02   8.38717626E-01   1.60587083E-01   6.84329194E-06   5.31753437E-04   1.21817494E-04   1.41676273E-58   5.77229887E-52   2.30005010E-05  
  20               2.34206372E-02   1.87324323E+02   8.38712877E-01   1.60586174E-01   1.44415575E-05   5.31750426E-04   1.21816804E-04   1.23961509E-57   9.27000635E-51   2.30003707E-05  
  21               2.73149335E-02   1.90264715E+02   8.38693371E-01   1.60582439E-01   2.01180312E-05   5.31738059E-04   1.21813971E-04   4.40583641E-56   2.12956822E-49   2.29998358E-05  
  22               3.18639108E-02   1.95591129E+02   8.38678614E-01   1.60579613E-01   4.33697534E-05   5.31728703E-04   1.21811827E-04   4.69444308E-55   4.31757563E-48   2.29994311E-05  
  23               3.71637392E-02   1.99127543E+02   8.38606243E-01   1.60565757E-01   6.09996794E-05   5.31682819E-04   1.21801316E-04   1.60279037E-53   9.57071099E-47   2.29974465E-05  
  24               4.33071541E-02   2.04863966E+02   8.38548630E-01   1.60554726E-01   1.47270864E-04   5.31646292E-04   1.21792948E-04   1.88144520E-52   2.53755944E-45   2.29958665E-05  
  25               5.03628213E-02   2.08922504E+02   8.38352003E-01   1.60517078E-01   2.15914705E-04   5.31521629E-04   1.21764389E-04   1.15128321E-50   9.77541757E-44   2.29904743E-05  
  26               5.83688516E-02   2.16285061E+02   8.38212988E-01   1.60490461E-01   4.50314564E-04   5.31433492E-04   1.21744199E-04   6.88191259E-49   9.57362212E-42   2.29866621E-05  
  27               6.72889091E-02   2.23992392E+02   8.38073973E-01   1.60463844E-01   6.16058872E-04   5.31345356E-04   1.21724008E-04   1.10141485E-46   8.88259149E-40   2.29828498E-05  
  28               7.73209341E-02   2.34335788E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724008E-04   6.73059087E-45   3.37702270E-38   2.29828498E-05  
  29               8.87497475E-02   2.43428086E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724008E-04   4.56337940E-43   1.41210981E-36   2.29828498E-05  
  30               1.02059967E-01   2.53537751E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724008E-04   1.19393361E-41   2.46155174E-35   2.29828498E-05  
  31               1.17564433E-01   2.61934852E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724008E-04   3.82423867E-40   5.12903027E-34   2.29828498E-05  
  32               1.35626758E-01   2.71563202E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724008E-04   6.46890797E-39   5.97721682E-33   2.29828498E-05  
  33               1.56669271E-01   2.79892884E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724007E-04   1.44351694E-37   8.90579782E-32   2.29828498E-05  
  34               1.81185949E-01   2.89774864E+02   8.38073973E-01   1.60463844E-01   7.81850224E-04   5.31345356E-04   1.21724007E-04   2.03481679E-36   8.77951388E-31   2.29828498E-05  
  35               2.09757683E-01   2.98660758E+02   8.38073973E-01   1.60463844E-01   7.81850206E-04   5.31345356E-04   1.21724005E-04   3.98095911E-35   1.16213554E-29   2.29828498E-05  
  36               2.43054495E-01   3.09476799E+02   8.38073973E-01   1.60463844E-01   7.81850188E-04   5.31345356E-04   1.21724000E-04   5.70675663E-34   1.16868785E-28   2.29828498E-05  
  37               2.81845306E-01   3.19726398E+02   8.38073973E-01   1.60463844E-01   7.81850064E-04   5.31345356E-04   1.21723987E-04   1.18429687E-32   1.65153573E-27   2.29828498E-05  
  38               3.27013888E-01   3.32403829E+02   8.38073973E-01   1.60463844E-01   7.81849958E-04   5.31345356E-04   1.21723952E-04   2.06066479E-31   2.01047993E-26   2.29828498E-05  
  39               3.79566868E-01   3.45173314E+02   8.38073972E-01   1.60463844E-01   7.81849622E-04   5.31345355E-04   1.21723834E-04   6.18227083E-30   4.09295335E-25   2.29828498E-05  
  40               4.40646067E-01   3.61825019E+02   8.38073972E-01   1.60463844E-01   7.81847515E-04   5.31345354E-04   1.21723494E-04   1.32383029E-28   6.18640596E-24   2.29828497E-05  
  41               5.11576982E-01   3.78096846E+02   8.38073890E-01   1.60463828E-01   7.81845331E-04   5.31345300E-04   1.21722463E-04   2.94528539E-27   9.73414962E-23   2.29828474E-05  
  42               5.93919589E-01   3.96214261E+02   8.38073902E-01   1.60463819E-01   7.81744523E-04   5.31345273E-04   1.21719843E-04   4.77271380E-26   1.14632629E-21   2.29828462E-05  
  43               6.89450238E-01   4.13940679E+02   8.38073914E-01   1.60463810E-01   7.81645672E-04   5.31345243E-04   1.21712881E-04   7.93927917E-25   1.38790493E-20   2.29828449E-05  
  44               8.00190919E-01   4.33641684E+02   8.38073998E-01   1.60463813E-01   7.81549231E-04   5.31345251E-04   1.21696733E-04   9.97451000E-24   1.30038680E-19   2.29828453E-05  
  45               9.28515804E-01   4.52923012E+02   8.38073819E-01   1.60463781E-01   7.81618442E-04   5.31345145E-04   1.21657901E-04   1.27537381E-22   1.24131746E-18   2.29828407E-05  
  46               1.07716497E+00   4.74326368E+02   8.38072150E-01   1.60463561E-01   7.82263395E-04   5.31344419E-04   1.21575773E-04   1.27175462E-21   9.45562101E-18   2.29828093E-05  
  47               1.24928467E+00   4.95272045E+02   8.38071595E-01   1.60463419E-01   7.81782154E-04   5.31343948E-04   1.21396825E-04   1.28321577E-20   7.25112362E-17   2.29827889E-05  
  48               1.44851258E+00   5.18516113E+02   8.38071338E-01   1.60463274E-01   7.81233971E-04   5.31343466E-04   1.21052068E-04   1.04266842E-19   4.57388084E-16   2.29827681E-05  
  49               1.67920823E+00   5.41302941E+02   8.38072823E-01   1.60463254E-01   7.80109667E-04   5.31343402E-04   1.20369467E-04   8.56103620E-19   2.91470482E-15   2.29827653E-05  
  50               1.94669373E+00   5.66636196E+02   8.38073611E-01   1.60463063E-01   7.80108757E-04   5.31342769E-04   1.19177997E-04   5.83692720E-18   1.56535120E-14   2.29827379E-05  
  51               2.25760773E+00   5.91571207E+02   8.38075005E-01   1.60462725E-01   7.80107161E-04   5.31341650E-04   1.17072030E-04   4.03413386E-17   8.50394484E-14   2.29826895E-05  
  52               2.62009230E+00   6.19426548E+02   8.38077151E-01   1.60462205E-01   7.80104736E-04   5.31339927E-04   1.13829384E-04   2.38322520E-16   3.99375221E-13   2.29826150E-05  
  53               3.04440773E+00   6.47038176E+02   8.38080415E-01   1.60461414E-01   7.80101123E-04   5.31337304E-04   1.08896965E-04   1.43272517E-15   1.90140388E-12   2.29825017E-05  
  54               3.54360151E+00   6.78071489E+02   8.38084687E-01   1.60460377E-01   7.80096568E-04   5.31333864E-04   1.02438583E-04   7.54884926E-15   7.99697126E-12   2.29823532E-05  
  55               4.13407631E+00   7.09119909E+02   8.38090118E-01   1.60459057E-01   7.80091173E-04   5.31329466E-04   9.42214749E-05   4.04448095E-14   3.40339519E-11   2.29821641E-05  
  56               4.83485869E+00   7.44142720E+02   8.38096054E-01   1.60457605E-01   7.80086055E-04   5.31324560E-04   8.52067157E-05   1.91753658E-13   1.29060385E-10   2.29819561E-05  
  57               5.66589757E+00   7.79230209E+02   8.38102362E-01   1.60456036E-01   7.80082075E-04   5.31319000E-04   7.55352390E-05   9.07723931E-13   4.87092188E-10   2.29817312E-05  
  58               6.64788022E+00   8.18447744E+02   8.38108232E-01   1.60454548E-01   7.80080793E-04   5.31312919E-04   6.64399950E-05   3.78324890E-12   1.63184293E-09   2.29815176E-05  
  59               7.80009126E+00   8.57284678E+02   8.38113780E-01   1.60453142E-01   7.80083077E-04   5.31304544E-04   5.78459626E-05   1.53828114E-11   5.33019548E-09   2.29828633E-05  
  60               9.14183447E+00   9.00020202E+02   8.38118479E-01   1.60451949E-01   7.80087513E-04   5.31290460E-04   5.05656278E-05   5.48951385E-11   1.54278911E-08   2.29929635E-05  
  61               1.06871793E+01   9.41603507E+02   8.38122522E-01   1.60450882E-01   7.80086189E-04   5.31259432E-04   4.41693560E-05   1.87590871E-10   4.28512793E-08   2.30363697E-05  
  62               1.24469482E+01   9.86521871E+02   8.38125340E-01   1.60449947E-01   7.80060275E-04   5.31193074E-04   3.90542041E-05   5.65114305E-10   1.05984406E-07   2.31773717E-05  
  63               1.44305143E+01   1.02939011E+03   8.38127262E-01   1.60449067E-01   7.79964788E-04   5.31045303E-04   3.46935888E-05   1.62318012E-09   2.50594235E-07   2.36013853E-05  
  64               1.66506377E+01   1.07524670E+03   8.38128848E-01   1.60448314E-01   7.79759800E-04   5.30757961E-04   3.12911638E-05   4.17581146E-09   5.35012926E-07   2.39920905E-05  
  65               1.91267046E+01   1.11853996E+03   8.38130553E-01   1.60447688E-01   7.79394006E-04   5.30281906E-04   2.86845995E-05   9.39773824E-09   1.00832060E-06   2.42836334E-05  
  66               2.18853950E+01   1.15731043E+03   8.38132567E-01   1.60447154E-01   7.78802473E-04   5.29551963E-04   2.68817046E-05   1.93463754E-08   1.73547911E-06   2.42833762E-05  
  67               2.49544858E+01   1.19560885E+03   8.38134536E-01   1.60446625E-01   7.77936369E-04   5.28543056E-04   2.56852541E-05   3.65170479E-08   2.74121302E-06   2.42830433E-05  
  68               2.83593285E+01   1.23124744E+03   8.38136808E-01   1.60446017E-01   7.76686930E-04   5.27142768E-04   2.47801686E-05   6.58904206E-08   4.13742955E-06   2.42825862E-05  
  69               3.21285715E+01   1.26773902E+03   8.38139430E-01   1.60445316E-01   7.75023669E-04   5.25325936E-04   2.41440154E-05   1.13163559E-07   5.94909086E-06   2.42819779E-05  
  70               3.63094486E+01   1.30285727E+03   8.38142736E-01   1.60444436E-01   7.72766138E-04   5.22907598E-04   2.36151173E-05   1.90049602E-07   8.36042057E-06   2.42811394E-05  
