# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              CO              
  1                1.00000000E-05   6.29852733E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   4.90818563E-17   6.32225119E-07   3.16582745E-109  2.30030265E-05   3.09974439E-104 
  2                6.83658485E-05   7.09137471E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.23357472E-17   6.32225119E-07   1.74030496E-109  2.30030265E-05   1.06350908E-104 
  3                1.40598320E-04   6.54363062E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.32644577E-17   6.32225119E-07   9.05074809E-110  2.30030265E-05   3.23252358E-106 
  4                2.29988618E-04   7.51282810E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.20082159E-17   6.32225119E-07   6.82478571E-110  2.30030265E-05   8.67179052E-107 
  5                3.39921054E-04   7.12775402E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.27233465E-17   6.32225119E-07   5.54323999E-110  2.30030265E-05   3.50990424E-107 
  6                4.73987176E-04   8.14054518E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.38158790E-17   6.32225119E-07   4.66781381E-110  2.30030265E-05   1.73417442E-107 
  7                6.34278879E-04   8.11354879E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.50716274E-17   6.32225119E-07   4.01582283E-110  2.30030265E-05   9.75180708E-108 
  8                8.30449367E-04   8.43508035E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.45225630E-17   6.32225119E-07   3.50431253E-110  2.30030265E-05   5.54582306E-108 
  9                1.06768336E-03   8.76051211E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.38318124E-17   6.32225119E-07   3.08562079E-110  2.30030265E-05   3.26817435E-108 
  10               1.35566040E-03   9.07772061E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.30793742E-17   6.32225119E-07   2.73569849E-110  2.30030265E-05   1.98109321E-108 
  11               1.70538837E-03   9.45624128E+01   8.38831383E-01   1.60608871E-01   5.31825586E-04   5.07226817E-17   6.32225119E-07   2.43743463E-110  2.30030265E-05   1.20360490E-108 
  12               2.13027766E-03   9.84828029E+01   8.38830691E-01   1.60608739E-01   5.31825147E-04   1.15819501E-16   6.33168002E-07   2.18683137E-107  2.30030076E-05   1.17880972E-105 
  13               2.64084925E-03   1.03218136E+02   8.38821668E-01   1.60607011E-01   5.31819426E-04   1.23560099E-15   1.46909485E-06   3.55606400E-102  2.30027601E-05   6.46184095E-100 
  14               3.18646475E-03   1.08412738E+02   8.38812645E-01   1.60605284E-01   5.31813706E-04   1.35391044E-14   1.22251881E-05   1.70589571E-97   2.30025127E-05   1.00809696E-94  
  15               3.65884160E-03   1.13536789E+02   8.38779452E-01   1.60598929E-01   5.31792661E-04   6.63287049E-14   2.30069749E-05   1.29721252E-94   2.30016025E-05   1.54887250E-91  
  16               4.03118317E-03   1.16940479E+02   8.38754590E-01   1.60594168E-01   5.31776898E-04   4.33882687E-13   6.25667254E-05   2.14563348E-92   2.30009207E-05   1.01244182E-88  
  17               4.31014163E-03   1.19699266E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   7.92229342E-13   9.22063095E-05   9.21540856E-91   2.30002389E-05   2.89913760E-87  
  18               4.57248836E-03   1.21809159E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   3.22768960E-12   1.21819257E-04   7.52950606E-89   2.30002389E-05   9.57574263E-85  
  19               4.85247249E-03   1.24392168E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   5.35279420E-12   1.21819257E-04   5.32127257E-87   2.30002389E-05   4.25553028E-83  
  20               5.19781156E-03   1.26991758E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   1.33523032E-11   1.21819257E-04   1.28032395E-84   2.30002389E-05   1.85627058E-80  
  21               5.62348420E-03   1.30508359E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   3.78155938E-11   1.21819257E-04   2.70243012E-82   2.30002389E-05   6.88686274E-78  
  22               6.14789895E-03   1.34130608E+02   8.38729727E-01   1.60589408E-01   5.31761135E-04   1.47681553E-10   1.21819257E-04   1.78337894E-79   2.30002389E-05   9.27118189E-75  
  23               6.79361427E-03   1.38802718E+02   8.38729725E-01   1.60589407E-01   5.31761134E-04   4.66736885E-10   1.21819257E-04   2.65618483E-77   2.30002388E-05   2.20748476E-72  
  24               7.58850293E-03   1.42638307E+02   8.38729723E-01   1.60589407E-01   5.31761133E-04   2.83844873E-09   1.21819256E-04   3.90833132E-75   2.30002388E-05   1.28918678E-69  
  25               8.56697020E-03   1.46689907E+02   8.38729712E-01   1.60589405E-01   5.31761125E-04   5.13533716E-09   1.21819255E-04   3.54161654E-73   2.30002384E-05   6.65397645E-68  
  26               9.77086868E-03   1.50556303E+02   8.38729702E-01   1.60589403E-01   5.31761119E-04   1.85697420E-08   1.21819253E-04   3.37946939E-71   2.30002382E-05   1.96644617E-65  
