# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              N2              
  1                1.00000000E-05   8.51076612E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.46555743E-17   1.75595366E-07   3.16582817E-109  2.30041675E-05   2.24719121E-39  
  2                2.95455854E-04   7.10529381E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.49459797E-17   1.75595366E-07   5.82426383E-110  2.30041675E-05   2.57427434E-42  
  3                6.46246747E-04   8.48623916E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.56836182E-17   1.75595366E-07   3.93811283E-110  2.30041675E-05   5.38075587E-43  
  4                1.04939990E-03   8.97996300E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.54372247E-17   1.75595366E-07   3.09041519E-110  2.30041675E-05   2.04060050E-43  
  5                1.53646862E-03   9.10120902E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.51994915E-17   1.75595366E-07   2.55402705E-110  2.30041675E-05   9.51902877E-44  
  6                2.12432647E-03   9.72508451E+01   8.38831763E-01   1.60608949E-01   5.31825841E-04   3.50246356E-17   1.75595366E-07   2.17208446E-110  2.30041675E-05   4.97963494E-44  
  7                2.83442822E-03   9.89086169E+01   8.38829817E-01   1.60608576E-01   5.31824607E-04   3.51606105E-17   1.78250422E-07   1.88041454E-110  2.30041141E-05   2.88233954E-44  
  8                3.67536026E-03   1.05522664E+02   8.38829817E-01   1.60608576E-01   5.31824607E-04   6.41479658E-16   2.49587662E-06   1.37608562E-104  2.30041141E-05   5.98172011E-40  
  9                4.61671710E-03   1.08892503E+02   8.38800197E-01   1.60602905E-01   5.31805828E-04   3.01134986E-15   2.53397639E-06   2.55526650E-101  2.30033018E-05   7.18511852E-39  
  10               5.49855014E-03   1.16831784E+02   8.38800197E-01   1.60602905E-01   5.31805828E-04   2.48695686E-13   3.78070574E-05   2.70481698E-94   2.30033018E-05   5.65214446E-34  
  11               6.07104959E-03   1.18923295E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   2.50045909E-13   3.78821478E-05   1.30184997E-92   2.30013692E-05   2.09548353E-33  
  12               6.53843293E-03   1.23538344E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   1.72049857E-12   1.21819260E-04   4.51556195E-89   2.30013692E-05   4.34169635E-31  
  13               6.89764941E-03   1.23930708E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   1.73006760E-12   1.21819260E-04   8.57540825E-89   2.30013692E-05   5.04467025E-31  
  14               7.33874694E-03   1.28240510E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   1.19923570E-11   1.21819260E-04   9.77986160E-86   2.30013692E-05   6.78974776E-30  
  15               7.88006436E-03   1.29398418E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   1.20172715E-11   1.21819260E-04   5.82179495E-85   2.30013692E-05   1.18827708E-29  
  16               8.54448046E-03   1.32944897E+02   8.38729724E-01   1.60589412E-01   5.31761148E-04   3.88211090E-11   1.21819260E-04   1.20843293E-82   2.30013692E-05   8.06561060E-29  
  17               9.35886391E-03   1.36833023E+02   8.38729724E-01   1.60589411E-01   5.31761147E-04   1.30130856E-10   1.21819260E-04   3.04343511E-80   2.30013692E-05   5.81918214E-28  
  18               1.03564377E-02   1.41444864E+02   8.38729724E-01   1.60589411E-01   5.31761147E-04   1.02189900E-09   1.21819260E-04   1.44792859E-77   2.30013692E-05   5.30293905E-27  
  19               1.15784193E-02   1.44213047E+02   8.38729719E-01   1.60589411E-01   5.31761145E-04   1.02656111E-09   1.21819259E-04   4.72142156E-76   2.30013690E-05   1.68116841E-26  
  20               1.30746916E-02   1.48719750E+02   8.38729719E-01   1.60589411E-01   5.31761145E-04   6.02647206E-09   1.21819259E-04   1.06836713E-73   2.30013690E-05   1.11674999E-25  
  21               1.49058935E-02   1.51469442E+02   8.38729699E-01   1.60589407E-01   5.31761132E-04   6.04946406E-09   1.21819256E-04   2.41874517E-72   2.30013685E-05   2.98058261E-25  
  22               1.71455948E-02   1.56127260E+02   8.38729699E-01   1.60589407E-01   5.31761132E-04   3.07083108E-08   1.21819256E-04   3.85113678E-70   2.30013685E-05   1.68373320E-24  
