# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   7.86844412E+01   8.38828530E-01   1.60608280E-01   5.19173361E-16   5.31823629E-04   3.27883933E-103  3.16582207E-109  4.07782581E-06   1.21192652E-36  
  2                1.20654485E-04   9.69521381E+01   8.38729765E-01   1.60589370E-01   8.25901621E-16   5.31761011E-04   3.58301982E-105  9.11304792E-110  4.18699533E-06   8.77785079E-39  
  3                1.92390999E-04   1.12020090E+02   8.38729765E-01   1.60589370E-01   3.41294318E-13   5.31761011E-04   6.00093079E-92   9.97702150E-98   1.21819229E-04   1.22587096E-31  
  4                2.18320704E-04   1.20329282E+02   8.38729765E-01   1.60589370E-01   1.26205703E-11   5.31761011E-04   3.80675109E-84   8.89015559E-91   1.21819229E-04   4.47867013E-29  
  5                2.48654647E-04   1.27772565E+02   8.38729764E-01   1.60589370E-01   2.09501073E-10   5.31761010E-04   4.79264714E-78   2.52322891E-85   1.21819228E-04   4.43799213E-27  
  6                2.84246000E-04   1.32929361E+02   8.38729754E-01   1.60589368E-01   1.16074499E-09   5.31761003E-04   2.78271467E-74   6.47532255E-82   1.21819227E-04   7.22385185E-26  
  7                3.26095218E-04   1.37968322E+02   8.38729754E-01   1.60589368E-01   1.36071082E-08   5.31761003E-04   1.72347121E-70   7.82550277E-79   1.21819227E-04   8.80521730E-25  
  8                3.75365411E-04   1.41399854E+02   8.38729706E-01   1.60589359E-01   1.36596046E-08   5.31760973E-04   8.65952943E-69   7.17181281E-77   1.21819220E-04   3.94566852E-24  
  9                4.33417175E-04   1.45324365E+02   8.38729706E-01   1.60589359E-01   6.99836582E-08   5.31760973E-04   3.17647328E-66   9.73358221E-75   1.21819220E-04   2.05600482E-23  
  10               5.01843919E-04   1.48015237E+02   8.38729531E-01   1.60589325E-01   7.01787167E-08   5.31760862E-04   4.71793625E-65   2.36576204E-73   1.21819195E-04   5.47254009E-23  
  11               5.82486967E-04   1.52299872E+02   8.38729531E-01   1.60589325E-01   2.79528212E-07   5.31760862E-04   1.31323890E-62   3.13046885E-71   1.21819195E-04   2.81789304E-22  
  12               6.77550806E-04   1.54320759E+02   8.38728861E-01   1.60589197E-01   2.80270158E-07   5.31760438E-04   7.61813800E-62   2.73734590E-70   1.21819097E-04   5.01031047E-22  
  13               7.89603712E-04   1.58775787E+02   8.38728861E-01   1.60589197E-01   1.07756780E-06   5.31760438E-04   1.67918163E-59   2.91800306E-68   1.21819097E-04   2.36949940E-21  
  14               9.21661060E-04   1.61059964E+02   8.38726547E-01   1.60588754E-01   1.08012205E-06   5.31758970E-04   1.05137999E-58   2.78044994E-67   1.21818761E-04   4.34442991E-21  
  15               1.07724969E-03   1.65902151E+02   8.38726547E-01   1.60588754E-01   3.83703311E-06   5.31758970E-04   2.11472092E-56   2.91676647E-65   1.21818761E-04   2.04545748E-20  
  16               1.26052944E-03   1.68062399E+02   8.38720530E-01   1.60587602E-01   3.84359261E-06   5.31755155E-04   9.94616455E-56   2.03863618E-64   1.21817887E-04   3.31611596E-20  
  17               1.47636348E-03   1.72628536E+02   8.38720530E-01   1.60587602E-01   1.10110493E-05   5.31755155E-04   9.13056329E-54   1.14784961E-62   1.21817887E-04   1.22523307E-19  
  18               1.73041995E-03   1.74633234E+02   8.38704615E-01   1.60584555E-01   1.10278343E-05   5.31745066E-04   3.29640167E-53   6.02027526E-62   1.21815576E-04   1.77289454E-19  
  19               2.02916697E-03   1.79323398E+02   8.38704615E-01   1.60584555E-01   2.99856393E-05   5.31745066E-04   2.40071419E-51   2.77912831E-60   1.21815576E-04   6.07725861E-19  
  20               2.38002043E-03   1.81461296E+02   8.38659430E-01   1.60575903E-01   3.00288218E-05   5.31716418E-04   8.51322141E-51   1.42754523E-59   1.21809013E-04   8.73214754E-19  
  21               2.79085317E-03   1.86574766E+02   8.38659430E-01   1.60575903E-01   8.38584910E-05   5.31716418E-04   6.60875456E-49   6.81793054E-58   1.21809013E-04   3.05241145E-18  
  22               3.26926352E-03   1.88985618E+02   8.38488916E-01   1.60543255E-01   8.39613245E-05   5.31608310E-04   2.51314397E-48   3.75892816E-57   1.21784247E-04   4.53359353E-18  
  23               3.82133710E-03   1.95122719E+02   8.38488916E-01   1.60543255E-01   2.87159647E-04   5.31608310E-04   3.51577465E-46   2.69151495E-55   1.21784247E-04   1.88716325E-17  
