# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                CO               H2S             
  1                1.00000000E-05   8.65402643E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.86524556E-16   8.48942416E-07   3.16582712E-109  1.17798862E-103  2.30035633E-05  
  2                6.51248401E-05   7.41312104E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.86962612E-16   8.48942416E-07   1.24054882E-109  2.78398253E-105  2.30035633E-05  
  3                1.33229417E-04   8.71127853E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.86827849E-16   8.48942416E-07   8.67335515E-110  6.64731768E-106  2.30035633E-05  
  4                2.15971429E-04   7.89062775E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.86683903E-16   8.48942416E-07   6.81222594E-110  2.52766402E-106  2.30035633E-05  
  5                3.16430534E-04   9.28557454E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.86607707E-16   8.48942416E-07   5.62792113E-110  1.17700386E-106  2.30035633E-05  
  6                4.37876617E-04   8.64726043E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.87099929E-16   8.48942416E-07   4.78422193E-110  6.16275912E-107  2.30035633E-05  
  7                5.87700040E-04   9.41116728E+01   8.38831204E-01   1.60608834E-01   5.31825461E-04   1.87057113E-16   8.48942416E-07   4.12961281E-110  3.42032887E-107  2.30035633E-05  
  8                7.66852207E-04   1.00693034E+02   8.38824016E-01   1.60607457E-01   5.31820903E-04   1.96972266E-16   8.58636674E-07   2.17115131E-109  1.07337888E-106  2.30033662E-05  
  9                9.65643013E-04   1.08133582E+02   8.38795847E-01   1.60602064E-01   5.31803044E-04   9.74696047E-15   9.45443491E-06   1.04203410E-101  3.43407787E-98   2.30025937E-05  
  10               1.10899494E-03   1.13409441E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   2.95310610E-13   4.30696033E-05   7.18291482E-97   2.08123005E-92   2.30007806E-05  
  11               1.18832180E-03   1.15612557E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   2.96686560E-13   1.21819255E-04   5.53455329E-95   9.74918267E-91   2.30007806E-05  
  12               1.25275814E-03   1.17981930E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   1.77239915E-12   1.21819255E-04   4.98655948E-93   3.21678440E-88   2.30007806E-05  
  13               1.33230816E-03   1.19971253E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   1.77918762E-12   1.21819255E-04   1.88535936E-91   8.00123221E-87   2.30007806E-05  
  14               1.43046657E-03   1.23180208E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   9.05984973E-12   1.21819255E-04   5.22703808E-89   6.11418490E-84   2.30007806E-05  
  15               1.55164237E-03   1.24383399E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   9.19210757E-12   1.21819255E-04   3.88784869E-88   3.40298226E-83   2.30007806E-05  
  16               1.70099359E-03   1.30322478E+02   8.38729730E-01   1.60589405E-01   5.31761126E-04   1.51039234E-10   1.21819255E-04   5.23017582E-84   2.81643239E-78   2.30007806E-05  
  17               1.88498501E-03   1.32522705E+02   8.38729729E-01   1.60589405E-01   5.31761125E-04   1.52104877E-10   1.21819255E-04   1.37723305E-82   4.78651364E-77   2.30007805E-05  
  18               2.11177992E-03   1.37788516E+02   8.38729729E-01   1.60589405E-01   5.31761125E-04   1.29501278E-09   1.21819255E-04   2.40280355E-79   3.12175042E-73   2.30007805E-05  
