# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  1                1.00000000E-05   1.07447954E+02   8.38831290E-01   1.60608859E-01   1.42483851E-16   5.31825546E-04   7.37872705E-07   2.20084277E-101  2.30034410E-05   1.15973086E-96  
  2                2.56427241E-04   8.90773981E+01   8.38831290E-01   1.60608859E-01   1.42033473E-16   5.31825546E-04   7.37872705E-07   7.33615748E-102  2.30034410E-05   3.86576958E-97  
  3                5.62458084E-04   1.02747588E+02   8.38826550E-01   1.60607952E-01   1.54094146E-16   5.31822541E-04   7.44181483E-07   1.50209925E-107  2.30033111E-05   5.28701329E-105 
  4                9.14953803E-04   1.00825841E+02   8.38821811E-01   1.60607045E-01   1.13589666E-14   5.31819536E-04   6.39402305E-06   1.16474101E-99   2.30031811E-05   5.14544763E-96  
  5                1.26174360E-03   1.10870741E+02   8.38787955E-01   1.60600562E-01   2.27905734E-14   5.31798072E-04   1.20755872E-05   5.85872565E-99   2.30022527E-05   1.88223583E-95  
  6                1.54028540E-03   1.11579842E+02   8.38758839E-01   1.60594988E-01   2.78808922E-13   5.31779612E-04   5.24297411E-05   6.16738966E-95   2.30014542E-05   1.42066323E-90  
  7                1.72232216E-03   1.16331070E+02   8.38729723E-01   1.60589413E-01   5.24510634E-13   5.31761152E-04   8.71403623E-05   6.45345957E-93   2.30006558E-05   8.62064080E-89  
  8                1.88040759E-03   1.18815521E+02   8.38729723E-01   1.60589413E-01   1.71133215E-12   5.31761152E-04   1.21819261E-04   6.51038641E-90   2.30006558E-05   1.90517374E-85  
  9                2.04059929E-03   1.22711828E+02   8.38729723E-01   1.60589413E-01   4.85128087E-12   5.31761152E-04   1.21819261E-04   8.13828850E-88   2.30006558E-05   3.80220415E-83  
  10               2.23708996E-03   1.25589082E+02   8.38729723E-01   1.60589413E-01   2.41618403E-11   5.31761152E-04   1.21819261E-04   2.18227189E-84   2.30006558E-05   2.50475849E-79  
  11               2.47795370E-03   1.30591551E+02   8.38729722E-01   1.60589413E-01   8.95831180E-11   5.31761151E-04   1.21819261E-04   6.40623273E-82   2.30006557E-05   1.27990577E-76  
  12               2.77309017E-03   1.34453111E+02   8.38729721E-01   1.60589412E-01   3.85185380E-10   5.31761151E-04   1.21819261E-04   6.32231957E-79   2.30006557E-05   2.58791853E-73  
  13               3.13479844E-03   1.39455279E+02   8.38729720E-01   1.60589412E-01   1.79039716E-09   5.31761150E-04   1.21819260E-04   7.29039788E-77   2.30006557E-05   7.69453619E-71  
  14               3.57815286E-03   1.43132747E+02   8.38729713E-01   1.60589411E-01   3.15486913E-09   5.31761146E-04   1.21819260E-04   1.52163942E-75   2.30006555E-05   1.03939462E-69  
  15               4.12209315E-03   1.45583798E+02   8.38729708E-01   1.60589410E-01   1.10567158E-08   5.31761142E-04   1.21819259E-04   1.24998181E-72   2.30006553E-05   2.13886546E-66  
  16               4.78870280E-03   1.51354819E+02   8.38729680E-01   1.60589405E-01   1.78571768E-08   5.31761125E-04   1.21819255E-04   9.43705432E-72   2.30006546E-05   1.15708697E-65  
  17               5.60550355E-03   1.53094599E+02   8.38729658E-01   1.60589400E-01   5.08178738E-08   5.31761111E-04   1.21819251E-04   2.61040246E-69   2.30006540E-05   6.05962263E-63  
  18               6.60603198E-03   1.58528074E+02   8.38729562E-01   1.60589382E-01   7.70909921E-08   5.31761050E-04   1.21819238E-04   1.57843478E-68   2.30006513E-05   2.67505393E-62  
  19               7.83123358E-03   1.60189241E+02   8.38729488E-01   1.60589368E-01   1.91518267E-07   5.31761003E-04   1.21819227E-04   2.51674134E-66   2.30006493E-05   7.00199224E-60  
  20               9.33099191E-03   1.65609280E+02   8.38729183E-01   1.60589309E-01   2.80034995E-07   5.31760810E-04   1.21819183E-04   1.39140798E-65   2.30006410E-05   2.83909848E-59  
  21               1.11657276E-02   1.67314385E+02   8.38728952E-01   1.60589265E-01   6.43544442E-07   5.31760663E-04   1.21819149E-04   1.34140642E-63   2.30006346E-05   4.19675725E-57  
  22               1.34088630E-02   1.72679446E+02   8.38728110E-01   1.60589104E-01   9.19549899E-07   5.31760129E-04   1.21819027E-04   8.25401646E-63   2.30006115E-05   1.85339654E-56  
  23               1.61494383E-02   1.74693207E+02   8.38727500E-01   1.60588987E-01   1.92279808E-06   5.31759742E-04   1.21818938E-04   4.90680075E-61   2.30005948E-05   1.53765164E-54  
  24               1.94955510E-02   1.79914826E+02   8.38725261E-01   1.60588558E-01   2.65275154E-06   5.31758323E-04   1.21818613E-04   2.90488908E-60   2.30005334E-05   6.55436215E-54  
  25               2.35771716E-02   1.82053794E+02   8.38723633E-01   1.60588247E-01   5.32099421E-06   5.31757291E-04   1.21818376E-04   1.50927107E-58   2.30004888E-05   4.61486120E-52  
  26               2.85506218E-02   1.87557738E+02   8.38717574E-01   1.60587087E-01   7.26645412E-06   5.31753450E-04   1.21817496E-04   8.79035431E-58   2.30003226E-05   1.93895604E-51  
  27               3.46038988E-02   1.89860772E+02   8.38713143E-01   1.60586238E-01   1.44888113E-05   5.31750640E-04   1.21816853E-04   3.07496716E-56   2.30002011E-05   9.47384208E-50  
  28               4.19630351E-02   1.95265967E+02   8.38696405E-01   1.60583034E-01   1.97843009E-05   5.31740028E-04   1.21814422E-04   2.51128654E-55   2.29997421E-05   5.34160985E-49  
  29               5.08942002E-02   1.98371785E+02   8.38684099E-01   1.60580677E-01   3.97355056E-05   5.31732226E-04   1.21812634E-04   7.98849211E-54   2.29994046E-05   2.48993462E-47  
  30               6.17080352E-02   2.04029858E+02   8.38632658E-01   1.60570828E-01   5.44366757E-05   5.31699612E-04   1.21805163E-04   7.78024779E-53   2.29979939E-05   1.64771452E-46  
  31               7.47501339E-02   2.07752668E+02   8.38593524E-01   1.60563335E-01   1.15756155E-04   5.31674801E-04   1.21799479E-04   2.32086250E-51   2.29969208E-05   8.09589437E-45  
  32               9.03873528E-02   2.13807725E+02   8.38394227E-01   1.60525176E-01   1.62375440E-04   5.31548445E-04   1.21770533E-04   3.39735744E-50   2.29914554E-05   7.79316495E-44  
  33               1.08896442E-01   2.18708534E+02   8.38234064E-01   1.60494510E-01   3.99964583E-04   5.31446900E-04   1.21747270E-04   1.74069907E-48   2.29870632E-05   8.22063721E-42  
  34               1.30290709E-01   2.26426628E+02   8.38073902E-01   1.60463844E-01   5.90923321E-04   5.31345356E-04   1.21724008E-04   1.31495124E-46   2.29826710E-05   3.62226271E-40  
  35               1.55182986E-01   2.35428919E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   1.91292437E-44   2.29826710E-05   2.90892971E-38  
  36               1.84533247E-01   2.46686140E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   5.82717144E-43   2.29826710E-05   5.54362505E-37  
  37               2.20077139E-01   2.55044652E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   3.27384136E-41   2.29826710E-05   1.83458807E-35  
  38               2.63143101E-01   2.65742252E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   6.21726481E-40   2.29826710E-05   2.26192817E-34  
  39               3.15336631E-01   2.74078935E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   2.17035500E-38   2.29826710E-05   4.80406099E-33  
  40               3.78603260E-01   2.85017798E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   3.41880783E-37   2.29826710E-05   4.98718628E-32  
  41               4.55295664E-01   2.94010625E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724007E-04   9.51517602E-36   2.29826710E-05   8.61853657E-31  
  42               5.48261073E-01   3.05836142E+02   8.38073901E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724007E-04   1.44322048E-34   2.29826710E-05   8.66899581E-30  
  43               6.60909938E-01   3.16087082E+02   8.38073901E-01   1.60463844E-01   7.81921768E-04   5.31345356E-04   1.21724005E-04   3.71746555E-33   2.29826710E-05   1.40853007E-28  
