# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              CO               H2S             
  1                1.00000000E-05   1.18518084E+02   8.38729728E-01   1.60589407E-01   2.03621044E-10   5.31761132E-04   1.51624780E-91   1.21819256E-04   1.43967067E-81   2.30007623E-05  
  2                4.75262758E-05   1.23414163E+02   8.38729728E-01   1.60589407E-01   2.04540482E-10   5.31761132E-04   4.28317559E-88   1.21819256E-04   1.80207871E-79   2.30007622E-05  
  3                9.34283131E-05   1.29855477E+02   8.38729723E-01   1.60589406E-01   1.19582406E-09   5.31761129E-04   1.08672218E-83   1.21819256E-04   3.83408759E-75   2.30007621E-05  
  4                1.49559602E-04   1.36276831E+02   8.38729702E-01   1.60589402E-01   6.79105801E-09   5.31761115E-04   1.10587512E-79   1.21819253E-04   4.79263603E-71   2.30007615E-05  
  5                2.18261344E-04   1.42410416E+02   8.38729521E-01   1.60589367E-01   3.18948563E-08   5.31761000E-04   3.48286012E-76   1.21819226E-04   1.98044853E-67   2.30007566E-05  
  6                3.02441058E-04   1.47492136E+02   8.38729521E-01   1.60589367E-01   2.47780651E-07   5.31761000E-04   1.63083249E-73   1.21819226E-04   2.58698123E-64   2.30007566E-05  
  7                4.05685376E-04   1.51888573E+02   8.38728947E-01   1.60589257E-01   2.48417068E-07   5.31760637E-04   2.35855433E-71   1.21819143E-04   1.57237838E-62   2.30007408E-05  
  8                5.32399258E-04   1.55644565E+02   8.38728947E-01   1.60589257E-01   9.31962934E-07   5.31760637E-04   1.30133606E-69   1.21819143E-04   1.53517149E-60   2.30007408E-05  
  9                6.87962198E-04   1.59221226E+02   8.38727531E-01   1.60588986E-01   9.33528500E-07   5.31759739E-04   4.95167243E-68   1.21818937E-04   2.92329463E-59   2.30007020E-05  
  10               8.78964620E-04   1.62650705E+02   8.38727531E-01   1.60588986E-01   2.61991309E-06   5.31759739E-04   1.38950971E-66   1.21818937E-04   1.20310579E-57   2.30007020E-05  
  11               1.11350478E-03   1.65761585E+02   8.38722982E-01   1.60588115E-01   2.62489919E-06   5.31756855E-04   2.51045909E-65   1.21818277E-04   1.19761986E-56   2.30005773E-05  
  12               1.40146528E-03   1.68632137E+02   8.38722982E-01   1.60588115E-01   8.04336819E-06   5.31756855E-04   3.26810097E-64   1.21818277E-04   2.72935609E-55   2.30005773E-05  
  13               1.75488717E-03   1.71535199E+02   8.38722982E-01   1.60588115E-01   8.04336819E-06   5.31756855E-04   4.01429541E-63   1.21818277E-04   1.94253647E-54   2.30005773E-05  
  14               2.18892809E-03   1.74242859E+02   8.38708314E-01   1.60585307E-01   8.05898802E-06   5.31747555E-04   3.82882425E-62   1.21816146E-04   1.10559394E-53   2.30001750E-05  
  15               2.72108680E-03   1.76996911E+02   8.38708314E-01   1.60585307E-01   2.55320660E-05   5.31747555E-04   3.53767054E-61   1.21816146E-04   1.94496402E-52   2.30001750E-05  
  16               3.37238070E-03   1.80754207E+02   8.38708314E-01   1.60585307E-01   2.55320660E-05   5.31747555E-04   6.82918782E-60   1.21816146E-04   2.14412319E-51   2.30001750E-05  
  17               4.17112362E-03   1.83638809E+02   8.38659575E-01   1.60575975E-01   2.55789348E-05   5.31716654E-04   5.94447254E-59   1.21809067E-04   1.14131454E-50   2.29988384E-05  
  18               5.14593578E-03   1.86731139E+02   8.38659575E-01   1.60575975E-01   8.36430820E-05   5.31716654E-04   5.64570542E-58   1.21809067E-04   2.16073412E-49   2.29988384E-05  
  19               6.33030741E-03   1.90614268E+02   8.38659575E-01   1.60575975E-01   8.36430820E-05   5.31716654E-04   8.80482520E-57   1.21809067E-04   1.99049488E-48   2.29988384E-05  
  20               7.77970125E-03   1.94151078E+02   8.38538806E-01   1.60552851E-01   8.37261855E-05   5.31640086E-04   9.64940859E-56   1.21791526E-04   1.32941337E-47   2.29955265E-05  
  21               9.53047715E-03   1.97548307E+02   8.38538806E-01   1.60552851E-01   2.27633517E-04   5.31640086E-04   8.82691828E-55   1.21791526E-04   2.05397136E-46   2.29955265E-05  
  22               1.16282334E-02   2.03154559E+02   8.38073938E-01   1.60463844E-01   2.27507802E-04   5.31345356E-04   3.07714277E-53   1.21724008E-04   4.06532553E-45   2.29827783E-05  
  23               1.40820869E-02   2.06061512E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   1.71825352E-52   1.21724008E-04   5.13700098E-44   2.29827783E-05  
  24               1.68541918E-02   2.14055746E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   1.79525431E-50   1.21724008E-04   2.92337008E-42   2.29827783E-05  
  25               2.02223158E-02   2.22017400E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   1.31042504E-48   1.21724008E-04   1.19626641E-40   2.29827783E-05  
  26               2.43155074E-02   2.29958509E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   6.99057504E-47   1.21724008E-04   3.66846644E-39   2.29827783E-05  
  27               2.92892205E-02   2.37164579E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   2.02114735E-45   1.21724008E-04   6.37295810E-38   2.29827783E-05  
  28               3.53326881E-02   2.44644019E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   5.37158067E-44   1.21724008E-04   1.02614082E-36   2.29827783E-05  
  29               4.26745706E-02   2.51689187E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   9.77037563E-43   1.21724008E-04   1.16191520E-35   2.29827783E-05  
  30               5.15908188E-02   2.59227470E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   1.83042292E-41   1.21724008E-04   1.35647175E-34   2.29827783E-05  
  31               6.24139900E-02   2.66487830E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   2.60973028E-40   1.21724007E-04   1.22940837E-33   2.29827783E-05  
  32               7.55461754E-02   2.74397488E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   4.03381594E-39   1.21724007E-04   1.20613975E-32   2.29827783E-05  
  33               9.14736928E-02   2.82109527E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   4.98697184E-38   1.21724006E-04   9.62339560E-32   2.29827783E-05  
  34               1.10785420E-01   2.90499118E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   6.62866820E-37   1.21724005E-04   8.25168734E-31   2.29827783E-05  
  35               1.34191735E-01   2.98715825E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   7.20773888E-36   1.21724002E-04   5.87571713E-30   2.29827783E-05  
  36               1.62558241E-01   3.07703572E+02   8.38073938E-01   1.60463844E-01   7.81885160E-04   5.31345356E-04   8.50469890E-35   1.21723996E-04   4.53795512E-29   2.29827783E-05  
  37               1.96939587E-01   3.16673419E+02   8.38073938E-01   1.60463844E-01   7.81885160E-04   5.31345356E-04   8.64045321E-34   1.21723986E-04   3.05362970E-28   2.29827783E-05  
  38               2.38611782E-01   3.26627360E+02   8.38073938E-01   1.60463844E-01   7.81884980E-04   5.31345356E-04   9.80209449E-33   1.21723964E-04   2.29121302E-27   2.29827783E-05  
