# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  1                1.00000000E-05   2.18637052E+02   8.38073945E-01   1.60463844E-01   7.81878272E-04   9.53432746E-48   5.31345355E-04   8.97890805E-35   9.12694272E-10   1.21722182E-04  
  2                5.31500366E-05   2.51827763E+02   8.38073971E-01   1.60463838E-01   7.81878242E-04   2.93159071E-41   5.31345334E-04   7.90306125E-30   2.03020912E-08   1.21683399E-04  
  3                1.02533872E-04   2.71114386E+02   8.38074098E-01   1.60463807E-01   7.81878092E-04   3.44575635E-38   5.31345232E-04   2.20570111E-27   1.16278285E-07   1.21491423E-04  
  4                1.60076038E-04   2.76549461E+02   8.38074084E-01   1.60463810E-01   7.81878109E-04   1.84217554E-37   5.31345244E-04   5.40761469E-27   1.05258156E-07   1.21513466E-04  
  5                2.27463289E-04   2.89042584E+02   8.38074325E-01   1.60463752E-01   7.81877825E-04   9.28440643E-36   5.31345050E-04   1.27411014E-25   2.87364050E-07   1.21149210E-04  
  6                3.06465360E-04   2.92349407E+02   8.38074267E-01   1.60463766E-01   7.81877893E-04   2.23094978E-35   5.31345096E-04   1.84941385E-25   2.43855616E-07   1.21236237E-04  
  7                3.99257549E-04   3.03295465E+02   8.38074680E-01   1.60463666E-01   7.81877405E-04   4.97303833E-34   5.31344765E-04   2.32693751E-24   5.55794621E-07   1.20612283E-04  
  8                5.08258461E-04   3.06007206E+02   8.38074572E-01   1.60463691E-01   7.81877529E-04   9.48292521E-34   5.31344850E-04   2.96674147E-24   4.75330291E-07   1.20773231E-04  
  9                6.36499827E-04   3.16148544E+02   8.38075210E-01   1.60463537E-01   7.81875010E-04   1.32458561E-32   5.31344339E-04   2.56553713E-23   9.56205369E-07   1.19811364E-04  
  10               7.87349097E-04   3.18352427E+02   8.38075006E-01   1.60463587E-01   7.81875252E-04   2.11520942E-32   5.31344503E-04   2.89268916E-23   8.01763774E-07   1.20120285E-04  
  11               9.65047520E-04   3.27976874E+02   8.38075881E-01   1.60463375E-01   7.81874218E-04   2.14508767E-31   5.31343801E-04   1.91827172E-22   1.46251349E-06   1.18798625E-04  
  12               1.17428008E-03   3.29785294E+02   8.38075531E-01   1.60463458E-01   7.81874622E-04   3.01557461E-31   5.31344075E-04   1.96691015E-22   1.20180316E-06   1.19320108E-04  
  13               1.42094674E-03   3.39126259E+02   8.38076645E-01   1.60463189E-01   7.81868137E-04   2.45433305E-30   5.31343187E-04   1.08400387E-21   2.03927989E-06   1.17644951E-04  
  14               1.71157084E-03   3.40758803E+02   8.38076154E-01   1.60463308E-01   7.81868716E-04   3.24018597E-30   5.31343580E-04   1.06407679E-21   1.66880086E-06   1.18385999E-04  
  15               2.05441923E-03   3.50118673E+02   8.38077534E-01   1.60462974E-01   7.81867087E-04   2.31949966E-29   5.31342473E-04   5.27506828E-21   2.71083623E-06   1.16301675E-04  
  16               2.45860046E-03   3.51714351E+02   8.38076882E-01   1.60463126E-01   7.81867830E-04   2.97960079E-29   5.31342978E-04   5.09833919E-21   2.22836102E-06   1.17266741E-04  
