# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.62255330E+02   8.38073938E-01   1.60463844E-01   1.31591050E-04   5.31345356E-04   8.80404348E-66   3.26000590E-52   1.21724008E-04   5.89756052E-17  
  2                1.67539816E-05   1.70439240E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   1.54304163E-62   8.42568702E-49   1.21724008E-04   4.41801575E-16  
  3                2.42841522E-05   1.82262436E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   2.66005125E-58   3.82379021E-45   1.21724008E-04   1.07943799E-14  
  4                3.34357653E-05   1.98433668E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   2.68850785E-53   9.91392359E-41   1.21724006E-04   6.03754390E-13  
  5                4.46069620E-05   2.04104121E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   9.04307539E-52   1.65598106E-39   1.21724005E-04   1.47468658E-12  
  6                5.83000156E-05   2.14843944E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   4.77853044E-49   3.70596658E-37   1.21723985E-04   1.14212776E-11  
  7                7.51187027E-05   2.17210797E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   1.58597733E-48   7.66297591E-37   1.21723984E-04   1.17669648E-11  
  8                9.58074641E-05   2.25824362E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   1.38752693E-46   3.38997435E-35   1.21723914E-04   4.66512994E-11  
  9                1.21269064E-04   2.27251231E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   2.55245428E-46   4.16781314E-35   1.21723929E-04   3.91462382E-11  
  10               1.52617456E-04   2.35324195E+02   8.38073939E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   1.18137891E-44   1.04843404E-33   1.21723760E-04   1.23762171E-10  
  11               1.91211263E-04   2.36733685E+02   8.38073938E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   2.04631194E-44   1.23952437E-33   1.21723801E-04   1.03353806E-10  
  12               2.38736998E-04   2.44597547E+02   8.38073939E-01   1.60463844E-01   7.81884531E-04   5.31345355E-04   6.40327521E-43   2.20526367E-32   1.21723439E-04   2.84493011E-10  
  13               2.97256466E-04   2.46045795E+02   8.38073939E-01   1.60463844E-01   7.81884532E-04   5.31345356E-04   1.07735704E-42   2.56462809E-32   1.21723532E-04   2.37692453E-10  
  14               3.69332064E-04   2.53602309E+02   8.38073939E-01   1.60463844E-01   7.81884531E-04   5.31345355E-04   2.30192557E-41   3.23651946E-31   1.21722872E-04   5.67866734E-10  
  15               4.58100805E-04   2.55017166E+02   8.38073939E-01   1.60463844E-01   7.81884531E-04   5.31345355E-04   3.66509849E-41   3.59926851E-31   1.21723073E-04   4.67515842E-10  
  16               5.67451830E-04   2.62333405E+02   8.38073940E-01   1.60463844E-01   7.81884530E-04   5.31345355E-04   5.77196561E-40   3.44628728E-30   1.21722016E-04   9.95589574E-10  
  17               7.02152624E-04   2.63651890E+02   8.38073939E-01   1.60463844E-01   7.81884531E-04   5.31345355E-04   8.54861448E-40   3.59742215E-30   1.21722408E-04   7.99678945E-10  
  18               8.68099138E-04   2.70855087E+02   8.38073940E-01   1.60463844E-01   7.81884529E-04   5.31345354E-04   1.07959532E-38   2.82067739E-29   1.21720874E-04   1.56683994E-09  
  19               1.07251233E-03   2.72256081E+02   8.38073940E-01   1.60463844E-01   7.81884530E-04   5.31345354E-04   1.59768427E-38   2.95158936E-29   1.21721482E-04   1.26267187E-09  
  20               1.32427040E-03   2.79705550E+02   8.38073942E-01   1.60463844E-01   7.81884528E-04   5.31345353E-04   1.86549015E-37   2.16339573E-28   1.21719185E-04   2.41099100E-09  
  21               1.63423483E-03   2.81452977E+02   8.38073941E-01   1.60463844E-01   7.81884529E-04   5.31345354E-04   3.00417289E-37   2.45791389E-28   1.21719970E-04   2.01869864E-09  
  22               2.01576692E-03   2.89410830E+02   8.38073943E-01   1.60463843E-01   7.81884526E-04   5.31345352E-04   3.50024549E-36   1.80913013E-27   1.21716254E-04   3.87662128E-09  
  23               2.48521553E-03   2.91582690E+02   8.38073943E-01   1.60463843E-01   7.81884527E-04   5.31345352E-04   6.18882170E-36   2.25079571E-27   1.21717236E-04   3.38529420E-09  
  24               3.06264800E-03   3.00051393E+02   8.38073947E-01   1.60463842E-01   7.81884522E-04   5.31345349E-04   7.05146635E-35   1.63250009E-26   1.21711039E-04   6.48379971E-09  
  25               3.77262098E-03   3.02761981E+02   8.38073946E-01   1.60463842E-01   7.81884523E-04   5.31345349E-04   1.38921208E-34   2.25614666E-26   1.21712118E-04   5.94412318E-09  
  26               4.64531889E-03   3.11722829E+02   8.38073953E-01   1.60463841E-01   7.81884514E-04   5.31345344E-04   1.50979797E-33   1.57523260E-25   1.21701530E-04   1.12376016E-08  
  27               5.71752321E-03   3.14877296E+02   8.38073952E-01   1.60463841E-01   7.81884514E-04   5.31345344E-04   3.16155947E-33   2.31358794E-25   1.21702792E-04   1.06065424E-08  
  28               7.03447006E-03   3.24286356E+02   8.38073964E-01   1.60463838E-01   7.81883445E-04   5.31345335E-04   3.19672403E-32   1.51873192E-24   1.21684833E-04   1.95849813E-08  
  29               8.65135555E-03   3.27966331E+02   8.38073964E-01   1.60463838E-01   7.81883446E-04   5.31345335E-04   7.14594978E-32   2.38114538E-24   1.21685858E-04   1.90727153E-08  
  30               1.06357419E-02   3.37891278E+02   8.38073982E-01   1.60463833E-01   7.81883420E-04   5.31345318E-04   6.76055244E-31   1.47754198E-23   1.21655045E-04   3.44768490E-08  
  31               1.30695637E-02   3.42140154E+02   8.38073984E-01   1.60463833E-01   7.81880957E-04   5.31345318E-04   1.60032248E-30   2.45524190E-23   1.21654917E-04   3.45408024E-08  
  32               1.60538989E-02   3.52660046E+02   8.38074020E-01   1.60463824E-01   7.81880915E-04   5.31345290E-04   1.42448113E-29   1.44796581E-22   1.21601456E-04   6.12681992E-08  
  33               1.97116213E-02   3.57468830E+02   8.38074011E-01   1.60463822E-01   7.81880903E-04   5.31345282E-04   3.50038378E-29   2.50314987E-22   1.21598726E-04   6.26321235E-08  
  34               2.41926140E-02   3.68712834E+02   8.38074085E-01   1.60463808E-01   7.81868562E-04   5.31345235E-04   2.97006572E-28   1.42068375E-21   1.21504774E-04   1.09603117E-07  
  35               2.96784136E-02   3.74327039E+02   8.38074093E-01   1.60463806E-01   7.81868552E-04   5.31345228E-04   7.80739977E-28   2.63106172E-21   1.21492228E-04   1.15875441E-07  
  36               3.63919551E-02   3.86598202E+02   8.38074143E-01   1.60463765E-01   7.81868355E-04   5.31345094E-04   6.54601659E-27   1.48818720E-20   1.21317639E-04   2.03154417E-07  
  37               4.46016886E-02   3.93333156E+02   8.38074244E-01   1.60463765E-01   7.81790279E-04   5.31345092E-04   1.89417667E-26   3.03698314E-20   1.21273892E-04   2.25027724E-07  
  38               5.46368175E-02   4.06872840E+02   8.38074471E-01   1.60463710E-01   7.81790027E-04   5.31344909E-04   1.58287732E-25   1.72735619E-19   1.20930979E-04   3.96463372E-07  
  39               6.68934666E-02   4.15118300E+02   8.38074561E-01   1.60463687E-01   7.81789982E-04   5.31344836E-04   5.16571406E-25   3.98171068E-19   1.20793657E-04   4.65115755E-07  
  40               8.18659217E-02   4.30240950E+02   8.38074535E-01   1.60463477E-01   7.81790216E-04   5.31344138E-04   4.33278422E-24   2.29450865E-18   1.20076133E-04   8.23797883E-07  
  41               1.00153133E-01   4.40383716E+02   8.38075316E-01   1.60463455E-01   7.81200873E-04   5.31344068E-04   1.60278819E-23   6.00418775E-18   1.19675873E-04   1.02391975E-06  
  42               1.22520434E-01   4.57737201E+02   8.38075892E-01   1.60463122E-01   7.81317755E-04   5.31342965E-04   1.39794325E-22   3.62924596E-17   1.18052650E-04   1.83540509E-06  
  43               1.49889250E-01   4.70947926E+02   8.38074932E-01   1.60462916E-01   7.83129203E-04   5.31342280E-04   6.34979648E-22   1.17058501E-16   1.16764452E-04   2.47942582E-06  
  44               1.83530853E-01   4.91237102E+02   8.38074969E-01   1.60461821E-01   7.83123859E-04   5.31338654E-04   5.78783509E-21   7.45371782E-16   1.12926202E-04   4.39813540E-06  
  45               2.25021619E-01   5.06433209E+02   8.38079555E-01   1.60461614E-01   7.80136292E-04   5.31337970E-04   2.61637688E-20   2.38898287E-15   1.10144896E-04   5.78870974E-06  
  46               2.76642592E-01   5.29853666E+02   8.38084513E-01   1.60460412E-01   7.80130458E-04   5.31333990E-04   2.35946379E-19   1.51363998E-14   1.02653966E-04   9.53371889E-06  
  47               3.41244690E-01   5.48912153E+02   8.38088288E-01   1.60459497E-01   7.80126024E-04   5.31330960E-04   1.19794740E-18   5.45609539E-14   9.69502535E-05   1.23852281E-05  
  48               4.23071272E-01   5.76701076E+02   8.38096025E-01   1.60457621E-01   7.80116956E-04   5.31324748E-04   1.09334627E-17   3.49848462E-13   8.52596267E-05   1.82298301E-05  
  49               5.27288909E-01   6.00794387E+02   8.38101603E-01   1.60456269E-01   7.80110475E-04   5.31320269E-04   6.15462080E-17   1.38905502E-12   7.68303063E-05   2.24439773E-05  
  50               6.60619380E-01   6.33827246E+02   8.38110217E-01   1.60454180E-01   7.80100619E-04   5.31313346E-04   5.45568412E-16   8.63732558E-12   6.38150570E-05   2.89508099E-05  
  51               8.30602527E-01   6.63234213E+02   8.38115765E-01   1.60452834E-01   7.80094613E-04   5.31308861E-04   3.10107497E-15   3.45654845E-11   5.54276011E-05   3.31440272E-05  
  52               1.04571612E+00   7.01171192E+02   8.38122712E-01   1.60451146E-01   7.80087834E-04   5.31303113E-04   2.40116839E-14   1.89070498E-10   4.49158192E-05   3.83992778E-05  
  53               1.31462492E+00   7.35153854E+02   8.38126814E-01   1.60450128E-01   7.80085161E-04   5.31299236E-04   1.23100713E-13   6.90136339E-10   3.86362583E-05   4.15386721E-05  
  54               1.64550860E+00   7.77098534E+02   8.38131345E-01   1.60448946E-01   7.80083742E-04   5.31292873E-04   7.73182243E-13   3.12479200E-09   3.15022843E-05   4.51052109E-05  
  55               2.04757784E+00   8.14833857E+02   8.38133920E-01   1.60448233E-01   7.80084029E-04   5.31283651E-04   3.37955091E-12   9.95713978E-09   2.73113310E-05   4.72004169E-05  
  56               2.53140817E+00   8.60347075E+02   8.38136967E-01   1.60447477E-01   7.80076133E-04   5.31253732E-04   1.71081072E-11   3.72954100E-08   2.26934357E-05   4.95090775E-05  
  57               3.10712951E+00   9.01753201E+02   8.38138734E-01   1.60446990E-01   7.80039498E-04   5.31184904E-04   6.40177079E-11   1.04366377E-07   1.99312265E-05   5.08899958E-05  
  58               3.78387466E+00   9.50907355E+02   8.38140512E-01   1.60446356E-01   7.79868915E-04   5.30955381E-04   2.67691833E-10   3.31403855E-07   1.69039442E-05   5.24033897E-05  
  59               4.57467944E+00   9.96028193E+02   8.38140994E-01   1.60445706E-01   7.79446256E-04   5.30460123E-04   8.69009028E-10   8.23838917E-07   1.50533030E-05   5.33284459E-05  
  60               5.49484777E+00   1.04847896E+03   8.38142503E-01   1.60444795E-01   7.78162824E-04   5.29053261E-04   3.03771241E-09   2.22608392E-06   1.30787957E-05   5.43152940E-05  
  61               6.56057169E+00   1.09613486E+03   8.38146497E-01   1.60443769E-01   7.75771462E-04   5.26482064E-04   8.43827617E-09   4.79136924E-06   1.19119722E-05   5.48981812E-05  
  62               7.79223645E+00   1.14987058E+03   8.38154826E-01   1.60441666E-01   7.70133713E-04   5.20596630E-04   2.42821172E-08   1.06647199E-05   1.07006308E-05   5.55026903E-05  
  63               9.22202493E+00   1.19761120E+03   8.38166151E-01   1.60438833E-01   7.61922872E-04   5.12144791E-04   5.66035203E-08   1.91004248E-05   1.00683761E-05   5.58170850E-05  
  64               1.08922035E+01   1.25037341E+03   8.38186144E-01   1.60433865E-01   7.47140142E-04   4.97072311E-04   1.34255729E-07   3.41450018E-05   9.41452398E-06   5.61407182E-05  
  65               1.28485393E+01   1.29613693E+03   8.38207316E-01   1.60428607E-01   7.31192801E-04   4.80880012E-04   2.64247744E-07   5.03074014E-05   9.19400951E-06   5.62469666E-05  
  66               1.51427639E+01   1.34677325E+03   8.38238041E-01   1.60420977E-01   7.07943059E-04   4.57356597E-04   5.31682626E-07   7.37865972E-05   8.92424175E-06   5.63753691E-05  
  67               1.78348425E+01   1.39031214E+03   8.38263550E-01   1.60414591E-01   6.88365651E-04   4.37564349E-04   9.17058425E-07   9.35385954E-05   8.98435497E-06   5.63385798E-05  
  68               2.10007153E+01   1.43962358E+03   8.38297341E-01   1.60406071E-01   6.62313881E-04   4.11258792E-04   1.64320368E-06   1.19786933E-04   8.96155244E-06   5.63397943E-05  
