# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  1                1.00000000E-05   2.59818201E+02   8.38076634E-01   1.60463199E-01   1.65419847E-39   7.81841678E-04   5.31343219E-04   4.47862355E-27   2.00932299E-06   0.00000000E+00  
  2                5.78121716E-05   3.09903241E+02   8.38104290E-01   1.60456495E-01   8.25821325E-33   7.81809012E-04   5.31321019E-04   6.36469898E-22   2.28997162E-05   0.00000000E+00  
  3                1.19134538E-04   3.22092573E+02   8.38103107E-01   1.60456779E-01   1.41578136E-31   7.81810396E-04   5.31321959E-04   3.13526753E-21   2.20111106E-05   0.00000000E+00  
  4                1.94720468E-04   3.39655116E+02   8.38114291E-01   1.60454052E-01   7.47937139E-30   7.81789530E-04   5.31312930E-04   6.47354388E-20   3.04853652E-05   0.00000000E+00  
  5                2.86762332E-04   3.45379634E+02   8.38111300E-01   1.60454792E-01   2.21887113E-29   7.81743791E-04   5.31315381E-04   1.01314946E-19   2.81912696E-05   0.00000000E+00  
  6                3.97737973E-04   3.59083880E+02   8.38119221E-01   1.60452872E-01   3.42922471E-28   7.81734435E-04   5.31309022E-04   8.43080978E-19   3.41747710E-05   0.00000000E+00  
  7                5.31197682E-04   3.63003537E+02   8.38116154E-01   1.60453615E-01   6.53679576E-28   7.81738058E-04   5.31311484E-04   1.00675091E-18   3.18577450E-05   0.00000000E+00  
  8                6.90800924E-04   3.75141953E+02   8.38122207E-01   1.60452073E-01   5.96049240E-27   7.81730546E-04   5.31306378E-04   5.61917374E-18   3.65599822E-05   0.00000000E+00  
  9                8.81308471E-04   3.78103362E+02   8.38119322E-01   1.60452835E-01   9.13367253E-27   7.81529140E-04   5.31308900E-04   5.84437341E-18   3.42386112E-05   0.00000000E+00  
  10               1.10774021E-03   3.89350363E+02   8.38124427E-01   1.60451597E-01   6.06722468E-26   7.81523133E-04   5.31304802E-04   2.54832366E-17   3.80948207E-05   0.00000000E+00  
  11               1.37634353E-03   3.91585516E+02   8.38121252E-01   1.60452367E-01   8.00212628E-26   7.81526882E-04   5.31307351E-04   2.39188361E-17   3.56963038E-05   0.00000000E+00  
  12               1.69404186E-03   4.02340264E+02   8.38125654E-01   1.60451300E-01   4.34039118E-25   7.81521916E-04   5.31303817E-04   8.89636488E-17   3.90218116E-05   0.00000000E+00  
  13               2.06970059E-03   4.04263407E+02   8.38122577E-01   1.60452045E-01   5.35876081E-25   7.81525549E-04   5.31306286E-04   8.04412971E-17   3.66977537E-05   0.00000000E+00  
  14               2.51353714E-03   4.15074176E+02   8.38126059E-01   1.60450917E-01   2.64708148E-24   7.81522449E-04   5.31302548E-04   2.80011353E-16   3.98243312E-05   0.00000000E+00  
