# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               NH3             
  1                1.00000000E-05   2.64048169E+02   8.38078861E-01   1.60462657E-01   8.31493653E-39   7.81852257E-04   5.31341423E-04   2.04008119E-26   3.69950295E-06   1.14324101E-04  
  2                1.43855946E-04   3.02486253E+02   8.38078611E-01   1.60462717E-01   6.57420034E-34   7.81852550E-04   5.31341622E-04   1.43982498E-23   3.51154727E-06   1.14700058E-04  
  3                2.99402081E-04   3.22258932E+02   8.38083036E-01   1.60461642E-01   9.31416148E-32   7.81845495E-04   5.31338064E-04   5.16725496E-22   6.85691794E-06   1.08008501E-04  
  4                4.84010584E-04   3.32003249E+02   8.38083478E-01   1.60461537E-01   7.99273468E-31   7.81838981E-04   5.31337716E-04   1.92026699E-21   7.18639451E-06   1.07349468E-04  
  5                7.04017789E-04   3.44492793E+02   8.38087577E-01   1.60460533E-01   1.16443194E-29   7.81834089E-04   5.31334391E-04   1.39488487E-20   1.03008051E-05   1.01119886E-04  
  6                9.66035034E-04   3.51211743E+02   8.38087554E-01   1.60460547E-01   4.27179002E-29   7.81805462E-04   5.31334438E-04   2.98139647E-20   1.02638482E-05   1.01193810E-04  
  7                1.27828320E-03   3.61515454E+02   8.38091323E-01   1.60459634E-01   3.12842682E-28   7.81801010E-04   5.31331413E-04   1.30742085E-19   1.31106352E-05   9.54995431E-05  
  8                1.64968773E-03   3.66877309E+02   8.38090769E-01   1.60459768E-01   7.96352570E-28   7.81801664E-04   5.31331857E-04   2.17072920E-19   1.26925178E-05   9.63358798E-05  
  9                2.09132473E-03   3.76197191E+02   8.38094150E-01   1.60458924E-01   4.16931407E-27   7.81797555E-04   5.31329064E-04   7.40511636E-19   1.52878198E-05   9.11446360E-05  
  10               2.61558171E-03   3.80833580E+02   8.38093292E-01   1.60459152E-01   8.72579435E-27   7.81733148E-04   5.31329819E-04   1.07118052E-18   1.45942145E-05   9.25320193E-05  
  11               3.23734549E-03   3.89591526E+02   8.38096378E-01   1.60458404E-01   3.70046751E-26   7.81729516E-04   5.31327342E-04   3.10735938E-18   1.69250808E-05   8.78697193E-05  
  12               3.97398100E-03   3.93882517E+02   8.38095277E-01   1.60458671E-01   6.96582551E-26   7.81730816E-04   5.31328226E-04   4.18401609E-18   1.60932773E-05   8.95335288E-05  
  13               4.84641062E-03   4.02490693E+02   8.38097929E-01   1.60457908E-01   2.62955208E-25   7.81727242E-04   5.31325699E-04   1.11333156E-17   1.83056442E-05   8.51082164E-05  
  14               5.87944530E-03   4.06785871E+02   8.38097163E-01   1.60458193E-01   4.75911556E-25   7.81399110E-04   5.31326644E-04   1.47102896E-17   1.74987391E-05   8.67222429E-05  
  15               7.10392616E-03   4.15755144E+02   8.38100272E-01   1.60457440E-01   1.74676258E-24   7.81397160E-04   5.31324148E-04   3.87527007E-17   1.98479358E-05   8.20232776E-05  
  16               8.55642663E-03   4.20476231E+02   8.38099501E-01   1.60457625E-01   3.23875513E-24   7.81398061E-04   5.31324760E-04   5.30902198E-17   1.92689032E-05   8.31814831E-05  
  17               1.02817474E-02   4.30003366E+02   8.38102813E-01   1.60456816E-01   1.18199555E-23   7.81415623E-04   5.31322084E-04   1.40693919E-16   2.17873340E-05   7.81440085E-05  
  18               1.23328910E-02   4.35311536E+02   8.38102317E-01   1.60456909E-01   2.27631670E-23   7.81416075E-04   5.31322391E-04   2.01545969E-16   2.14604514E-05   7.87978440E-05  
  19               1.47761488E-02   4.45698261E+02   8.38104992E-01   1.60455889E-01   8.51133004E-23   7.81714829E-04   5.31319012E-04   5.51265922E-16   2.42297020E-05   7.32585688E-05  
  20               1.76915754E-02   4.51967633E+02   8.38105497E-01   1.60455868E-01   1.76511156E-22   7.80894356E-04   5.31318945E-04   8.51615176E-16   2.42970356E-05   7.31238860E-05  
  21               2.11763549E-02   4.63439882E+02   8.38107857E-01   1.60454906E-01   6.82606891E-22   7.82500803E-04   5.31315757E-04   2.42324177E-15   2.72967925E-05   6.71236419E-05  
  22               2.53467353E-02   4.70921786E+02   8.38108503E-01   1.60454749E-01   1.53937396E-21   7.82500040E-04   5.31315239E-04   4.07719916E-15   2.77844766E-05   6.61481550E-05  
  23               3.03293663E-02   4.82601641E+02   8.38109905E-01   1.60453528E-01   5.45117030E-21   7.82494086E-04   5.31311196E-04   1.06720257E-14   3.03772755E-05   6.09616310E-05  
  24               3.62887089E-02   4.91164478E+02   8.38113102E-01   1.60453487E-01   1.29136666E-20   7.80070658E-04   5.31311060E-04   1.88409776E-14   3.11102839E-05   5.94955834E-05  
  25               4.34198058E-02   5.04103069E+02   8.38116597E-01   1.60452640E-01   4.68215371E-20   7.80066543E-04   5.31308255E-04   5.06719699E-14   3.37504558E-05   5.42145969E-05  
  26               5.19505066E-02   5.14081709E+02   8.38117921E-01   1.60452319E-01   1.18177161E-19   7.80064988E-04   5.31307192E-04   9.57665406E-14   3.47506490E-05   5.22139668E-05  
