# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  1                1.00000000E-05   2.04065831E+02   8.38074129E-01   1.60463844E-01   7.81692906E-04   1.86457668E-51   5.31345356E-04   3.22161546E-38   1.21723950E-04   2.90607589E-11  
  2                1.57264096E-05   2.40350948E+02   8.38074169E-01   1.60463835E-01   7.81692859E-04   3.76670882E-43   5.31345324E-04   8.67097383E-31   1.21663678E-04   3.01609380E-08  
  3                2.26302247E-05   2.45197069E+02   8.38074176E-01   1.60463833E-01   7.81692851E-04   2.70180103E-42   5.31345318E-04   3.13429984E-30   1.21653574E-04   3.52127842E-08  
  4                3.11029071E-05   2.56058583E+02   8.38074288E-01   1.60463806E-01   7.81692718E-04   2.13561277E-40   5.31345228E-04   1.15477389E-28   1.21483925E-04   1.20026589E-07  
  5                4.15265869E-05   2.56389214E+02   8.38074224E-01   1.60463821E-01   7.81692794E-04   2.10877610E-40   5.31345280E-04   7.33095650E-29   1.21581559E-04   7.12157241E-08  
  6                5.43661618E-05   2.65811871E+02   8.38074375E-01   1.60463785E-01   7.81692616E-04   6.88689680E-39   5.31345159E-04   1.28078690E-27   1.21353374E-04   1.85294206E-07  
  7                7.01768994E-05   2.66330653E+02   8.38074289E-01   1.60463805E-01   7.81692717E-04   7.34426596E-39   5.31345227E-04   9.20634546E-28   1.21482613E-04   1.20682703E-07  
  8                8.96587903E-05   2.75298948E+02   8.38074498E-01   1.60463755E-01   7.81692470E-04   1.60067952E-37   5.31345059E-04   1.14912282E-26   1.21166307E-04   2.78816163E-07  
  9                1.13655059E-04   2.76147603E+02   8.38074390E-01   1.60463781E-01   7.81692599E-04   1.90469131E-37   5.31345147E-04   9.41859882E-27   1.21330875E-04   1.96542374E-07  
  10               1.43230227E-04   2.84712598E+02   8.38074666E-01   1.60463714E-01   7.81692273E-04   2.94652544E-36   5.31344925E-04   8.74218439E-26   1.20913786E-04   4.05061557E-07  
  11               1.79669722E-04   2.85738492E+02   8.38074522E-01   1.60463749E-01   7.81692442E-04   3.66113497E-36   5.31345040E-04   7.58852501E-26   1.21130562E-04   2.96686689E-07  
  12               2.24592553E-04   2.93994917E+02   8.38074864E-01   1.60463666E-01   7.81692038E-04   4.30462979E-35   5.31344766E-04   5.53184930E-25   1.20614007E-04   5.54932607E-07  
  13               2.79956546E-04   2.95173722E+02   8.38074681E-01   1.60463710E-01   7.81692254E-04   5.50474070E-35   5.31344913E-04   4.98501977E-25   1.20890399E-04   4.16753715E-07  
  14               3.48218749E-04   3.03334102E+02   8.38075096E-01   1.60463610E-01   7.81691765E-04   5.38399765E-34   5.31344580E-04   3.09037635E-24   1.20264161E-04   7.29834634E-07  
  15               4.32355010E-04   3.04751490E+02   8.38074876E-01   1.60463663E-01   7.81692024E-04   7.22301313E-34   5.31344756E-04   2.93358536E-24   1.20595576E-04   5.64147103E-07  
  16               5.36099564E-04   3.13024087E+02   8.38075385E-01   1.60463540E-01   7.81691423E-04   6.30530831E-33   5.31344347E-04   1.64766713E-23   1.19826378E-04   9.48699409E-07  
  17               6.63972102E-04   3.14663725E+02   8.38075120E-01   1.60463603E-01   7.81691733E-04   8.76750805E-33   5.31344558E-04   1.62550858E-23   1.20225223E-04   7.49301170E-07  
  18               8.21651654E-04   3.23129500E+02   8.38075744E-01   1.60463453E-01   7.81688818E-04   7.00136133E-32   5.31344059E-04   8.45016377E-23   1.19285147E-04   1.21928166E-06  
  19               1.01600624E-03   3.24987739E+02   8.38075427E-01   1.60463530E-01   7.81689193E-04   1.00162767E-31   5.31344314E-04   8.59303426E-23   1.19764337E-04   9.79715845E-07  
  20               1.25567803E-03   3.33735041E+02   8.38076186E-01   1.60463345E-01   7.81688296E-04   7.47857934E-31   5.31343704E-04   4.21595067E-22   1.18616181E-04   1.55372415E-06  
  21               1.55108545E-03   3.35825898E+02   8.38075803E-01   1.60463436E-01   7.81688737E-04   1.09793233E-30   5.31344004E-04   4.40511345E-22   1.19187926E-04   1.26788619E-06  
  22               1.91540507E-03   3.44963148E+02   8.38076744E-01   1.60463210E-01   7.81681208E-04   7.83246534E-30   5.31343255E-04   2.08062809E-21   1.17775294E-04   1.97411623E-06  
  23               2.36447018E-03   3.47251802E+02   8.38076283E-01   1.60463322E-01   7.81681751E-04   1.16412119E-29   5.31343625E-04   2.20404247E-21   1.18470562E-04   1.62652435E-06  
  24               2.91835035E-03   3.56757197E+02   8.38077388E-01   1.60463047E-01   7.81680412E-04   7.85717144E-29   5.31342714E-04   9.92326278E-21   1.16776457E-04   2.47347264E-06  
  25               3.60112869E-03   3.59311862E+02   8.38076866E-01   1.60463179E-01   7.81661199E-04   1.19376327E-28   5.31343153E-04   1.07529276E-20   1.17592423E-04   2.06554007E-06  
  26               4.44343120E-03   3.69235224E+02   8.38078198E-01   1.60462856E-01   7.81659626E-04   7.66526169E-28   5.31342084E-04   4.63735636E-20   1.15580410E-04   3.07142422E-06  
  27               5.48172264E-03   3.71968355E+02   8.38077543E-01   1.60463015E-01   7.81660400E-04   1.16406515E-27   5.31342610E-04   5.03048215E-20   1.16570438E-04   2.57647032E-06  
  28               6.76242021E-03   3.82300513E+02   8.38079027E-01   1.60462633E-01   7.81658540E-04   7.07177032E-27   5.31341345E-04   2.06668741E-19   1.14250208E-04   3.73644051E-06  
  29               8.34107631E-03   3.85390356E+02   8.38078353E-01   1.60462815E-01   7.81598420E-04   1.10492840E-26   5.31341947E-04   2.30719965E-19   1.15352855E-04   3.18518585E-06  
  30               1.02885254E-02   3.96308126E+02   8.38080155E-01   1.60462378E-01   7.81596308E-04   6.51358645E-26   5.31340501E-04   9.25045334E-19   1.12631374E-04   4.54576085E-06  
  31               1.26888299E-02   3.99879071E+02   8.38079377E-01   1.60462567E-01   7.81597226E-04   1.06066615E-25   5.31341125E-04   1.07633981E-18   1.13806430E-04   3.95830441E-06  
  32               1.56510283E-02   4.11668146E+02   8.38081392E-01   1.60461997E-01   7.81594769E-04   6.27948844E-25   5.31339240E-04   4.35340351E-18   1.10480379E-04   5.62111395E-06  
  33               1.93043100E-02   4.15983619E+02   8.38080844E-01   1.60462197E-01   7.81373765E-04   1.09709195E-24   5.31339900E-04   5.42757797E-18   1.11613942E-04   5.05440787E-06  
  34               2.38181117E-02   4.28886891E+02   8.38083609E-01   1.60461525E-01   7.81378238E-04   6.62222482E-24   5.31337675E-04   2.24700143E-17   1.07424866E-04   7.14869122E-06  
  35               2.93931256E-02   4.34278902E+02   8.38082995E-01   1.60461666E-01   7.81378926E-04   1.27703200E-23   5.31338143E-04   3.08680469E-17   1.08326250E-04   6.69805290E-06  
  36               3.63016143E-02   4.48712745E+02   8.38085660E-01   1.60460614E-01   7.81455922E-04   8.07530319E-23   5.31334659E-04   1.34255688E-16   1.02830079E-04   9.44573910E-06  
  37               4.48686212E-02   4.55828048E+02   8.38085963E-01   1.60460658E-01   7.80593947E-04   1.81540604E-22   5.31334804E-04   2.13858209E-16   1.03015417E-04   9.35308699E-06  
  38               5.55443187E-02   4.72424636E+02   8.38089213E-01   1.60459461E-01   7.82276409E-04   1.24243225E-21   5.31330841E-04   1.00971240E-15   9.55546127E-05   1.30830349E-05  
  39               6.88618815E-02   4.81667816E+02   8.38089817E-01   1.60459314E-01   7.82275695E-04   3.25423122E-21   5.31330355E-04   1.86659548E-15   9.46414908E-05   1.35395402E-05  
  40               8.55319004E-02   4.99505922E+02   8.38093372E-01   1.60457601E-01   7.82267344E-04   2.06132548E-20   5.31324683E-04   8.17436869E-15   8.63059568E-05   1.77066575E-05  
  41               1.06421787E-01   5.10881962E+02   8.38096803E-01   1.60457479E-01   7.79925164E-04   5.98752899E-20   5.31324278E-04   1.66516561E-14   8.43722473E-05   1.86734658E-05  
  42               1.32711567E-01   5.31287064E+02   8.38103100E-01   1.60455952E-01   7.79917757E-04   3.89655837E-19   5.31319223E-04   7.50313920E-14   7.48585119E-05   2.34297546E-05  
  43               1.65828447E-01   5.45519762E+02   8.38105179E-01   1.60455448E-01   7.79915321E-04   1.27421964E-18   5.31317554E-04   1.72025316E-13   7.17170564E-05   2.50002911E-05  
  44               2.07645430E-01   5.69098356E+02   8.38111728E-01   1.60453861E-01   7.79907654E-04   8.46256009E-18   5.31312296E-04   7.93024976E-13   6.18222543E-05   2.99470900E-05  
  45               2.60433260E-01   5.87011048E+02   8.38114469E-01   1.60453196E-01   7.79904489E-04   3.11648897E-17   5.31310094E-04   2.04585175E-12   5.76806051E-05   3.20176626E-05  
  46               3.26994094E-01   6.14717209E+02   8.38120701E-01   1.60451685E-01   7.79897349E-04   2.11814503E-16   5.31305083E-04   9.70651160E-12   4.82628895E-05   3.67259473E-05  
  47               4.10625087E-01   6.37182829E+02   8.38123710E-01   1.60450955E-01   7.79894096E-04   8.62205963E-16   5.31302647E-04   2.78131989E-11   4.37148559E-05   3.89996872E-05  
  48               5.15204101E-01   6.69519046E+02   8.38128939E-01   1.60449686E-01   7.79888738E-04   5.72864774E-15   5.31298341E-04   1.30551264E-10   3.58097201E-05   4.29517738E-05  
  49               6.45112138E-01   6.96592663E+02   8.38131570E-01   1.60449042E-01   7.79886730E-04   2.38436983E-14   5.31295947E-04   3.87303273E-10   3.18118978E-05   4.49504406E-05  
  50               8.04868259E-01   7.33163998E+02   8.38135375E-01   1.60448100E-01   7.79884482E-04   1.42642379E-13   5.31291537E-04   1.66825891E-09   2.59953104E-05   4.78583769E-05  
  51               9.99258171E-01   7.64415370E+02   8.38137188E-01   1.60447573E-01   7.79884136E-04   5.62665354E-13   5.31286655E-04   4.78784058E-09   2.29551493E-05   4.93782575E-05  
  52               1.23372477E+00   8.04862343E+02   8.38139662E-01   1.60446887E-01   7.79879663E-04   2.90576543E-12   5.31270884E-04   1.82375871E-08   1.89420427E-05   5.13845508E-05  
  53               1.51457670E+00   8.39981942E+02   8.38141093E-01   1.60446527E-01   7.79864906E-04   1.04449654E-11   5.31239042E-04   4.87976402E-08   1.67870337E-05   5.24619183E-05  
  54               1.84810738E+00   8.84102040E+02   8.38142919E-01   1.60446043E-01   7.79784996E-04   4.60078699E-11   5.31123749E-04   1.62234244E-07   1.40898581E-05   5.38103210E-05  
  55               2.24121706E+00   9.22651059E+02   8.38143837E-01   1.60445679E-01   7.79595739E-04   1.47276561E-10   5.30889399E-04   3.94967000E-07   1.26240538E-05   5.45430807E-05  
  56               2.70148923E+00   9.70102734E+02   8.38144654E-01   1.60444948E-01   7.78927392E-04   5.52198374E-10   5.30141413E-04   1.13945331E-06   1.08224101E-05   5.54436089E-05  
  57               3.23829688E+00   1.01218779E+03   8.38145304E-01   1.60444179E-01   7.77616407E-04   1.58533974E-09   5.28750106E-04   2.52656964E-06   9.81544961E-06   5.59467606E-05  
