# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  1                1.00000000E-05   2.68315976E+02   8.38252561E-01   1.60494337E-01   4.02875410E-38   6.62158223E-04   4.18453970E-04   7.94765006E-05   5.52085212E-05   2.29859191E-05  
  2                8.96418287E-05   2.95908449E+02   8.38251353E-01   1.60495541E-01   1.21307093E-34   6.62160555E-04   4.18455444E-04   7.94767805E-05   5.52087156E-05   2.29860914E-05  
  3                1.83617180E-04   3.15681042E+02   8.38253487E-01   1.60493411E-01   2.18147388E-32   6.62158841E-04   4.18454361E-04   7.94765747E-05   5.52085727E-05   2.29857864E-05  
  4                2.97111455E-04   3.18713201E+02   8.38251880E-01   1.60495007E-01   3.78073708E-32   6.62164184E-04   4.18457738E-04   7.94772161E-05   5.52090182E-05   2.29860151E-05  
  5                4.35079851E-04   3.31772861E+02   8.38253456E-01   1.60493433E-01   7.98156713E-31   6.62163528E-04   4.18457323E-04   7.94771374E-05   5.52089635E-05   2.29857895E-05  
  6                6.03016846E-04   3.33188804E+02   8.38252100E-01   1.60494769E-01   9.48843773E-31   6.62168315E-04   4.18460348E-04   7.94777119E-05   5.52093626E-05   2.29859809E-05  
  7                8.07738354E-04   3.44817119E+02   8.38253583E-01   1.60493287E-01   1.16811597E-29   6.62167721E-04   4.18459973E-04   7.94776406E-05   5.52093131E-05   2.29857687E-05  
  8                1.05731016E-03   3.46107310E+02   8.38252418E-01   1.60494444E-01   1.35605729E-29   6.62172110E-04   4.18462746E-04   7.94781673E-05   5.52096790E-05   2.29859343E-05  
  9                1.36181823E-03   3.57112872E+02   8.38253813E-01   1.60493006E-01   1.23795489E-28   6.62171758E-04   4.18462524E-04   7.94781251E-05   5.52096497E-05   2.29857284E-05  
  10               1.73337234E-03   3.58320455E+02   8.38252701E-01   1.60494110E-01   1.40589547E-28   6.62176019E-04   4.18465217E-04   7.94786365E-05   5.52100049E-05   2.29858865E-05  
  11               2.18696102E-03   3.69005869E+02   8.38254076E-01   1.60492735E-01   1.04556067E-27   6.62175619E-04   4.18464964E-04   7.94785886E-05   5.52099716E-05   2.29856897E-05  
  12               2.74066462E-03   3.70167318E+02   8.38252968E-01   1.60493834E-01   1.16776139E-27   6.62180672E-04   4.18468157E-04   7.94791951E-05   5.52103929E-05   2.29858470E-05  
  13               3.41673740E-03   3.80727887E+02   8.38254282E-01   1.60492520E-01   7.49115631E-27   6.62180493E-04   4.18468044E-04   7.94791735E-05   5.52103779E-05   2.29856588E-05  
  14               4.24207602E-03   3.81975294E+02   8.38253197E-01   1.60493597E-01   8.42287799E-27   6.62184871E-04   4.18470811E-04   7.94796991E-05   5.52107430E-05   2.29858130E-05  
  15               5.24962830E-03   3.92626582E+02   8.38254337E-01   1.60492294E-01   4.89651038E-26   6.62184855E-04   4.18470800E-04   7.94796971E-05   5.52107416E-05   2.29856264E-05  
  16               6.47920610E-03   3.94033604E+02   8.38253290E-01   1.60493332E-01   5.59787822E-26   6.62189170E-04   4.18473527E-04   7.94802150E-05   5.52111014E-05   2.29857752E-05  
  17               7.97940422E-03   4.05044187E+02   8.38254579E-01   1.60492044E-01   3.09432822E-25   6.62189128E-04   4.18473501E-04   7.94802099E-05   5.52110979E-05   2.29855906E-05  
  18               9.80878785E-03   4.06841145E+02   8.38253575E-01   1.60493034E-01   3.71779355E-25   6.62196286E-04   4.18478025E-04   7.94810692E-05   5.52116948E-05   2.29857324E-05  
  19               1.20384330E-02   4.18414125E+02   8.38254921E-01   1.60491689E-01   2.00635248E-24   6.62196366E-04   4.18478075E-04   7.94810788E-05   5.52117014E-05   2.29855398E-05  
  20               1.47544029E-02   4.20615777E+02   8.38253962E-01   1.60492636E-01   2.51861556E-24   6.62200784E-04   4.18480867E-04   7.94816090E-05   5.52120697E-05   2.29856755E-05  
  21               1.80624455E-02   4.32572295E+02   8.38254765E-01   1.60491185E-01   1.28288753E-23   6.62200959E-04   4.18480977E-04   7.94816300E-05   5.52120843E-05   2.29854676E-05  
  22               2.20900379E-02   4.35058236E+02   8.38253841E-01   1.60492071E-01   1.64233308E-23   6.62205075E-04   4.18483578E-04   7.94821240E-05   5.52124275E-05   2.29855945E-05  
  23               2.69920606E-02   4.47429577E+02   8.38255164E-01   1.60490749E-01   7.91605996E-23   6.62205000E-04   4.18483531E-04   7.94821150E-05   5.52124212E-05   2.29854051E-05  
  24               3.29549946E-02   4.50412956E+02   8.38253866E-01   1.60491565E-01   1.05789764E-22   6.62221334E-04   4.18493853E-04   7.94840755E-05   5.52137831E-05   2.29855220E-05  
  25               4.02038961E-02   4.63557766E+02   8.38254979E-01   1.60490448E-01   5.02712821E-22   6.62223350E-04   4.18495128E-04   7.94843175E-05   5.52139512E-05   2.29853621E-05  
  26               4.90062377E-02   4.67405356E+02   8.38254197E-01   1.60491222E-01   7.26907354E-22   6.62227532E-04   4.18497771E-04   7.94848195E-05   5.52143000E-05   2.29854729E-05  
  27               5.96824643E-02   4.81856518E+02   8.38253420E-01   1.60489185E-01   3.57193715E-21   6.62231904E-04   4.18500533E-04   7.94853442E-05   5.52146644E-05   2.29851812E-05  
  28               7.26092569E-02   4.87308540E+02   8.38253128E-01   1.60489473E-01   5.97165275E-21   6.62234278E-04   4.18502034E-04   7.94856292E-05   5.52148624E-05   2.29852224E-05  
  29               8.82607727E-02   5.01519220E+02   8.38254525E-01   1.60488078E-01   2.50865439E-20   6.62233007E-04   4.18501231E-04   7.94854767E-05   5.52147564E-05   2.29850226E-05  
  30               1.07184690E-01   5.07851421E+02   8.38254031E-01   1.60488485E-01   4.38519295E-20   6.62280289E-04   4.18531111E-04   7.94911517E-05   5.52186986E-05   2.29850809E-05  
  31               1.30042949E-01   5.23207971E+02   8.38255510E-01   1.60487006E-01   1.82852721E-19   6.62280839E-04   4.18531458E-04   7.94912177E-05   5.52187445E-05   2.29848690E-05  
  32               1.57620989E-01   5.30778298E+02   8.38255236E-01   1.60487271E-01   3.40981760E-19   6.62285139E-04   4.18534176E-04   7.94917338E-05   5.52191030E-05   2.29849071E-05  
  33               1.90855882E-01   5.47455738E+02   8.38256787E-01   1.60485719E-01   1.40970544E-18   6.62285757E-04   4.18534566E-04   7.94918080E-05   5.52191545E-05   2.29846848E-05  
  34               2.30841325E-01   5.56560647E+02   8.38256700E-01   1.60485799E-01   2.82167965E-18   6.62289604E-04   4.18536997E-04   7.94922698E-05   5.52194753E-05   2.29846962E-05  
  35               2.78884227E-01   5.74934022E+02   8.38258331E-01   1.60484168E-01   1.16997447E-17   6.62290314E-04   4.18537446E-04   7.94923550E-05   5.52195345E-05   2.29844626E-05  
  36               3.36502218E-01   5.85832889E+02   8.38258436E-01   1.60484055E-01   2.50478388E-17   6.62294076E-04   4.18539823E-04   7.94928065E-05   5.52198481E-05   2.29844465E-05  
  37               4.05485855E-01   6.06011588E+02   8.38260072E-01   1.60482417E-01   1.02537225E-16   6.62295080E-04   4.18540458E-04   7.94929270E-05   5.52199318E-05   2.29842119E-05  
  38               4.87903831E-01   6.18954843E+02   8.38260350E-01   1.60482132E-01   2.32856350E-16   6.62298858E-04   4.18542845E-04   7.94933805E-05   5.52202468E-05   2.29841711E-05  
  39               5.86251550E-01   6.41248655E+02   8.38261939E-01   1.60480540E-01   9.39199681E-16   6.62300362E-04   4.18543796E-04   7.94935610E-05   5.52203722E-05   2.29839431E-05  
