# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   3.07847161E+02   8.38529254E-01   1.60522256E-01   1.12887587E-32   5.23338222E-04   3.18281959E-04   6.01927749E-05   0.00000000E+00   2.29892251E-05  
  2                1.97926934E-05   3.49056165E+02   8.38533218E-01   1.60518302E-01   1.88177272E-28   5.23332663E-04   3.18278579E-04   6.01921355E-05   0.00000000E+00   2.29886589E-05  
  3                3.11282452E-05   3.66512565E+02   8.38533575E-01   1.60517946E-01   5.40128191E-27   5.23332163E-04   3.18278274E-04   6.01920779E-05   0.00000000E+00   2.29886080E-05  
  4                4.46876955E-05   3.78658474E+02   8.38533697E-01   1.60517824E-01   4.49333671E-26   5.23331999E-04   3.18278174E-04   6.01920591E-05   0.00000000E+00   2.29885905E-05  
  5                6.10331725E-05   3.88742848E+02   8.38533764E-01   1.60517760E-01   2.32708019E-25   5.23330639E-04   3.18277347E-04   6.01919026E-05   0.00000000E+00   2.29885813E-05  
  6                8.07987386E-05   3.97958340E+02   8.38531191E-01   1.60517213E-01   9.68235201E-25   5.23370533E-04   3.18301610E-04   6.01964912E-05   0.00000000E+00   2.29885029E-05  
  7                1.04737756E-04   4.06681095E+02   8.38531467E-01   1.60516931E-01   3.50848592E-24   5.23368958E-04   3.18300652E-04   6.01963100E-05   0.00000000E+00   2.29884626E-05  
  8                1.33752419E-04   4.15254951E+02   8.38531464E-01   1.60516898E-01   1.18016806E-23   5.23369112E-04   3.18300746E-04   6.01963277E-05   0.00000000E+00   2.29884577E-05  
  9                1.68930081E-04   4.23802113E+02   8.38531103E-01   1.60516819E-01   3.76822558E-23   5.23370062E-04   3.18301324E-04   6.01964370E-05   0.00000000E+00   2.29884465E-05  
  10               2.11580606E-04   4.32606303E+02   8.38530850E-01   1.60517066E-01   1.19136111E-22   5.23373535E-04   3.18303436E-04   6.01968365E-05   0.00000000E+00   2.29884819E-05  
  11               2.63335377E-04   4.40552227E+02   8.38530864E-01   1.60517051E-01   3.19962900E-22   5.23373585E-04   3.18303466E-04   6.01968422E-05   0.00000000E+00   2.29884798E-05  
  12               3.26235110E-04   4.48094064E+02   8.38530870E-01   1.60517045E-01   7.85934096E-22   5.23373652E-04   3.18303507E-04   6.01968499E-05   0.00000000E+00   2.29884789E-05  
  13               4.02721655E-04   4.55558988E+02   8.38530873E-01   1.60517043E-01   1.85283876E-21   5.23373730E-04   3.18303555E-04   6.01968589E-05   0.00000000E+00   2.29884785E-05  
  14               4.95761985E-04   4.62810363E+02   8.38530870E-01   1.60517045E-01   4.13136025E-21   5.23373821E-04   3.18303609E-04   6.01968693E-05   0.00000000E+00   2.29884789E-05  
  15               6.08960898E-04   4.70125474E+02   8.38530866E-01   1.60517049E-01   9.03783827E-21   5.23373919E-04   3.18303669E-04   6.01968806E-05   0.00000000E+00   2.29884794E-05  
  16               7.46693045E-04   4.77369919E+02   8.38530859E-01   1.60517055E-01   1.91055592E-20   5.23374026E-04   3.18303734E-04   6.01968929E-05   0.00000000E+00   2.29884804E-05  
  17               9.14263679E-04   4.84819053E+02   8.38530853E-01   1.60517062E-01   4.03243931E-20   5.23374137E-04   3.18303802E-04   6.01969057E-05   0.00000000E+00   2.29884812E-05  
  18               1.11810784E-03   4.92254419E+02   8.38530844E-01   1.60517070E-01   8.28914772E-20   5.23374256E-04   3.18303874E-04   6.01969193E-05   0.00000000E+00   2.29884825E-05  
  19               1.36603610E-03   4.99891765E+02   8.38530835E-01   1.60517079E-01   1.69975461E-19   5.23374379E-04   3.18303949E-04   6.01969335E-05   0.00000000E+00   2.29884837E-05  
  20               1.66752787E-03   5.07511719E+02   8.38530824E-01   1.60517090E-01   3.39665587E-19   5.23374510E-04   3.18304029E-04   6.01969485E-05   0.00000000E+00   2.29884854E-05  
  21               2.03410680E-03   5.15363697E+02   8.38530812E-01   1.60517102E-01   6.78858629E-19   5.23374645E-04   3.18304111E-04   6.01969641E-05   0.00000000E+00   2.29884870E-05  
  22               2.47982486E-03   5.23243145E+02   8.38530798E-01   1.60517115E-01   1.32903263E-18   5.23374787E-04   3.18304197E-04   6.01969805E-05   0.00000000E+00   2.29884889E-05  
  23               3.02177334E-03   5.31282835E+02   8.38530784E-01   1.60517130E-01   2.58251070E-18   5.23374939E-04   3.18304289E-04   6.01969979E-05   0.00000000E+00   2.29884910E-05  
  24               3.68070623E-03   5.39388953E+02   8.38530766E-01   1.60517146E-01   4.93677582E-18   5.23375094E-04   3.18304384E-04   6.01970158E-05   0.00000000E+00   2.29884934E-05  
  25               4.48186759E-03   5.47541406E+02   8.38530747E-01   1.60517166E-01   9.27167051E-18   5.23375257E-04   3.18304483E-04   6.01970345E-05   0.00000000E+00   2.29884962E-05  
  26               5.45589717E-03   5.55730779E+02   8.38530723E-01   1.60517188E-01   1.71036320E-17   5.23375438E-04   3.18304593E-04   6.01970554E-05   0.00000000E+00   2.29884994E-05  
  27               6.63988207E-03   5.64081396E+02   8.38530699E-01   1.60517212E-01   3.13324838E-17   5.23375614E-04   3.18304700E-04   6.01970756E-05   0.00000000E+00   2.29885028E-05  
  28               8.07863001E-03   5.72673951E+02   8.38530674E-01   1.60517237E-01   5.73565129E-17   5.23375796E-04   3.18304811E-04   6.01970965E-05   0.00000000E+00   2.29885063E-05  
  29               9.82620382E-03   5.81480935E+02   8.38530648E-01   1.60517262E-01   1.04608134E-16   5.23375979E-04   3.18304922E-04   6.01971176E-05   0.00000000E+00   2.29885100E-05  
  30               1.19475898E-02   5.90671192E+02   8.38530624E-01   1.60517286E-01   1.92424644E-16   5.23376169E-04   3.18305038E-04   6.01971394E-05   0.00000000E+00   2.29885134E-05  
  31               1.45207563E-02   6.00338627E+02   8.38530601E-01   1.60517308E-01   3.58864138E-16   5.23376352E-04   3.18305149E-04   6.01971604E-05   0.00000000E+00   2.29885165E-05  
  32               1.76390797E-02   6.10542691E+02   8.38530583E-01   1.60517326E-01   6.79863239E-16   5.23376553E-04   3.18305271E-04   6.01971836E-05   0.00000000E+00   2.29885191E-05  
  33               2.14138652E-02   6.21288655E+02   8.38530565E-01   1.60517340E-01   1.30547348E-15   5.23376729E-04   3.18305378E-04   6.01972038E-05   0.00000000E+00   2.29885211E-05  
  34               2.59785268E-02   6.32730190E+02   8.38530555E-01   1.60517350E-01   2.56025527E-15   5.23376973E-04   3.18305526E-04   6.01972318E-05   0.00000000E+00   2.29885225E-05  
  35               3.14941070E-02   6.44990570E+02   8.38530543E-01   1.60517351E-01   5.15029357E-15   5.23377130E-04   3.18305622E-04   6.01972499E-05   0.00000000E+00   2.29885227E-05  
  36               3.81522311E-02   6.57995926E+02   8.38530545E-01   1.60517349E-01   1.05338021E-14   5.23377556E-04   3.18305881E-04   6.01972989E-05   0.00000000E+00   2.29885224E-05  
  37               4.61789101E-02   6.71951475E+02   8.38530519E-01   1.60517333E-01   2.20918780E-14   5.23377670E-04   3.18305951E-04   6.01973121E-05   0.00000000E+00   2.29885201E-05  
  38               5.58388159E-02   6.86991672E+02   8.38530536E-01   1.60517314E-01   4.76377989E-14   5.23378895E-04   3.18306696E-04   6.01974530E-05   0.00000000E+00   2.29885173E-05  
  39               6.74421122E-02   7.03373178E+02   8.38530380E-01   1.60517247E-01   1.06484174E-13   5.23378901E-04   3.18306699E-04   6.01974536E-05   0.00000000E+00   2.29885077E-05  
