# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   3.24767595E+02   8.38465894E-01   1.60506431E-01   9.56249061E-31   3.80436188E-04   3.97583191E-04   1.59915312E-04   5.90098361E-05   2.29883991E-05  
  2                1.64210756E-05   3.51797996E+02   8.38467111E-01   1.60505218E-01   3.71272607E-28   3.80434957E-04   3.97581904E-04   1.59914794E-04   5.90096451E-05   2.29882254E-05  
  3                2.41988124E-05   3.65872855E+02   8.38467310E-01   1.60505020E-01   5.40405778E-27   3.80434752E-04   3.97581690E-04   1.59914708E-04   5.90096134E-05   2.29881970E-05  
  4                3.38421353E-05   3.68692802E+02   8.38467127E-01   1.60505202E-01   7.91372189E-27   3.80435056E-04   3.97582007E-04   1.59914836E-04   5.90096604E-05   2.29882231E-05  
  5                4.58421236E-05   3.79072833E+02   8.38466695E-01   1.60504992E-01   4.78563868E-26   3.80434694E-04   3.97581629E-04   1.59914684E-04   5.90096043E-05   2.29881930E-05  
  6                6.07790474E-05   3.81562749E+02   8.38466565E-01   1.60505104E-01   6.53371562E-26   3.80441154E-04   3.97588380E-04   1.59917399E-04   5.90106063E-05   2.29882091E-05  
  7                7.93852150E-05   3.91324179E+02   8.38466668E-01   1.60505002E-01   3.18713152E-25   3.80441072E-04   3.97588294E-04   1.59917365E-04   5.90105936E-05   2.29881944E-05  
  8                1.02558273E-04   3.93930377E+02   8.38466513E-01   1.60505155E-01   4.37320017E-25   3.80441302E-04   3.97588535E-04   1.59917461E-04   5.90106293E-05   2.29882164E-05  
  9                1.31431350E-04   4.03354473E+02   8.38466607E-01   1.60505062E-01   1.83730198E-24   3.80441239E-04   3.97588470E-04   1.59917435E-04   5.90106196E-05   2.29882030E-05  
  10               1.67394662E-04   4.06230924E+02   8.38466455E-01   1.60505203E-01   2.58312731E-24   3.80441656E-04   3.97588905E-04   1.59917610E-04   5.90106842E-05   2.29882232E-05  
  11               2.12194200E-04   4.15634604E+02   8.38464243E-01   1.60504680E-01   9.92710392E-24   3.80440730E-04   3.97587938E-04   1.59917221E-04   5.90105406E-05   2.29881483E-05  
  12               2.67978030E-04   4.18968221E+02   8.38464200E-01   1.60504564E-01   1.46166282E-23   3.80463975E-04   3.97612230E-04   1.59926992E-04   5.90141461E-05   2.29881317E-05  
  13               3.37442771E-04   4.28607457E+02   8.38464226E-01   1.60504537E-01   5.34767235E-23   3.80464553E-04   3.97612834E-04   1.59927235E-04   5.90142358E-05   2.29881278E-05  
  14               4.23873671E-04   4.32825328E+02   8.38463801E-01   1.60504579E-01   8.67956209E-23   3.80466804E-04   3.97615186E-04   1.59928181E-04   5.90145850E-05   2.29881338E-05  
