# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.43931147E+02   8.38493958E-01   1.60509759E-01   8.63086675E-29   5.29357348E-04   3.74948144E-04   6.06075353E-05   0.00000000E+00   0.00000000E+00  
  2                2.95539971E-05   4.13970423E+02   8.38494260E-01   1.60509011E-01   2.06254845E-23   5.29355823E-04   3.74947064E-04   6.06073606E-05   0.00000000E+00   0.00000000E+00  
  3                5.05321868E-05   4.43192900E+02   8.38494021E-01   1.60509249E-01   1.04272553E-21   5.29356675E-04   3.74947667E-04   6.06074582E-05   0.00000000E+00   0.00000000E+00  
  4                7.42423208E-05   4.62081136E+02   8.38494036E-01   1.60509234E-01   9.75839169E-21   5.29356646E-04   3.74947646E-04   6.06074549E-05   0.00000000E+00   0.00000000E+00  
  5                1.01336500E-04   4.79172857E+02   8.38494050E-01   1.60509221E-01   6.38307805E-20   5.29356505E-04   3.74947547E-04   6.06074387E-05   0.00000000E+00   0.00000000E+00  
  6                1.32459013E-04   4.91692036E+02   8.38494055E-01   1.60509217E-01   2.26511500E-19   5.29356380E-04   3.74947458E-04   6.06074244E-05   0.00000000E+00   0.00000000E+00  
  7                1.68324111E-04   5.04714174E+02   8.38494063E-01   1.60509210E-01   8.01511902E-19   5.29356096E-04   3.74947257E-04   6.06073919E-05   0.00000000E+00   0.00000000E+00  
  8                2.09727992E-04   5.14869365E+02   8.38494066E-01   1.60509207E-01   2.01268668E-18   5.29356448E-04   3.74947506E-04   6.06074321E-05   0.00000000E+00   0.00000000E+00  
  9                2.57601190E-04   5.26373960E+02   8.38494075E-01   1.60509200E-01   5.56559356E-18   5.29356249E-04   3.74947365E-04   6.06074094E-05   0.00000000E+00   0.00000000E+00  
  10               3.13015851E-04   5.35464997E+02   8.38494081E-01   1.60509197E-01   1.18268427E-17   5.29355303E-04   3.74946695E-04   6.06073011E-05   0.00000000E+00   0.00000000E+00  
  11               3.77212724E-04   5.46177597E+02   8.38494091E-01   1.60509186E-01   2.83324785E-17   5.29357142E-04   3.74947998E-04   6.06075117E-05   0.00000000E+00   0.00000000E+00  
  12               4.51625682E-04   5.54630416E+02   8.38494099E-01   1.60509178E-01   5.40964564E-17   5.29356873E-04   3.74947807E-04   6.06074808E-05   0.00000000E+00   0.00000000E+00  
  13               5.37916642E-04   5.64871602E+02   8.38494120E-01   1.60509159E-01   1.17529698E-16   5.29356334E-04   3.74947425E-04   6.06074191E-05   0.00000000E+00   0.00000000E+00  
  14               6.38003347E-04   5.73001190E+02   8.38494137E-01   1.60509145E-01   2.09538229E-16   5.29354976E-04   3.74946464E-04   6.06072637E-05   0.00000000E+00   0.00000000E+00  
  15               7.54096676E-04   5.83178578E+02   8.38494170E-01   1.60509109E-01   4.31006716E-16   5.29357357E-04   3.74948150E-04   6.06075362E-05   0.00000000E+00   0.00000000E+00  
  16               8.88739982E-04   5.91381615E+02   8.38494199E-01   1.60509078E-01   7.44461382E-16   5.29355886E-04   3.74947108E-04   6.06073678E-05   0.00000000E+00   0.00000000E+00  
  17               1.04486494E-03   6.01759224E+02   8.38494268E-01   1.60509010E-01   1.48433576E-15   5.29355256E-04   3.74946662E-04   6.06072957E-05   0.00000000E+00   0.00000000E+00  
  18               1.22584498E-03   6.10189736E+02   8.38494320E-01   1.60508948E-01   2.51500870E-15   5.29353483E-04   3.74945406E-04   6.06070927E-05   0.00000000E+00   0.00000000E+00  
  19               1.43555152E-03   6.20963171E+02   8.38494453E-01   1.60508812E-01   4.93051945E-15   5.29352660E-04   3.74944823E-04   6.06069985E-05   0.00000000E+00   0.00000000E+00  
  20               1.67847598E-03   6.29849402E+02   8.38494548E-01   1.60508683E-01   8.31825989E-15   5.29350443E-04   3.74943253E-04   6.06067446E-05   0.00000000E+00   0.00000000E+00  
  21               1.95988157E-03   6.41139026E+02   8.38494803E-01   1.60508413E-01   1.61335513E-14   5.29349161E-04   3.74942345E-04   6.06065979E-05   0.00000000E+00   0.00000000E+00  
  22               2.28581425E-03   6.50556922E+02   8.38494933E-01   1.60508136E-01   2.71608487E-14   5.29346358E-04   3.74940359E-04   6.06062770E-05   0.00000000E+00   0.00000000E+00  
  23               2.66321980E-03   6.62483031E+02   8.38495424E-01   1.60507591E-01   5.23630135E-14   5.29344378E-04   3.74938957E-04   6.06060503E-05   0.00000000E+00   0.00000000E+00  
  24               3.10003290E-03   6.72610919E+02   8.38495960E-01   1.60507065E-01   8.86216580E-14   5.29340536E-04   3.74936235E-04   6.06056103E-05   0.00000000E+00   0.00000000E+00  
  25               3.60531926E-03   6.85392224E+02   8.38496887E-01   1.60505931E-01   1.71327242E-13   5.29337201E-04   3.74933874E-04   6.06052286E-05   0.00000000E+00   0.00000000E+00  
  26               4.18937435E-03   6.96423784E+02   8.38498024E-01   1.60504804E-01   2.93284838E-13   5.29331831E-04   3.74930070E-04   6.06046137E-05   0.00000000E+00   0.00000000E+00  
  27               4.86385957E-03   7.10279383E+02   8.38500342E-01   1.60502501E-01   5.72075534E-13   5.29326325E-04   3.74926170E-04   6.06039833E-05   0.00000000E+00   0.00000000E+00  
  28               5.64184859E-03   7.22532554E+02   8.38502849E-01   1.60500010E-01   1.00068378E-12   5.29318847E-04   3.74920873E-04   6.06031271E-05   0.00000000E+00   0.00000000E+00  
  29               6.53798340E-03   7.37831887E+02   8.38507814E-01   1.60495063E-01   1.99081477E-12   5.29309237E-04   3.74914066E-04   6.06020268E-05   0.00000000E+00   0.00000000E+00  
  30               7.56847763E-03   7.51660353E+02   8.38513362E-01   1.60489525E-01   3.58695960E-12   5.29298659E-04   3.74906574E-04   6.06008157E-05   0.00000000E+00   0.00000000E+00  
  31               8.75166019E-03   7.68605063E+02   8.38523545E-01   1.60479349E-01   7.26916829E-12   5.29282115E-04   3.74894855E-04   6.05989216E-05   0.00000000E+00   0.00000000E+00  
  32               1.01093114E-02   7.84092384E+02   8.38534549E-01   1.60468314E-01   1.33879248E-11   5.29264888E-04   3.74882653E-04   6.05969492E-05   0.00000000E+00   0.00000000E+00  
  33               1.16657888E-02   8.02908157E+02   8.38552642E-01   1.60450117E-01   2.75841756E-11   5.29242658E-04   3.74866908E-04   6.05944041E-05   0.00000000E+00   0.00000000E+00  
  34               1.34475872E-02   8.20550782E+02   8.38570933E-01   1.60431519E-01   5.23723044E-11   5.29224389E-04   3.74853968E-04   6.05923124E-05   0.00000000E+00   0.00000000E+00  
