# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   3.90648728E+02   8.38538596E-01   1.60517596E-01   7.99585195E-25   5.08202283E-04   3.02707764E-04   5.99916016E-05   0.00000000E+00   4.01480122E-05  
  2                1.26182608E-04   4.49485683E+02   8.38538189E-01   1.60518001E-01   1.51586712E-21   5.08203348E-04   3.02708398E-04   5.99917274E-05   0.00000000E+00   4.01480964E-05  
  3                2.58127126E-04   4.69485764E+02   8.38538153E-01   1.60518037E-01   1.28613055E-20   5.08203335E-04   3.02708390E-04   5.99917258E-05   0.00000000E+00   4.01480953E-05  
  4                4.13189621E-04   4.88471069E+02   8.38538159E-01   1.60518031E-01   9.00646046E-20   5.08203393E-04   3.02708424E-04   5.99917326E-05   0.00000000E+00   4.01480999E-05  
  5                5.96711071E-04   4.99155066E+02   8.38538132E-01   1.60518058E-01   2.37919927E-19   5.08203376E-04   3.02708414E-04   5.99917306E-05   0.00000000E+00   4.01480985E-05  
  6                8.14779603E-04   5.12930100E+02   8.38538135E-01   1.60518055E-01   8.41371628E-19   5.08203433E-04   3.02708448E-04   5.99917373E-05   0.00000000E+00   4.01481030E-05  
  7                1.07451410E-03   5.20630058E+02   8.38538107E-01   1.60518084E-01   1.56759673E-18   5.08203420E-04   3.02708440E-04   5.99917358E-05   0.00000000E+00   4.01481020E-05  
  8                1.38445968E-03   5.32401603E+02   8.38538108E-01   1.60518083E-01   4.23515045E-18   5.08203480E-04   3.02708476E-04   5.99917429E-05   0.00000000E+00   4.01481068E-05  
  9                1.75468621E-03   5.38929442E+02   8.38538077E-01   1.60518113E-01   6.85790816E-18   5.08203480E-04   3.02708476E-04   5.99917428E-05   0.00000000E+00   4.01481067E-05  
  10               2.19722740E-03   5.49966143E+02   8.38538078E-01   1.60518112E-01   1.63789224E-17   5.08203544E-04   3.02708515E-04   5.99917505E-05   0.00000000E+00   4.01481118E-05  
