# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  1                1.00000000E-05   5.38453657E+02   8.38547604E-01   1.60504919E-01   8.69945296E-17   4.97207400E-04   3.06949457E-04   5.98310575E-05   5.06313880E-05   0.00000000E+00  
  2                3.21278949E-05   5.59688521E+02   8.38542782E-01   1.60509648E-01   3.11906306E-16   4.97215670E-04   3.06954563E-04   5.98320527E-05   5.06322302E-05   0.00000000E+00  
  3                5.91425482E-05   5.80938884E+02   8.38546920E-01   1.60505515E-01   1.29238289E-15   4.97211666E-04   3.06952091E-04   5.98315709E-05   5.06318225E-05   0.00000000E+00  
  4                9.24894259E-05   5.86589509E+02   8.38542788E-01   1.60509618E-01   1.60184927E-15   4.97216448E-04   3.06955043E-04   5.98321462E-05   5.06323093E-05   0.00000000E+00  
  5                1.33779717E-04   6.03708963E+02   8.38547509E-01   1.60504910E-01   4.78101961E-15   4.97212110E-04   3.06952366E-04   5.98316244E-05   5.06318677E-05   0.00000000E+00  
  6                1.84929160E-04   6.08297153E+02   8.38544133E-01   1.60508044E-01   5.65858239E-15   4.97215874E-04   3.06954689E-04   5.98320773E-05   5.06322510E-05   0.00000000E+00  
  7                2.48352260E-04   6.24112442E+02   8.38549465E-01   1.60502729E-01   1.46980297E-14   4.97209967E-04   3.06951042E-04   5.98313665E-05   5.06316494E-05   0.00000000E+00  
  8                3.27006469E-04   6.28427286E+02   8.38546360E-01   1.60505808E-01   1.71371941E-14   4.97215687E-04   3.06954573E-04   5.98320547E-05   5.06322318E-05   0.00000000E+00  
  9                4.24642314E-04   6.43534645E+02   8.38552211E-01   1.60499974E-01   4.04207717E-14   4.97210208E-04   3.06951191E-04   5.98313954E-05   5.06316740E-05   0.00000000E+00  
  10               5.45857154E-04   6.47768920E+02   8.38548700E-01   1.60503217E-01   4.66516586E-14   4.97213818E-04   3.06953420E-04   5.98318299E-05   5.06320416E-05   0.00000000E+00  
  11               6.96417763E-04   6.62517371E+02   8.38554978E-01   1.60496957E-01   1.02615054E-13   4.97206897E-04   3.06949147E-04   5.98309970E-05   5.06313368E-05   0.00000000E+00  
  12               8.83413163E-04   6.66797662E+02   8.38551385E-01   1.60500528E-01   1.17768094E-13   4.97210674E-04   3.06951478E-04   5.98314514E-05   5.06317214E-05   0.00000000E+00  
  13               1.11569367E-03   6.81491463E+02   8.38558073E-01   1.60493853E-01   2.46843029E-13   4.97205862E-04   3.06948508E-04   5.98308724E-05   5.06312314E-05   0.00000000E+00  
  14               1.40415365E-03   6.85897660E+02   8.38554160E-01   1.60497745E-01   2.82478280E-13   4.97210101E-04   3.06951125E-04   5.98313825E-05   5.06316630E-05   0.00000000E+00  
  15               1.76235136E-03   7.00711722E+02   8.38561218E-01   1.60490705E-01   5.70840629E-13   4.97202294E-04   3.06946305E-04   5.98304431E-05   5.06308680E-05   0.00000000E+00  
  16               2.20700562E-03   7.05241315E+02   8.38556922E-01   1.60494977E-01   6.50457172E-13   4.97206928E-04   3.06949166E-04   5.98310008E-05   5.06313400E-05   0.00000000E+00  
  17               2.75889617E-03   7.20171147E+02   8.38564117E-01   1.60487798E-01   1.26872800E-12   4.97198973E-04   3.06944255E-04   5.98300435E-05   5.06305299E-05   0.00000000E+00  
  18               3.44364455E-03   7.24762756E+02   8.38559369E-01   1.60492520E-01   1.43413737E-12   4.97204132E-04   3.06947440E-04   5.98306643E-05   5.06310552E-05   0.00000000E+00  
  19               4.29307106E-03   7.39801503E+02   8.38566454E-01   1.60485446E-01   2.70385007E-12   4.97196342E-04   3.06942631E-04   5.98297269E-05   5.06302620E-05   0.00000000E+00  
  20               5.34635907E-03   7.44437977E+02   8.38561278E-01   1.60490591E-01   3.02966807E-12   4.97202009E-04   3.06946129E-04   5.98304088E-05   5.06308390E-05   0.00000000E+00  
  21               6.65210417E-03   7.59566646E+02   8.38568013E-01   1.60483859E-01   5.52685368E-12   4.97194675E-04   3.06941602E-04   5.98295263E-05   5.06300922E-05   0.00000000E+00  
  22               8.27065697E-03   7.64264151E+02   8.38562505E-01   1.60489331E-01   6.14511298E-12   4.97200775E-04   3.06945368E-04   5.98302603E-05   5.06307134E-05   0.00000000E+00  
  23               1.02774018E-02   7.79504310E+02   8.38568731E-01   1.60483095E-01   1.08772617E-11   4.97194105E-04   3.06941250E-04   5.98294577E-05   5.06300341E-05   0.00000000E+00  
  24               1.27654579E-02   7.84180273E+02   8.38562888E-01   1.60488891E-01   1.19599542E-11   4.97200611E-04   3.06945266E-04   5.98302405E-05   5.06306966E-05   0.00000000E+00  
  25               1.58503454E-02   7.99628120E+02   8.38568563E-01   1.60483187E-01   2.06599987E-11   4.97194711E-04   3.06941624E-04   5.98295306E-05   5.06300958E-05   0.00000000E+00  
  26               1.96744481E-02   8.04419272E+02   8.38562629E-01   1.60489058E-01   2.26053638E-11   4.97201337E-04   3.06945715E-04   5.98303279E-05   5.06307706E-05   0.00000000E+00  
  27               2.44134296E-02   8.20210369E+02   8.38567808E-01   1.60483814E-01   3.83526993E-11   4.97196191E-04   3.06942538E-04   5.98297087E-05   5.06302466E-05   0.00000000E+00  
  28               3.02829789E-02   8.25395821E+02   8.38562102E-01   1.60489426E-01   4.22191780E-11   4.97202460E-04   3.06946408E-04   5.98304630E-05   5.06308849E-05   0.00000000E+00  
  29               3.75474227E-02   8.42078243E+02   8.38567288E-01   1.60484108E-01   7.18151887E-11   4.97197743E-04   3.06943496E-04   5.98298954E-05   5.06304046E-05   0.00000000E+00  
  30               4.65297238E-02   8.47886348E+02   8.38561910E-01   1.60489326E-01   8.01100275E-11   4.97203463E-04   3.06947027E-04   5.98305838E-05   5.06309871E-05   0.00000000E+00  
  31               5.76240936E-02   8.65551912E+02   8.38567126E-01   1.60483839E-01   1.36652872E-10   4.97199642E-04   3.06944668E-04   5.98301240E-05   5.06305980E-05   0.00000000E+00  
  32               7.13100939E-02   8.72410965E+02   8.38562258E-01   1.60488392E-01   1.56467925E-10   4.97204423E-04   3.06947619E-04   5.98306992E-05   5.06310848E-05   0.00000000E+00  
  33               8.81662334E-02   8.91513423E+02   8.38567806E-01   1.60482255E-01   2.70750238E-10   4.97202571E-04   3.06946477E-04   5.98304765E-05   5.06308963E-05   0.00000000E+00  
  34               1.08882733E-01   8.99877395E+02   8.38563445E-01   1.60485893E-01   3.21685559E-10   4.97205934E-04   3.06948552E-04   5.98308811E-05   5.06312387E-05   0.00000000E+00  
  35               1.34290115E-01   9.21014672E+02   8.38569547E-01   1.60478373E-01   5.71792234E-10   4.97207615E-04   3.06949590E-04   5.98310834E-05   5.06314099E-05   0.00000000E+00  
  36               1.65374532E-01   9.31530823E+02   8.38567038E-01   1.60480876E-01   7.14552412E-10   4.97209368E-04   3.06950672E-04   5.98312943E-05   5.06315884E-05   0.00000000E+00  
  37               2.03333973E-01   9.55184976E+02   8.38576532E-01   1.60471405E-01   1.31005866E-09   4.97197243E-04   3.06943187E-04   5.98298353E-05   5.06303537E-05   0.00000000E+00  
  38               2.49582772E-01   9.68435985E+02   8.38575775E-01   1.60472164E-01   1.73341823E-09   4.97196213E-04   3.06942551E-04   5.98297113E-05   5.06302487E-05   0.00000000E+00  
  39               3.05810330E-01   9.95228826E+02   8.38588367E-01   1.60459609E-01   3.29085429E-09   4.97179515E-04   3.06932242E-04   5.98277019E-05   5.06285483E-05   0.00000000E+00  
  40               3.73929719E-01   1.01200150E+03   8.38590321E-01   1.60457671E-01   4.64474487E-09   4.97174160E-04   3.06928936E-04   5.98270575E-05   5.06280026E-05   5.14155913E-16  
  41               4.56137684E-01   1.04263688E+03   8.38607083E-01   1.60440964E-01   9.14234366E-09   4.97151245E-04   3.06914786E-04   5.98242995E-05   5.06256677E-05   2.78848188E-15  
  42               5.54967111E-01   1.06367275E+03   8.38612789E-01   1.60435287E-01   1.37702048E-08   4.97140028E-04   3.06907850E-04   5.98229481E-05   5.06245190E-05   7.73906340E-15  
  43               6.73262903E-01   1.09888445E+03   8.38633971E-01   1.60414166E-01   2.80138949E-08   4.97110454E-04   3.06889553E-04   5.98193839E-05   5.06214836E-05   4.59475560E-14  
  44               8.14006640E-01   1.12495684E+03   8.38643850E-01   1.60404309E-01   4.48384933E-08   4.97093178E-04   3.06878731E-04   5.98172849E-05   5.06196100E-05   1.48862377E-13  
  45               9.80754799E-01   1.16515685E+03   8.38667460E-01   1.60380718E-01   9.29959831E-08   4.97060224E-04   3.06857843E-04   5.98132533E-05   5.06158155E-05   9.34208635E-13  
  46               1.17785772E+00   1.19674937E+03   8.38679951E-01   1.60368194E-01   1.55905668E-07   4.97041120E-04   3.06843938E-04   5.98107216E-05   5.06118122E-05   3.40623726E-12  
  47               1.41000551E+00   1.24247816E+03   8.38702303E-01   1.60345708E-01   3.25605271E-07   4.97015139E-04   3.06820732E-04   5.98068547E-05   5.06012684E-05   2.17225312E-11  
  48               1.68188955E+00   1.27983692E+03   8.38714435E-01   1.60333356E-01   5.60835546E-07   4.97014836E-04   3.06795299E-04   5.98044415E-05   5.05672364E-05   8.43515162E-11  
  49               1.99892556E+00   1.33066858E+03   8.38731670E-01   1.60315590E-01   1.14904525E-06   4.97046959E-04   3.06737013E-04   5.98013718E-05   5.04489025E-05   5.04730716E-10  
  50               2.36743336E+00   1.37290260E+03   8.38740520E-01   1.60306062E-01   1.96875568E-06   4.97190021E-04   3.06599862E-04   5.97994857E-05   5.00302138E-05   1.90556523E-09  
  51               2.79524209E+00   1.42780896E+03   8.38751067E-01   1.60294239E-01   3.85761635E-06   4.97568677E-04   3.06268909E-04   5.97973843E-05   4.87896636E-05   9.92832021E-09  
  52               3.29197775E+00   1.47380941E+03   8.38754477E-01   1.60287970E-01   6.41524426E-06   4.98435991E-04   3.05674863E-04   5.97960561E-05   4.57141528E-05   3.40723398E-08  
  53               3.86808598E+00   1.53129827E+03   8.38745264E-01   1.60278829E-01   1.17842488E-05   5.00211695E-04   3.04993551E-04   5.97963951E-05   3.94167457E-05   1.46263664E-07  
  54               4.53034754E+00   1.57892263E+03   8.38743790E-01   1.60277628E-01   1.85580201E-05   5.03218314E-04   3.06301589E-04   5.98164197E-05   3.18712117E-05   2.65415349E-07  
  55               5.27207481E+00   1.63638502E+03   8.38733455E-01   1.60272939E-01   3.14271007E-05   5.07076115E-04   3.06686079E-04   5.98179063E-05   2.45360452E-05   1.73058071E-06  
  56               6.06592546E+00   1.68305230E+03   8.38704100E-01   1.60267802E-01   4.63901427E-05   5.11139659E-04   3.12676824E-04   5.98290443E-05   2.02227489E-05   6.42122973E-06  
  57               6.84806580E+00   1.73817658E+03   8.38624865E-01   1.60257149E-01   7.28165542E-05   5.15918178E-04   3.34863566E-04   5.98584155E-05   1.45690839E-05   2.39550919E-05  
  58               7.57615541E+00   1.78516501E+03   8.38515371E-01   1.60248866E-01   1.04467150E-04   5.20040841E-04   3.80030761E-04   5.99259187E-05   1.00773195E-05   6.46312163E-05  
  59               8.24209805E+00   1.82496190E+03   8.38468865E-01   1.60242511E-01   1.39618400E-04   5.21701461E-04   3.84611752E-04   5.99254520E-05   8.59521620E-06   6.44722649E-05  
  60               8.82089151E+00   1.85755184E+03   8.38436604E-01   1.60239211E-01   1.75313286E-04   5.22757365E-04   3.84314157E-04   5.99414403E-05   7.60934860E-06   6.43384125E-05  
  61               9.28442378E+00   1.88230447E+03   8.38408045E-01   1.60236446E-01   2.07201058E-04   5.23372008E-04   3.83712141E-04   5.99393555E-05   6.97195158E-06   6.42335508E-05  
  62               9.83251303E+00   1.91040606E+03   8.38370316E-01   1.60232891E-01   2.49098474E-04   5.23980562E-04   3.83049477E-04   5.99361319E-05   6.33934719E-06   6.41116462E-05  
  63               1.04754442E+01   1.94164402E+03   8.38289549E-01   1.60222333E-01   3.03569958E-04   5.24496295E-04   3.82369895E-04   5.99285690E-05   5.73778156E-06   6.39694425E-05  
  64               1.09638548E+01   1.96448789E+03   8.38247724E-01   1.60218524E-01   3.49360618E-04   5.24955290E-04   3.82017299E-04   5.99769492E-05   5.34985562E-06   6.38650040E-05  
  65               1.13234612E+01   1.98068079E+03   8.38215238E-01   1.60215596E-01   3.85078969E-04   5.25148586E-04   3.81722611E-04   5.99724167E-05   5.10218297E-06   6.37893107E-05  
  66               1.17572436E+01   1.99979687E+03   8.38173255E-01   1.60211826E-01   4.31077547E-04   5.25392978E-04   3.81433566E-04   5.99666653E-05   4.83066157E-06   6.36988675E-05  
  67               1.22761725E+01   2.02175719E+03   8.38120055E-01   1.60207074E-01   4.89257068E-04   5.25647448E-04   3.81141943E-04   5.99592530E-05   4.55003108E-06   6.35925339E-05  
  68               1.28920475E+01   2.04697298E+03   8.38051816E-01   1.60201010E-01   5.63807740E-04   5.25905547E-04   3.80840144E-04   5.99495544E-05   4.25873703E-06   6.34681806E-05  
  69               1.36197090E+01   2.07533924E+03   8.37965336E-01   1.60193360E-01   6.58245787E-04   5.26152460E-04   3.80506620E-04   5.99366431E-05   3.97110329E-06   6.33243741E-05  
  70               1.44768245E+01   2.10728456E+03   8.37854237E-01   1.60183566E-01   7.79453757E-04   5.26386378E-04   3.80167108E-04   5.99196754E-05   3.68576076E-06   6.31583860E-05  
  71               1.54803227E+01   2.14253752E+03   8.37713331E-01   1.60171184E-01   9.33055299E-04   5.26592959E-04   3.79834556E-04   5.98978010E-05   3.41551726E-06   6.29691132E-05  
  72               1.66486246E+01   2.18131816E+03   8.37533601E-01   1.60155426E-01   1.12885861E-03   5.26769370E-04   3.79506813E-04   5.98704363E-05   3.15976167E-06   6.27544368E-05  
  73               1.80018959E+01   2.22323388E+03   8.37307406E-01   1.60135631E-01   1.37515772E-03   5.26903773E-04   3.79192531E-04   5.98369981E-05   2.92758444E-06   6.25135273E-05  
  74               1.95624290E+01   2.26838436E+03   8.37022337E-01   1.60110717E-01   1.68545292E-03   5.26993670E-04   3.78887805E-04   5.97969508E-05   2.71702744E-06   6.22445085E-05  
  75               2.13550693E+01   2.31628404E+03   8.36666433E-01   1.60079439E-01   2.07058394E-03   5.27028589E-04   3.78600812E-04   5.97490933E-05   2.53353304E-06   6.19466763E-05  
  76               2.34069429E+01   2.36697421E+03   8.36219314E-01   1.60040955E-01   2.54787335E-03   5.27054712E-04   3.84610163E-04   5.96955813E-05   2.33478985E-06   6.16186144E-05  
  77               2.57495282E+01   2.41994646E+03   8.35683968E-01   1.59994275E-01   3.13007550E-03   5.26971629E-04   3.84473583E-04   5.96299722E-05   2.20238323E-06   6.12598990E-05  
  78               2.84190537E+01   2.47526156E+03   8.35032950E-01   1.59937528E-01   3.83806699E-03   5.26822751E-04   3.84316588E-04   5.95534894E-05   2.09187762E-06   6.08686947E-05  
  79               3.14559925E+01   2.53243121E+03   8.34253996E-01   1.59869647E-01   4.68517238E-03   5.26601601E-04   3.84146619E-04   5.94645901E-05   2.00447442E-06   6.04447461E-05  
  80               3.49073476E+01   2.59150875E+03   8.33326458E-01   1.59788831E-01   5.69383829E-03   5.26303730E-04   3.83964060E-04   5.93617762E-05   1.93656590E-06   5.99863948E-05  
  81               3.88273633E+01   2.65206253E+03   8.32239415E-01   1.59694133E-01   6.87592405E-03   5.25922747E-04   3.83777599E-04   5.92432350E-05   1.88893006E-06   5.94933715E-05  
  82               4.32784564E+01   2.71420722E+03   8.30971329E-01   1.59583676E-01   8.25483992E-03   5.25452571E-04   3.83590748E-04   5.91069952E-05   1.85846284E-06   5.89639556E-05  
  83               4.83321506E+01   2.77747102E+03   8.29517444E-01   1.59457050E-01   9.83573257E-03   5.24886887E-04   3.83417688E-04   5.89508085E-05   1.84663636E-06   5.83983215E-05  
  84               5.40696439E+01   2.84210289E+03   8.27854537E-01   1.59312232E-01   1.16438395E-02   5.24217906E-04   3.83264760E-04   5.87719230E-05   1.85037132E-06   5.77946494E-05  
  85               6.05822025E+01   2.90766368E+03   8.25983886E-01   1.59149338E-01   1.36777385E-02   5.23439473E-04   3.83151146E-04   5.85672298E-05   1.87137727E-06   5.71536067E-05  
  86               6.79703730E+01   2.97436745E+03   8.23885878E-01   1.58966663E-01   1.59587301E-02   5.22542449E-04   3.83087809E-04   5.83324865E-05   1.90747323E-06   5.64741438E-05  
  87               7.63434300E+01   3.04175007E+03   8.21572040E-01   1.58765217E-01   1.84742395E-02   5.21521721E-04   3.83097976E-04   5.80627586E-05   1.96071317E-06   5.57580581E-05  
  88               8.58096644E+01   3.10989997E+03   8.19032540E-01   1.58544144E-01   2.12349279E-02   5.20368983E-04   3.83194188E-04   5.77510246E-05   2.02954816E-06   5.50062499E-05  
  89               9.64785847E+01   3.17826662E+03   8.16294674E-01   1.58305830E-01   2.42110722E-02   5.19082434E-04   3.83398027E-04   5.73888123E-05   2.11613886E-06   5.42227222E-05  
  90               1.08468950E+02   3.24708948E+03   8.13346589E-01   1.58049240E-01   2.74155316E-02   5.17652040E-04   3.83713230E-04   5.69624708E-05   2.21844738E-06   5.34087505E-05  
