# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   4.24731816E+02   8.38493822E-01   1.60509259E-01   1.77414920E-22   5.29272512E-04   3.75063769E-04   6.05633393E-05   0.00000000E+00   0.00000000E+00  
  2                1.71280125E-05   4.79718163E+02   8.38493899E-01   1.60509213E-01   1.65275668E-19   5.29271568E-04   3.75063100E-04   6.05632313E-05   0.00000000E+00   0.00000000E+00  
  3                2.53800739E-05   5.03297346E+02   8.38494004E-01   1.60509140E-01   1.78180447E-18   5.29270204E-04   3.75062133E-04   6.05630752E-05   0.00000000E+00   0.00000000E+00  
  4                3.52008338E-05   5.23870515E+02   8.38494256E-01   1.60508922E-01   1.18488391E-17   5.29266316E-04   3.75059378E-04   6.05626303E-05   0.00000000E+00   0.00000000E+00  
  5                4.69823750E-05   5.38047450E+02   8.38494566E-01   1.60508626E-01   3.86752108E-17   5.29263477E-04   3.75057366E-04   6.05623054E-05   0.00000000E+00   0.00000000E+00  
  6                6.11724222E-05   5.54056972E+02   8.38495355E-01   1.60507854E-01   1.39919682E-16   5.29257657E-04   3.75053241E-04   6.05616394E-05   0.00000000E+00   0.00000000E+00  
  7                7.82928617E-05   5.66030992E+02   8.38496204E-01   1.60507013E-01   3.39033498E-16   5.29254757E-04   3.75051187E-04   6.05613077E-05   0.00000000E+00   0.00000000E+00  
  8                9.89713023E-05   5.80619023E+02   8.38498276E-01   1.60504940E-01   9.74278506E-16   5.29241316E-04   3.75041662E-04   6.05597696E-05   0.00000000E+00   0.00000000E+00  
  9                1.23959147E-04   5.91732132E+02   8.38500213E-01   1.60502995E-01   2.04686190E-15   5.29239558E-04   3.75040416E-04   6.05595684E-05   0.00000000E+00   0.00000000E+00  
  10               1.54166067E-04   6.05632659E+02   8.38504575E-01   1.60498502E-01   5.11829687E-15   5.29222921E-04   3.75028626E-04   6.05576647E-05   0.00000000E+00   0.00000000E+00  
  11               1.90683495E-04   6.16344179E+02   8.38508247E-01   1.60494791E-01   9.83068422E-15   5.29216944E-04   3.75024391E-04   6.05569807E-05   0.00000000E+00   0.00000000E+00  
  12               2.34834470E-04   6.30011047E+02   8.38516386E-01   1.60486696E-01   2.24794975E-14   5.29196761E-04   3.75010088E-04   6.05546712E-05   0.00000000E+00   0.00000000E+00  
  13               2.88237053E-04   6.40703035E+02   8.38522312E-01   1.60480551E-01   4.09036931E-14   5.29188517E-04   3.75004246E-04   6.05537279E-05   0.00000000E+00   0.00000000E+00  
  14               3.52847173E-04   6.54550294E+02   8.38535057E-01   1.60467857E-01   8.86157581E-14   5.29164322E-04   3.74987101E-04   6.05509594E-05   0.00000000E+00   0.00000000E+00  
  15               4.31013437E-04   6.65535062E+02   8.38543931E-01   1.60459003E-01   1.56352426E-13   5.29153439E-04   3.74979388E-04   6.05497140E-05   0.00000000E+00   0.00000000E+00  
  16               5.25568917E-04   6.79687560E+02   8.38560812E-01   1.60442176E-01   3.24360031E-13   5.29126305E-04   3.74960160E-04   6.05466091E-05   0.00000000E+00   0.00000000E+00  
  17               6.39919327E-04   6.90918778E+02   8.38571358E-01   1.60431653E-01   5.54071900E-13   5.29113980E-04   3.74951426E-04   6.05451988E-05   0.00000000E+00   0.00000000E+00  
  18               7.78166797E-04   7.05296987E+02   8.38589986E-01   1.60413075E-01   1.09859450E-12   5.29086866E-04   3.74932212E-04   6.05420962E-05   0.00000000E+00   0.00000000E+00  
  19               9.45232074E-04   7.16725830E+02   8.38600506E-01   1.60402557E-01   1.81563556E-12   5.29074956E-04   3.74923772E-04   6.05407334E-05   0.00000000E+00   0.00000000E+00  
  20               1.14702441E-03   7.31338934E+02   8.38618483E-01   1.60384598E-01   3.45343692E-12   5.29050857E-04   3.74906695E-04   6.05379759E-05   0.00000000E+00   0.00000000E+00  
  21               1.39061421E-03   7.42993889E+02   8.38627864E-01   1.60375189E-01   5.54214328E-12   5.29040463E-04   3.74899329E-04   6.05367865E-05   0.00000000E+00   0.00000000E+00  
  22               1.68446555E-03   7.57906168E+02   8.38643798E-01   1.60359198E-01   1.01721851E-11   5.29021688E-04   3.74886025E-04   6.05346382E-05   0.00000000E+00   0.00000000E+00  
  23               2.03888858E-03   7.69763013E+02   8.38651396E-01   1.60351482E-01   1.58631332E-11   5.29013363E-04   3.74880125E-04   6.05336855E-05   0.00000000E+00   0.00000000E+00  
  24               2.46653125E-03   7.84884123E+02   8.38664394E-01   1.60338246E-01   2.80449422E-11   5.28999587E-04   3.74870363E-04   6.05321091E-05   0.00000000E+00   0.00000000E+00  
  25               2.98251778E-03   7.96946897E+02   8.38670032E-01   1.60332256E-01   4.25822500E-11   5.29003537E-04   3.74873162E-04   6.05325612E-05   0.00000000E+00   0.00000000E+00  
  26               3.60510135E-03   8.12388529E+02   8.38680129E-01   1.60321505E-01   7.30289366E-11   5.28988046E-04   3.74862184E-04   6.05307885E-05   0.00000000E+00   0.00000000E+00  
  27               4.35616258E-03   8.24758981E+02   8.38684024E-01   1.60316863E-01   1.08566079E-10   5.28983484E-04   3.74858952E-04   6.05302666E-05   0.00000000E+00   0.00000000E+00  
  28               5.26176851E-03   8.40664371E+02   8.38691317E-01   1.60308094E-01   1.81885605E-10   5.28970643E-04   3.74849852E-04   6.05287971E-05   0.00000000E+00   0.00000000E+00  
  29               6.35285045E-03   8.53624832E+02   8.38695003E-01   1.60304413E-01   2.67723571E-10   5.28966863E-04   3.74847173E-04   6.05283646E-05   0.00000000E+00   5.04028530E-16  
  30               7.66606499E-03   8.70395305E+02   8.38702314E-01   1.60297123E-01   4.44578011E-10   5.28955804E-04   3.74839337E-04   6.05270992E-05   0.00000000E+00   2.57739952E-15  
  31               9.24463937E-03   8.84256763E+02   8.38705536E-01   1.60293905E-01   6.54151581E-10   5.28952361E-04   3.74836897E-04   6.05267052E-05   0.00000000E+00   2.57734424E-15  
  32               1.11394335E-02   9.02112091E+02   8.38711710E-01   1.60287749E-01   1.08216506E-09   5.28942827E-04   3.74830140E-04   6.05256142E-05   0.00000000E+00   1.32541318E-14  
  33               1.34096451E-02   9.17259900E+02   8.38714705E-01   1.60284758E-01   1.60698538E-09   5.28939386E-04   3.74827702E-04   6.05252205E-05   0.00000000E+00   1.32538582E-14  
  34               1.61250351E-02   9.36752606E+02   8.38720059E-01   1.60279418E-01   2.68412677E-09   5.28931017E-04   3.74821771E-04   6.05242628E-05   0.00000000E+00   7.09983873E-14  
  35               1.93707131E-02   9.53564648E+02   8.38722829E-01   1.60276652E-01   4.04706914E-09   5.28927609E-04   3.74819356E-04   6.05238729E-05   4.71522465E-16   7.09969577E-14  
  36               2.32462900E-02   9.75046679E+02   8.38727294E-01   1.60272198E-01   6.84668430E-09   5.28920509E-04   3.74814325E-04   6.05230605E-05   1.75236592E-15   4.06103462E-13  
  37               2.78662581E-02   9.94190950E+02   8.38729839E-01   1.60269656E-01   1.05990081E-08   5.28917133E-04   3.74811932E-04   6.05226741E-05   5.19789503E-15   4.06095306E-13  
  38               3.33619381E-02   1.01837109E+03   8.38733436E-01   1.60266066E-01   1.83418833E-08   5.28911284E-04   3.74807788E-04   6.05220048E-05   2.01930405E-14   2.52846262E-12  
  39               3.98813624E-02   1.04034686E+03   8.38735563E-01   1.60263939E-01   2.92169646E-08   5.28908244E-04   3.74805633E-04   6.05216570E-05   6.36690473E-14   2.52841327E-12  
  40               4.75901431E-02   1.06762344E+03   8.38738189E-01   1.60261304E-01   5.16073982E-08   5.28903763E-04   3.74802458E-04   6.05211442E-05   2.56625500E-13   1.70131409E-11  
  41               5.66688685E-02   1.09302960E+03   8.38739778E-01   1.60259691E-01   8.47278233E-08   5.28901268E-04   3.74800690E-04   6.05208587E-05   8.61523920E-13   1.70128126E-11  
  42               6.73136815E-02   1.12408671E+03   8.38741487E-01   1.60257917E-01   1.53057125E-07   5.28898096E-04   3.74798442E-04   6.05204958E-05   3.61547391E-12   1.23111488E-10  
  43               7.97471380E-02   1.15330062E+03   8.38742449E-01   1.60256840E-01   2.57349573E-07   5.28896312E-04   3.74797178E-04   6.05202916E-05   1.27080364E-11   1.23108990E-10  
  44               9.42475343E-02   1.18844524E+03   8.38743285E-01   1.60255763E-01   4.71126211E-07   5.28894267E-04   3.74795731E-04   6.05200576E-05   5.43297551E-11   9.43561674E-10  
  45               1.11110426E-01   1.22233178E+03   8.38743569E-01   1.60255085E-01   8.11956479E-07   5.28893056E-04   3.74794879E-04   6.05199191E-05   2.00266164E-10   9.43538855E-10  
  46               1.30647560E-01   1.26263307E+03   8.38743428E-01   1.60254434E-01   1.51097924E-06   5.28891974E-04   3.74794131E-04   6.05197952E-05   8.78931897E-10   7.63159698E-09  
  47               1.53169194E-01   1.30194333E+03   8.38742462E-01   1.60253953E-01   2.65578563E-06   5.28891653E-04   3.74793971E-04   6.05197585E-05   3.35554109E-09   7.63135172E-09  
  48               1.78975587E-01   1.34798650E+03   8.38739758E-01   1.60253370E-01   4.98062212E-06   5.28895809E-04   3.74797139E-04   6.05202339E-05   1.47970236E-08   2.30743697E-08  
  49               2.08323559E-01   1.39350830E+03   8.38732513E-01   1.60252339E-01   8.87327297E-06   5.28909157E-04   3.74807323E-04   6.05217613E-05   5.74109616E-08   6.35001366E-08  
  50               2.41580785E-01   1.44642133E+03   8.38710637E-01   1.60249481E-01   1.67356294E-05   5.28963262E-04   3.74847830E-04   6.05279531E-05   2.49436494E-07   1.92859485E-07  
  51               2.78770616E-01   1.50362320E+03   8.38689660E-01   1.60250104E-01   3.17113693E-05   5.29115133E-04   3.74961699E-04   6.05453340E-05   1.01391926E-06   5.88651944E-07  
  52               3.19019906E-01   1.55898211E+03   8.38651651E-01   1.60246796E-01   5.61554341E-05   5.29221696E-04   3.75051225E-04   6.05575359E-05   6.86833999E-06   3.80212795E-06  
  53               3.61142628E-01   1.61146214E+03   8.38570430E-01   1.60241002E-01   9.29280756E-05   5.29415358E-04   3.75215150E-04   6.05797147E-05   2.85463298E-05   3.80171596E-06  
  54               4.01789315E-01   1.65758985E+03   8.38485112E-01   1.60240161E-01   1.40700196E-04   5.29988645E-04   3.75657146E-04   6.06453473E-05   6.63353868E-05   1.34055053E-05  
  55               4.37124487E-01   1.69485627E+03   8.38401275E-01   1.60229151E-01   1.93311379E-04   5.29975199E-04   3.75683389E-04   6.06438622E-05   6.62952789E-05   1.34037684E-05  
  56               4.77411314E-01   1.73444371E+03   8.38333795E-01   1.60223247E-01   2.66620810E-04   5.29945746E-04   3.75689780E-04   6.06405647E-05   6.62532982E-05   5.55154064E-05  
  57               5.12975975E-01   1.76732480E+03   8.38261639E-01   1.60216858E-01   3.44221904E-04   5.30404546E-04   3.76034261E-04   6.06931586E-05   6.62164828E-05   5.55097998E-05  
  58               5.42025973E-01   1.79275888E+03   8.38195107E-01   1.60211040E-01   4.16510485E-04   5.30387410E-04   3.76041195E-04   6.06912974E-05   6.61867169E-05   5.55050251E-05  
  59               5.75402540E-01   1.82071461E+03   8.38108841E-01   1.60203499E-01   5.10250515E-04   5.30365138E-04   3.76043279E-04   6.06888539E-05   6.61526757E-05   5.54992490E-05  
  60               6.13482332E-01   1.85088035E+03   8.37998273E-01   1.60193837E-01   6.30403802E-04   5.30336505E-04   3.76037822E-04   6.06856875E-05   6.61141458E-05   5.54923184E-05  
  61               6.56546507E-01   1.88322790E+03   8.37856515E-01   1.60181456E-01   7.84467095E-04   5.30299721E-04   3.76020905E-04   6.06815943E-05   6.60707694E-05   5.54839969E-05  
  62               7.04504441E-01   1.91703967E+03   8.37679164E-01   1.60165970E-01   9.77272109E-04   5.30253737E-04   3.75987878E-04   6.06764558E-05   6.60228213E-05   5.54741876E-05  
  63               7.57830833E-01   1.95243038E+03   8.37456787E-01   1.60146555E-01   1.21909717E-03   5.30193425E-04   3.75929790E-04   6.06696873E-05   6.59697184E-05   5.54625624E-05  
  64               8.18212917E-01   1.98980699E+03   8.37175516E-01   1.60122003E-01   1.52499946E-03   5.30116204E-04   3.75840022E-04   6.06609973E-05   6.59099733E-05   5.54485842E-05  
  65               8.86400963E-01   2.02918309E+03   8.36820164E-01   1.60090990E-01   1.91150090E-03   5.30017474E-04   3.75711473E-04   6.06498532E-05   6.58427672E-05   5.54317428E-05  
  66               9.63242502E-01   2.07018754E+03   8.36377376E-01   1.60052353E-01   2.39313265E-03   5.29893045E-04   3.75539024E-04   6.06357472E-05   6.57675391E-05   5.54116123E-05  
  67               1.04969617E+00   2.11283397E+03   8.35827441E-01   1.60004372E-01   2.99133271E-03   5.29736969E-04   3.75319266E-04   6.06179272E-05   6.56832967E-05   5.53875421E-05  
  68               1.14684237E+00   2.15676027E+03   8.35154453E-01   1.59945661E-01   3.72339824E-03   5.29544358E-04   3.75055187E-04   6.05956917E-05   6.55893826E-05   5.53590282E-05  
  69               1.25590068E+00   2.20195820E+03   8.34335562E-01   1.59874225E-01   4.61416348E-03   5.29308356E-04   3.74763275E-04   6.05680315E-05   6.54846993E-05   5.53253249E-05  
  70               1.37824029E+00   2.24810828E+03   8.33353701E-01   1.59788571E-01   5.68211159E-03   5.29023327E-04   3.74527950E-04   6.05340351E-05   6.53685293E-05   5.52858878E-05  
  71               1.51538712E+00   2.29513362E+03   8.32184572E-01   1.59686331E-01   6.95107306E-03   5.28679057E-04   3.74834187E-04   6.04924409E-05   6.52396738E-05   5.52398497E-05  
  72               1.66891910E+00   2.34265402E+03   8.30814941E-01   1.59567485E-01   8.43286598E-03   5.28297906E-04   3.79420167E-04   6.04468307E-05   6.50981330E-05   5.51871928E-05  
  73               1.84078423E+00   2.39064990E+03   8.29237577E-01   1.59429878E-01   1.01481805E-02   5.27835992E-04   3.79441767E-04   6.03896846E-05   6.49427521E-05   5.51271155E-05  
  74               2.03331013E+00   2.43899461E+03   8.27433433E-01   1.59272546E-01   1.21106660E-02   5.27312062E-04   3.78850713E-04   6.03246799E-05   6.47728799E-05   5.50592365E-05  
  75               2.24890759E+00   2.48757997E+03   8.25392097E-01   1.59094541E-01   1.43312073E-02   5.26719552E-04   3.78125415E-04   6.02510317E-05   6.45879387E-05   5.49831843E-05  
  76               2.49022501E+00   2.53628899E+03   8.23108312E-01   1.58895403E-01   1.68154838E-02   5.26056375E-04   3.77302139E-04   6.01683188E-05   6.43875769E-05   5.48987593E-05  
  77               2.76018811E+00   2.58508829E+03   8.20575946E-01   1.58674597E-01   1.95701590E-02   5.25320658E-04   3.76380176E-04   6.00761137E-05   6.41713772E-05   5.48057277E-05  
  78               3.06200860E+00   2.63383251E+03   8.17801012E-01   1.58432649E-01   2.25886841E-02   5.24514058E-04   3.75360807E-04   5.99743185E-05   6.39394412E-05   5.47042373E-05  
  79               3.39918802E+00   2.68248394E+03   8.14786756E-01   1.58169841E-01   2.58675244E-02   5.23637430E-04   3.74243794E-04   5.98626439E-05   6.36917306E-05   5.45943415E-05  
  80               3.77551042E+00   2.73102973E+03   8.11537363E-01   1.57886540E-01   2.94021208E-02   5.22691884E-04   3.73029144E-04   5.97406884E-05   6.34282583E-05   5.44761214E-05  
  81               4.19506962E+00   2.77930276E+03   8.08075967E-01   1.57584760E-01   3.31673041E-02   5.21683978E-04   3.71724128E-04   5.96084980E-05   6.31498249E-05   5.43502526E-05  
  82               4.66220985E+00   2.82738620E+03   8.04404127E-01   1.57264640E-01   3.71613706E-02   5.20614040E-04   3.70328047E-04   5.94651345E-05   6.28563660E-05   5.42167315E-05  
  83               5.18151650E+00   2.87518271E+03   8.00544159E-01   1.56928123E-01   4.13600406E-02   5.19488363E-04   3.68848433E-04   5.93100281E-05   6.25487036E-05   5.40762096E-05  
  84               5.75783429E+00   2.92279239E+03   7.96496500E-01   1.56575248E-01   4.57628299E-02   5.18306920E-04   3.67284621E-04   5.91413806E-05   6.22268175E-05   5.39286565E-05  
  85               6.39633381E+00   2.97004277E+03   7.92297494E-01   1.56209183E-01   5.03301989E-02   5.17080014E-04   3.65650464E-04   5.89581048E-05   6.18921217E-05   5.37751638E-05  
  86               7.10255947E+00   3.01709367E+03   7.87940439E-01   1.55829344E-01   5.50694296E-02   5.15805513E-04   3.63943021E-04   5.87567599E-05   6.15443493E-05   5.36154807E-05  
  87               7.88233027E+00   3.06378518E+03   7.83463745E-01   1.55439077E-01   5.99387319E-02   5.14494275E-04   3.62177763E-04   5.85346939E-05   6.11850173E-05   5.34507646E-05  
  88               8.74169405E+00   3.11022458E+03   7.78866619E-01   1.55038314E-01   6.49389581E-02   5.13145827E-04   3.60354413E-04   5.82865263E-05   6.08141766E-05   5.32809596E-05  
  89               9.68734917E+00   3.15628373E+03   7.74186371E-01   1.54630308E-01   7.00295139E-02   5.11770651E-04   3.58488570E-04   5.80071027E-05   6.04332667E-05   5.31071833E-05  
  90               1.07267343E+01   3.20215728E+03   7.69407136E-01   1.54213672E-01   7.52276465E-02   5.10363850E-04   3.56573523E-04   5.76870027E-05   6.00416844E-05   5.29288996E-05  
  91               1.18681185E+01   3.24775423E+03   7.64561392E-01   1.53791238E-01   8.04980136E-02   5.08934425E-04   3.54622781E-04   5.73169914E-05   5.96405803E-05   5.27470595E-05  
