# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   2.28585801E+01   8.38078036E-01   1.60464428E-01   7.78447947E-04   5.30760804E-04   1.18518260E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  2                1.75799984E-04   2.79613164E+01   8.38078036E-01   1.60464428E-01   7.78447942E-04   5.30760801E-04   1.18518258E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  3                3.71074421E-04   3.10405308E+01   8.38078036E-01   1.60464428E-01   7.78447940E-04   5.30760800E-04   1.18518257E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  4                6.01228727E-04   3.29555912E+01   8.38078036E-01   1.60464428E-01   7.78447939E-04   5.30760799E-04   1.18518257E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  5                8.72458368E-04   3.46790162E+01   8.38078036E-01   1.60464428E-01   7.78447939E-04   5.30760799E-04   1.18518257E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  6                1.19206444E-03   3.60043807E+01   8.38078036E-01   1.60464428E-01   7.78447938E-04   5.30760798E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  7                1.56850163E-03   3.74382666E+01   8.38078036E-01   1.60464428E-01   7.78447938E-04   5.30760798E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  8                2.01178672E-03   3.85778344E+01   8.38078036E-01   1.60464428E-01   7.78447938E-04   5.30760798E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  9                2.53355083E-03   3.98909555E+01   8.38078036E-01   1.60464428E-01   7.78447937E-04   5.30760798E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  10               3.14724596E-03   4.09696605E+01   8.38078036E-01   1.60464428E-01   7.78447937E-04   5.30760798E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  11               3.86883736E-03   4.22526921E+01   8.38078036E-01   1.60464428E-01   7.78447937E-04   5.30760797E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
  12               4.71676607E-03   4.33200089E+01   8.38078036E-01   1.60464428E-01   7.78447936E-04   5.30760797E-04   1.18518256E-04   2.29804436E-05   0.00000000E+00   4.22063452E-06  
