# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  1                1.00000000E-05   3.52089881E+01   8.38212378E-01   1.60490345E-01   7.07504584E-04   4.62819107E-04   5.42933809E-05   3.25244045E-05   2.29843118E-05   1.28246963E-05  
  2                6.65086625E-05   4.30422556E+01   8.38212378E-01   1.60490345E-01   7.07504585E-04   4.62819108E-04   5.42933810E-05   3.25244046E-05   2.29843118E-05   1.28246964E-05  
  3                1.31764156E-04   4.79119015E+01   8.38212378E-01   1.60490345E-01   7.07504586E-04   4.62819108E-04   5.42933811E-05   3.25244046E-05   2.29843118E-05   1.28246964E-05  
  4                2.07124023E-04   5.09746882E+01   8.38212378E-01   1.60490345E-01   7.07504587E-04   4.62819109E-04   5.42933811E-05   3.25244046E-05   2.29843118E-05   1.28246964E-05  
  5                2.94149363E-04   5.40019187E+01   8.38212378E-01   1.60490345E-01   7.07504587E-04   4.62819109E-04   5.42933812E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  6                3.94626980E-04   5.63139202E+01   8.38212378E-01   1.60490345E-01   7.07504588E-04   4.62819109E-04   5.42933812E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  7                5.10628936E-04   5.89718765E+01   8.38212378E-01   1.60490345E-01   7.07504588E-04   4.62819110E-04   5.42933812E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  8                6.44525769E-04   6.10804655E+01   8.38212378E-01   1.60490345E-01   7.07504588E-04   4.62819110E-04   5.42933812E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  9                7.99039829E-04   6.37126747E+01   8.38212378E-01   1.60490345E-01   7.07504589E-04   4.62819110E-04   5.42933813E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  10               9.77327275E-04   6.58093013E+01   8.38212378E-01   1.60490345E-01   7.07504589E-04   4.62819110E-04   5.42933813E-05   3.25244047E-05   2.29843118E-05   1.28246964E-05  
  11               1.18299131E-03   6.84950982E+01   8.38212378E-01   1.60490345E-01   7.07504589E-04   4.62819110E-04   5.42933813E-05   3.25244048E-05   2.29843118E-05   1.28246964E-05  
  12               1.42014201E-03   7.06969446E+01   8.38212378E-01   1.60490345E-01   7.07504590E-04   4.62819111E-04   5.42933813E-05   3.25244048E-05   2.29843118E-05   1.28246964E-05  
  13               1.69285044E-03   7.35685269E+01   8.38212378E-01   1.60490345E-01   7.07504590E-04   4.62819111E-04   5.42933814E-05   3.25244048E-05   2.29843118E-05   1.28246964E-05  
  14               2.00442720E-03   7.59442935E+01   8.38212378E-01   1.60490345E-01   7.07504590E-04   4.62819111E-04   5.42933814E-05   3.25244048E-05   2.29843118E-05   1.28246965E-05  
  15               2.35856061E-03   7.90996442E+01   8.38212378E-01   1.60490345E-01   7.07504591E-04   4.62819111E-04   5.42933814E-05   3.25244048E-05   2.29843118E-05   1.28246965E-05  
  16               2.75936409E-03   8.18997280E+01   8.38212378E-01   1.60490345E-01   7.07504591E-04   4.62819112E-04   5.42933814E-05   3.25244048E-05   2.29843118E-05   1.28246965E-05  
  17               3.21133709E-03   8.59242475E+01   8.38212378E-01   1.60490345E-01   7.07504591E-04   4.62819112E-04   5.42933815E-05   3.25244048E-05   2.29843118E-05   1.28246965E-05  
  18               3.71994218E-03   8.99780151E+01   8.38212378E-01   1.60490345E-01   7.07504592E-04   4.62819112E-04   5.42933815E-05   3.25244049E-05   2.29843118E-05   1.28246965E-05  
  19               4.29351229E-03   9.41535721E+01   8.38212378E-01   1.60490345E-01   7.07504592E-04   4.62819112E-04   5.42933815E-05   3.25244049E-05   2.29843118E-05   1.28246965E-05  
  20               4.94128898E-03   9.83941935E+01   8.38212378E-01   1.60490345E-01   7.07504592E-04   4.62819112E-04   5.42933815E-05   3.25244049E-05   2.29843118E-05   1.28246965E-05  
  21               5.67375724E-03   1.02792980E+02   8.38211706E-01   1.60490216E-01   7.07504354E-04   4.62818957E-04   5.42933633E-05   3.25243939E-05   2.29842933E-05   1.28246922E-05  
  22               6.50298706E-03   1.07283950E+02   8.38209800E-01   1.60489851E-01   7.07504191E-04   4.62818850E-04   5.42933508E-05   3.25243865E-05   2.29842411E-05   1.28246892E-05  
  23               7.44297363E-03   1.11966914E+02   8.38203460E-01   1.60488637E-01   7.07503786E-04   4.62818585E-04   5.42933197E-05   3.25243678E-05   2.29840672E-05   1.28246819E-05  
  24               8.50952735E-03   1.16767176E+02   8.38122694E-01   1.60473173E-01   7.07502407E-04   4.62817683E-04   5.42932138E-05   3.25243044E-05   2.29818526E-05   1.28246569E-05  
  25               9.72033185E-03   1.21803881E+02   8.38212351E-01   1.60490340E-01   7.07522788E-04   4.62831015E-04   5.42947779E-05   3.25252414E-05   2.29843110E-05   1.28250263E-05  
