# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  1                1.00000000E-05   2.85351345E+01   8.38119316E-01   1.60472540E-01   7.74188450E-04   5.24764019E-04   4.05807405E-05   4.03759818E-05   2.29835287E-05   0.00000000E+00  
  2                4.95639734E-05   3.45238400E+01   8.38119316E-01   1.60472540E-01   7.74188445E-04   5.24764015E-04   4.05807403E-05   4.03759815E-05   2.29835287E-05   0.00000000E+00  
  3                9.63262689E-05   3.76626042E+01   8.38119316E-01   1.60472540E-01   7.74188443E-04   5.24764014E-04   4.05807402E-05   4.03759814E-05   2.29835287E-05   0.00000000E+00  
  4                1.51595249E-04   4.01664296E+01   8.38119316E-01   1.60472540E-01   7.74188441E-04   5.24764013E-04   4.05807401E-05   4.03759813E-05   2.29835287E-05   0.00000000E+00  
  5                2.16910453E-04   4.19208386E+01   8.38119316E-01   1.60472540E-01   7.74188440E-04   5.24764012E-04   4.05807400E-05   4.03759813E-05   2.29835287E-05   0.00000000E+00  
  6                2.94092139E-04   4.38198709E+01   8.38119316E-01   1.60472540E-01   7.74188439E-04   5.24764011E-04   4.05807400E-05   4.03759812E-05   2.29835287E-05   0.00000000E+00  
  7                3.85277571E-04   4.52830500E+01   8.38119316E-01   1.60472540E-01   7.74188439E-04   5.24764011E-04   4.05807399E-05   4.03759812E-05   2.29835287E-05   0.00000000E+00  
  8                4.92997527E-04   4.70168914E+01   8.38119316E-01   1.60472540E-01   7.74188438E-04   5.24764010E-04   4.05807399E-05   4.03759811E-05   2.29835287E-05   0.00000000E+00  
  9                6.20223633E-04   4.83802175E+01   8.38119316E-01   1.60472540E-01   7.74188437E-04   5.24764010E-04   4.05807399E-05   4.03759811E-05   2.29835287E-05   0.00000000E+00  
  10               7.70444840E-04   5.00967865E+01   8.38119316E-01   1.60472540E-01   7.74188436E-04   5.24764009E-04   4.05807398E-05   4.03759811E-05   2.29835287E-05   0.00000000E+00  
  11               9.47791957E-04   5.14389985E+01   8.38119316E-01   1.60472540E-01   7.74188436E-04   5.24764009E-04   4.05807398E-05   4.03759810E-05   2.29835287E-05   0.00000000E+00  
  12               1.15710510E-03   5.31804060E+01   8.38119316E-01   1.60472540E-01   7.74188435E-04   5.24764008E-04   4.05807398E-05   4.03759810E-05   2.29835287E-05   0.00000000E+00  
  13               1.40404049E-03   5.45798080E+01   8.38119316E-01   1.60472540E-01   7.74188434E-04   5.24764008E-04   4.05807397E-05   4.03759810E-05   2.29835287E-05   0.00000000E+00  
  14               1.69527289E-03   5.64277805E+01   8.38119316E-01   1.60472540E-01   7.74188434E-04   5.24764007E-04   4.05807397E-05   4.03759809E-05   2.29835287E-05   0.00000000E+00  
  15               2.03865188E-03   5.79262984E+01   8.38119316E-01   1.60472540E-01   7.74188433E-04   5.24764007E-04   4.05807396E-05   4.03759809E-05   2.29835287E-05   0.00000000E+00  
  16               2.44330834E-03   5.99385231E+01   8.38119316E-01   1.60472540E-01   7.74188432E-04   5.24764006E-04   4.05807396E-05   4.03759809E-05   2.29835287E-05   0.00000000E+00  
  17               2.91984436E-03   6.16326233E+01   8.38119316E-01   1.60472540E-01   7.74188432E-04   5.24764006E-04   4.05807396E-05   4.03759808E-05   2.29835287E-05   0.00000000E+00  
  18               3.48078644E-03   6.38862117E+01   8.38119316E-01   1.60472540E-01   7.74188431E-04   5.24764005E-04   4.05807395E-05   4.03759808E-05   2.29835287E-05   0.00000000E+00  
  19               4.14076456E-03   6.58108426E+01   8.38119316E-01   1.60472540E-01   7.74188430E-04   5.24764005E-04   4.05807395E-05   4.03759807E-05   2.29835287E-05   0.00000000E+00  
  20               4.91664567E-03   6.83776130E+01   8.38119316E-01   1.60472540E-01   7.74188429E-04   5.24764004E-04   4.05807394E-05   4.03759807E-05   2.29835287E-05   0.00000000E+00  
  21               5.82780390E-03   7.06702339E+01   8.38119316E-01   1.60472540E-01   7.74188428E-04   5.24764004E-04   4.05807394E-05   4.03759806E-05   2.29835287E-05   0.00000000E+00  
  22               6.89500414E-03   7.37162399E+01   8.38119316E-01   1.60472540E-01   7.74188427E-04   5.24764003E-04   4.05807393E-05   4.03759806E-05   2.29835287E-05   0.00000000E+00  
  23               8.13793617E-03   7.65720598E+01   8.38119316E-01   1.60472540E-01   7.74188426E-04   5.24764002E-04   4.05807393E-05   4.03759805E-05   2.29835287E-05   0.00000000E+00  
  24               9.57837644E-03   8.03834842E+01   8.38119316E-01   1.60472540E-01   7.74188425E-04   5.24764002E-04   4.05807392E-05   4.03759805E-05   2.29835287E-05   0.00000000E+00  
  25               1.12397326E-02   8.46742587E+01   8.38119316E-01   1.60472540E-01   7.74188424E-04   5.24764001E-04   4.05807392E-05   4.03759804E-05   2.29835287E-05   0.00000000E+00  
  26               1.31553859E-02   8.88331391E+01   8.38119316E-01   1.60472540E-01   7.74188423E-04   5.24764000E-04   4.05807391E-05   4.03759804E-05   2.29835287E-05   0.00000000E+00  
  27               1.53678039E-02   9.34426008E+01   8.38119316E-01   1.60472540E-01   7.74188423E-04   5.24764000E-04   4.05807391E-05   4.03759804E-05   2.29835287E-05   0.00000000E+00  
  28               1.79266503E-02   9.79286945E+01   8.38119316E-01   1.60472540E-01   7.74188423E-04   5.24764000E-04   4.05807391E-05   4.03759803E-05   2.29835287E-05   2.07379118E-17  
  29               2.08898389E-02   1.02930374E+02   8.38119095E-01   1.60472498E-01   7.74188377E-04   5.24763969E-04   4.05807367E-05   4.03759779E-05   2.29835227E-05   2.96021029E-16  
  30               2.43243963E-02   1.07811294E+02   8.38118245E-01   1.60472336E-01   7.74188338E-04   5.24763943E-04   4.05807347E-05   4.03759760E-05   2.29834994E-05   3.84429975E-15  
  31               2.83080680E-02   1.13271463E+02   8.38115316E-01   1.60471775E-01   7.74188456E-04   5.24764022E-04   4.05807408E-05   4.03759821E-05   2.29834191E-05   3.56178469E-14  
  32               3.29315876E-02   1.18608375E+02   8.38102874E-01   1.60469392E-01   7.74188167E-04   5.24763827E-04   4.05807257E-05   4.03759670E-05   2.29830779E-05   3.60845175E-13  
  33               3.83005518E-02   1.24590914E+02   8.38039047E-01   1.60457172E-01   7.74190635E-04   5.24765499E-04   4.05808550E-05   4.03760957E-05   2.29813275E-05   2.70868257E-12  
  34               4.45368878E-02   1.30478259E+02   8.38119277E-01   1.60472533E-01   7.74214198E-04   5.24781471E-04   4.05820902E-05   4.03773246E-05   2.29835277E-05   2.34607558E-11  
  35               5.17810572E-02   1.37230008E+02   8.38119173E-01   1.60472513E-01   7.74283368E-04   5.24828356E-04   4.05857159E-05   4.03809320E-05   2.29835248E-05   1.45398487E-10  
  36               6.01961216E-02   1.43768115E+02   8.38119173E-01   1.60472513E-01   7.74283301E-04   5.24828311E-04   4.05857123E-05   4.03809285E-05   2.29835248E-05   1.05837060E-09  
  37               6.99723900E-02   1.51317195E+02   8.38119170E-01   1.60472513E-01   7.74282688E-04   5.24827896E-04   4.05856802E-05   4.03808966E-05   2.29835247E-05   5.46544863E-09  
  38               8.13307406E-02   1.58565439E+02   8.38119146E-01   1.60472508E-01   7.74283392E-04   5.24828372E-04   4.05857171E-05   4.03809332E-05   2.29835241E-05   3.27099175E-08  
  39               9.45274350E-02   1.66880409E+02   8.38119055E-01   1.60472491E-01   7.74283397E-04   5.24828376E-04   4.05857174E-05   4.03809335E-05   2.29835216E-05   1.41103358E-07  
  40               1.09857426E-01   1.74851039E+02   8.38118581E-01   1.60472400E-01   7.74283362E-04   5.24828352E-04   4.05857155E-05   4.03809317E-05   2.29835086E-05   7.06033341E-07  
  41               1.27654943E-01   1.83987265E+02   8.38117005E-01   1.60472098E-01   7.74283397E-04   5.24828376E-04   4.05857174E-05   4.03809335E-05   2.29834654E-05   2.58317265E-06  
  42               1.48308302E-01   1.92740888E+02   8.38110098E-01   1.60470776E-01   7.74283002E-04   5.24828108E-04   4.05856967E-05   4.03809129E-05   2.29832760E-05   1.08136730E-05  
  43               1.72239653E-01   2.02688838E+02   8.38090873E-01   1.60467095E-01   7.74284230E-04   5.24828941E-04   4.05857611E-05   4.03809770E-05   2.29827488E-05   3.37180720E-05  
  44               1.99941203E-01   2.12214258E+02   8.38019762E-01   1.60453479E-01   7.74282275E-04   5.24827616E-04   4.05856586E-05   4.03808750E-05   2.29807987E-05   1.18450929E-04  
  45               2.31981513E-01   2.22909020E+02   8.37602997E-01   1.60373682E-01   7.74301952E-04   5.24840953E-04   4.05866900E-05   4.03819012E-05   2.29693699E-05   6.14991431E-04  
  46               2.69021736E-01   2.33225831E+02   8.38118918E-01   1.60472464E-01   7.74453735E-04   5.24943835E-04   4.05946460E-05   4.03898171E-05   2.29835179E-05   0.00000000E+00  
  47               3.11880587E-01   2.44708487E+02   8.38118260E-01   1.60472338E-01   7.74893600E-04   5.25241987E-04   4.06177025E-05   4.04127572E-05   2.29834998E-05   0.00000000E+00  
  48               3.61524268E-01   2.55909592E+02   8.38118261E-01   1.60472338E-01   7.74893128E-04   5.25241667E-04   4.06176778E-05   4.04127326E-05   2.29834998E-05   0.00000000E+00  
  49               4.19056738E-01   2.68281905E+02   8.38118266E-01   1.60472339E-01   7.74889519E-04   5.25239220E-04   4.06174885E-05   4.04125444E-05   2.29835000E-05   0.00000000E+00  
  50               4.85678054E-01   2.80460115E+02   8.38118260E-01   1.60472338E-01   7.74893839E-04   5.25242149E-04   4.06177150E-05   4.04127697E-05   2.29834998E-05   0.00000000E+00  
  51               5.62715929E-01   2.93783418E+02   8.38118260E-01   1.60472338E-01   7.74893870E-04   5.25242170E-04   4.06177166E-05   4.04127713E-05   2.29834998E-05   0.00000000E+00  
  52               6.51753037E-01   3.06980202E+02   8.38118260E-01   1.60472338E-01   7.74893866E-04   5.25242167E-04   4.06177164E-05   4.04127711E-05   2.29834998E-05   0.00000000E+00  
  53               7.54560503E-01   3.21313890E+02   8.38118259E-01   1.60472338E-01   7.74893861E-04   5.25242163E-04   4.06177162E-05   4.04127708E-05   2.29834998E-05   0.00000000E+00  
  54               8.73131668E-01   3.35580874E+02   8.38118259E-01   1.60472338E-01   7.74893856E-04   5.25242160E-04   4.06177159E-05   4.04127706E-05   2.29834998E-05   0.00000000E+00  
  55               1.00980500E+00   3.50997426E+02   8.38118259E-01   1.60472338E-01   7.74893857E-04   5.25242160E-04   4.06177159E-05   4.04127706E-05   2.29834998E-05   0.00000000E+00  
  56               1.16730284E+00   3.66420115E+02   8.38118250E-01   1.60472336E-01   7.74893845E-04   5.25242152E-04   4.06177153E-05   4.04127700E-05   2.29834995E-05   0.00000000E+00  
  57               1.34865303E+00   3.83033432E+02   8.38118251E-01   1.60472335E-01   7.74893946E-04   5.25242221E-04   4.06177206E-05   4.04127753E-05   2.29834994E-05   0.00000000E+00  
  58               1.55712904E+00   3.99679661E+02   8.38118251E-01   1.60472335E-01   7.74893938E-04   5.25242215E-04   4.06177202E-05   4.04127748E-05   2.29834994E-05   0.00000000E+00  
  59               1.79626125E+00   4.17531028E+02   8.38117980E-01   1.60472283E-01   7.74893584E-04   5.25241975E-04   4.06177016E-05   4.04127564E-05   2.29834919E-05   0.00000000E+00  
  60               2.07021567E+00   4.35418997E+02   8.38117994E-01   1.60472254E-01   7.74901700E-04   5.25247477E-04   4.06181271E-05   4.04131797E-05   2.29834878E-05   0.00000000E+00  
  61               2.38370578E+00   4.54570795E+02   8.38117980E-01   1.60472251E-01   7.74901688E-04   5.25247469E-04   4.06181264E-05   4.04131791E-05   2.29834873E-05   0.00000000E+00  
  62               2.74169760E+00   4.73742855E+02   8.38117579E-01   1.60472185E-01   7.74901708E-04   5.25247482E-04   4.06181275E-05   4.04131801E-05   2.29834778E-05   0.00000000E+00  
  63               3.14942631E+00   4.94192403E+02   8.38117282E-01   1.60472479E-01   7.74903612E-04   5.25248773E-04   4.06182273E-05   4.04132794E-05   2.29835199E-05   0.00000000E+00  
  64               3.61248888E+00   5.14596958E+02   8.38114480E-01   1.60471931E-01   7.74908409E-04   5.25252024E-04   4.06184787E-05   4.04135295E-05   2.29834414E-05   0.00000000E+00  
  65               4.13834930E+00   5.36339432E+02   8.38114775E-01   1.60471645E-01   7.74903294E-04   5.25248557E-04   4.06182106E-05   4.04132628E-05   2.29834005E-05   0.00000000E+00  
  66               4.73566806E+00   5.58079575E+02   8.38114717E-01   1.60471596E-01   7.74963393E-04   5.25289294E-04   4.06213608E-05   4.04163971E-05   2.29833934E-05   0.00000000E+00  
  67               5.41316297E+00   5.81245933E+02   8.38114776E-01   1.60471538E-01   7.74963259E-04   5.25289203E-04   4.06213538E-05   4.04163901E-05   2.29833851E-05   0.00000000E+00  
  68               6.17940565E+00   6.04349636E+02   8.38114867E-01   1.60471446E-01   7.74963596E-04   5.25289432E-04   4.06213715E-05   4.04164077E-05   2.29833720E-05   0.00000000E+00  
  69               7.04287727E+00   6.28851227E+02   8.38115020E-01   1.60471293E-01   7.74963237E-04   5.25289188E-04   4.06213526E-05   4.04163890E-05   2.29833501E-05   0.00000000E+00  
  70               8.01446837E+00   6.53214757E+02   8.38115242E-01   1.60471071E-01   7.74962713E-04   5.25288833E-04   4.06213252E-05   4.04163616E-05   2.29833183E-05   0.00000000E+00  
