# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  1                1.00000000E-05   4.27083724E+01   8.38315281E-01   1.60510045E-01   5.89867443E-04   3.51304122E-04   1.42418811E-04   5.72326530E-05   2.29891151E-05   0.00000000E+00  
  2                8.48513111E-05   5.33062450E+01   8.38315281E-01   1.60510045E-01   5.89867444E-04   3.51304123E-04   1.42418811E-04   5.72326531E-05   2.29891151E-05   0.00000000E+00  
  3                1.71265136E-04   6.02599942E+01   8.38315281E-01   1.60510045E-01   5.89867444E-04   3.51304123E-04   1.42418812E-04   5.72326531E-05   2.29891151E-05   0.00000000E+00  
  4                2.71037436E-04   6.46529636E+01   8.38315281E-01   1.60510045E-01   5.89867445E-04   3.51304124E-04   1.42418812E-04   5.72326532E-05   2.29891151E-05   0.00000000E+00  
  5                3.86217739E-04   6.91540977E+01   8.38315281E-01   1.60510045E-01   5.89867445E-04   3.51304124E-04   1.42418812E-04   5.72326532E-05   2.29891151E-05   0.00000000E+00  
  6                5.19118127E-04   7.24859729E+01   8.38315281E-01   1.60510045E-01   5.89867445E-04   3.51304124E-04   1.42418812E-04   5.72326532E-05   2.29891151E-05   0.00000000E+00  
  7                6.70803615E-04   7.66293570E+01   8.38315281E-01   1.60510045E-01   5.89867446E-04   3.51304124E-04   1.42418812E-04   5.72326533E-05   2.29891151E-05   0.00000000E+00  
  8                8.42222799E-04   7.98562516E+01   8.38315281E-01   1.60510045E-01   5.89867446E-04   3.51304124E-04   1.42418812E-04   5.72326533E-05   2.29891151E-05   0.00000000E+00  
  9                1.03512220E-03   8.40076025E+01   8.38315281E-01   1.60510045E-01   5.89867446E-04   3.51304124E-04   1.42418812E-04   5.72326533E-05   2.29891151E-05   0.00000000E+00  
  10               1.25202767E-03   8.72536988E+01   8.38315281E-01   1.60510045E-01   5.89867446E-04   3.51304125E-04   1.42418812E-04   5.72326533E-05   2.29891151E-05   0.00000000E+00  
  11               1.49640441E-03   9.16510124E+01   8.38315281E-01   1.60510045E-01   5.89867446E-04   3.51304125E-04   1.42418812E-04   5.72326534E-05   2.29891151E-05   0.00000000E+00  
