# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              NH3             
  1                1.00000000E-05   3.70087548E+01   8.38223420E-01   1.60492460E-01   6.97246418E-04   4.53215127E-04   4.00740936E-05   5.46165758E-05   2.29868392E-05   1.16505981E-05  
  2                5.21648103E-05   4.56421279E+01   8.38223420E-01   1.60492460E-01   6.97246435E-04   4.53215138E-04   4.00740945E-05   5.46165771E-05   2.29868392E-05   1.16505983E-05  
  3                1.01661479E-04   5.02643918E+01   8.38223420E-01   1.60492460E-01   6.97246445E-04   4.53215144E-04   4.00740951E-05   5.46165779E-05   2.29868392E-05   1.16505985E-05  
  4                1.59765600E-04   5.38591184E+01   8.38223420E-01   1.60492460E-01   6.97246452E-04   4.53215149E-04   4.00740955E-05   5.46165784E-05   2.29868392E-05   1.16505986E-05  
  5                2.27966831E-04   5.66830960E+01   8.38223420E-01   1.60492460E-01   6.97246458E-04   4.53215153E-04   4.00740958E-05   5.46165789E-05   2.29868392E-05   1.16505987E-05  
  6                3.08013477E-04   5.94692662E+01   8.38223420E-01   1.60492460E-01   6.97246463E-04   4.53215156E-04   4.00740961E-05   5.46165793E-05   2.29868392E-05   1.16505988E-05  
  7                4.01944596E-04   6.18877297E+01   8.38223420E-01   1.60492460E-01   6.97246467E-04   4.53215159E-04   4.00740964E-05   5.46165796E-05   2.29868392E-05   1.16505989E-05  
  8                5.12159461E-04   6.44620838E+01   8.38223420E-01   1.60492460E-01   6.97246472E-04   4.53215162E-04   4.00740967E-05   5.46165800E-05   2.29868392E-05   1.16505990E-05  
  9                6.41451167E-04   6.67823297E+01   8.38223420E-01   1.60492460E-01   6.97246476E-04   4.53215165E-04   4.00740969E-05   5.46165803E-05   2.29868392E-05   1.16505990E-05  
  10               7.93080896E-04   6.94034550E+01   8.38223420E-01   1.60492460E-01   6.97246480E-04   4.53215167E-04   4.00740972E-05   5.46165807E-05   2.29868392E-05   1.16505991E-05  
  11               9.70846199E-04   7.17901561E+01   8.38223420E-01   1.60492460E-01   6.97246485E-04   4.53215170E-04   4.00740974E-05   5.46165810E-05   2.29868392E-05   1.16505992E-05  
  12               1.17811991E-03   7.45695442E+01   8.38223420E-01   1.60492460E-01   6.97246489E-04   4.53215173E-04   4.00740976E-05   5.46165813E-05   2.29868392E-05   1.16505992E-05  
  13               1.41823549E-03   7.72000322E+01   8.38223420E-01   1.60492460E-01   6.97246493E-04   4.53215176E-04   4.00740979E-05   5.46165817E-05   2.29868392E-05   1.16505993E-05  
  14               1.69507852E-03   8.02781116E+01   8.38223420E-01   1.60492460E-01   6.97246498E-04   4.53215179E-04   4.00740982E-05   5.46165820E-05   2.29868392E-05   1.16505994E-05  
  15               2.01330289E-03   8.31809058E+01   8.38223420E-01   1.60492460E-01   6.97246503E-04   4.53215182E-04   4.00740984E-05   5.46165824E-05   2.29868392E-05   1.16505995E-05  
  16               2.37851805E-03   8.66005053E+01   8.38223420E-01   1.60492460E-01   6.97246508E-04   4.53215185E-04   4.00740987E-05   5.46165828E-05   2.29868392E-05   1.16505996E-05  
  17               2.79776836E-03   8.99742112E+01   8.38223420E-01   1.60492460E-01   6.97246512E-04   4.53215188E-04   4.00740990E-05   5.46165832E-05   2.29868392E-05   1.16505996E-05  
  18               3.27922714E-03   9.39266262E+01   8.38223420E-01   1.60492460E-01   6.97246515E-04   4.53215190E-04   4.00740992E-05   5.46165834E-05   2.29868392E-05   1.16505997E-05  
  19               3.83233606E-03   9.78319381E+01   8.38223420E-01   1.60492460E-01   6.97246517E-04   4.53215191E-04   4.00740993E-05   5.46165836E-05   2.29868392E-05   1.16505997E-05  
  20               4.46785454E-03   1.02441128E+02   8.38222487E-01   1.60492281E-01   6.97246520E-04   4.53215193E-04   4.00740994E-05   5.46165837E-05   2.29868136E-05   1.16505998E-05  
  21               5.19758336E-03   1.07450174E+02   8.38219374E-01   1.60491685E-01   6.97247298E-04   4.53215699E-04   4.00741441E-05   5.46166447E-05   2.29867283E-05   1.16506128E-05  
  22               6.03624275E-03   1.12622910E+02   8.38207216E-01   1.60489357E-01   6.97250315E-04   4.53217660E-04   4.00743175E-05   5.46168810E-05   2.29863949E-05   1.16506632E-05  
  23               7.00125836E-03   1.18019385E+02   8.38142737E-01   1.60477012E-01   6.97261732E-04   4.53225081E-04   4.00749738E-05   5.46177754E-05   2.29846266E-05   1.16508539E-05  
  24               8.11249066E-03   1.23612714E+02   8.38223301E-01   1.60492437E-01   6.97324917E-04   4.53266151E-04   4.00786053E-05   5.46227247E-05   2.29868360E-05   1.16519097E-05  
  25               9.39215714E-03   1.29620458E+02   8.38223405E-01   1.60492457E-01   6.97256464E-04   4.53221657E-04   4.00746710E-05   5.46173627E-05   2.29868388E-05   1.16507659E-05  
  26               1.08660462E-02   1.35720577E+02   8.38223290E-01   1.60492435E-01   6.97331877E-04   4.53270676E-04   4.00790053E-05   5.46232699E-05   2.29868357E-05   1.16520260E-05  
  27               1.25638732E-02   1.42420581E+02   8.38223288E-01   1.60492435E-01   6.97331873E-04   4.53270673E-04   4.00790050E-05   5.46232696E-05   2.29868356E-05   1.16520260E-05  
  28               1.45202401E-02   1.49088729E+02   8.38223277E-01   1.60492432E-01   6.97331858E-04   4.53270664E-04   4.00790042E-05   5.46232685E-05   2.29868353E-05   1.16520257E-05  
  29               1.67749186E-02   1.56487430E+02   8.38223227E-01   1.60492423E-01   6.97331771E-04   4.53270607E-04   4.00789992E-05   5.46232616E-05   2.29868339E-05   1.16520243E-05  
  30               1.93744211E-02   1.63776715E+02   8.38222969E-01   1.60492373E-01   6.97331412E-04   4.53270373E-04   4.00789786E-05   5.46232335E-05   2.29868269E-05   1.16520183E-05  
  31               2.23724776E-02   1.71839291E+02   8.38221996E-01   1.60492187E-01   6.97332184E-04   4.53270875E-04   4.00790230E-05   5.46232940E-05   2.29868002E-05   1.16520312E-05  
  32               2.58295419E-02   1.79814954E+02   8.38217795E-01   1.60491383E-01   6.97333182E-04   4.53271524E-04   4.00790803E-05   5.46233721E-05   2.29866850E-05   1.16520478E-05  
  33               2.98141480E-02   1.88588668E+02   8.38204293E-01   1.60488798E-01   6.97336990E-04   4.53273999E-04   4.00792992E-05   5.46236705E-05   2.29863147E-05   1.16521115E-05  
  34               3.44025829E-02   1.97286758E+02   8.38155312E-01   1.60479419E-01   6.97351278E-04   4.53283287E-04   4.00801204E-05   5.46247896E-05   2.29849715E-05   1.16523502E-05  
  35               3.96826133E-02   2.06715250E+02   8.37661471E-01   1.60384865E-01   6.97396339E-04   4.53312577E-04   4.00827102E-05   5.46283194E-05   2.29714287E-05   1.16531032E-05  
  36               4.57529533E-02   2.16149527E+02   8.38222520E-01   1.60492287E-01   6.97841533E-04   4.53601956E-04   4.01082977E-05   5.46631922E-05   2.29868145E-05   1.16605421E-05  
  37               5.27274402E-02   2.25850515E+02   8.38222683E-01   1.60492319E-01   6.97733368E-04   4.53531648E-04   4.01020809E-05   5.46547195E-05   2.29868190E-05   1.16587347E-05  
  38               6.07491871E-02   2.33697329E+02   8.38222984E-01   1.60492376E-01   6.97534741E-04   4.53402538E-04   4.00906648E-05   5.46391606E-05   2.29868273E-05   1.16554158E-05  
  39               6.99823830E-02   2.42901284E+02   8.38222459E-01   1.60492276E-01   6.97881391E-04   4.53627864E-04   4.01105885E-05   5.46663143E-05   2.29868129E-05   1.16612081E-05  
  40               8.06126262E-02   2.50980384E+02   8.38222459E-01   1.60492276E-01   6.97881284E-04   4.53627794E-04   4.01105824E-05   5.46663060E-05   2.29868129E-05   1.16612063E-05  
