# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  1                1.00000000E-05   3.46233634E+01   8.38153610E-01   1.60479104E-01   7.54827001E-04   5.06782847E-04   4.97322060E-05   2.29833729E-05   2.17128060E-05   6.95467969E-06  
  2                6.34423381E-05   4.16963455E+01   8.38153610E-01   1.60479104E-01   7.54827006E-04   5.06782851E-04   4.97322064E-05   2.29833729E-05   2.17128061E-05   6.95467974E-06  
  3                1.26593977E-04   4.67303297E+01   8.38153610E-01   1.60479104E-01   7.54827009E-04   5.06782853E-04   4.97322066E-05   2.29833729E-05   2.17128062E-05   6.95467977E-06  
  4                2.01219535E-04   4.93877226E+01   8.38153610E-01   1.60479104E-01   7.54827011E-04   5.06782854E-04   4.97322067E-05   2.29833729E-05   2.17128063E-05   6.95467979E-06  
  5                2.89397099E-04   5.25515434E+01   8.38153610E-01   1.60479104E-01   7.54827013E-04   5.06782855E-04   4.97322068E-05   2.29833729E-05   2.17128063E-05   6.95467980E-06  
  6                3.93565385E-04   5.44836484E+01   8.38153610E-01   1.60479104E-01   7.54827014E-04   5.06782856E-04   4.97322069E-05   2.29833729E-05   2.17128063E-05   6.95467982E-06  
  7                5.16611988E-04   5.72808820E+01   8.38153610E-01   1.60479104E-01   7.54827015E-04   5.06782857E-04   4.97322070E-05   2.29833729E-05   2.17128064E-05   6.95467983E-06  
  8                6.61920964E-04   5.89759588E+01   8.38153610E-01   1.60479104E-01   7.54827017E-04   5.06782858E-04   4.97322070E-05   2.29833729E-05   2.17128064E-05   6.95467984E-06  
  9                8.33472118E-04   6.17170873E+01   8.38153610E-01   1.60479104E-01   7.54827018E-04   5.06782858E-04   4.97322071E-05   2.29833729E-05   2.17128065E-05   6.95467985E-06  
  10               1.03597080E-03   6.33361504E+01   8.38153610E-01   1.60479104E-01   7.54827019E-04   5.06782859E-04   4.97322072E-05   2.29833729E-05   2.17128065E-05   6.95467986E-06  
