# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   2.35976264E+01   8.38088218E-01   1.60466586E-01   7.79786747E-04   5.30395277E-04   9.40574479E-05   2.29834763E-05   1.36731883E-05   0.00000000E+00  
  2                1.95020077E-05   2.88495160E+01   8.38088218E-01   1.60466586E-01   7.79786740E-04   5.30395272E-04   9.40574471E-05   2.29834763E-05   1.36731882E-05   0.00000000E+00  
  3                3.12704846E-05   2.95355444E+01   8.38088218E-01   1.60466586E-01   7.79786736E-04   5.30395269E-04   9.40574466E-05   2.29834763E-05   1.36731881E-05   0.00000000E+00  
  4                4.58451065E-05   3.12668495E+01   8.38088218E-01   1.60466586E-01   7.79786733E-04   5.30395267E-04   9.40574463E-05   2.29834763E-05   1.36731880E-05   0.00000000E+00  
  5                6.38939837E-05   3.19809493E+01   8.38088218E-01   1.60466586E-01   7.79786731E-04   5.30395266E-04   9.40574460E-05   2.29834763E-05   1.36731880E-05   0.00000000E+00  
  6                8.62431843E-05   3.36558165E+01   8.38088218E-01   1.60466586E-01   7.79786729E-04   5.30395265E-04   9.40574458E-05   2.29834763E-05   1.36731880E-05   0.00000000E+00  
  7                1.13915164E-04   3.43439313E+01   8.38088218E-01   1.60466586E-01   7.79786727E-04   5.30395263E-04   9.40574456E-05   2.29834763E-05   1.36731879E-05   0.00000000E+00  
  8                1.48174193E-04   3.60587927E+01   8.38088218E-01   1.60466586E-01   7.79786725E-04   5.30395262E-04   9.40574454E-05   2.29834763E-05   1.36731879E-05   0.00000000E+00  
  9                1.90581773E-04   3.69149567E+01   8.38088218E-01   1.60466586E-01   7.79786724E-04   5.30395261E-04   9.40574452E-05   2.29834763E-05   1.36731879E-05   0.00000000E+00  
  10               2.43070713E-04   3.87853641E+01   8.38088218E-01   1.60466586E-01   7.79786722E-04   5.30395260E-04   9.40574450E-05   2.29834763E-05   1.36731879E-05   0.00000000E+00  
  11               3.08026197E-04   3.97388140E+01   8.38088218E-01   1.60466586E-01   7.79786721E-04   5.30395259E-04   9.40574448E-05   2.29834763E-05   1.36731878E-05   0.00000000E+00  
  12               3.88391053E-04   4.15920056E+01   8.38088218E-01   1.60466586E-01   7.79786719E-04   5.30395258E-04   9.40574446E-05   2.29834763E-05   1.36731878E-05   0.00000000E+00  
  13               4.87805438E-04   4.23558705E+01   8.38088218E-01   1.60466586E-01   7.79786718E-04   5.30395257E-04   9.40574445E-05   2.29834763E-05   1.36731878E-05   0.00000000E+00  
  14               6.10751876E-04   4.41393837E+01   8.38088218E-01   1.60466586E-01   7.79786716E-04   5.30395256E-04   9.40574443E-05   2.29834763E-05   1.36731878E-05   0.00000000E+00  
  15               7.62745464E-04   4.48193163E+01   8.38088218E-01   1.60466586E-01   7.79786715E-04   5.30395255E-04   9.40574441E-05   2.29834763E-05   1.36731877E-05   0.00000000E+00  
  16               9.50602859E-04   4.67515359E+01   8.38088218E-01   1.60466586E-01   7.79786713E-04   5.30395254E-04   9.40574439E-05   2.29834763E-05   1.36731877E-05   0.00000000E+00  
  17               1.18269643E-03   4.75105048E+01   8.38088218E-01   1.60466586E-01   7.79786712E-04   5.30395253E-04   9.40574437E-05   2.29834763E-05   1.36731877E-05   0.00000000E+00  
  18               1.46927820E-03   4.95799255E+01   8.38088218E-01   1.60466586E-01   7.79786710E-04   5.30395252E-04   9.40574435E-05   2.29834763E-05   1.36731876E-05   0.00000000E+00  
