# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H2S              H               
  1                1.00000000E-05   5.26437471E+01   8.38384272E-01   1.60523262E-01   4.85263398E-04   2.67049349E-04   2.50321571E-04   5.83639326E-05   2.29890350E-05   3.16414017E-109 
  2                1.17532458E-04   6.80874319E+01   8.38384271E-01   1.60523262E-01   4.85263757E-04   2.67049546E-04   2.50321756E-04   5.83639758E-05   2.29890350E-05   9.22947088E-110 
  3                2.40826714E-04   7.86603553E+01   8.38384270E-01   1.60523262E-01   4.85264152E-04   2.67049764E-04   2.50321959E-04   5.83640232E-05   2.29890349E-05   6.44767864E-110 
  4                3.75353709E-04   8.60235469E+01   8.38384270E-01   1.60523262E-01   4.85264428E-04   2.67049916E-04   2.50322102E-04   5.83640564E-05   2.29890349E-05   5.16458415E-110 
  5                5.23245629E-04   9.27368993E+01   8.38384269E-01   1.60523262E-01   4.85264665E-04   2.67050046E-04   2.50322224E-04   5.83640849E-05   2.29890349E-05   4.37424303E-110 
  6                6.87756432E-04   9.85902448E+01   8.38382171E-01   1.60522860E-01   4.85263385E-04   2.67049342E-04   2.50321564E-04   5.83639310E-05   2.29889774E-05   3.81537559E-110 
  7                8.71870368E-04   1.04694517E+02   8.38373300E-01   1.60521162E-01   4.85256009E-04   2.67045282E-04   2.50317759E-04   5.83630438E-05   2.29887341E-05   4.00603669E-105 
  8                1.07878327E-03   1.10191744E+02   8.38295949E-01   1.60506351E-01   4.85226146E-04   2.67028848E-04   2.50302354E-04   5.83594521E-05   2.29866131E-05   8.87475906E-100 
  9                1.31210703E-03   1.16123381E+02   8.38384161E-01   1.60523241E-01   4.85323797E-04   2.67082587E-04   2.50352727E-04   5.83711969E-05   2.29890319E-05   1.41923615E-94  
  10               1.57572292E-03   1.21613846E+02   8.38384160E-01   1.60523241E-01   4.85324256E-04   2.67082840E-04   2.50352964E-04   5.83712521E-05   2.29890319E-05   3.26058879E-90  
  11               1.87393579E-03   1.27610663E+02   8.38384159E-01   1.60523241E-01   4.85324295E-04   2.67082862E-04   2.50352984E-04   5.83712569E-05   2.29890319E-05   7.09185745E-86  
  12               2.21159328E-03   1.33137576E+02   8.38384159E-01   1.60523241E-01   4.85324337E-04   2.67082885E-04   2.50353006E-04   5.83712619E-05   2.29890319E-05   3.15373706E-82  
  13               2.59423786E-03   1.39299629E+02   8.38384156E-01   1.60523240E-01   4.85324381E-04   2.67082909E-04   2.50353028E-04   5.83712671E-05   2.29890318E-05   1.68931290E-78  
  14               3.02803816E-03   1.45188254E+02   8.38384140E-01   1.60523237E-01   4.85324421E-04   2.67082931E-04   2.50353049E-04   5.83712720E-05   2.29890314E-05   3.11079347E-75  
  15               3.51997139E-03   1.51856903E+02   8.38384080E-01   1.60523226E-01   4.85324431E-04   2.67082936E-04   2.50353054E-04   5.83712731E-05   2.29890297E-05   7.72201184E-72  
  16               4.07795048E-03   1.58232489E+02   8.38383789E-01   1.60523170E-01   4.85324393E-04   2.67082916E-04   2.50353035E-04   5.83712686E-05   2.29890217E-05   7.29871294E-69  
  17               4.71121318E-03   1.65357564E+02   8.38382861E-01   1.60522992E-01   4.85323830E-04   2.67082606E-04   2.50352745E-04   5.83712009E-05   2.29889963E-05   8.30275339E-66  
  18               5.43025298E-03   1.72156273E+02   8.38379030E-01   1.60522259E-01   4.85322916E-04   2.67082103E-04   2.50352273E-04   5.83710910E-05   2.29888912E-05   3.95063216E-63  
  19               6.24678771E-03   1.79725193E+02   8.38368559E-01   1.60520254E-01   4.85317100E-04   2.67078902E-04   2.50349273E-04   5.83703915E-05   2.29886041E-05   2.19274084E-60  
  20               7.17383372E-03   1.86960205E+02   8.38327733E-01   1.60512437E-01   4.85307628E-04   2.67073690E-04   2.50344387E-04   5.83692523E-05   2.29874847E-05   5.67338567E-58  
  21               8.22526323E-03   1.95222662E+02   8.37807668E-01   1.60412861E-01   4.85041055E-04   2.66926990E-04   2.50206876E-04   5.83371908E-05   2.29732241E-05   1.96296999E-55  
  22               9.41668762E-03   2.03592449E+02   8.38383454E-01   1.60523106E-01   4.85707315E-04   2.67293644E-04   2.50550564E-04   5.84173236E-05   2.29890126E-05   4.51265394E-53  
  23               1.07669904E-02   2.12304097E+02   8.38383455E-01   1.60523106E-01   4.85707021E-04   2.67293483E-04   2.50550412E-04   5.84172883E-05   2.29890126E-05   8.20085217E-51  
  24               1.22978142E-02   2.20559407E+02   8.38383457E-01   1.60523106E-01   4.85705622E-04   2.67292713E-04   2.50549691E-04   5.84171201E-05   2.29890126E-05   7.71527740E-49  
  25               1.40337161E-02   2.28670771E+02   8.38383453E-01   1.60523106E-01   4.85707952E-04   2.67293995E-04   2.50550892E-04   5.84174002E-05   2.29890125E-05   4.85040439E-47  
  26               1.60032281E-02   2.36121761E+02   8.38383452E-01   1.60523105E-01   4.85708142E-04   2.67294100E-04   2.50550991E-04   5.84174231E-05   2.29890125E-05   1.68024380E-45  
  27               1.82401062E-02   2.43573670E+02   8.38383452E-01   1.60523105E-01   4.85708350E-04   2.67294214E-04   2.50551098E-04   5.84174482E-05   2.29890125E-05   4.67358837E-44  
  28               2.07818183E-02   2.50641616E+02   8.38383452E-01   1.60523105E-01   4.85708573E-04   2.67294337E-04   2.50551213E-04   5.84174749E-05   2.29890125E-05   9.06784382E-43  
  29               2.36703878E-02   2.57975308E+02   8.38383451E-01   1.60523105E-01   4.85708821E-04   2.67294473E-04   2.50551341E-04   5.84175048E-05   2.29890125E-05   1.65559589E-41  
  30               2.69531404E-02   2.65138733E+02   8.38383451E-01   1.60523105E-01   4.85709067E-04   2.67294609E-04   2.50551468E-04   5.84175344E-05   2.29890125E-05   2.40934982E-40  
  31               3.06833559E-02   2.72751235E+02   8.38383450E-01   1.60523105E-01   4.85709368E-04   2.67294774E-04   2.50551623E-04   5.84175705E-05   2.29890124E-05   3.55848292E-39  
  32               3.49202386E-02   2.80402707E+02   8.38383450E-01   1.60523105E-01   4.85709671E-04   2.67294941E-04   2.50551779E-04   5.84176071E-05   2.29890124E-05   4.58729975E-38  
  33               3.97293932E-02   2.88740705E+02   8.38383449E-01   1.60523105E-01   4.85709985E-04   2.67295114E-04   2.50551941E-04   5.84176448E-05   2.29890124E-05   6.39206279E-37  
  34               4.51839186E-02   2.97304660E+02   8.38383448E-01   1.60523105E-01   4.85710290E-04   2.67295282E-04   2.50552098E-04   5.84176814E-05   2.29890124E-05   8.19241002E-36  
  35               5.13644778E-02   3.06787962E+02   8.38383448E-01   1.60523105E-01   4.85710621E-04   2.67295464E-04   2.50552269E-04   5.84177212E-05   2.29890124E-05   1.17362131E-34  
  36               5.83595572E-02   3.16846257E+02   8.38383447E-01   1.60523104E-01   4.85710984E-04   2.67295664E-04   2.50552457E-04   5.84177650E-05   2.29890123E-05   1.66123525E-33  
  37               6.62603973E-02   3.28869837E+02   8.38383445E-01   1.60523104E-01   4.85711378E-04   2.67295881E-04   2.50552660E-04   5.84178124E-05   2.29890123E-05   3.21807540E-32  
  38               7.51621047E-02   3.42026553E+02   8.38383445E-01   1.60523103E-01   4.85711828E-04   2.67296128E-04   2.50552892E-04   5.84178664E-05   2.29890122E-05   6.50776367E-31  
  39               8.51888123E-02   3.54802342E+02   8.38383433E-01   1.60523100E-01   4.85712294E-04   2.67296384E-04   2.50553132E-04   5.84179225E-05   2.29890117E-05   9.69771541E-30  
  40               9.64839674E-02   3.68751395E+02   8.38383435E-01   1.60523097E-01   4.85712989E-04   2.67296767E-04   2.50553491E-04   5.84180061E-05   2.29890113E-05   1.49891133E-28  
  41               1.09205417E-01   3.82354624E+02   8.38383439E-01   1.60523092E-01   4.85713551E-04   2.67297076E-04   2.50553781E-04   5.84180737E-05   2.29890106E-05   1.77762903E-27  
  42               1.23527052E-01   3.97179784E+02   8.38382928E-01   1.60522981E-01   4.85713972E-04   2.67297308E-04   2.50553998E-04   5.84181243E-05   2.29889947E-05   2.17521983E-26  
  43               1.39636341E-01   4.11668834E+02   8.38382991E-01   1.60522907E-01   4.85718868E-04   2.67300002E-04   2.50556524E-04   5.84187132E-05   2.29889841E-05   2.10329919E-25  
  44               1.57736314E-01   4.27424900E+02   8.38383039E-01   1.60522857E-01   4.85719534E-04   2.67300369E-04   2.50556867E-04   5.84187933E-05   2.29889769E-05   2.08693087E-24  
  45               1.78060440E-01   4.42829931E+02   8.38383110E-01   1.60522760E-01   4.85720249E-04   2.67300762E-04   2.50557236E-04   5.84188792E-05   2.29889630E-05   1.67297305E-23  
  46               2.00865670E-01   4.59558513E+02   8.38382901E-01   1.60522509E-01   4.85720996E-04   2.67301173E-04   2.50557621E-04   5.84189691E-05   2.29889270E-05   1.37192826E-22  
  47               2.26430516E-01   4.75917108E+02   8.38382928E-01   1.60522475E-01   4.85723984E-04   2.67302818E-04   2.50559162E-04   5.84193284E-05   2.29889221E-05   9.26889471E-22  
  48               2.55058490E-01   4.93658193E+02   8.38380911E-01   1.60521366E-01   4.85762507E-04   2.67324018E-04   2.50579034E-04   5.84239617E-05   2.29887634E-05   6.39014018E-21  
  49               2.87087628E-01   5.10998715E+02   8.38382060E-01   1.60520220E-01   4.85760856E-04   2.67323109E-04   2.50578183E-04   5.84237632E-05   2.29885993E-05   3.69004086E-20  
  50               3.22888385E-01   5.29783844E+02   8.38383480E-01   1.60518802E-01   4.85760316E-04   2.67322812E-04   2.50577904E-04   5.84236982E-05   2.29883962E-05   2.17045860E-19  
  51               3.62894603E-01   5.48144910E+02   8.38385232E-01   1.60517053E-01   4.85759109E-04   2.67322148E-04   2.50577282E-04   5.84235531E-05   2.29881457E-05   1.08641339E-18  
  52               4.07573074E-01   5.68025286E+02   8.38387491E-01   1.60514799E-01   4.85757298E-04   2.67321151E-04   2.50576347E-04   5.84233352E-05   2.29878229E-05   5.53506820E-18  
  53               4.57434288E-01   5.87460044E+02   8.38389780E-01   1.60512513E-01   4.85755566E-04   2.67320198E-04   2.50575454E-04   5.84231270E-05   2.29874956E-05   2.43468117E-17  
  54               5.13035820E-01   6.08476906E+02   8.38392266E-01   1.60510032E-01   4.85753703E-04   2.67319173E-04   2.50574493E-04   5.84229028E-05   2.29871402E-05   1.08806409E-16  
  55               5.74962834E-01   6.29017298E+02   8.38394453E-01   1.60507847E-01   4.85752419E-04   2.67318466E-04   2.50573831E-04   5.84227484E-05   2.29868273E-05   4.25100414E-16  
